,id,VJ_withAGN,UV_withAGN,VJ_withoutAGN,UV_withoutAGN,GalaxyType,GalaxyType_NoAGN,GalaxyType_Changed,GalaxyType_100,vector_magnitude,vector_direction,field
0,CDFS_22468,1.090045072920745,0.7907828334689526,1.8835847689986451,0.9706202652401856,1.0,2.0,1,2.0,0.8136625535917694,0.22286239713877737,CDFS
4,CDFS_11857,0.6131079470765144,0.9181838568366061,0.5080981932584478,0.9131742119787987,1.0,1.0,0,1.0,0.10512918214526495,-3.093922324300322,CDFS
6,CDFS_18441,0.6702556126646044,0.9616298720375482,0.5577435771403856,0.9559972620606061,1.0,1.0,0,1.0,0.11265293796859198,-3.0915721249399186,CDFS
8,CDFS_15163,0.48799391748919163,0.7175318930333532,0.4094491192274461,0.7022743751034426,1.0,1.0,0,1.0,0.08001298136777461,-2.949729662080628,CDFS
15,CDFS_25294,1.4104611213150235,1.6966272175016854,1.448004446091403,1.8698824276508077,2.0,0.0,1,0.0,0.17727625074747386,1.3574017961091918,CDFS
16,CDFS_20666,1.0241104872931999,1.0965855803389672,1.1066982156262668,1.4107443449543666,1.0,1.0,0,1.0,0.3248329759366964,1.3137275469761716,CDFS
18,CDFS_26267,1.0137098317697593,1.4595371752257904,0.9719833578348016,1.473732715364065,0.0,0.0,0,0.0,0.044075072170809464,2.8136707212926506,CDFS
20,CDFS_26038,1.098402870592622,1.3735304905668642,1.1066982156262668,1.4107443449543666,1.0,1.0,0,1.0,0.03812720429826255,1.3514719430419733,CDFS
22,CDFS_9001,0.8718365574519567,1.3576961412437356,0.8638383299718271,1.3803541573013405,0.0,0.0,0,0.0,0.024028261162443276,1.9101391998845902,CDFS
27,CDFS_25652,0.9823856088414402,1.392275999745351,0.9719833578348158,1.4737327153640507,1.0,0.0,1,0.0,0.08211822785101075,1.6978116527081226,CDFS
30,CDFS_6455,0.9540165552732134,1.3683150716324093,0.9719833578347874,1.4737327153640791,1.0,0.0,1,0.0,0.1069377650983218,1.4019839120657114,CDFS
31,CDFS_16152,0.5028921393363674,0.7754848662548852,0.5080981932584478,0.9131742119788271,1.0,1.0,0,1.0,0.13778773139625602,1.5330041857235732,CDFS
34,CDFS_29283,1.102551162171423,1.344677255593723,1.1066982156262526,1.4107443449543666,1.0,1.0,0,1.0,0.06619711737639704,1.5081082363673612,CDFS
35,CDFS_9289,1.099482662926917,1.7420600803080646,1.1169843413208582,1.86228979008483,0.0,0.0,0,0.0,0.12149688004064225,1.4262429947038877,CDFS
36,CDFS_24009,1.6573939965435756,2.279532975211225,1.6612516777595516,2.3074171377088675,2.0,2.0,0,2.0,0.02814974640310305,1.4333222931185317,CDFS
38,CDFS_10980,1.0999145522472134,1.38112644819158,1.1066982156262526,1.4107443449543666,1.0,1.0,0,1.0,0.030384830055328743,1.3456405291321012,CDFS
39,CDFS_13149,1.0695956460194225,1.7204283824877251,1.08588723182703,1.834912145442999,0.0,0.0,0,0.0,0.11563713827540874,1.4294406372495572,CDFS
40,CDFS_18009,1.087438266915484,1.7465192394070215,1.089006001051473,1.8386901407700975,0.0,0.0,0,0.0,0.09218423318769342,1.5537889746460294,CDFS
41,CDFS_25286,1.0570449956966712,1.6328627713196084,1.08588723182703,1.834912145442999,0.0,0.0,0,0.0,0.2040975849162681,1.4290057872294821,CDFS
42,CDFS_28395,1.0764716580500817,1.763761672350114,1.0858872318270585,1.8349121454429707,0.0,0.0,0,0.0,0.07177076599066656,1.4392275315763636,CDFS
47,CDFS_16400,1.4393513754827012,1.8156561477064912,1.4480044460914314,1.8698824276507935,0.0,0.0,0,0.0,0.05491233984777476,1.4125570664100722,CDFS
50,CDFS_20093,0.8464214186293617,1.2869911071673243,0.8638383299718555,1.3803541573013405,1.0,0.0,1,0.0,0.09497372231853976,1.3863659148958096,CDFS
54,CDFS_8953,1.062265450329022,1.6694157738136823,1.08588723182703,1.8349121454429849,0.0,0.0,0,0.0,0.16717367491206217,1.4290210060396955,CDFS
55,CDFS_12621,1.1023198732797397,1.341115489304329,1.1066982156262668,1.4107443449543808,1.0,1.0,0,1.0,0.06976637743812678,1.5079978613310128,CDFS
56,CDFS_19539,1.0622654503290363,1.6694157738136681,1.08588723182703,1.8349121454429849,0.0,0.0,0,0.0,0.16717367491207422,1.4290210060397917,CDFS
59,CDFS_26303,1.4104611213150378,1.6966272175016712,1.448004446091403,1.8698824276508077,2.0,0.0,1,0.0,0.17727625074748474,1.357401796109287,CDFS
62,CDFS_15228,1.0694499894716074,1.6734809962221817,1.0934616367238732,1.8411414279739091,0.0,0.0,0,0.0,0.16937112970911802,1.4285476633007275,CDFS
66,CDFS_11986,1.076468472676794,1.7637384744220839,1.08588723182703,1.8349121454429849,0.0,0.0,0,0.0,0.07179418131381958,1.4392259364953177,CDFS
75,CDFS_25569,1.413861521779296,1.710999126252645,1.4480044460914172,1.8698824276508077,2.0,0.0,1,0.0,0.1625104388762847,1.3591223510885084,CDFS
79,CDFS_23445,1.6539136325171455,2.2426964684564155,1.6612516777595658,2.3074171377088533,2.0,2.0,0,2.0,0.06513533554425935,1.4578982073812097,CDFS
80,CDFS_17608,1.4051229255536697,1.6645253261108337,1.4535866908062332,1.876290295414634,2.0,0.0,1,0.0,0.21723981855703872,1.3458143674734722,CDFS
81,COSMOS_12282,0.6718141086901284,0.7058151952449379,0.7331064093711745,0.910698680281044,1.0,1.0,0,1.0,0.213855064385476,1.280113231811067,COSMOS
82,COSMOS_5117,0.5322678400301584,0.8420296023576839,0.5080981932584621,0.9131742119788271,1.0,1.0,0,1.0,0.07513805496027584,1.8982888666405775,COSMOS
84,COSMOS_16175,0.5430948647331775,0.7921384911712153,0.5577435771403572,0.9559972620606061,1.0,1.0,0,1.0,0.1645122535635876,1.481634947973886,COSMOS
85,COSMOS_4086,0.52924582319217,0.8082561670141928,0.5577435771403714,0.9559972620606061,1.0,1.0,0,1.0,0.15046445808098854,1.3802467277693342,COSMOS
86,COSMOS_5470,0.8537386581810011,1.302845644481522,0.8638383299718271,1.3803541573013405,1.0,0.0,1,0.0,0.07816375713732278,1.4412223544136102,COSMOS
88,COSMOS_8106,0.9925204625226058,1.026781370302615,0.9356157478145519,1.1465123358699856,1.0,1.0,0,1.0,0.13256564664987644,2.014466153449432,COSMOS
89,COSMOS_10725,0.8391784733995138,1.2011345675782792,0.8638383299718413,1.3803541573013405,1.0,0.0,1,0.0,0.18090818076214846,1.434059177362897,COSMOS
91,COSMOS_5485,0.8718365574519424,1.3576961412437498,0.8638383299718555,1.3803541573013405,0.0,0.0,0,0.0,0.024028261162415684,1.9101391998831139,COSMOS
92,COSMOS_8068,0.8310253766199196,0.9164959707454869,0.7331064093711603,0.910698680281044,1.0,1.0,0,1.0,0.09809043135695097,-3.0824567044882403,COSMOS
93,COSMOS_4007,1.2463213528308188,2.0601684163072065,1.2601229839564354,2.1775117979098297,0.0,0.0,0,0.0,0.11815225020145173,1.4537167717455803,COSMOS
94,COSMOS_12112,1.3478240298520348,2.2068830791479996,1.3518806141912165,2.2474359542478624,0.0,0.0,0,0.0,0.04075526414300318,1.471096012301139,COSMOS
95,COSMOS_16299,1.3084065657557034,2.1122083837091736,1.3186076656250805,2.2248836500790503,0.0,0.0,0,0.0,0.11313610427298472,1.480507083820896,COSMOS
96,COSMOS_2213,1.2078246357214084,2.05020342136487,1.213302371207746,2.139478407462093,0.0,0.0,0,0.0,0.08944287969826135,1.509515143686369,COSMOS
99,COSMOS_4655,1.2383268174211253,1.993851808383468,1.2601229839564638,2.1775117979098155,0.0,0.0,0,0.0,0.1849488162396675,1.452672092115048,COSMOS
