id,zpk
7544,1.1017
8122,0.5295
8214,1.0732
8587,0.5037
8693,0.5159
8827,1.7035
9705,1.6468
11020,1.2551
11174,1.3812
11279,1.5221
11420,0.7068
11488,0.5496
11494,0.9581
11731,1.5601
12171,0.68
12659,1.6378
13237,0.7541
13592,1.0709
13811,0.6377
14328,1.6085
14761,1.1444
14935,1.7124
15136,0.926
15181,1.9892
15478,1.0849
15802,0.5859
15880,0.6663
16360,1.9496
17055,0.5749
17166,0.7687
17210,0.7463
17488,1.0788
17560,0.6961
17762,0.7157
18706,0.6441
19318,1.3144
19539,0.6222
20090,1.5863
20265,0.543
20921,0.9195
21236,0.5163
21446,0.6623
22412,1.5564
23976,0.9074
24710,0.6442
25353,1.3864
26347,0.7326
26396,1.0323
26789,0.5144
27838,0.6197
29251,0.5104
29367,0.7277
29687,1.0106
29790,0.9846
29910,0.7393
30053,1.3594
30285,1.6084
30354,0.9603
30446,0.6815
30540,0.7045
