id,zpk
7986,1.4611
8122,0.5295
8587,0.5037
9705,1.6468
10327,1.5581
10689,1.6153
10895,1.4486
11279,1.5221
11494,0.9581
12014,0.698
12945,0.5402
13149,0.7163
13596,1.3205
13736,0.5608
14832,0.9364
15461,0.5429
15985,1.2863
16233,0.7459
16251,0.725
16367,1.3546
16827,0.6876
17055,0.5749
17166,0.7687
18538,1.5056
18695,0.7898
19406,0.8346
19451,1.1096
19539,0.6222
19980,1.3021
20090,1.5863
20265,0.543
20921,0.9195
20975,0.8933
21051,0.9735
21236,0.5163
21410,0.7467
21446,0.6623
21452,1.6056
22227,1.5728
22516,1.5608
23360,0.5959
23532,1.9156
24981,1.4699
25272,0.9654
25628,0.6682
25935,1.7657
25978,1.0307
26024,0.9991
26292,0.6077
26689,1.2434
26757,0.818
26828,0.7259
27229,0.7077
27581,1.0588
28519,0.6422
29439,1.044
29445,1.5793
29790,0.9846
30446,0.6815
30540,0.7045
