##CDFS zeropoints

R	27.490
B       22.1580
I 	22.1460
J	26.0
V	22.9990
H	26.0
Ks2	26.0
Z       21.3480
NB118 24.674
Hs  	26.654     
J1  	26.320     
J2  	26.607     
J3  	26.595     
Ks  	26.938     
Hl  	26.643     
NB209 24.789
U	26.150
Ks_HI   26.8355
F098M	25.6674
F105W	26.2687
F125W	26.2303
F140W	26.4524 
F160W	25.9463
F814W	25.947
WFI_B	24.3787
WFI_U38	21.9099
WFI_Rc	24.651
WFI_V	24.0964
WFI_I	23.6401
IA427	25.10 
IA445	25.07
IA464	25.30
IA484	25.50
IA505	25.34
IA527	25.72
IA550	25.88
IA574	25.71
IA598	26.02
IA624   25.89
IA651   26.15
IA679   26.20
IA709   26.02
IA738   26.02
IA767   26.04
IA797   26.02
IA827   25.92
IA856   25.73 
tenisK  23.9
Kstot	25.0
KsHI 	31.4
