id,z,field
5746,2.9412,cdfs
5860,2.2177,cdfs
5880,1.8316,cdfs
5886,1.1001,cdfs
5928,0.7154,cdfs
5955,1.487,cdfs
5972,0.9668,cdfs
6026,2.2718,cdfs
6034,0.3502,cdfs
6049,0.9595,cdfs
6058,1.8389,cdfs
6121,2.5007,cdfs
6148,1.2637,cdfs
6151,0.3566,cdfs
6153,2.4497,cdfs
6174,2.2717,cdfs
6179,1.0748,cdfs
6235,2.7769,cdfs
6237,0.7676,cdfs
6238,2.3589,cdfs
6243,1.0372,cdfs
6249,0.9922,cdfs
6258,0.2425,cdfs
6264,2.6792,cdfs
6272,2.4365,cdfs
6276,0.6952,cdfs
6282,1.0555,cdfs
6292,0.9814,cdfs
6302,1.0978,cdfs
6328,0.7064,cdfs
6329,2.5538,cdfs
6336,3.6199,cdfs
6344,1.483,cdfs
6356,1.0495,cdfs
6365,2.6203,cdfs
6376,3.4874,cdfs
6377,1.2301,cdfs
6378,0.6606,cdfs
6390,0.301,cdfs
6398,0.2518,cdfs
6417,4.5734,cdfs
6426,1.069,cdfs
6436,0.8367,cdfs
6447,0.8379,cdfs
6454,1.0175,cdfs
6455,1.2113,cdfs
6459,2.0508,cdfs
6465,2.7002,cdfs
6475,2.9228,cdfs
6476,1.5345,cdfs
6479,0.9602,cdfs
6485,1.09,cdfs
6497,1.076,cdfs
6518,1.1917,cdfs
6525,2.8787,cdfs
6533,1.0866,cdfs
6534,0.6611,cdfs
6542,4.5932,cdfs
6550,1.0721,cdfs
6575,1.0845,cdfs
6579,1.0441,cdfs
6580,1.7389,cdfs
6608,0.904,cdfs
6610,2.7665,cdfs
6635,1.1116,cdfs
6640,3.3528,cdfs
6642,0.3547,cdfs
6657,1.2782,cdfs
6664,4.331,cdfs
6667,2.1984,cdfs
6677,4.6995,cdfs
6680,1.2882,cdfs
6681,0.3366,cdfs
6700,1.145,cdfs
6704,1.0861,cdfs
6706,2.0974,cdfs
6707,1.3691,cdfs
6722,1.9704,cdfs
6738,3.587,cdfs
6739,1.5219,cdfs
6743,3.3309,cdfs
6745,2.6164,cdfs
6747,2.731,cdfs
6756,0.5658,cdfs
6764,0.1347,cdfs
6765,3.814,cdfs
6776,0.5046,cdfs
6798,2.6621,cdfs
6812,3.7386,cdfs
