# Arp 118        
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010495 3.922264e-13 1.068300e-21 0 
    0.010691 5.340741e-13 1.401800e-21 0 
    0.010914 7.405404e-13 1.865100e-21 0 
    0.011117 1.043657e-12 2.533400e-21 0 
    0.011324 1.635227e-12 3.825600e-21 0 
    0.011722 2.828671e-12 6.175900e-21 0 
    0.012134 4.577013e-12 9.326000e-21 0 
    0.012445 1.925598e-11 3.729900e-20 0 
    0.012853 2.848317e-11 5.172500e-20 0 
    0.013062 3.346516e-11 5.884300e-20 0 
    0.013183 3.703439e-11 6.392900e-20 0 
    0.013490 4.619564e-11 7.615500e-20 0 
    0.013583 5.669805e-11 9.219300e-20 0 
    0.013772 6.479690e-11 1.024900e-19 0 
    0.014093 9.195765e-11 1.389000e-19 0 
    0.014388 1.115808e-10 1.617000e-19 0 
    0.014723 3.536477e-10 4.894400e-19 0 
    0.015136 1.058282e-09 1.385800e-18 0 
    0.015524 1.281127e-09 1.594800e-18 0 
    0.015959 1.572454e-09 1.852200e-18 0 
    0.016368 1.925568e-09 2.156200e-18 0 
    0.016672 2.215862e-09 2.391600e-18 0 
    0.017061 2.695186e-09 2.777800e-18 0 
    0.017498 3.210399e-09 3.145600e-18 0 
    0.017783 3.652515e-09 3.465000e-18 0 
    0.018197 4.301058e-09 3.896700e-18 0 
    0.018535 4.848010e-09 4.233500e-18 0 
    0.018707 5.230964e-09 4.484300e-18 0 
    0.019143 6.103787e-09 4.996900e-18 0 
    0.019634 7.287763e-09 5.671500e-18 0 
    0.019953 8.177031e-09 6.161700e-18 0 
    0.020370 9.344517e-09 6.756100e-18 0 
    0.020797 1.072940e-08 7.442100e-18 0 
    0.021086 1.181858e-08 7.974400e-18 0 
    0.021627 1.323029e-08 8.485900e-18 0 
    0.022233 1.654114e-08 1.003900e-17 0 
    0.022646 1.868794e-08 1.093200e-17 0 
    0.022961 2.011648e-08 1.144700e-17 0 
    0.023335 2.262490e-08 1.246500e-17 0 
    0.023659 3.669150e-08 1.966500e-17 0 
    0.024099 6.600552e-08 3.409600e-17 0 
    0.024717 8.924059e-08 4.382200e-17 0 
    0.025293 9.237998e-08 4.332100e-17 0 
    0.025942 1.075434e-07 4.794000e-17 0 
    0.026424 9.785196e-08 4.204300e-17 0 
    0.026730 1.168362e-07 4.905700e-17 0 
    0.027164 1.295870e-07 5.268600e-17 0 
    0.027669 1.385356e-07 5.428700e-17 0 
    0.028184 1.470902e-07 5.555200e-17 0 
    0.028708 1.565252e-07 5.697700e-17 0 
    0.029242 1.665667e-07 5.843800e-17 0 
    0.029854 1.704448e-07 5.737200e-17 0 
    0.030479 1.855988e-07 5.993700e-17 0 
    0.030974 1.938956e-07 6.063100e-17 0 
    0.031696 2.111478e-07 6.305200e-17 0 
    0.032734 2.374512e-07 6.648100e-17 0 
    0.033729 2.603653e-07 6.865900e-17 0 
    0.034754 2.822200e-07 7.009700e-17 0 
    0.035810 3.044997e-07 7.123600e-17 0 
    0.036728 3.262651e-07 7.256000e-17 0 
    0.037670 3.504008e-07 7.407900e-17 0 
    0.038548 3.703231e-07 7.476500e-17 0 
    0.039628 3.833346e-07 7.323100e-17 0 
    0.040644 4.193436e-07 7.615500e-17 0 
    0.041687 4.483076e-07 7.739200e-17 0 
    0.042560 4.672809e-07 7.739200e-17 0 
    0.043451 4.836966e-07 7.685900e-17 0 
    0.044259 5.007039e-07 7.668300e-17 0 
    0.045394 5.315838e-07 7.739200e-17 0 
    0.046452 5.515522e-07 7.668300e-17 0 
    0.047315 5.682963e-07 7.615500e-17 0 
    0.048306 5.896289e-07 7.580500e-17 0 
    0.049431 6.188378e-07 7.598000e-17 0 
    0.050466 6.317890e-07 7.442100e-17 0 
    0.051404 6.600378e-07 7.493700e-17 0 
    0.052119 6.676797e-07 7.373900e-17 0 
    0.052723 7.088828e-07 7.650600e-17 0 
    0.053456 7.253875e-07 7.615500e-17 0 
    0.054576 7.440095e-07 7.493700e-17 0 
    0.055590 7.474280e-07 7.256000e-17 0 
    0.056624 7.719327e-07 7.222700e-17 0 
    0.057677 8.139170e-07 7.340000e-17 0 
    0.058614 8.522696e-07 7.442100e-17 0 
    0.059704 8.661304e-07 7.289500e-17 0 
    0.060674 9.027736e-07 7.356900e-17 0 
    0.061802 9.090380e-07 7.140000e-17 0 
    0.062806 8.522689e-07 6.481800e-17 0 
    0.063826 9.921366e-07 7.306300e-17 0 
    0.064863 1.010572e-06 7.206000e-17 0 
    0.065917 1.046100e-06 7.222700e-17 0 
    0.066834 1.075408e-06 7.222700e-17 0 
    0.067764 1.095397e-06 7.156400e-17 0 
    0.068391 1.133894e-06 7.272700e-17 0 
    0.069502 1.162982e-06 7.222700e-17 0 
    0.070469 1.152316e-06 6.961400e-17 0 
