# Arp 256 N      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010280 4.934125e-14 1.400700e-22 0 
    0.010471 6.655625e-14 1.821100e-22 0 
    0.010691 8.227133e-14 2.159400e-22 0 
    0.010889 1.045197e-13 2.644500e-22 0 
    0.011092 1.349707e-13 3.291100e-22 0 
    0.011298 2.139072e-13 5.027400e-22 0 
    0.011722 3.260032e-13 7.117700e-22 0 
    0.012134 4.658285e-13 9.491600e-22 0 
    0.012417 1.528456e-12 2.974000e-21 0 
    0.012853 2.158884e-12 3.920500e-21 0 
    0.013032 2.507472e-12 4.429300e-21 0 
    0.013152 2.736524e-12 4.746100e-21 0 
    0.013459 3.374785e-12 5.589100e-21 0 
    0.013552 3.946599e-12 6.446700e-21 0 
    0.013772 4.520800e-12 7.150600e-21 0 
    0.014060 6.014326e-12 9.127200e-21 0 
    0.014388 7.315204e-12 1.060100e-20 0 
    0.014689 1.503822e-11 2.090900e-20 0 
    0.015101 3.056575e-11 4.021100e-20 0 
    0.015524 3.812615e-11 4.746100e-20 0 
    0.015922 4.755681e-11 5.627800e-20 0 
    0.016331 5.918908e-11 6.657900e-20 0 
    0.016634 6.921676e-11 7.504800e-20 0 
    0.017061 8.555163e-11 8.817400e-20 0 
    0.017458 1.033210e-10 1.017000e-19 0 
    0.017783 1.194631e-10 1.133300e-19 0 
    0.018197 1.432913e-10 1.298200e-19 0 
    0.018493 1.630157e-10 1.430000e-19 0 
    0.018707 1.783355e-10 1.528800e-19 0 
    0.019099 2.104977e-10 1.731200e-19 0 
    0.019634 2.583709e-10 2.010700e-19 0 
    0.019907 2.905589e-10 2.199600e-19 0 
    0.020324 3.382452e-10 2.456600e-19 0 
    0.020749 3.937402e-10 2.743700e-19 0 
    0.021038 4.377584e-10 2.967200e-19 0 
    0.021577 5.048919e-10 3.253400e-19 0 
    0.022182 6.385874e-10 3.893500e-19 0 
    0.022594 7.281272e-10 4.279000e-19 0 
    0.022909 7.947559e-10 4.543000e-19 0 
    0.023335 9.062303e-10 4.992800e-19 0 
    0.023605 1.439553e-09 7.750700e-19 0 
    0.024044 2.577617e-09 1.337600e-18 0 
    0.024660 3.533557e-09 1.743200e-18 0 
    0.025293 3.786383e-09 1.775600e-18 0 
    0.025882 4.387477e-09 1.964900e-18 0 
    0.026424 4.038549e-09 1.735200e-18 0 
    0.026730 4.889036e-09 2.052800e-18 0 
    0.027102 5.410218e-09 2.209700e-18 0 
    0.027606 5.837365e-09 2.297900e-18 0 
    0.028119 6.269287e-09 2.378700e-18 0 
    0.028642 6.733276e-09 2.462300e-18 0 
    0.029174 7.231135e-09 2.548800e-18 0 
    0.029785 7.502596e-09 2.537100e-18 0 
    0.030409 8.264725e-09 2.681300e-18 0 
    0.030903 8.594640e-09 2.699900e-18 0 
    0.031623 9.489135e-09 2.846700e-18 0 
    0.032659 1.086983e-08 3.057300e-18 0 
    0.033729 1.211213e-08 3.194000e-18 0 
    0.034754 1.331161e-08 3.306300e-18 0 
    0.035727 1.449458e-08 3.406700e-18 0 
    0.036644 1.567565e-08 3.502200e-18 0 
    0.037584 1.699118e-08 3.608600e-18 0 
    0.038548 1.824844e-08 3.684200e-18 0 
    0.039537 1.902071e-08 3.650400e-18 0 
    0.040551 2.095164e-08 3.822400e-18 0 
    0.041591 2.250196e-08 3.902500e-18 0 
    0.042560 2.383560e-08 3.947700e-18 0 
    0.043351 2.484384e-08 3.965900e-18 0 
