# Arp 256 S      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010280 1.341129e-17 3.807200e-26 0 
    0.010471 2.150076e-17 5.883000e-26 0 
    0.010691 3.137009e-17 8.233800e-26 0 
    0.010889 4.639261e-17 1.173800e-25 0 
    0.011092 6.958306e-17 1.696700e-25 0 
    0.011298 1.198074e-16 2.815800e-25 0 
    0.011722 2.352241e-16 5.135700e-25 0 
    0.012106 4.260703e-16 8.721700e-25 0 
    0.012417 1.898955e-15 3.694900e-24 0 
    0.012853 3.187802e-15 5.789000e-24 0 
    0.013032 3.967356e-15 7.008100e-24 0 
    0.013152 4.512978e-15 7.827100e-24 0 
    0.013459 6.173410e-15 1.022400e-23 0 
    0.013552 7.717867e-15 1.260700e-23 0 
    0.013772 9.364540e-15 1.481200e-23 0 
    0.014060 1.420554e-14 2.155800e-23 0 
    0.014388 1.881417e-14 2.726500e-23 0 
    0.014689 5.590659e-14 7.773200e-23 0 
    0.015101 1.619922e-13 2.131100e-22 0 
    0.015524 2.205422e-13 2.745400e-22 0 
    0.015922 2.995560e-13 3.544900e-22 0 
    0.016331 4.069155e-13 4.577200e-22 0 
    0.016634 5.040461e-13 5.465100e-22 0 
    0.017061 6.752906e-13 6.959900e-22 0 
    0.017458 8.759326e-13 8.621900e-22 0 
    0.017783 1.067821e-12 1.013000e-21 0 
    0.018197 1.366135e-12 1.237700e-21 0 
    0.018493 1.627421e-12 1.427600e-21 0 
    0.018707 1.834331e-12 1.572500e-21 0 
    0.019099 2.293564e-12 1.886300e-21 0 
    0.019634 3.016490e-12 2.347500e-21 0 
    0.019907 3.544009e-12 2.682900e-21 0 
    0.020324 4.340074e-12 3.152100e-21 0 
    0.020749 5.314638e-12 3.703400e-21 0 
    0.021038 6.144581e-12 4.164900e-21 0 
    0.021577 7.438053e-12 4.792900e-21 0 
    0.022182 1.012703e-11 6.174500e-21 0 
    0.022594 1.209110e-11 7.105600e-21 0 
    0.022909 1.359850e-11 7.773200e-21 0 
    0.023335 1.616196e-11 8.904300e-21 0 
    0.023605 2.682156e-11 1.444100e-20 0 
    0.024044 4.747857e-11 2.463800e-20 0 
    0.024660 7.054547e-11 3.480200e-20 0 
    0.025293 7.879200e-11 3.694900e-20 0 
    0.025882 9.828226e-11 4.401500e-20 0 
