# CGCG 436-030   
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010520 3.562812e-20 9.657900e-29 0 
    0.010715 5.786486e-20 1.512000e-28 0 
    0.010940 9.596630e-20 2.405500e-28 0 
    0.011143 1.606010e-19 3.880300e-28 0 
    0.011350 3.036647e-19 7.071700e-28 0 
    0.011749 7.190452e-19 1.562700e-27 0 
    0.012162 1.552705e-18 3.149200e-27 0 
    0.012474 8.842268e-18 1.704800e-26 0 
    0.012882 1.709464e-17 3.090400e-26 0 
    0.013092 2.278026e-17 3.987200e-26 0 
    0.013213 2.681310e-17 4.607500e-26 0 
    0.013521 3.998157e-17 6.560900e-26 0 
    0.013614 5.231867e-17 8.468500e-26 0 
    0.013804 6.689590e-17 1.053200e-25 0 
    0.014125 1.134512e-16 1.705900e-25 0 
    0.014421 1.615613e-16 2.330600e-25 0 
    0.014757 5.804925e-16 7.996900e-25 0 
    0.015171 1.849867e-15 2.411200e-24 0 
    0.015560 2.763727e-15 3.424500e-24 0 
    0.015996 4.118858e-15 4.829200e-24 0 
    0.016406 6.082406e-15 6.779400e-24 0 
    0.016711 7.990489e-15 8.584000e-24 0 
    0.017100 1.150536e-14 1.180400e-23 0 
    0.017539 1.615089e-14 1.575100e-23 0 
    0.017824 2.073595e-14 1.958100e-23 0 
    0.018239 2.844696e-14 2.565400e-23 0 
    0.018578 3.584761e-14 3.115900e-23 0 
    0.018750 4.141641e-14 3.534200e-23 0 
    0.019187 5.552179e-14 4.524500e-23 0 
    0.019679 7.863762e-14 6.091800e-23 0 
    0.019999 9.707429e-14 7.281300e-23 0 
    0.020417 1.257106e-13 9.047100e-23 0 
    0.020845 1.628124e-13 1.124100e-22 0 
    0.021135 1.959770e-13 1.316200e-22 0 
    0.021677 2.525045e-13 1.612100e-22 0 
    0.022284 3.708931e-13 2.240700e-22 0 
    0.022699 4.640637e-13 2.702000e-22 0 
    0.023014 5.395309e-13 3.056000e-22 0 
    0.023388 6.673930e-13 3.660300e-22 0 
    0.023714 1.058912e-12 5.649000e-22 0 
    0.024155 1.841257e-12 9.467200e-22 0 
    0.024774 2.897724e-12 1.416400e-21 0 
    0.025351 3.420307e-12 1.596600e-21 0 
    0.026002 4.570688e-12 2.028100e-21 0 
    0.026485 4.593597e-12 1.964600e-21 0 
    0.026792 5.897059e-12 2.464600e-21 0 
    0.027227 7.094084e-12 2.870900e-21 0 
    0.027733 8.356480e-12 3.259500e-21 0 
    0.028249 9.753229e-12 3.666600e-21 0 
    0.028774 1.133068e-11 4.105600e-21 0 
    0.029309 1.322314e-11 4.618000e-21 0 
    0.029923 1.500697e-11 5.028100e-21 0 
    0.030549 1.799725e-11 5.785400e-21 0 
    0.031046 2.015419e-11 6.273000e-21 0 
    0.031769 2.455384e-11 7.298500e-21 0 
    0.032810 3.201320e-11 8.921500e-21 0 
    0.033806 4.032721e-11 1.058600e-20 0 
    0.034834 4.986701e-11 1.232900e-20 0 
    0.035892 6.080902e-11 1.416100e-20 0 
    0.036813 7.300897e-11 1.616200e-20 0 
    0.037757 8.886184e-11 1.870000e-20 0 
    0.038637 1.035568e-10 2.081100e-20 0 
    0.039719 1.181043e-10 2.245900e-20 0 
    0.040738 1.460435e-10 2.640000e-20 0 
    0.041783 1.752395e-10 3.011300e-20 0 
    0.042658 1.986511e-10 3.275000e-20 0 
    0.043551 2.190234e-10 3.464300e-20 0 
    0.044361 2.426943e-10 3.699800e-20 0 
    0.045499 2.864410e-10 4.151000e-20 0 
    0.046559 3.237015e-10 4.479800e-20 0 
    0.047424 3.528437e-10 4.706600e-20 0 
    0.048417 3.970069e-10 5.080700e-20 0 
    0.049545 4.557900e-10 5.570400e-20 0 
    0.050582 4.919047e-10 5.767800e-20 0 
    0.051523 5.677965e-10 6.416700e-20 0 
    0.052240 6.440118e-10 7.079600e-20 0 
    0.052845 1.402162e-09 1.506300e-19 0 
    0.053580 1.593877e-09 1.665600e-19 0 
    0.054702 1.863810e-09 1.868600e-19 0 
    0.055719 1.983947e-09 1.917100e-19 0 
    0.056754 3.152194e-09 2.935900e-19 0 
    0.057810 4.146526e-09 3.722200e-19 0 
    0.058749 5.247347e-09 4.561000e-19 0 
    0.059841 5.456525e-09 4.571300e-19 0 
    0.060813 7.675411e-09 6.226300e-19 0 
    0.061944 8.994962e-09 7.032700e-19 0 
    0.062951 1.177938e-08 8.917400e-19 0 
    0.063973 1.459401e-08 1.069800e-18 0 
    0.065013 1.746750e-08 1.239800e-18 0 
    0.066069 1.889075e-08 1.298300e-18 0 
    0.066988 2.379664e-08 1.590900e-18 0 
    0.067920 2.790788e-08 1.814900e-18 0 
    0.068549 3.087064e-08 1.970900e-18 0 
    0.069663 3.306951e-08 2.044300e-18 0 
    0.070632 3.544599e-08 2.131500e-18 0 
    0.071614 5.101213e-08 2.984000e-18 0 
    0.072778 5.289928e-08 2.996200e-18 0 
    0.073790 6.784063e-08 3.737800e-18 0 
    0.074817 7.577076e-08 4.060900e-18 0 
    0.075858 8.384598e-08 4.371200e-18 0 
    0.076913 1.033773e-07 5.242600e-18 0 
    0.077804 1.182201e-07 5.858800e-18 0 
    0.078886 1.347612e-07 6.496600e-18 0 
    0.079983 1.568208e-07 7.354100e-18 0 
    0.080910 1.797147e-07 8.235700e-18 0 
    0.082035 1.992295e-07 8.881300e-18 0 
    0.082985 2.200240e-07 9.585000e-18 0 
    0.084140 2.416483e-07 1.024000e-17 0 
    0.085114 2.826279e-07 1.170400e-17 0 
    0.086099 2.372716e-07 9.602200e-18 0 
    0.087096 3.290430e-07 1.301300e-17 0 
    0.088105 3.558067e-07 1.375100e-17 0 
    0.089125 4.056626e-07 1.532100e-17 0 
    0.090157 4.603048e-07 1.698900e-17 0 
    0.091201 5.320229e-07 1.918900e-17 0 
    0.092257 5.898936e-07 2.079200e-17 0 
    0.093325 6.089431e-07 2.097500e-17 0 
    0.094406 1.072411e-06 3.609800e-17 0 
    0.095280 8.944827e-06 2.955900e-16 0 
    0.096383 2.095474e-05 6.767100e-16 0 
    0.097499 4.314798e-05 1.361700e-15 0 
    0.098401 6.623328e-05 2.052100e-15 0 
    0.099541 7.323306e-05 2.217300e-15 0 
    0.100462 1.046604e-05 3.111000e-16 0 
    0.101625 5.920148e-05 1.719700e-15 0 
    0.102565 7.068807e-05 2.015900e-15 0 
    0.103753 1.185300e-04 3.303300e-15 0 
    0.104713 1.212781e-04 3.318200e-15 0 
    0.105682 5.391496e-05 1.448200e-15 0 
    0.106660 8.310427e-05 2.191500e-15 0 
    0.107647 1.834477e-04 4.749300e-15 0 
    0.108893 1.869918e-04 4.730900e-15 0 
    0.109901 1.427727e-04 3.546200e-15 0 
    0.110918 1.829960e-04 4.462300e-15 0 
    0.111944 1.400223e-04 3.352100e-15 0 
    0.112980 2.079377e-04 4.887100e-15 0 
    0.114025 2.063673e-04 4.761700e-15 0 
    0.115080 1.996709e-04 4.523100e-15 0 
    0.116145 1.819530e-04 4.046500e-15 0 
    0.116950 2.536182e-04 5.562900e-15 0 
    0.118032 2.332235e-04 5.022200e-15 0 
    0.119124 2.620186e-04 5.539300e-15 0 
    0.120226 2.778789e-04 5.767400e-15 0 
    0.121060 1.857734e-04 3.802800e-15 0 
    0.122180 2.847457e-04 5.722400e-15 0 
    0.123311 1.810937e-04 3.572900e-15 0 
    0.124165 1.227292e-04 2.388200e-15 0 
    0.125314 9.601180e-05 1.834200e-15 0 
    0.126183 2.105439e-04 3.967000e-15 0 
    0.127350 3.512770e-04 6.497900e-15 0 
    0.128529 3.998815e-04 7.261900e-15 0 
    0.129420 3.827045e-04 6.854600e-15 0 
    0.130317 3.249209e-04 5.739800e-15 0 
    0.131522 4.580981e-04 7.944800e-15 0 
    0.132434 4.963879e-04 8.490700e-15 0 
    0.133660 3.731997e-04 6.267000e-15 0 
    0.134586 3.756174e-04 6.221100e-15 0 
    0.135519 5.111335e-04 8.349400e-15 0 
    0.136773 4.972157e-04 7.973800e-15 0 
    0.137721 4.308055e-04 6.814000e-15 0 
    0.138676 5.571743e-04 8.691800e-15 0 
    0.139637 5.478621e-04 8.429300e-15 0 
    0.140605 4.845372e-04 7.352700e-15 0 
    0.141906 5.298664e-04 7.893800e-15 0 
    0.142889 5.467200e-04 8.033200e-15 0 
    0.143880 4.823232e-04 6.989700e-15 0 
    0.144877 5.115453e-04 7.311500e-15 0 
    0.145881 5.265056e-04 7.422100e-15 0 
    0.146893 5.609157e-04 7.798600e-15 0 
    0.147911 5.641083e-04 7.735400e-15 0 
    0.148594 6.104653e-04 8.294300e-15 0 
    0.149279 6.308589e-04 8.492900e-15 0 
    0.149969 6.154730e-04 8.209700e-15 0 
    0.151008 5.683067e-04 7.476600e-15 0 
    0.152055 5.793437e-04 7.517200e-15 0 
    0.153109 6.056960e-04 7.751300e-15 0 
    0.154170 6.317479e-04 7.973800e-15 0 
    0.155239 5.995145e-04 7.463100e-15 0 
    0.155955 5.259624e-04 6.487500e-15 0 
    0.156315 5.794613e-04 7.114500e-15 0 
    0.157398 5.613322e-04 6.797400e-15 0 
    0.158125 4.823178e-04 5.787000e-15 0 
    0.159221 5.577883e-04 6.600700e-15 0 
    0.160325 5.315951e-04 6.204400e-15 0 
    0.161436 5.478318e-04 6.306200e-15 0 
    0.162555 5.952299e-04 6.757800e-15 0 
    0.163305 6.422314e-04 7.224600e-15 0 
    0.164437 6.647667e-04 7.375500e-15 0 
    0.165577 6.646764e-04 7.273300e-15 0 
    0.166725 6.815787e-04 7.355900e-15 0 
    0.167494 6.448080e-04 6.895300e-15 0 
    0.168655 7.051394e-04 7.437000e-15 0 
    0.169824 7.262344e-04 7.554400e-15 0 
    0.170608 6.728588e-04 6.935000e-15 0 
    0.171791 7.545076e-04 7.669800e-15 0 
    0.172584 6.644590e-04 6.692500e-15 0 
    0.172982 7.609560e-04 7.629200e-15 0 
    0.173780 8.149534e-04 8.095700e-15 0 
    0.174985 7.704847e-04 7.548900e-15 0 
    0.175792 7.421417e-04 7.204600e-15 0 
    0.177011 6.999142e-04 6.701400e-15 0 
    0.177828 7.042502e-04 6.681100e-15 0 
    0.179061 7.677341e-04 7.183400e-15 0 
    0.179887 7.565504e-04 7.013900e-15 0 
    0.181134 8.264938e-04 7.557200e-15 0 
    0.181970 7.565125e-04 6.853900e-15 0 
    0.183231 7.836862e-04 7.002700e-15 0 
    0.184077 8.103441e-04 7.174500e-15 0 
    0.184927 8.813963e-04 7.732000e-15 0 
    0.186209 8.899953e-04 7.700300e-15 0 
    0.187068 8.106462e-04 6.949500e-15 0 
    0.188365 8.471415e-04 7.162700e-15 0 
    0.189234 8.153466e-04 6.830700e-15 0 
    0.190108 7.493967e-04 6.220600e-15 0 
    0.191426 7.511269e-04 6.149400e-15 0 
    0.192309 7.834549e-04 6.355300e-15 0 
    0.193197 8.796153e-04 7.069900e-15 0 
    0.194536 8.038246e-04 6.372100e-15 0 
    0.195434 7.715661e-04 6.060300e-15 0 
    0.196336 8.366934e-04 6.511600e-15 0 
    0.197697 8.022272e-04 6.157700e-15 0 
    0.198610 7.987670e-04 6.074900e-15 0 
    0.199526 8.443170e-04 6.362500e-15 0 
    0.200447 8.741209e-04 6.526700e-15 0 
    0.201837 8.186880e-04 6.028900e-15 0 
    0.202768 9.185609e-04 6.702400e-15 0 
    0.203704 9.573524e-04 6.921400e-15 0 
    0.204645 9.015835e-04 6.458400e-15 0 
    0.205589 8.788402e-04 6.237800e-15 0 
    0.206538 9.220940e-04 6.484800e-15 0 
    0.207970 8.872040e-04 6.153800e-15 0 
    0.208930 9.523938e-04 6.545400e-15 0 
    0.209894 8.903761e-04 6.063100e-15 0 
    0.210863 9.382031e-04 6.330200e-15 0 
    0.211836 8.994644e-04 6.013200e-15 0 
    0.212814 9.091625e-04 6.022300e-15 0 
    0.213796 9.823415e-04 6.447400e-15 0 
    0.214289 9.174005e-04 5.993500e-15 0 
    0.214783 9.634921e-04 6.265700e-15 0 
    0.216272 9.112896e-04 5.844900e-15 0 
    0.217270 9.292865e-04 5.905700e-15 0 
    0.218273 9.431905e-04 5.939100e-15 0 
    0.219281 9.660909e-04 6.027500e-15 0 
    0.220293 8.982395e-04 5.552800e-15 0 
    0.221309 9.219885e-04 5.647400e-15 0 
    0.222331 9.683219e-04 5.876800e-15 0 
    0.223357 9.446526e-04 5.680600e-15 0 
    0.224388 9.386073e-04 5.592500e-15 0 
    0.225424 9.154837e-04 5.404700e-15 0 
    0.226464 9.677656e-04 5.661000e-15 0 
    0.227510 9.459115e-04 5.482400e-15 0 
    0.228560 9.054877e-04 5.200000e-15 0 
    0.229615 8.727070e-04 4.965800e-15 0 
    0.230675 9.326462e-04 5.258200e-15 0 
    0.231739 8.963740e-04 5.007400e-15 0 
    0.232809 8.726386e-04 4.830100e-15 0 
    0.233346 9.078326e-04 5.001800e-15 0 
    0.234423 9.426284e-04 5.145900e-15 0 
    0.235505 9.765116e-04 5.282000e-15 0 
    0.236592 9.354484e-04 5.013500e-15 0 
    0.237684 9.383602e-04 4.983000e-15 0 
    0.238781 9.051348e-04 4.762500e-15 0 
    0.239883 6.999251e-04 3.649000e-15 0 
    0.240991 8.677621e-04 4.482500e-15 0 
    0.241546 8.601530e-04 4.422800e-15 0 
    0.242661 9.266632e-04 4.721100e-15 0 
    0.243781 8.735297e-04 4.409600e-15 0 
    0.244906 9.049425e-04 4.526300e-15 0 
    0.246037 8.629353e-04 4.276600e-15 0 
    0.247172 9.361229e-04 4.596800e-15 0 
    0.247742 8.984846e-04 4.391700e-15 0 
    0.248886 9.329629e-04 4.518400e-15 0 
    0.250035 9.845257e-04 4.724400e-15 0 
    0.251189 9.540733e-04 4.536300e-15 0 
    0.252348 1.023160e-03 4.820200e-15 0 
    0.252930 1.011870e-03 4.745100e-15 0 
    0.254097 1.022068e-03 4.749000e-15 0 
    0.255270 9.996404e-04 4.602200e-15 0 
    0.256448 1.054880e-03 4.812000e-15 0 
    0.257040 9.985972e-04 4.534300e-15 0 
    0.258226 1.106010e-03 4.976000e-15 0 
    0.259418 1.021220e-03 4.552400e-15 0 
    0.260615 1.024440e-03 4.524900e-15 0 
    0.261216 1.041543e-03 4.579300e-15 0 
    0.262422 1.025772e-03 4.468600e-15 0 
    0.263633 1.097535e-03 4.737400e-15 0 
    0.264241 1.090454e-03 4.685200e-15 0 
    0.265461 1.164063e-03 4.955600e-15 0 
    0.266686 1.165064e-03 4.914400e-15 0 
    0.267301 1.165585e-03 4.894000e-15 0 
    0.268534 1.140019e-03 4.742800e-15 0 
    0.269774 1.146302e-03 4.725200e-15 0 
    0.270396 1.189833e-03 4.882100e-15 0 
    0.271644 1.213017e-03 4.931600e-15 0 
    0.272898 1.300900e-03 5.240400e-15 0 
    0.273527 1.307477e-03 5.242700e-15 0 
    0.274789 1.232584e-03 4.897100e-15 0 
    0.276058 1.297797e-03 5.108900e-15 0 
    0.276694 1.289442e-03 5.052700e-15 0 
    0.277971 1.269949e-03 4.930700e-15 0 
    0.279254 1.303690e-03 5.015300e-15 0 
    0.279898 1.271662e-03 4.869600e-15 0 
    0.281190 1.293470e-03 4.907700e-15 0 
    0.281838 1.358166e-03 5.129500e-15 0 
    0.283139 1.234075e-03 4.618100e-15 0 
    0.283792 1.248955e-03 4.652300e-15 0 
    0.285102 1.294001e-03 4.775900e-15 0 
    0.286418 1.362496e-03 4.982600e-15 0 
    0.287078 1.347493e-03 4.905100e-15 0 
    0.288403 1.147971e-03 4.140500e-15 0 
    0.289068 1.236303e-03 4.438600e-15 0 
    0.290402 1.414242e-03 5.030900e-15 0 
    0.291072 1.441193e-03 5.103200e-15 0 
    0.292415 1.390365e-03 4.878100e-15 0 
    0.293089 1.381434e-03 4.824500e-15 0 
    0.294442 1.392281e-03 4.817800e-15 0 
    0.295121 1.461942e-03 5.035600e-15 0 
    0.296483 1.453257e-03 4.959800e-15 0 
    0.297852 1.478242e-03 4.998800e-15 0 
    0.298538 1.462005e-03 4.921200e-15 0 
    0.299916 1.553669e-03 5.181800e-15 0 
    0.301995 1.541600e-03 5.071000e-15 0 
    0.304089 1.550940e-03 5.031700e-15 0 
    0.306196 1.589320e-03 5.085500e-15 0 
    0.308319 1.613781e-03 5.092900e-15 0 
    0.310456 1.649947e-03 5.135600e-15 0 
    0.312608 1.675344e-03 5.143100e-15 0 
    0.314775 1.685539e-03 5.103400e-15 0 
    0.316228 1.694969e-03 5.084900e-15 0 
    0.318420 1.725038e-03 5.104100e-15 0 
    0.320627 1.727582e-03 5.041500e-15 0 
    0.322849 1.746155e-03 5.025800e-15 0 
    0.325087 1.777212e-03 5.045000e-15 0 
    0.326588 1.778977e-03 5.003700e-15 0 
    0.328852 1.753189e-03 4.863500e-15 0 
    0.331131 1.813354e-03 4.961400e-15 0 
    0.333426 1.811933e-03 4.889500e-15 0 
    0.334966 1.847522e-03 4.939800e-15 0 
    0.337287 1.884742e-03 4.970200e-15 0 
    0.339625 1.905117e-03 4.955000e-15 0 
    0.341193 1.924728e-03 4.960100e-15 0 
    0.342768 1.958008e-03 4.999600e-15 0 
    0.343558 1.959018e-03 4.979200e-15 0 
    0.344350 1.902251e-03 4.812700e-15 0 
    0.345144 1.979212e-03 4.984400e-15 0 
    0.345939 1.913025e-03 4.795600e-15 0 
    0.346737 1.940657e-03 4.842500e-15 0 
    0.347536 1.906210e-03 4.734700e-15 0 
    0.348337 1.920427e-03 4.748100e-15 0 
    0.349140 1.998123e-03 4.917500e-15 0 
    0.349945 2.036372e-03 4.988600e-15 0 
    0.350752 2.084897e-03 5.084000e-15 0 
    0.351560 1.973844e-03 4.791100e-15 0 
    0.352371 2.039581e-03 4.927900e-15 0 
    0.353183 2.073815e-03 4.987600e-15 0 
    0.353997 2.108615e-03 5.048000e-15 0 
    0.354813 2.104877e-03 5.015900e-15 0 
    0.355631 2.048616e-03 4.859400e-15 0 
    0.356451 2.006997e-03 4.738800e-15 0 
    0.357273 2.006436e-03 4.715700e-15 0 
    0.358096 2.062111e-03 4.824300e-15 0 
    0.358922 2.056820e-03 4.789800e-15 0 
    0.359749 2.089691e-03 4.844000e-15 0 
    0.360579 2.108489e-03 4.865100e-15 0 
    0.361410 2.069412e-03 4.753000e-15 0 
    0.362243 2.068858e-03 4.729900e-15 0 
    0.363078 2.111627e-03 4.805500e-15 0 
    0.363915 2.106188e-03 4.771100e-15 0 
    0.364754 2.154672e-03 4.858500e-15 0 
    0.365595 2.184044e-03 4.902100e-15 0 
    0.366437 2.203650e-03 4.923400e-15 0 
    0.367282 2.213240e-03 4.922100e-15 0 
    0.368129 2.162250e-03 4.786600e-15 0 
    0.368978 2.088279e-03 4.601600e-15 0 
    0.369828 2.078125e-03 4.558200e-15 0 
    0.370681 2.106455e-03 4.599100e-15 0 
    0.371535 2.174885e-03 4.726700e-15 0 
    0.372392 2.174251e-03 4.703600e-15 0 
    0.373250 2.219158e-03 4.778700e-15 0 
    0.374111 2.296541e-03 4.922600e-15 0 
    0.374973 2.248785e-03 4.798100e-15 0 
    0.375054 2.165264e-03 4.617900e-15 1 
    0.375329 2.561943e-03 5.455900e-15 1 
    0.375604 2.079119e-03 4.421200e-15 1 
    0.375879 1.837694e-03 3.902100e-15 1 
    0.376154 1.872126e-03 3.969400e-15 1 
    0.376429 1.715547e-03 3.632100e-15 1 
    0.376704 2.584438e-03 5.463700e-15 1 
    0.376979 2.089490e-03 4.410900e-15 1 
    0.377254 2.846317e-03 5.999800e-15 1 
    0.377529 2.938645e-03 6.185400e-15 1 
    0.377804 1.848858e-03 3.885900e-15 1 
    0.378079 2.384540e-03 5.004500e-15 1 
    0.378354 2.107337e-03 4.416300e-15 1 
    0.378629 2.212091e-03 4.629100e-15 1 
    0.378904 1.771345e-03 3.701400e-15 1 
    0.379179 1.979566e-03 4.130500e-15 1 
    0.379454 2.143750e-03 4.466600e-15 1 
    0.379729 2.454568e-03 5.106800e-15 1 
    0.380004 2.731335e-03 5.674400e-15 1 
    0.380279 1.872727e-03 3.885000e-15 1 
    0.380554 1.751180e-03 3.627600e-15 1 
    0.380829 1.504984e-03 3.113100e-15 1 
    0.381104 2.068028e-03 4.271600e-15 1 
    0.381379 2.324436e-03 4.794300e-15 1 
    0.381654 2.040596e-03 4.202800e-15 1 
    0.381929 1.679933e-03 3.455000e-15 1 
    0.382204 2.255230e-03 4.631500e-15 1 
    0.382479 2.055621e-03 4.215500e-15 1 
    0.382754 2.892606e-03 5.923400e-15 1 
    0.383029 2.003391e-03 4.096600e-15 1 
    0.383304 2.223762e-03 4.540700e-15 1 
    0.383579 2.758937e-03 5.625400e-15 1 
    0.383854 3.824262e-03 7.786400e-15 1 
    0.384129 4.730961e-03 9.618700e-15 1 
    0.384404 7.367635e-03 1.495800e-14 1 
    0.384679 8.841681e-03 1.792500e-14 1 
    0.384954 8.511515e-03 1.723100e-14 1 
    0.385229 5.958810e-03 1.204600e-14 1 
    0.385504 4.012808e-03 8.100500e-15 1 
    0.385779 3.210909e-03 6.472500e-15 1 
    0.386054 2.839516e-03 5.715700e-15 1 
    0.386329 2.593171e-03 5.212400e-15 1 
    0.386604 2.847812e-03 5.716100e-15 1 
    0.386879 2.504318e-03 5.019500e-15 1 
    0.387154 1.985270e-03 3.973500e-15 1 
    0.387429 2.617065e-03 5.230600e-15 1 
    0.387704 2.441206e-03 4.872200e-15 1 
    0.387979 2.635891e-03 5.253300e-15 1 
    0.388254 2.599984e-03 5.174400e-15 1 
    0.388529 2.475457e-03 4.919600e-15 1 
    0.388804 2.944663e-03 5.843800e-15 1 
    0.389079 2.606907e-03 5.166200e-15 1 
    0.389354 2.933393e-03 5.805000e-15 1 
    0.389629 3.545642e-03 7.006700e-15 1 
    0.389904 3.306192e-03 6.524300e-15 1 
    0.390179 3.177343e-03 6.261200e-15 1 
    0.390454 3.918280e-03 7.710400e-15 1 
    0.390729 3.628182e-03 7.129500e-15 1 
    0.391004 3.750911e-03 7.360300e-15 1 
    0.391279 3.566345e-03 6.988300e-15 1 
    0.391554 3.264680e-03 6.388200e-15 1 
    0.391829 2.845268e-03 5.559700e-15 1 
    0.392104 2.851519e-03 5.564100e-15 1 
    0.392379 2.868555e-03 5.589500e-15 1 
    0.392654 3.299237e-03 6.419700e-15 1 
    0.392929 3.064551e-03 5.954700e-15 1 
    0.393204 3.388316e-03 6.574600e-15 1 
    0.393479 3.334379e-03 6.460900e-15 1 
    0.393754 3.131956e-03 6.060200e-15 1 
    0.394029 3.345259e-03 6.463900e-15 1 
    0.394304 3.658238e-03 7.058800e-15 1 
    0.394579 3.549168e-03 6.838800e-15 1 
    0.394854 3.490506e-03 6.716400e-15 1 
    0.395129 2.826834e-03 5.431800e-15 1 
    0.395404 2.897738e-03 5.560300e-15 1 
    0.395679 2.763526e-03 5.295400e-15 1 
    0.395954 2.317411e-03 4.434400e-15 1 
    0.396229 2.392170e-03 4.571100e-15 1 
    0.396504 3.176695e-03 6.061800e-15 1 
    0.396779 3.455877e-03 6.585400e-15 1 
    0.397054 3.215783e-03 6.119400e-15 1 
    0.397329 3.244130e-03 6.164800e-15 1 
    0.397604 3.617971e-03 6.865700e-15 1 
    0.397879 3.799121e-03 7.199500e-15 1 
    0.398154 3.584974e-03 6.784300e-15 1 
    0.398429 4.049814e-03 7.653400e-15 1 
    0.398704 4.034210e-03 7.613400e-15 1 
    0.398979 4.121652e-03 7.767700e-15 1 
    0.399254 3.902948e-03 7.345400e-15 1 
    0.399529 3.795366e-03 7.133100e-15 1 
    0.399804 3.614695e-03 6.784200e-15 1 
    0.400079 3.330702e-03 6.242600e-15 1 
    0.400354 3.963539e-03 7.418500e-15 1 
    0.400629 3.629468e-03 6.783900e-15 1 
    0.400904 3.635470e-03 6.785800e-15 1 
    0.401179 2.827153e-03 5.269800e-15 1 
    0.401454 2.952925e-03 5.496700e-15 1 
    0.401729 3.097646e-03 5.758200e-15 1 
    0.402004 3.269152e-03 6.068700e-15 1 
    0.402279 3.277457e-03 6.075800e-15 1 
    0.402554 3.717691e-03 6.882500e-15 1 
    0.402829 4.072358e-03 7.528800e-15 1 
    0.403104 4.316134e-03 7.968600e-15 1 
    0.403379 3.652564e-03 6.734300e-15 1 
    0.403654 3.911292e-03 7.201500e-15 1 
    0.403929 4.836511e-03 8.892900e-15 1 
    0.404204 4.007951e-03 7.359400e-15 1 
    0.404479 4.248559e-03 7.790600e-15 1 
    0.404754 4.038197e-03 7.394800e-15 1 
    0.405029 4.646291e-03 8.496800e-15 1 
    0.405304 4.069604e-03 7.432100e-15 1 
    0.405579 3.422853e-03 6.242500e-15 1 
    0.405854 3.765661e-03 6.858400e-15 1 
    0.406129 3.853401e-03 7.008700e-15 1 
    0.406404 3.793492e-03 6.890400e-15 1 
    0.406679 3.971403e-03 7.203800e-15 1 
    0.406954 3.929962e-03 7.119000e-15 1 
    0.407229 4.355337e-03 7.878900e-15 1 
    0.407504 4.210217e-03 7.606100e-15 1 
    0.407779 3.888323e-03 7.015100e-15 1 
    0.408054 3.613225e-03 6.510000e-15 1 
    0.408329 3.752039e-03 6.751000e-15 1 
    0.408604 3.452564e-03 6.203800e-15 1 
    0.408879 3.671541e-03 6.588400e-15 1 
    0.409154 3.139439e-03 5.626000e-15 1 
    0.409429 3.387789e-03 6.062900e-15 1 
    0.409704 2.532744e-03 4.526600e-15 1 
    0.409979 2.962123e-03 5.286900e-15 1 
    0.410254 3.109945e-03 5.543300e-15 1 
    0.410529 3.545170e-03 6.310600e-15 1 
    0.410804 3.848795e-03 6.841900e-15 1 
    0.411079 3.800719e-03 6.747400e-15 1 
    0.411354 3.726953e-03 6.607600e-15 1 
    0.411629 4.240084e-03 7.507300e-15 1 
    0.411904 4.304568e-03 7.611300e-15 1 
    0.412179 4.536104e-03 8.010000e-15 1 
    0.412454 3.982696e-03 7.023400e-15 1 
