# Haro 06        
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010069 4.917499e-13 1.455100e-21 0 
    0.010280 6.772577e-13 1.922600e-21 0 
    0.010471 8.428533e-13 2.306200e-21 0 
    0.010666 1.075938e-12 2.837300e-21 0 
    0.010864 1.402037e-12 3.563700e-21 0 
    0.011066 2.088126e-12 5.115600e-21 0 
    0.011482 3.146406e-12 7.159800e-21 0 
    0.011885 4.433798e-12 9.416700e-21 0 
    0.012190 1.720991e-11 3.474500e-20 0 
    0.012589 2.279090e-11 4.314200e-20 0 
    0.012794 2.539759e-11 4.654800e-20 0 
    0.012882 2.727377e-11 4.930600e-20 0 
    0.013183 3.160862e-11 5.456300e-20 0 
    0.013274 3.773832e-11 6.425400e-20 0 
    0.013490 4.128582e-11 6.806100e-20 0 
    0.013804 5.454886e-11 8.588100e-20 0 
    0.014093 6.234251e-11 9.416700e-20 0 
    0.014388 1.658739e-10 2.403800e-19 0 
    0.014791 3.997360e-10 5.481500e-19 0 
    0.015205 4.589316e-10 5.955200e-19 0 
    0.015596 5.318663e-10 6.559900e-19 0 
    0.015996 6.205835e-10 7.276100e-19 0 
    0.016293 6.882983e-10 7.778500e-19 0 
    0.016711 8.031260e-10 8.627800e-19 0 
    0.017100 9.136253e-10 9.373400e-19 0 
    0.017418 1.006405e-09 9.951700e-19 0 
    0.017824 1.158210e-09 1.093700e-18 0 
    0.018113 1.272844e-09 1.163900e-18 0 
    0.018323 1.357589e-09 1.213100e-18 0 
    0.018707 1.537339e-09 1.317900e-18 0 
    0.019231 1.802065e-09 1.461800e-18 0 
    0.019543 1.998761e-09 1.570000e-18 0 
    0.019953 2.258415e-09 1.701800e-18 0 
    0.020324 2.563206e-09 1.861600e-18 0 
    0.020654 2.823441e-09 1.985600e-18 0 
    0.021135 3.167913e-09 2.127600e-18 0 
    0.021727 3.960762e-09 2.517100e-18 0 
    0.022131 4.516272e-09 2.766300e-18 0 
    0.022439 4.895280e-09 2.916700e-18 0 
    0.022856 5.607581e-09 3.220300e-18 0 
    0.023174 8.467957e-09 4.730400e-18 0 
    0.023550 1.418266e-08 7.671800e-18 0 
    0.024155 1.953438e-08 1.004400e-17 0 
    0.024774 2.136877e-08 1.044500e-17 0 
    0.025351 2.640958e-08 1.232800e-17 0 
    0.025882 2.677725e-08 1.199200e-17 0 
    0.026182 3.197387e-08 1.399300e-17 0 
    0.026607 4.362752e-08 1.848800e-17 0 
    0.027102 5.125958e-08 2.093600e-17 0 
    0.027606 5.967429e-08 2.349100e-17 0 
    0.028119 6.036301e-08 2.290300e-17 0 
    0.028576 7.994395e-08 2.937000e-17 0 
    0.029174 9.633285e-08 3.395500e-17 0 
    0.029785 1.044171e-07 3.531000e-17 0 
    0.030269 1.066044e-07 3.490600e-17 0 
    0.030974 1.373333e-07 4.294400e-17 0 
    0.031989 1.757034e-07 5.151100e-17 0 
    0.033037 2.279188e-07 6.264700e-17 0 
    0.034041 2.677808e-07 6.932600e-17 0 
    0.034995 3.103059e-07 7.601500e-17 0 
    0.035975 4.883882e-07 1.132100e-16 0 
    0.036813 8.487599e-07 1.878900e-16 0 
    0.037757 9.857487e-07 2.074400e-16 0 
    0.038726 9.371145e-07 1.874600e-16 0 
    0.039811 1.595059e-06 3.019200e-16 0 
    0.040738 2.263452e-06 4.091600e-16 0 
    0.041687 2.569056e-06 4.435000e-16 0 
    0.042462 2.616845e-06 4.354100e-16 0 
    0.043251 2.784648e-06 4.465800e-16 0 
    0.044361 3.713490e-06 5.661100e-16 0 
    0.045394 4.283263e-06 6.235900e-16 0 
    0.046345 4.234289e-06 5.914200e-16 0 
    0.047315 4.805911e-06 6.440200e-16 0 
    0.048306 5.967304e-06 7.671800e-16 0 
    0.049317 5.659408e-06 6.980700e-16 0 
    0.050350 7.616860e-06 9.013601e-16 0 
    0.050933 7.027089e-06 8.126400e-16 0 
    0.051523 1.142283e-05 1.290900e-15 0 
