# IC 0860        
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010116 1.778794e-21 5.214700e-30 0 
    0.010304 3.342874e-21 9.445600e-30 0 
    0.010520 6.168030e-21 1.672000e-29 0 
    0.010715 1.109421e-20 2.898900e-29 0 
    0.010914 1.959170e-20 4.934300e-29 0 
    0.011117 3.428322e-20 8.322000e-29 0 
    0.011535 9.775641e-20 2.204100e-28 0 
    0.011940 2.588908e-19 5.447900e-28 0 
    0.012246 5.334737e-19 1.067200e-27 0 
    0.012647 1.279626e-18 2.400100e-27 0 
    0.012853 1.945886e-18 3.533700e-27 0 
    0.012942 2.388428e-18 4.277900e-27 0 
    0.013243 4.325967e-18 7.400000e-27 0 
    0.013335 5.261286e-18 8.876200e-27 0 
    0.013552 7.693380e-18 1.256700e-26 0 
    0.013868 1.333941e-17 2.080800e-26 0 
    0.014158 2.254784e-17 3.374600e-26 0 
    0.014454 3.767768e-17 5.410400e-26 0 
    0.014859 7.229175e-17 9.822700e-26 0 
    0.015276 1.336975e-16 1.718800e-25 0 
    0.015668 2.388581e-16 2.919000e-25 0 
    0.016069 4.150340e-16 4.822000e-25 0 
    0.016368 6.181609e-16 6.922000e-25 0 
    0.016788 1.033026e-15 1.099600e-24 0 
    0.017179 1.683058e-15 1.710900e-24 0 
    0.017498 2.393817e-15 2.345500e-24 0 
    0.017906 3.767983e-15 3.525600e-24 0 
    0.018197 5.213213e-15 4.723100e-24 0 
    0.018408 6.458340e-15 5.717800e-24 0 
    0.018793 9.729668e-15 8.264700e-24 0 
    0.019320 1.592711e-14 1.280100e-23 0 
    0.019634 2.118932e-14 1.649000e-23 0 
    0.019999 3.041696e-14 2.281500e-23 0 
    0.020417 4.335975e-14 3.120500e-23 0 
    0.020749 5.611842e-14 3.910500e-23 0 
    0.021232 8.435029e-14 5.613400e-23 0 
    0.021827 1.349263e-13 8.496300e-23 0 
    0.022233 1.820200e-13 1.104700e-22 0 
    0.022542 2.259876e-13 1.334200e-22 0 
    0.022961 2.999811e-13 1.707000e-22 0 
    0.023281 2.965670e-12 1.641500e-21 0 
    0.023659 3.716169e-12 1.991700e-21 0 
    0.024266 5.106214e-12 2.601500e-21 0 
    0.024889 6.872521e-12 3.328300e-21 0 
    0.025468 9.143149e-12 4.228900e-21 0 
    0.026002 1.104393e-11 4.900400e-21 0 
    0.026303 1.294539e-11 5.613400e-21 0 
    0.026669 1.549237e-11 6.534700e-21 0 
    0.027227 1.905931e-11 7.713100e-21 0 
    0.027733 2.323278e-11 9.062100e-21 0 
    0.028184 2.767738e-11 1.045300e-20 0 
    0.028708 3.358133e-11 1.222400e-20 0 
    0.029309 4.131587e-11 1.442900e-20 0 
    0.029923 5.013266e-11 1.679700e-20 0 
    0.030409 5.637940e-11 1.829100e-20 0 
    0.031117 7.113863e-11 2.204100e-20 0 
    0.032137 9.888244e-11 2.872300e-20 0 
    0.033189 1.315533e-10 3.582900e-20 0 
    0.034198 1.710437e-10 4.387600e-20 0 
    0.035156 2.183255e-10 5.299400e-20 0 
    0.036058 2.729683e-10 6.298400e-20 0 
    0.036983 3.389311e-10 7.434100e-20 0 
    0.037931 4.121906e-10 8.594700e-20 0 
    0.038905 5.001687e-10 9.913500e-20 0 
    0.039902 6.181333e-10 1.164700e-19 0 
    0.040926 7.518237e-10 1.346600e-19 0 
    0.041879 8.873315e-10 1.517800e-19 0 
    0.042658 1.014182e-09 1.672000e-19 0 
    0.043451 1.156394e-09 1.837500e-19 0 
    0.044566 1.393534e-09 2.104900e-19 0 
    0.045604 1.629742e-09 2.350900e-19 0 
    0.046559 1.858332e-09 2.571800e-19 0 
    0.047534 2.143494e-09 2.846000e-19 0 
    0.048529 2.466694e-09 3.142200e-19 0 
    0.049545 2.799675e-09 3.421600e-19 0 
    0.050582 3.207043e-09 3.760400e-19 0 
