# IC 4051
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010304 2.375608e-11 6.712500e-20 0 
    0.010495 3.256327e-11 8.869200e-20 0 
    0.010715 4.109094e-11 1.073700e-19 0 
    0.010914 5.256959e-11 1.324000e-19 0 
    0.011117 6.866532e-11 1.666800e-19 0 
    0.011324 1.001756e-10 2.343600e-19 0 
    0.011722 1.512741e-10 3.302800e-19 0 
    0.012134 2.156634e-10 4.394300e-19 0 
    0.012445 8.217828e-10 1.591800e-18 0 
    0.012853 1.078368e-09 1.958300e-18 0 
    0.013062 1.201647e-09 2.112900e-18 0 
    0.013183 1.293588e-09 2.233000e-18 0 
    0.013490 1.492055e-09 2.459700e-18 0 
    0.013583 1.785509e-09 2.903300e-18 0 
    0.013804 1.953332e-09 3.075300e-18 0 
    0.014093 2.563162e-09 3.871600e-18 0 
    0.014421 2.915812e-09 4.206200e-18 0 
    0.014723 8.644657e-09 1.196400e-17 0 
    0.015136 2.348489e-08 3.075300e-17 0 
    0.015560 2.628950e-08 3.257500e-17 0 
    0.015959 2.963314e-08 3.490500e-17 0 
    0.016368 3.347732e-08 3.748700e-17 0 
    0.016672 3.636956e-08 3.925400e-17 0 
    0.017100 4.137699e-08 4.245100e-17 0 
    0.017498 4.589230e-08 4.496600e-17 0 
    0.017824 4.986223e-08 4.708500e-17 0 
    0.018239 5.505098e-08 4.964600e-17 0 
    0.018535 5.898574e-08 5.150900e-17 0 
    0.018750 6.219609e-08 5.307400e-17 0 
    0.019143 6.804326e-08 5.570400e-17 0 
    0.019679 7.634374e-08 5.914100e-17 0 
    0.019953 8.180483e-08 6.164300e-17 0 
    0.020370 8.866372e-08 6.410400e-17 0 
    0.020797 9.699875e-08 6.728000e-17 0 
    0.021086 1.027427e-07 6.932400e-17 0 
    0.021627 1.085813e-07 6.964400e-17 0 
    0.022233 1.269873e-07 7.707000e-17 0 
    0.022646 1.373235e-07 8.033100e-17 0 
    0.022961 1.431351e-07 8.144900e-17 0 
    0.023388 1.551488e-07 8.509100e-17 0 
    0.023659 2.419605e-07 1.296800e-16 0 
    0.024099 4.292991e-07 2.217600e-16 0 
    0.024717 5.479636e-07 2.690800e-16 0 
    0.025293 5.379752e-07 2.522800e-16 0 
    0.025942 5.939787e-07 2.647800e-16 0 
    0.026424 5.173169e-07 2.222700e-16 0 
    0.026792 6.064309e-07 2.534500e-16 0 
    0.027164 6.482548e-07 2.635600e-16 0 
    0.027669 6.664318e-07 2.611500e-16 0 
    0.028184 6.819656e-07 2.575600e-16 0 
    0.028708 6.994829e-07 2.546200e-16 0 
    0.029242 7.190776e-07 2.522800e-16 0 
    0.029854 7.059384e-07 2.376200e-16 0 
    0.030479 7.392120e-07 2.387200e-16 0 
    0.030974 7.494743e-07 2.343600e-16 0 
    0.031696 7.794304e-07 2.327500e-16 0 
    0.032734 8.293881e-07 2.322100e-16 0 
    0.033729 8.585431e-07 2.264000e-16 0 
    0.034754 8.846627e-07 2.197300e-16 0 
    0.035810 9.073525e-07 2.122700e-16 0 
    0.036728 9.284346e-07 2.064800e-16 0 
    0.037670 9.544389e-07 2.017800e-16 0 
    0.038637 9.744616e-07 1.958300e-16 0 
    0.039628 9.633225e-07 1.840300e-16 0 
    0.040644 1.008671e-06 1.831800e-16 0 
    0.041687 1.032199e-06 1.781900e-16 0 
    0.042658 1.046573e-06 1.725400e-16 0 
    0.043451 1.048967e-06 1.666800e-16 0 
    0.044259 1.058698e-06 1.621400e-16 0 
    0.045394 1.075847e-06 1.566300e-16 0 
    0.046452 1.083353e-06 1.506200e-16 0 
    0.047315 1.085849e-06 1.455100e-16 0 
    0.048417 1.098417e-06 1.405700e-16 0 
