# III Zw 035     
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010280 9.721709e-16 2.759800e-24 0 
    0.010471 1.477899e-15 4.043800e-24 0 
    0.010691 2.054040e-15 5.391300e-24 0 
    0.010889 2.900428e-15 7.338500e-24 0 
    0.011092 4.153576e-15 1.012800e-23 0 
    0.011298 6.828146e-15 1.604800e-23 0 
    0.011722 1.239121e-14 2.705400e-23 0 
    0.012134 2.089004e-14 4.256500e-23 0 
    0.012445 8.546169e-14 1.655400e-22 0 
    0.012853 1.335419e-13 2.425100e-22 0 
    0.013062 1.623808e-13 2.855200e-22 0 
    0.013152 1.809031e-13 3.137500e-22 0 
    0.013459 2.367863e-13 3.921500e-22 0 
    0.013552 2.912673e-13 4.757800e-22 0 
    0.013772 3.452906e-13 5.461500e-22 0 
    0.014060 5.012202e-13 7.606400e-22 0 
    0.014388 6.381361e-13 9.247700e-22 0 
    0.014689 1.848258e-12 2.569800e-21 0 
    0.015101 5.112129e-12 6.725300e-21 0 
    0.015524 6.597950e-12 8.213400e-21 0 
    0.015922 8.535684e-12 1.010100e-20 0 
    0.016331 1.099166e-11 1.236400e-20 0 
    0.016634 1.314923e-11 1.425700e-20 0 
    0.017061 1.685437e-11 1.737100e-20 0 
    0.017458 2.096594e-11 2.063700e-20 0 
    0.017783 2.479705e-11 2.352400e-20 0 
    0.018197 3.049273e-11 2.762600e-20 0 
    0.018493 3.548727e-11 3.113000e-20 0 
    0.018707 3.926227e-11 3.365800e-20 0 
    0.019099 4.751274e-11 3.907600e-20 0 
    0.019634 6.005738e-11 4.673800e-20 0 
    0.019953 6.925070e-11 5.218300e-20 0 
    0.020324 8.189427e-11 5.947800e-20 0 
    0.020749 9.750727e-11 6.794600e-20 0 
    0.021086 1.106317e-10 7.464700e-20 0 
    0.021577 1.290195e-10 8.313700e-20 0 
    0.022182 1.691966e-10 1.031600e-19 0 
    0.022594 1.968785e-10 1.157000e-19 0 
    0.022909 2.168041e-10 1.239300e-19 0 
    0.023335 2.522771e-10 1.389900e-19 0 
    0.023605 4.099849e-10 2.207400e-19 0 
    0.024044 7.630719e-10 3.959800e-19 0 
    0.024660 1.079608e-09 5.326000e-19 0 
    0.025293 1.174875e-09 5.509500e-19 0 
    0.025882 1.408374e-09 6.307300e-19 0 
    0.026424 1.316671e-09 5.657200e-19 0 
    0.026730 1.611896e-09 6.768000e-19 0 
    0.027102 1.820430e-09 7.435200e-19 0 
    0.027669 2.008635e-09 7.871100e-19 0 
    0.028184 2.196265e-09 8.294700e-19 0 
    0.028642 2.384936e-09 8.721500e-19 0 
    0.029174 2.601483e-09 9.169600e-19 0 
    0.029785 2.741252e-09 9.269900e-19 0 
    0.030409 3.073789e-09 9.972200e-19 0 
    0.030903 3.269268e-09 1.027000e-18 0 
    0.031623 3.673719e-09 1.102100e-18 0 
    0.032659 4.321549e-09 1.215500e-18 0 
    0.033729 4.944966e-09 1.304000e-18 0 
    0.034754 5.568145e-09 1.383000e-18 0 
    0.035727 6.197863e-09 1.456700e-18 0 
    0.036644 6.852220e-09 1.530900e-18 0 
    0.037584 7.575544e-09 1.608900e-18 0 
    0.038548 8.278714e-09 1.671400e-18 0 
    0.039537 8.780350e-09 1.685100e-18 0 
    0.040551 9.864110e-09 1.799600e-18 0 
    0.041591 1.080382e-08 1.873700e-18 0 
    0.042560 1.161802e-08 1.924200e-18 0 
    0.043351 1.223931e-08 1.953800e-18 0 
    0.044157 1.289430e-08 1.983900e-18 0 
    0.045290 1.402463e-08 2.051200e-18 0 
    0.046345 1.490757e-08 2.082200e-18 0 
    0.047315 1.573813e-08 2.109000e-18 0 
    0.048306 1.665319e-08 2.141000e-18 0 
    0.049317 1.774266e-08 2.188500e-18 0 
    0.050350 1.851653e-08 2.191200e-18 0 
    0.051404 1.972706e-08 2.239700e-18 0 
    0.052000 2.026738e-08 2.248600e-18 0 
    0.052602 2.210625e-08 2.396800e-18 0 
    0.053456 2.302037e-08 2.416800e-18 0 
    0.054450 2.396944e-08 2.425400e-18 0 
    0.055463 2.455891e-08 2.395100e-18 0 
    0.056494 2.610493e-08 2.453800e-18 0 
    0.057544 2.813401e-08 2.548900e-18 0 
    0.058614 3.004319e-08 2.623400e-18 0 
    0.059566 3.078220e-08 2.602700e-18 0 
    0.060674 3.294549e-08 2.684800e-18 0 
    0.061659 3.375394e-08 2.663500e-18 0 
    0.062661 3.295036e-08 2.517600e-18 0 
    0.063680 3.858333e-08 2.854400e-18 0 
    0.064714 4.017036e-08 2.877600e-18 0 
    0.065766 4.201755e-08 2.914400e-18 0 
    0.066834 4.445492e-08 2.985700e-18 0 
    0.067608 4.587449e-08 3.010900e-18 0 
    0.068391 4.821702e-08 3.092600e-18 0 
    0.069343 4.986204e-08 3.110900e-18 0 
    0.070307 5.026942e-08 3.050900e-18 0 
    0.071450 5.672620e-08 3.333500e-18 0 
    0.072444 5.640518e-08 3.224300e-18 0 
    0.073621 6.335318e-08 3.506600e-18 0 
    0.074645 6.611402e-08 3.559700e-18 0 
    0.075509 6.868729e-08 3.614100e-18 0 
    0.076560 7.402794e-08 3.788900e-18 0 
    0.077625 7.814453e-08 3.890600e-18 0 
    0.078524 7.897231e-08 3.842300e-18 0 
    0.079616 8.809746e-08 4.169500e-18 0 
    0.080724 9.320789e-08 4.291100e-18 0 
    0.081658 9.817562e-08 4.417000e-18 0 
    0.082794 1.038646e-07 4.545600e-18 0 
    0.083753 1.083984e-07 4.636000e-18 0 
    0.084723 1.173720e-07 4.905500e-18 0 
    0.085704 1.057069e-07 4.317400e-18 0 
    0.086896 1.275098e-07 5.066000e-18 0 
    0.087902 1.330651e-07 5.166400e-18 0 
    0.088920 1.430835e-07 5.428900e-18 0 
    0.089950 1.538531e-07 5.704600e-18 0 
    0.090991 1.669588e-07 6.049700e-18 0 
    0.092045 1.778727e-07 6.298400e-18 0 
    0.092897 1.822682e-07 6.336200e-18 0 
    0.093972 2.692757e-07 9.147900e-18 0 
    0.095060 1.587395e-06 5.270000e-17 0 
    0.096161 3.549591e-06 1.151600e-16 0 
    0.097051 6.946123e-06 2.212400e-16 0 
    0.098175 1.014402e-05 3.157400e-16 0 
    0.099083 1.185162e-05 3.621600e-16 0 
    0.100231 2.061759e-06 6.156800e-17 0 
    0.101158 1.090934e-05 3.198300e-16 0 
    0.102329 1.183667e-05 3.391200e-16 0 
    0.103276 1.748964e-05 4.919300e-16 0 
    0.104232 1.699540e-05 4.693000e-16 0 
    0.105196 7.309224e-06 1.981500e-16 0 
    0.106414 1.253975e-05 3.322100e-16 0 
    0.107399 2.482119e-05 6.455700e-16 0 
    0.108393 2.513904e-05 6.419000e-16 0 
    0.109396 2.050549e-05 5.140300e-16 0 
    0.110408 2.496781e-05 6.144700e-16 0 
    0.111429 2.027188e-05 4.898000e-16 0 
    0.112461 2.737799e-05 6.494100e-16 0 
    0.113501 2.850377e-05 6.637800e-16 0 
    0.114551 2.899991e-05 6.630100e-16 0 
    0.115611 2.753510e-05 6.180300e-16 0 
    0.116681 3.486390e-05 7.682400e-16 0 
    0.117761 3.227465e-05 6.982000e-16 0 
    0.118577 3.535608e-05 7.543700e-16 0 
    0.119674 3.757819e-05 7.871500e-16 0 
    0.120781 2.763123e-05 5.682300e-16 0 
    0.121619 3.614126e-05 7.330300e-16 0 
    0.122744 2.352118e-05 4.683600e-16 0 
    0.123880 1.749473e-05 3.420000e-16 0 
    0.124738 1.131077e-05 2.180800e-16 0 
    0.125893 2.420678e-05 4.582000e-16 0 
    0.126765 3.958367e-05 7.389900e-16 0 
    0.127938 4.818887e-05 8.832200e-16 0 
    0.128825 4.892355e-05 8.843800e-16 0 
    0.130017 4.073290e-05 7.228800e-16 0 
    0.130918 6.130808e-05 1.073100e-15 0 
    0.132130 6.932706e-05 1.191300e-15 0 
    0.133045 5.840790e-05 9.899100e-16 0 
    0.133968 5.395475e-05 9.018800e-16 0 
    0.135207 7.301404e-05 1.198200e-15 0 
    0.136144 7.412221e-05 1.199700e-15 0 
    0.137088 6.629586e-05 1.058300e-15 0 
    0.138038 8.299501e-05 1.306700e-15 0 
    0.139316 8.173755e-05 1.263400e-15 0 
    0.140281 7.395278e-05 1.127400e-15 0 
    0.141254 8.193906e-05 1.232000e-15 0 
    0.142233 8.452863e-05 1.253500e-15 0 
    0.143219 8.044681e-05 1.176600e-15 0 
    0.144212 8.337558e-05 1.202700e-15 0 
    0.145546 8.382365e-05 1.187100e-15 0 
    0.146555 8.951469e-05 1.250300e-15 0 
    0.147571 8.777663e-05 1.209200e-15 0 
    0.148252 9.573170e-05 1.306700e-15 0 
    0.148594 1.008990e-04 1.370900e-15 0 
    0.149624 9.963113e-05 1.335100e-15 0 
    0.150661 9.286810e-05 1.227400e-15 0 
    0.151705 9.275574e-05 1.209100e-15 0 
    0.152405 9.794947e-05 1.265100e-15 0 
    0.153462 1.036304e-04 1.320100e-15 0 
    0.154525 1.023171e-04 1.285500e-15 0 
