# II Zw 096      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010568 6.990960e-15 1.877900e-23 0 
    0.010765 9.450827e-15 2.446600e-23 0 
    0.010990 1.313162e-14 3.261700e-23 0 
    0.011194 1.854356e-14 4.439600e-23 0 
    0.011402 2.972145e-14 6.858500e-23 0 
    0.011803 5.127102e-14 1.104100e-22 0 
    0.012218 8.235254e-14 1.655000e-22 0 
    0.012531 3.788565e-13 7.238100e-22 0 
    0.012942 5.601045e-13 1.003200e-21 0 
    0.013152 6.548838e-13 1.135800e-21 0 
    0.013274 7.245894e-13 1.233700e-21 0 
    0.013583 8.993657e-13 1.462400e-21 0 
    0.013677 1.108831e-12 1.778300e-21 0 
    0.013900 1.264173e-12 1.962900e-21 0 
    0.014191 1.797357e-12 2.677500e-21 0 
    0.014521 2.184926e-12 3.108600e-21 0 
    0.014825 6.656789e-12 9.086500e-21 0 
    0.015241 1.730159e-11 2.234500e-20 0 
    0.015631 2.127202e-11 2.611900e-20 0 
    0.016069 2.639881e-11 3.067100e-20 0 
    0.016482 3.261416e-11 3.601700e-20 0 
    0.016788 3.768912e-11 4.011800e-20 0 
    0.017219 4.634497e-11 4.689300e-20 0 
    0.017620 5.530820e-11 5.344400e-20 0 
    0.017906 6.318554e-11 5.912100e-20 0 
    0.018323 7.488397e-11 6.691400e-20 0 
    0.018664 8.476624e-11 7.300200e-20 0 
    0.018836 9.143183e-11 7.731100e-20 0 
    0.019275 1.071207e-10 8.649800e-20 0 
    0.019770 1.290127e-10 9.902400e-20 0 
    0.020091 1.450308e-10 1.077900e-19 0 
    0.020512 1.664316e-10 1.186700e-19 0 
    0.020941 1.918549e-10 1.312500e-19 0 
    0.021232 2.117398e-10 1.409100e-19 0 
    0.021777 2.379725e-10 1.505400e-19 0 
    0.022387 2.979836e-10 1.783700e-19 0 
    0.022803 3.380369e-10 1.950300e-19 0 
    0.023121 3.646018e-10 2.046100e-19 0 
    0.023496 4.098141e-10 2.227000e-19 0 
    0.023823 6.101383e-10 3.225200e-19 0 
    0.024266 9.709362e-10 4.946700e-19 0 
    0.024889 1.339278e-09 6.486000e-19 0 
    0.025468 1.394855e-09 6.451500e-19 0 
    0.026122 1.652719e-09 7.266200e-19 0 
    0.026607 1.506315e-09 6.383300e-19 0 
    0.026915 1.827028e-09 7.566200e-19 0 
    0.027353 2.039532e-09 8.177900e-19 0 
    0.027861 2.199074e-09 8.499000e-19 0 
    0.028379 2.349392e-09 8.751500e-19 0 
    0.028907 2.515841e-09 9.032300e-19 0 
    0.029444 2.700084e-09 9.343400e-19 0 
    0.030061 2.792923e-09 9.272000e-19 0 
    0.030690 3.059873e-09 9.746100e-19 0 
    0.031189 3.187422e-09 9.830100e-19 0 
    0.031915 3.515754e-09 1.035500e-18 0 
    0.032961 4.003847e-09 1.105600e-18 0 
    0.033963 4.445533e-09 1.156200e-18 0 
    0.034995 4.856962e-09 1.189800e-18 0 
    0.036058 5.293896e-09 1.221500e-18 0 
    0.036983 5.744973e-09 1.260100e-18 0 
    0.037931 6.364119e-09 1.327000e-18 0 
    0.038815 6.765155e-09 1.347100e-18 0 
    0.039902 7.025183e-09 1.323700e-18 0 
    0.040926 7.909056e-09 1.416600e-18 0 
    0.041976 8.720649e-09 1.484800e-18 0 
    0.042855 9.142351e-09 1.493400e-18 0 
    0.043752 9.453142e-09 1.481500e-18 0 
    0.044566 9.820081e-09 1.483300e-18 0 
    0.045709 1.067778e-08 1.533200e-18 0 
    0.046774 1.124387e-08 1.541800e-18 0 
    0.047643 1.149303e-08 1.519000e-18 0 
    0.048641 1.210261e-08 1.534600e-18 0 
    0.049774 1.303882e-08 1.578900e-18 0 
    0.050816 1.320313e-08 1.533900e-18 0 
    0.051761 1.439267e-08 1.611600e-18 0 
    0.052481 1.583972e-08 1.725300e-18 0 
    0.053088 3.559652e-08 3.789100e-18 0 
    0.053827 3.890460e-08 4.028300e-18 0 
    0.054954 4.328885e-08 4.300300e-18 0 
    0.055976 4.373373e-08 4.187300e-18 0 
    0.057016 6.795522e-08 6.271200e-18 0 
    0.058076 8.563145e-08 7.616600e-18 0 
    0.059020 1.040190e-07 8.958500e-18 0 
    0.060117 1.031571e-07 8.563000e-18 0 
    0.061094 1.405900e-07 1.130000e-17 0 
    0.062230 1.582462e-07 1.225900e-17 0 
    0.063241 2.007977e-07 1.506200e-17 0 
    0.064269 2.388808e-07 1.735000e-17 0 
    0.065313 2.764373e-07 1.944100e-17 0 
    0.066374 2.864168e-07 1.950400e-17 0 
    0.067298 3.487346e-07 2.310000e-17 0 
    0.068234 3.999090e-07 2.576800e-17 0 
    0.068865 4.301347e-07 2.721000e-17 0 
    0.069984 4.446024e-07 2.723300e-17 0 
    0.070958 4.596486e-07 2.738700e-17 0 
    0.071945 6.469414e-07 3.749600e-17 0 
    0.073114 6.489449e-07 3.641900e-17 0 
    0.074131 8.047105e-07 4.393000e-17 0 
    0.075162 8.710696e-07 4.625700e-17 0 
    0.076208 9.428929e-07 4.870600e-17 0 
    0.077268 1.132037e-06 5.688300e-17 0 
    0.078163 1.259953e-06 6.186900e-17 0 
    0.079250 1.398744e-06 6.681300e-17 0 
    0.080353 1.585312e-06 7.366000e-17 0 
    0.081283 1.776559e-06 8.066800e-17 0 
    0.082414 1.913982e-06 8.453900e-17 0 
    0.083368 2.067251e-06 8.923100e-17 0 
    0.084528 2.216850e-06 9.308000e-17 0 
    0.085507 2.530248e-06 1.038200e-16 0 
    0.086497 2.058798e-06 8.255300e-17 0 
    0.087498 2.812012e-06 1.101900e-16 0 
    0.088512 2.974712e-06 1.139100e-16 0 
    0.089536 3.325592e-06 1.244500e-16 0 
    0.090573 3.700585e-06 1.353300e-16 0 
    0.091622 4.194497e-06 1.499000e-16 0 
    0.092683 4.571672e-06 1.596600e-16 0 
    0.093756 4.607230e-06 1.572400e-16 0 
    0.094842 8.050529e-06 2.685000e-16 0 
    0.095940 6.701785e-05 2.184300e-15 0 
    0.096828 1.522920e-04 4.873000e-15 0 
    0.097949 3.062183e-04 9.575300e-15 0 
    0.098855 4.618394e-04 1.417800e-14 0 
    0.100000 4.930000e-04 1.479000e-14 0 
    0.100925 6.796682e-05 2.001800e-15 0 
    0.102094 3.712044e-04 1.068400e-14 0 
    0.103039 4.467649e-04 1.262400e-14 0 
    0.104232 7.540555e-04 2.082200e-14 0 
    0.105196 7.670719e-04 2.079500e-14 0 
    0.106170 3.429790e-04 9.128200e-15 0 
    0.107152 5.043080e-04 1.317700e-14 0 
    0.108393 1.116786e-03 2.851600e-14 0 
    0.109396 1.117843e-03 2.802200e-14 0 
    0.110408 8.313529e-04 2.046000e-14 0 
    0.111429 1.059742e-03 2.560500e-14 0 
    0.112461 7.899614e-04 1.873800e-14 0 
    0.113501 1.177544e-03 2.742200e-14 0 
    0.114551 1.151756e-03 2.633200e-14 0 
    0.115611 1.095826e-03 2.459600e-14 0 
    0.116681 9.797417e-04 2.158900e-14 0 
    0.117490 1.372936e-03 2.983800e-14 0 
    0.118577 1.244542e-03 2.655400e-14 0 
    0.119674 1.387884e-03 2.907200e-14 0 
    0.120781 1.454477e-03 2.991100e-14 0 
    0.121619 9.423461e-04 1.911300e-14 0 
    0.122744 1.457292e-03 2.901800e-14 0 
    0.123880 9.075775e-04 1.774200e-14 0 
    0.124738 5.975393e-04 1.152100e-14 0 
    0.125893 4.860534e-04 9.200300e-15 0 
    0.127057 1.049488e-03 1.950300e-14 0 
    0.127938 1.735677e-03 3.181200e-14 0 
    0.129122 1.953293e-03 3.514700e-14 0 
    0.130017 1.845963e-03 3.276000e-14 0 
    0.130918 1.551298e-03 2.715300e-14 0 
    0.132130 2.177578e-03 3.741900e-14 0 
    0.133045 2.341131e-03 3.967800e-14 0 
    0.134277 1.720633e-03 2.862900e-14 0 
    0.135207 1.722368e-03 2.826500e-14 0 
    0.136144 2.352733e-03 3.808000e-14 0 
    0.137404 2.263695e-03 3.597000e-14 0 
    0.138357 1.928623e-03 3.022500e-14 0 
    0.139316 2.504207e-03 3.870700e-14 0 
    0.140281 2.443905e-03 3.725700e-14 0 
    0.141579 2.144373e-03 3.209400e-14 0 
    0.142561 2.326583e-03 3.434300e-14 0 
    0.143549 2.382983e-03 3.469300e-14 0 
    0.144544 2.072582e-03 2.976000e-14 0 
