# IRAS 08572+3915
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010593 1.366289e-15 3.652800e-24 0 
    0.010789 2.076970e-15 5.352900e-24 0 
    0.011015 2.873464e-15 7.104900e-24 0 
    0.011220 4.021505e-15 9.583500e-24 0 
    0.011429 5.746064e-15 1.319700e-23 0 
    0.011641 9.190033e-15 2.034500e-23 0 
    0.012078 1.630285e-14 3.352700e-23 0 
    0.012503 2.686758e-14 5.156100e-23 0 
    0.012794 1.178051e-13 2.159100e-22 0 
    0.013243 1.782591e-13 3.049300e-22 0 
    0.013428 2.099303e-13 3.492800e-22 0 
    0.013552 2.328277e-13 3.803200e-22 0 
    0.013868 2.937709e-13 4.582500e-22 0 
    0.013964 3.630645e-13 5.585800e-22 0 
    0.014191 4.187522e-13 6.238100e-22 0 
    0.014488 5.996555e-13 8.570500e-22 0 
    0.014825 7.375838e-13 1.006800e-21 0 
    0.015136 2.310993e-12 3.026200e-21 0 
    0.015560 6.850686e-12 8.488600e-21 0 
    0.015996 8.485314e-12 9.948700e-21 0 
    0.016406 1.055812e-11 1.176800e-20 0 
    0.016827 1.316827e-11 1.395200e-20 0 
    0.017140 1.536369e-11 1.568900e-20 0 
    0.017579 1.907176e-11 1.851500e-20 0 
    0.017989 2.287450e-11 2.120600e-20 0 
    0.018323 2.644004e-11 2.362600e-20 0 
    0.018750 3.149297e-11 2.687400e-20 0 
    0.019055 3.574167e-11 2.953100e-20 0 
    0.019275 3.891483e-11 3.142300e-20 0 
    0.019679 4.561055e-11 3.533300e-20 0 
    0.020230 5.558609e-11 4.074700e-20 0 
    0.020512 6.250966e-11 4.457100e-20 0 
    0.020941 7.208628e-11 4.931500e-20 0 
    0.021380 8.352212e-11 5.481600e-20 0 
    0.021677 9.262675e-11 5.913700e-20 0 
    0.022233 1.046282e-10 6.350000e-20 0 
    0.022856 1.326034e-10 7.615100e-20 0 
    0.023281 1.508309e-10 8.348500e-20 0 
    0.023605 1.634720e-10 8.801500e-20 0 
    0.024044 1.859426e-10 9.649100e-20 0 
    0.024322 3.001377e-10 1.522100e-19 0 
    0.024774 5.179036e-10 2.531500e-19 0 
    0.025410 7.147546e-10 3.321000e-19 0 
    0.026062 7.482600e-10 3.304900e-19 0 
    0.026669 8.809601e-10 3.715900e-19 0 
    0.027227 8.088180e-10 3.273200e-19 0 
    0.027542 9.790252e-10 3.871900e-19 0 
    0.027925 1.088271e-09 4.186700e-19 0 
    0.028445 1.171333e-09 4.343000e-19 0 
    0.028973 1.254787e-09 4.484400e-19 0 
    0.029512 1.344295e-09 4.630400e-19 0 
    0.030061 1.443482e-09 4.792100e-19 0 
    0.030690 1.486971e-09 4.736200e-19 0 
    0.031333 1.633840e-09 4.992600e-19 0 
    0.031842 1.710505e-09 5.061100e-19 0 
    0.032584 1.883698e-09 5.322600e-19 0 
    0.033651 2.151918e-09 5.701000e-19 0 
    0.034754 2.397000e-09 5.953600e-19 0 
    0.035810 2.627206e-09 6.146200e-19 0 
    0.036813 2.853187e-09 6.316100e-19 0 
    0.037757 3.084409e-09 6.490800e-19 0 
    0.038726 3.373082e-09 6.747500e-19 0 
    0.039719 3.612912e-09 6.870400e-19 0 
    0.040738 3.738546e-09 6.758100e-19 0 
    0.041783 4.164186e-09 7.155700e-19 0 
