# IRAS 17208-0014
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010641 2.989258e-26 7.919900e-35 0 
    0.010839 5.735565e-26 1.464600e-34 0 
    0.011066 1.118353e-25 2.739800e-34 0 
    0.011272 2.185736e-25 5.160800e-34 0 
    0.011482 4.882339e-25 1.111000e-33 0 
    0.011885 1.558117e-24 3.309200e-33 0 
    0.012303 4.493840e-24 8.906700e-33 0 
    0.012618 2.720064e-23 5.125300e-32 0 
    0.013032 6.943907e-23 1.226600e-31 0 
    0.013243 1.065532e-22 1.822700e-31 0 
    0.013335 1.335326e-22 2.252800e-31 0 
    0.013646 2.446843e-22 3.942000e-31 0 
    0.013772 3.361928e-22 5.317600e-31 0 
    0.013964 4.904731e-22 7.546000e-31 0 
    0.014289 9.763674e-22 1.434600e-30 0 
    0.014588 1.669493e-21 2.353500e-30 0 
    0.014928 6.160258e-21 8.293100e-30 0 
    0.015346 2.369127e-20 3.018000e-29 0 
    0.015740 4.381333e-20 5.305400e-29 0 
    0.016181 8.065075e-20 9.241000e-29 0 
    0.016596 1.454164e-19 1.583900e-28 0 
    0.016904 2.216049e-19 2.326600e-28 0 
    0.017298 3.851171e-19 3.861200e-28 0 
    0.017742 6.465447e-19 6.161900e-28 0 
    0.018030 9.431681e-19 8.704000e-28 0 
    0.018450 1.529655e-18 1.348100e-27 0 
    0.018750 2.165742e-18 1.848100e-27 0 
    0.018967 2.726403e-18 2.273600e-27 0 
    0.019409 4.261838e-18 3.394000e-27 0 
    0.019907 7.254461e-18 5.491800e-27 0 
    0.020230 9.967491e-18 7.306600e-27 0 
    0.020654 1.484525e-17 1.044000e-26 0 
    0.021086 2.195827e-17 1.481600e-26 0 
    0.021380 2.908098e-17 1.908600e-26 0 
    0.021878 4.391426e-17 2.752400e-26 0 
    0.022542 7.737136e-17 4.567900e-26 0 
    0.022961 1.087875e-16 6.190400e-26 0 
    0.023281 1.375934e-16 7.615800e-26 0 
    0.023659 1.899226e-16 1.017900e-25 0 
    0.023988 3.536557e-16 1.843800e-25 0 
    0.024378 7.220982e-16 3.645200e-25 0 
    0.025003 1.335300e-15 6.407900e-25 0 
    0.025645 1.830635e-15 8.350600e-25 0 
    0.026303 2.783534e-15 1.207000e-24 0 
    0.026792 3.080368e-15 1.287400e-24 0 
    0.027102 4.261920e-15 1.740700e-24 0 
    0.027542 5.579475e-15 2.206600e-24 0 
    0.028054 7.270817e-15 2.771500e-24 0 
    0.028576 9.367079e-15 3.441300e-24 0 
    0.029107 1.195622e-14 4.233700e-24 0 
    0.029648 1.526127e-14 5.208600e-24 0 
    0.030269 1.930154e-14 6.320000e-24 0 
    0.030832 2.550366e-14 8.048600e-24 0 
    0.031405 3.087399e-14 9.391100e-24 0 
    0.032137 4.232704e-14 1.229500e-23 0 
    0.033189 6.480182e-14 1.764900e-23 0 
    0.034198 9.453485e-14 2.425000e-23 0 
    0.035237 1.338412e-13 3.233800e-23 0 
    0.036308 1.864650e-13 4.243400e-23 0 
    0.037239 2.509543e-13 5.429000e-23 0 
    0.038194 3.377420e-13 6.945700e-23 0 
    0.039084 4.371161e-13 8.584600e-23 0 
    0.040179 5.579739e-13 1.036900e-22 0 
    0.041210 7.596336e-13 1.341900e-22 0 
    0.042267 9.968071e-13 1.673900e-22 0 
    0.043152 1.234817e-12 1.989400e-22 0 
    0.044055 1.477693e-12 2.284100e-22 0 
    0.044875 1.760367e-12 2.622500e-22 0 
