# Mrk 0475       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010023 5.605028e-15 1.673800e-23 0 
    0.010209 7.508621e-15 2.161300e-23 0 
    0.010423 9.496492e-15 2.622400e-23 0 
    0.010617 1.220652e-14 3.248700e-23 0 
    0.010814 1.572371e-14 4.033700e-23 0 
    0.011015 2.341835e-14 5.790400e-23 0 
    0.011429 3.652584e-14 8.388900e-23 0 
    0.011830 5.377303e-14 1.152700e-22 0 
    0.012134 1.229109e-13 2.504400e-22 0 
    0.012531 1.780570e-13 3.401800e-22 0 
    0.012735 2.121209e-13 3.923800e-22 0 
    0.012823 2.315055e-13 4.223800e-22 0 
    0.013122 2.955186e-13 5.148800e-22 0 
    0.013213 3.338791e-13 5.737300e-22 0 
    0.013428 3.904879e-13 6.496900e-22 0 
    0.013740 5.123381e-13 8.141500e-22 0 
    0.014028 6.376417e-13 9.720900e-22 0 
    0.014322 9.696007e-13 1.418100e-21 0 
    0.014723 1.460719e-12 2.021600e-21 0 
    0.015136 1.899379e-12 2.487200e-21 0 
    0.015524 2.446738e-12 3.045800e-21 0 
    0.015922 3.123075e-12 3.695800e-21 0 
    0.016218 3.720292e-12 4.243300e-21 0 
    0.016634 4.683623e-12 5.078200e-21 0 
    0.017022 5.802407e-12 6.007700e-21 0 
    0.017338 6.801116e-12 6.787400e-21 0 
    0.017742 8.328936e-12 7.937900e-21 0 
    0.018030 9.628897e-12 8.886000e-21 0 
    0.018239 1.060690e-11 9.565500e-21 0 
    0.018621 1.275200e-11 1.103300e-20 0 
    0.019143 1.590779e-11 1.302300e-20 0 
    0.019454 1.813824e-11 1.437800e-20 0 
    0.019861 2.145727e-11 1.631900e-20 0 
    0.020230 2.503673e-11 1.835300e-20 0 
    0.020559 2.822184e-11 2.003100e-20 0 
    0.021038 3.346479e-11 2.268300e-20 0 
    0.021627 4.203152e-11 2.695900e-20 0 
    0.022029 4.825916e-11 2.983400e-20 0 
    0.022336 5.328385e-11 3.204100e-20 0 
    0.022751 6.089485e-11 3.529400e-20 0 
    0.023067 1.673270e-10 9.434200e-20 0 
    0.023442 2.452357e-10 1.338800e-19 0 
    0.024044 3.108904e-10 1.613300e-19 0 
    0.024660 3.408488e-10 1.681500e-19 0 
    0.025235 3.860101e-10 1.818500e-19 0 
    0.025763 3.771990e-10 1.704900e-19 0 
    0.026062 4.341171e-10 1.917400e-19 0 
    0.026424 4.727002e-10 2.031000e-19 0 
    0.026977 5.123662e-10 2.112100e-19 0 
    0.027479 5.502884e-10 2.186300e-19 0 
    0.027925 5.869077e-10 2.257900e-19 0 
    0.028445 6.289275e-10 2.331900e-19 0 
    0.029040 6.631037e-10 2.358900e-19 0 
    0.029648 7.237426e-10 2.470100e-19 0 
    0.030130 7.474661e-10 2.470100e-19 0 
    0.030832 8.233569e-10 2.598400e-19 0 
    0.031842 9.388159e-10 2.777800e-19 0 
    0.032885 1.043718e-09 2.895400e-19 0 
    0.033884 1.152335e-09 3.011000e-19 0 
    0.034834 1.263562e-09 3.124000e-19 0 
    0.035810 1.388663e-09 3.248700e-19 0 
    0.036644 1.522626e-09 3.401800e-19 0 
    0.037584 1.654198e-09 3.513200e-19 0 
