# Mrk 33    
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010257 1.170172e-12 3.336800e-21 0 
    0.010447 1.479790e-12 4.067600e-21 0 
    0.010641 1.915036e-12 5.073800e-21 0 
    0.010839 2.518777e-12 6.431800e-21 0 
    0.011041 3.865688e-12 9.513300e-21 0 
    0.011455 6.014552e-12 1.375100e-20 0 
    0.011858 8.774668e-12 1.872100e-20 0 
    0.012162 3.185827e-11 6.461500e-20 0 
    0.012560 4.407478e-11 8.381700e-20 0 
    0.012764 5.048773e-11 9.296800e-20 0 
    0.012853 5.472953e-11 9.938800e-20 0 
    0.013152 6.579397e-11 1.141100e-19 0 
    0.013274 7.874337e-11 1.340700e-19 0 
    0.013459 8.815104e-11 1.459900e-19 0 
    0.013772 1.183591e-10 1.872100e-19 0 
    0.014060 1.396964e-10 2.120000e-19 0 
    0.014355 3.558074e-10 5.180000e-19 0 
    0.014757 8.535096e-10 1.175800e-18 0 
    0.015171 1.019145e-09 1.328400e-18 0 
    0.015560 1.219607e-09 1.511200e-18 0 
    0.015959 1.459542e-09 1.719200e-18 0 
    0.016293 1.664269e-09 1.880800e-18 0 
    0.016672 1.977839e-09 2.134700e-18 0 
    0.017100 2.313158e-09 2.373200e-18 0 
    0.017378 2.595445e-09 2.578300e-18 0 
    0.017783 3.000650e-09 2.846600e-18 0 
    0.018072 3.335973e-09 3.064300e-18 0 
    0.018281 3.582681e-09 3.216100e-18 0 
    0.018707 4.113568e-09 3.526400e-18 0 
    0.019187 4.833077e-09 3.938500e-18 0 
    0.019498 5.360298e-09 4.229900e-18 0 
    0.019907 6.042610e-09 4.574400e-18 0 
    0.020277 6.811085e-09 4.969700e-18 0 
    0.020606 7.467850e-09 5.276300e-18 0 
    0.021086 8.226200e-09 5.550500e-18 0 
    0.021727 1.012071e-08 6.431800e-18 0 
    0.022080 1.122562e-08 6.907700e-18 0 
    0.022387 1.200070e-08 7.183500e-18 0 
    0.022803 1.340275e-08 7.732700e-18 0 
    0.023121 2.124424e-08 1.192200e-17 0 
    0.023496 3.734148e-08 2.029200e-17 0 
    0.024099 5.060759e-08 2.614200e-17 0 
    0.024717 5.226507e-08 2.566500e-17 0 
    0.025293 5.973213e-08 2.801100e-17 0 
    0.025823 5.323950e-08 2.395200e-17 0 
    0.026122 6.430095e-08 2.827000e-17 0 
    0.026546 7.099283e-08 3.022300e-17 0 
    0.027040 7.520241e-08 3.085600e-17 0 
    0.027542 7.928742e-08 3.135700e-17 0 
    0.028054 8.340650e-08 3.179300e-17 0 
    0.028510 8.794443e-08 3.245900e-17 0 
    0.029107 8.916682e-08 3.157400e-17 0 
    0.029717 9.621082e-08 3.268400e-17 0 
    0.030269 9.890207e-08 3.238400e-17 0 
    0.030974 1.069558e-07 3.344500e-17 0 
    0.031915 1.189041e-07 3.502100e-17 0 
    0.032961 1.291835e-07 3.567200e-17 0 
    0.033963 1.384298e-07 3.600300e-17 0 
    0.034995 1.476479e-07 3.616900e-17 0 
    0.035892 1.571132e-07 3.658800e-17 0 
    0.036813 1.695171e-07 3.752600e-17 0 
    0.037670 1.779131e-07 3.761300e-17 0 
    0.038726 1.824789e-07 3.650300e-17 0 
    0.039719 2.024007e-07 3.848900e-17 0 
    0.040738 2.193860e-07 3.965800e-17 0 
    0.041591 2.313161e-07 4.011700e-17 0 
    0.042364 2.399944e-07 4.011700e-17 0 
    0.043251 2.518891e-07 4.039600e-17 0 
    0.044361 2.800385e-07 4.269100e-17 0 
    0.045290 3.014489e-07 4.408900e-17 0 
    0.046238 3.163813e-07 4.439500e-17 0 
    0.047206 3.453064e-07 4.648700e-17 0 
    0.048195 3.928403e-07 5.073800e-17 0 
    0.049204 4.104056e-07 5.085500e-17 0 
    0.050234 4.934111e-07 5.865900e-17 0 
    0.050816 5.142927e-07 5.974900e-17 0 
    0.051404 8.039062e-07 9.127100e-17 0 
    0.052240 8.714027e-07 9.579300e-17 0 
    0.053211 9.510708e-07 1.007700e-16 0 
    0.054200 9.598641e-07 9.802400e-17 0 
    0.055208 1.162071e-06 1.143800e-16 0 
    0.056234 1.556677e-06 1.476800e-16 0 
    0.057280 1.910853e-06 1.747200e-16 0 
    0.058210 2.075849e-06 1.837900e-16 0 
    0.059293 2.495884e-06 2.129800e-16 0 
    0.060256 2.542276e-06 2.100600e-16 0 
    0.061235 2.859040e-06 2.287400e-16 0 
    0.062230 3.838882e-06 2.973900e-16 0 
    0.063241 4.199661e-06 3.150200e-16 0 
    0.064269 4.934163e-06 3.583700e-16 0 
    0.065313 5.510829e-06 3.875600e-16 0 
    0.066069 5.743907e-06 3.947600e-16 0 
    0.066834 6.717447e-06 4.511600e-16 0 
    0.067764 7.624491e-06 4.981200e-16 0 
    0.068865 7.554625e-06 4.779000e-16 0 
    0.069823 9.687448e-06 5.961200e-16 0 
    0.070795 9.082791e-06 5.436700e-16 0 
    0.071945 1.225213e-05 7.101200e-16 0 
    0.072946 1.352735e-05 7.626600e-16 0 
    0.073790 1.469632e-05 8.097200e-16 0 
    0.074817 1.604025e-05 8.596700e-16 0 
    0.075858 1.750711e-05 9.127100e-16 0 
    0.076913 1.775058e-05 9.001900e-16 0 
    0.077804 2.099946e-05 1.040700e-15 0 
    0.078886 2.178673e-05 1.050300e-15 0 
    0.079799 2.467129e-05 1.162300e-15 0 
