# NGC 4559  
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010233 7.523722e-10 2.155500e-18 0 
    0.010423 9.213306e-10 2.544200e-18 0 
    0.010617 1.151930e-09 3.065800e-18 0 
    0.010839 1.480493e-09 3.780500e-18 0 
    0.011041 2.145099e-09 5.279000e-18 0 
    0.011429 3.100576e-09 7.121100e-18 0 
    0.011830 4.230562e-09 9.068800e-18 0 
    0.012134 1.568336e-08 3.195600e-17 0 
    0.012531 2.006321e-08 3.833100e-17 0 
    0.012735 2.200029e-08 4.069600e-17 0 
    0.012823 2.341035e-08 4.271200e-17 0 
    0.013122 2.657245e-08 4.629700e-17 0 
    0.013243 3.157897e-08 5.401900e-17 0 
    0.013428 3.391954e-08 5.643500e-17 0 
    0.013740 4.379243e-08 6.959000e-17 0 
    0.014028 4.880000e-08 7.439600e-17 0 
    0.014355 1.325692e-07 1.930000e-16 0 
    0.014723 3.368338e-07 4.661700e-16 0 
    0.015136 3.736367e-07 4.892700e-16 0 
    0.015524 4.182461e-07 5.206500e-16 0 
    0.015959 4.736294e-07 5.578900e-16 0 
    0.016255 5.133364e-07 5.828400e-16 0 
    0.016634 5.773228e-07 6.259600e-16 0 
    0.017061 6.359660e-07 6.554600e-16 0 
    0.017338 6.861638e-07 6.847800e-16 0 
    0.017742 7.506420e-07 7.154000e-16 0 
    0.018030 8.006093e-07 7.388400e-16 0 
    0.018239 8.383615e-07 7.560500e-16 0 
    0.018664 9.150324e-07 7.880400e-16 0 
    0.019143 1.010290e-06 8.270800e-16 0 
    0.019454 1.082542e-06 8.581200e-16 0 
    0.019861 1.165272e-06 8.862300e-16 0 
    0.020277 1.263087e-06 9.216100e-16 0 
    0.020559 1.334842e-06 9.474300e-16 0 
    0.021038 1.391349e-06 9.430800e-16 0 
    0.021677 1.615960e-06 1.031700e-15 0 
    0.022080 1.735432e-06 1.067900e-15 0 
    0.022336 1.792370e-06 1.077800e-15 0 
    0.022751 1.929470e-06 1.118300e-15 0 
    0.023067 3.043712e-06 1.716100e-15 0 
    0.023442 5.005095e-06 2.732400e-15 0 
    0.024044 6.389123e-06 3.315500e-15 0 
    0.024660 6.243321e-06 3.080000e-15 0 
    0.025293 6.877373e-06 3.225100e-15 0 
    0.025763 5.948589e-06 2.688700e-15 0 
    0.026062 6.957331e-06 3.072900e-15 0 
    0.026485 7.471901e-06 3.195600e-15 0 
    0.026977 7.645588e-06 3.151700e-15 0 
    0.027479 7.788055e-06 3.094200e-15 0 
    0.027990 7.932853e-06 3.037700e-15 0 
    0.028445 8.099272e-06 3.003000e-15 0 
    0.029107 7.969210e-06 2.821900e-15 0 
    0.029648 8.249453e-06 2.815500e-15 0 
    0.030200 8.306860e-06 2.732400e-15 0 
