# NGC 4569       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010000 3.304800e-11 9.914400e-20 0 
    0.010186 4.689708e-11 1.356000e-19 0 
    0.010399 6.125365e-11 1.699300e-19 0 
    0.010593 8.094200e-11 2.164000e-19 0 
    0.010789 1.089178e-10 2.807100e-19 0 
    0.010990 1.641120e-10 4.076300e-19 0 
    0.011402 2.630923e-10 6.071100e-19 0 
    0.011803 3.954848e-10 8.516600e-19 0 
    0.012078 1.560020e-09 3.208200e-18 0 
    0.012503 2.163590e-09 4.152100e-18 0 
    0.012677 2.450075e-09 4.573700e-18 0 
    0.012794 2.667816e-09 4.889500e-18 0 
    0.013092 3.177993e-09 5.562400e-18 0 
    0.013183 3.847454e-09 6.641500e-18 0 
    0.013397 4.296921e-09 7.182300e-18 0 
    0.013677 5.809346e-09 9.316800e-18 0 
    0.013996 6.794703e-09 1.040600e-17 0 
    0.014289 2.075648e-08 3.049800e-17 0 
    0.014689 5.903737e-08 8.208500e-17 0 
    0.015101 6.841586e-08 9.000500e-17 0 
    0.015488 7.964035e-08 9.960100e-17 0 
    0.015885 9.292592e-08 1.104800e-16 0 
    0.016181 1.035517e-07 1.186500e-16 0 
    0.016596 1.213808e-07 1.322100e-16 0 
    0.016982 1.380804e-07 1.436400e-16 0 
    0.017298 1.531612e-07 1.535600e-16 0 
    0.017701 1.734360e-07 1.660600e-16 0 
    0.017989 1.897399e-07 1.759000e-16 0 
    0.018197 2.019015e-07 1.829200e-16 0 
    0.018578 2.265398e-07 1.969100e-16 0 
    0.019099 2.613104e-07 2.149100e-16 0 
    0.019364 2.845356e-07 2.276500e-16 0 
    0.019770 3.156137e-07 2.422500e-16 0 
    0.020184 3.516895e-07 2.589800e-16 0 
    0.020464 3.785450e-07 2.711800e-16 0 
    0.020989 4.093774e-07 2.787800e-16 0 
    0.021577 4.921819e-07 3.171500e-16 0 
    0.021979 5.422050e-07 3.367200e-16 0 
    0.022284 5.716425e-07 3.453500e-16 0 
    0.022699 6.297320e-07 3.666600e-16 0 
    0.022961 1.000288e-06 5.692000e-16 0 
    0.023388 1.778803e-06 9.755800e-16 0 
    0.023988 2.323371e-06 1.211300e-15 0 
    0.024604 2.345152e-06 1.162200e-15 0 
    0.025177 2.631241e-06 1.245300e-15 0 
    0.025704 2.345029e-06 1.064800e-15 0 
    0.026002 2.755124e-06 1.222500e-15 0 
    0.026363 2.986217e-06 1.289000e-15 0 
    0.026853 3.112677e-06 1.295000e-15 0 
    0.027353 3.237154e-06 1.298000e-15 0 
    0.027861 3.374036e-06 1.304000e-15 0 
    0.028379 3.508718e-06 1.307000e-15 0 
    0.028973 3.500443e-06 1.251000e-15 0 
    0.029580 3.725066e-06 1.277200e-15 0 
    0.030061 3.829425e-06 1.271300e-15 0 
    0.030761 4.056527e-06 1.286100e-15 0 
    0.031769 4.407143e-06 1.310000e-15 0 
    0.032810 4.700700e-06 1.310000e-15 0 
    0.033806 4.933283e-06 1.295000e-15 0 
    0.034754 5.142180e-06 1.277200e-15 0 
    0.035645 5.359671e-06 1.265500e-15 0 
    0.036559 5.612217e-06 1.259700e-15 0 
    0.037497 5.809695e-06 1.239600e-15 0 
    0.038459 5.836508e-06 1.183800e-15 0 
    0.039446 6.224985e-06 1.200200e-15 0 
    0.040458 6.473741e-06 1.186500e-15 0 
    0.041400 6.639881e-06 1.162200e-15 0 
    0.042170 6.747498e-06 1.138300e-15 0 
    0.042954 6.872797e-06 1.117500e-15 0 
    0.044055 7.097663e-06 1.097100e-15 0 
    0.045082 7.229877e-06 1.067200e-15 0 
    0.045920 7.331061e-06 1.043000e-15 0 
    0.046989 7.501198e-06 1.019200e-15 0 
    0.047973 7.693610e-06 1.002900e-15 0 
    0.048978 7.729397e-06 9.666400e-16 0 
    0.050003 7.964039e-06 9.555699e-16 0 
    0.050582 7.964049e-06 9.338200e-16 0 
    0.051168 8.282126e-06 9.490000e-16 0 
    0.052000 8.416831e-06 9.338200e-16 0 
    0.052966 8.455467e-06 9.042000e-16 0 
    0.053951 8.416708e-06 8.674900e-16 0 
    0.054954 8.514122e-06 8.457900e-16 0 
    0.055976 8.793224e-06 8.419100e-16 0 
    0.057016 9.060154e-06 8.361100e-16 0 
    0.057943 9.039552e-06 8.077300e-16 0 
    0.059020 9.271313e-06 7.984800e-16 0 
    0.059979 9.186286e-06 7.660600e-16 0 
    0.060954 8.416844e-06 6.796200e-16 0 
    0.061944 9.597125e-06 7.503500e-16 0 
    0.062951 9.619370e-06 7.282200e-16 0 
    0.063973 9.820606e-06 7.198900e-16 0 
    0.065013 9.934412e-06 7.051200e-16 0 
    0.065766 9.911696e-06 6.874900e-16 0 
    0.066374 1.009581e-05 6.874900e-16 0 
    0.067453 1.023638e-05 6.749400e-16 0 
    0.068391 1.004940e-05 6.445600e-16 0 
    0.069502 1.057145e-05 6.565400e-16 0 
    0.070469 1.033102e-05 6.241200e-16 0 
    0.071614 1.089273e-05 6.371800e-16 0 
    0.072611 1.099374e-05 6.255500e-16 0 
    0.073451 1.112082e-05 6.183900e-16 0 
    0.074473 1.130173e-05 6.113200e-16 0 
    0.075509 1.148532e-05 6.043200e-16 0 
    0.076384 1.086795e-05 5.588100e-16 0 
    0.077446 1.186161e-05 5.932900e-16 0 
    0.078524 1.191645e-05 5.797800e-16 0 
    0.079433 1.222212e-05 5.811200e-16 0 
    0.080353 1.244941e-05 5.784500e-16 0 
    0.081470 1.268046e-05 5.731400e-16 0 
    0.082414 1.306613e-05 5.771200e-16 0 
    0.083368 1.205424e-05 5.203100e-16 0 
    0.084528 1.343209e-05 5.639800e-16 0 
    0.085507 1.358784e-05 5.575300e-16 0 
    0.086497 1.403273e-05 5.626800e-16 0 
    0.087498 1.452579e-05 5.692000e-16 0 
    0.088512 1.507125e-05 5.771200e-16 0 
    0.089331 1.545784e-05 5.811200e-16 0 
    0.090365 1.552897e-05 5.705100e-16 0 
    0.091411 2.051836e-05 7.366600e-16 0 
    0.092470 8.131147e-05 2.852800e-15 0 
    0.093325 1.679347e-04 5.784500e-15 0 
    0.094406 3.155914e-04 1.062300e-14 0 
    0.095499 4.582829e-04 1.507500e-14 0 
    0.096383 5.059781e-04 1.634000e-14 0 
    0.097499 9.314033e-05 2.939400e-15 0 
    0.098401 4.160358e-04 1.289000e-14 0 
    0.099312 4.657577e-04 1.416700e-14 0 
    0.100462 7.230011e-04 2.149100e-14 0 
    0.101391 7.213570e-04 2.105100e-14 0 
    0.102329 3.251943e-04 9.316800e-15 0 
    0.103514 5.071480e-04 1.419900e-14 0 
    0.104472 1.023625e-03 2.813600e-14 0 
    0.105439 1.018945e-03 2.749600e-14 0 
    0.106414 7.909394e-04 2.095400e-14 0 
    0.107399 9.775527e-04 2.542500e-14 0 
    0.108393 7.588316e-04 1.937600e-14 0 
    0.109396 1.066941e-03 2.674600e-14 0 
    0.110408 1.042645e-03 2.566000e-14 0 
    0.111429 1.004944e-03 2.428100e-14 0 
    0.112461 9.081310e-04 2.154100e-14 0 
    0.113501 1.213787e-03 2.826600e-14 0 
    0.114288 1.109552e-03 2.548400e-14 0 
    0.115345 1.210973e-03 2.730600e-14 0 
    0.116413 1.268059e-03 2.807100e-14 0 
    0.117490 8.612714e-04 1.871800e-14 0 
    0.118304 1.265130e-03 2.711800e-14 0 
    0.119399 8.533714e-04 1.795800e-14 0 
    0.120504 6.097459e-04 1.259700e-14 0 
    0.121339 4.520057e-04 9.210100e-15 0 
    0.122462 9.250114e-04 1.850400e-14 0 
    0.123311 1.442606e-03 2.846200e-14 0 
    0.124451 1.614887e-03 3.128000e-14 0 
    0.125314 1.545758e-03 2.953000e-14 0 
    0.126474 1.340117e-03 2.513400e-14 0 
    0.127350 1.791173e-03 3.313300e-14 0 
    0.128529 1.919314e-03 3.485500e-14 0 
    0.129420 1.486410e-03 2.662300e-14 0 
    0.130317 1.486423e-03 2.625800e-14 0 
    0.131522 1.945971e-03 3.374900e-14 0 
    0.132434 1.879922e-03 3.215600e-14 0 
    0.133352 1.656286e-03 2.794200e-14 0 
    0.134277 2.051850e-03 3.414000e-14 0 
    0.135519 2.014378e-03 3.290500e-14 0 
    0.136458 1.803609e-03 2.905800e-14 0 
    0.137404 1.928137e-03 3.063800e-14 0 
    0.138357 1.973098e-03 3.092200e-14 0 
    0.139316 1.706629e-03 2.637900e-14 0 
    0.140281 1.791161e-03 2.730600e-14 0 
    0.141254 1.888589e-03 2.839600e-14 0 
    0.142233 1.977640e-03 2.932700e-14 0 
    0.143549 2.005132e-03 2.919200e-14 0 
    0.144212 2.138705e-03 3.085100e-14 0 
    0.144544 2.188469e-03 3.142400e-14 0 
    0.145546 2.143572e-03 3.035700e-14 0 
    0.146218 1.982184e-03 2.781400e-14 0 
    0.147231 2.018993e-03 2.794200e-14 0 
    0.148252 2.094786e-03 2.859300e-14 0 
    0.149279 2.163426e-03 2.912500e-14 0 
    0.150314 2.061278e-03 2.736900e-14 0 
    0.151008 1.841376e-03 2.422500e-14 0 
    0.151705 2.000489e-03 2.607700e-14 0 
    0.152405 1.950473e-03 2.519200e-14 0 
    0.153462 1.698782e-03 2.164000e-14 0 
    0.154525 1.871317e-03 2.351100e-14 0 
    0.155239 1.795306e-03 2.234900e-14 0 
    0.156315 1.879981e-03 2.308200e-14 0 
    0.157398 2.042379e-03 2.473200e-14 0 
    0.158489 2.183407e-03 2.607700e-14 0 
    0.159221 2.244606e-03 2.656200e-14 0 
    0.160325 2.239513e-03 2.613800e-14 0 
    0.161436 2.275871e-03 2.619800e-14 0 
    0.162555 2.188446e-03 2.484600e-14 0 
    0.163305 2.361231e-03 2.656200e-14 0 
    0.164437 2.433017e-03 2.699400e-14 0 
    0.165196 2.281056e-03 2.507600e-14 0 
    0.166341 2.524273e-03 2.736900e-14 0 
    0.167109 2.254977e-03 2.422500e-14 0 
    0.167494 2.595017e-03 2.775000e-14 0 
    0.168267 2.729826e-03 2.892400e-14 0 
    0.169434 2.601030e-03 2.718100e-14 0 
    0.170216 2.524363e-03 2.613800e-14 0 
    0.171396 2.421806e-03 2.473200e-14 0 
    0.172187 2.433043e-03 2.461900e-14 0 
    0.173380 2.649343e-03 2.644000e-14 0 
    0.174181 2.619067e-03 2.589800e-14 0 
    0.175388 2.838826e-03 2.768600e-14 0 
    0.176198 2.637231e-03 2.548400e-14 0 
    0.177419 2.723643e-03 2.595800e-14 0 
    0.178238 2.819268e-03 2.662300e-14 0 
    0.179473 3.063009e-03 2.852800e-14 0 
    0.180302 3.070024e-03 2.833100e-14 0 
    0.181552 2.865091e-03 2.607700e-14 0 
    0.182390 2.965785e-03 2.674600e-14 0 
    0.183231 2.884980e-03 2.577900e-14 0 
    0.184502 2.686288e-03 2.367400e-14 0 
    0.185353 2.748802e-03 2.400300e-14 0 
    0.186209 2.878387e-03 2.490400e-14 0 
    0.187499 3.148794e-03 2.687000e-14 0 
    0.188365 2.931826e-03 2.478900e-14 0 
    0.189234 2.871684e-03 2.405800e-14 0 
    0.190546 3.091365e-03 2.554300e-14 0 
    0.191426 3.007122e-03 2.461900e-14 0 
    0.192309 2.952210e-03 2.394800e-14 0 
    0.193197 3.048961e-03 2.450600e-14 0 
    0.194536 3.297244e-03 2.613800e-14 0 
    0.195434 3.119977e-03 2.450600e-14 0 
    0.196336 3.476500e-03 2.705600e-14 0 
    0.197242 3.590358e-03 2.768600e-14 0 
    0.198153 3.476489e-03 2.656200e-14 0 
    0.199526 3.452510e-03 2.601700e-14 0 
    0.200447 3.573922e-03 2.668500e-14 0 
    0.201372 3.508715e-03 2.595800e-14 0 
    0.202302 3.665614e-03 2.687000e-14 0 
    0.203236 3.565712e-03 2.589800e-14 0 
    0.204174 3.759613e-03 2.705600e-14 0 
    0.205116 3.524840e-03 2.513400e-14 0 
    0.206538 3.623650e-03 2.548400e-14 0 
    0.207014 4.000781e-03 2.800700e-14 0 
    0.207491 4.103335e-03 2.859300e-14 0 
    0.208449 4.427365e-03 3.056800e-14 0 
    0.209411 4.218363e-03 2.885800e-14 0 
    0.210378 4.247674e-03 2.879200e-14 0 
    0.211349 4.406984e-03 2.959800e-14 0 
    0.212324 4.407016e-03 2.932700e-14 0 
    0.213304 4.170098e-03 2.749600e-14 0 
    0.214289 4.458045e-03 2.912500e-14 0 
    0.215278 4.657325e-03 3.014800e-14 0 
    0.216272 4.468280e-03 2.865900e-14 0 
    0.217270 4.519999e-03 2.872500e-14 0 
    0.218273 4.678871e-03 2.946200e-14 0 
    0.219281 4.888236e-03 3.049800e-14 0 
    0.220293 4.810033e-03 2.973500e-14 0 
    0.221309 4.457948e-03 2.730600e-14 0 
    0.222331 4.509597e-03 2.736900e-14 0 
    0.223357 5.036728e-03 3.028800e-14 0 
    0.224388 4.888143e-03 2.912500e-14 0 
    0.225424 4.530414e-03 2.674600e-14 0 
    0.226464 4.625308e-03 2.705600e-14 0 
    0.227510 4.865688e-03 2.820100e-14 0 
    0.228560 5.261928e-03 3.021800e-14 0 
    0.229087 4.865676e-03 2.781400e-14 0 
    0.230144 5.166329e-03 2.926200e-14 0 
    0.231207 4.869191e-03 2.732600e-14 0 
    0.232274 3.969550e-03 2.207300e-14 0 
    0.233346 4.395596e-03 2.421800e-14 0 
    0.234423 4.123942e-03 2.251300e-14 0 
    0.235505 4.859449e-03 2.628500e-14 0 
    0.236048 4.214373e-03 2.269100e-14 0 
    0.237137 4.518774e-03 2.410700e-14 0 
    0.238232 4.020677e-03 2.125300e-14 0 
    0.239332 4.381142e-03 2.294600e-14 0 
    0.240436 4.313936e-03 2.238700e-14 0 
    0.241546 4.562148e-03 2.345800e-14 0 
    0.242103 5.288143e-03 2.706600e-14 0 
    0.243220 5.243191e-03 2.659000e-14 0 
    0.244343 5.713426e-03 2.870900e-14 0 
    0.245471 5.823542e-03 2.899400e-14 0 
    0.246037 5.601836e-03 2.776200e-14 0 
    0.247172 5.390527e-03 2.647000e-14 0 
    0.248313 5.057299e-03 2.460600e-14 0 
    0.249460 4.822018e-03 2.324600e-14 0 
    0.250035 6.016893e-03 2.887300e-14 0 
    0.251189 4.706324e-03 2.237700e-14 0 
    0.251768 4.707762e-03 2.228100e-14 0 
    0.252348 4.698699e-03 2.213600e-14 0 
    0.253513 5.179426e-03 2.417700e-14 0 
    0.254097 5.241195e-03 2.435300e-14 0 
    0.255270 6.378566e-03 2.936600e-14 0 
    0.256448 5.821569e-03 2.655600e-14 0 
    0.257040 6.429669e-03 2.919500e-14 0 
    0.258226 6.229975e-03 2.802900e-14 0 
    0.259418 6.036603e-03 2.691000e-14 0 
    0.260016 5.740622e-03 2.547300e-14 0 
    0.261216 5.601085e-03 2.462600e-14 0 
    0.262422 6.317933e-03 2.752300e-14 0 
    0.263027 7.686485e-03 3.333100e-14 0 
    0.264241 9.205504e-03 3.955200e-14 0 
    0.265461 1.082318e-02 4.607600e-14 0 
    0.266072 8.366000e-03 3.545200e-14 0 
    0.267301 9.200832e-03 3.863200e-14 0 
    0.268534 9.820731e-03 4.085700e-14 0 
    0.269154 8.556830e-03 3.543500e-14 0 
    0.270396 9.585732e-03 3.933200e-14 0 
    0.271019 8.218221e-03 3.356600e-14 0 
    0.272270 7.800059e-03 3.156600e-14 0 
    0.273527 8.678026e-03 3.479700e-14 0 
    0.274157 6.540102e-03 2.610400e-14 0 
    0.275423 7.343543e-03 2.904200e-14 0 
    0.276058 8.299816e-03 3.267300e-14 0 
    0.277332 8.879611e-03 3.463500e-14 0 
    0.277971 7.203684e-03 2.796900e-14 0 
    0.279254 5.307510e-03 2.041800e-14 0 
    0.280543 5.810481e-03 2.214800e-14 0 
    0.281190 8.657398e-03 3.284800e-14 0 
    0.282488 1.073276e-02 4.034900e-14 0 
    0.283139 1.054098e-02 3.944600e-14 0 
    0.284446 9.554606e-03 3.542700e-14 0 
    0.285102 7.751432e-03 2.860900e-14 0 
    0.286418 1.142122e-02 4.176700e-14 0 
    0.287078 1.287880e-02 4.688100e-14 0 
    0.288403 1.216786e-02 4.388700e-14 0 
    0.289068 1.316381e-02 4.726100e-14 0 
    0.291072 1.625155e-02 5.754600e-14 0 
    0.293089 1.504530e-02 5.254400e-14 0 
    0.294442 1.461320e-02 5.056700e-14 0 
    0.296483 1.567677e-02 5.350300e-14 0 
    0.298538 1.602437e-02 5.393900e-14 0 
    0.300608 1.668412e-02 5.538900e-14 0 
    0.302691 1.729118e-02 5.661700e-14 0 
    0.304789 1.800331e-02 5.814000e-14 0 
    0.306902 1.900543e-02 6.053400e-14 0 
    0.309030 1.942747e-02 6.102900e-14 0 
    0.310456 2.083413e-02 6.484800e-14 0 
    0.312608 2.038518e-02 6.258000e-14 0 
    0.314775 2.064698e-02 6.251400e-14 0 
    0.316957 2.199878e-02 6.569300e-14 0 
    0.318420 1.998761e-02 5.914000e-14 0 
    0.320627 2.204513e-02 6.433300e-14 0 
    0.322849 1.962748e-02 5.649200e-14 0 
    0.325087 2.474111e-02 7.023300e-14 0 
    0.326588 2.778379e-02 7.814700e-14 0 
    0.328852 2.762854e-02 7.664400e-14 0 
    0.330370 2.733593e-02 7.513700e-14 0 
    0.331894 2.761257e-02 7.520200e-14 0 
    0.332660 3.001209e-02 8.136100e-14 0 
    0.333426 2.887271e-02 7.791300e-14 0 
    0.334195 2.835827e-02 7.617300e-14 0 
    0.334966 2.696930e-02 7.210900e-14 0 
    0.335738 3.013419e-02 8.020100e-14 0 
    0.336512 2.973389e-02 7.877200e-14 0 
    0.337287 2.423483e-02 6.390900e-14 0 
    0.338065 2.550526e-02 6.695000e-14 0 
    0.338844 3.074829e-02 8.034200e-14 0 
    0.339625 3.228626e-02 8.397300e-14 0 
    0.340408 3.084662e-02 7.986000e-14 0 
    0.341193 3.093162e-02 7.971200e-14 0 
    0.341979 3.400896e-02 8.724000e-14 0 
    0.342768 3.190007e-02 8.145400e-14 0 
    0.343558 3.295968e-02 8.377300e-14 0 
