# NGC 4660
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010046 2.266879e-09 6.738500e-18 0 
    0.010233 2.769798e-09 7.935300e-18 0 
    0.010447 3.136351e-09 8.621100e-18 0 
    0.010641 3.676267e-09 9.740100e-18 0 
    0.010839 4.339464e-09 1.108100e-17 0 
    0.011041 6.301608e-09 1.550800e-17 0 
    0.011429 8.212208e-09 1.886100e-17 0 
    0.011830 1.019574e-08 2.185600e-17 0 
    0.012134 2.738110e-08 5.579100e-17 0 
    0.012531 3.399507e-08 6.494800e-17 0 
    0.012735 3.744903e-08 6.927300e-17 0 
    0.012853 3.966883e-08 7.203800e-17 0 
    0.013152 4.533447e-08 7.862600e-17 0 
    0.013243 5.109960e-08 8.741100e-17 0 
    0.013459 5.552265e-08 9.195300e-17 0 
    0.013740 6.751673e-08 1.072900e-16 0 
    0.014060 7.645743e-08 1.160300e-16 0 
    0.014355 1.372331e-07 1.997900e-16 0 
    0.014757 2.395750e-07 3.300400e-16 0 
    0.015171 2.750864e-07 3.585600e-16 0 
    0.015560 3.165636e-07 3.922500e-16 0 
    0.015959 3.651316e-07 4.300900e-16 0 
    0.016255 4.031017e-07 4.576800e-16 0 
    0.016672 4.628239e-07 4.995300e-16 0 
    0.017061 5.205343e-07 5.364900e-16 0 
    0.017378 5.733776e-07 5.695900e-16 0 
    0.017783 6.433592e-07 6.103300e-16 0 
    0.018072 6.973612e-07 6.405700e-16 0 
    0.018281 7.403644e-07 6.646100e-16 0 
    0.018664 8.212115e-07 7.072400e-16 0 
    0.019187 9.342313e-07 7.613100e-16 0 
    0.019454 1.007998e-06 7.990300e-16 0 
    0.019861 1.112875e-06 8.463800e-16 0 
    0.020277 1.223068e-06 8.924100e-16 0 
    0.020559 1.310524e-06 9.301700e-16 0 
    0.021086 1.420470e-06 9.584400e-16 0 
    0.021677 1.665142e-06 1.063100e-15 0 
    0.022080 1.817336e-06 1.118300e-15 0 
    0.022387 1.916170e-06 1.147000e-15 0 
    0.022803 2.086494e-06 1.203800e-15 0 
    0.023067 3.239165e-06 1.826300e-15 0 
    0.023496 5.590181e-06 3.037800e-15 0 
    0.024099 7.824216e-06 4.041700e-15 0 
    0.024717 7.896475e-06 3.877600e-15 0 
    0.025293 8.819398e-06 4.135800e-15 0 
    0.025763 7.352604e-06 3.323300e-15 0 
    0.026122 9.235499e-06 4.060400e-15 0 
    0.026485 1.007968e-05 4.310900e-15 0 
    0.026977 1.050592e-05 4.330800e-15 0 
    0.027479 1.090056e-05 4.330800e-15 0 
    0.027990 1.123166e-05 4.300900e-15 0 
    0.028510 1.176069e-05 4.340700e-15 0 
    0.029107 1.173368e-05 4.154900e-15 0 
    0.029717 1.234397e-05 4.193400e-15 0 
    0.030200 1.211858e-05 3.986200e-15 0 
    0.030903 1.301500e-05 4.088500e-15 0 
    0.031915 1.427013e-05 4.203000e-15 0 
    0.032885 1.501196e-05 4.164500e-15 0 
    0.033884 1.564704e-05 4.088500e-15 0 
    0.034914 1.623448e-05 3.995400e-15 0 
    0.035810 1.703909e-05 3.986200e-15 0 
    0.036728 1.808982e-05 4.023100e-15 0 
    0.037670 1.868246e-05 3.949700e-15 0 
    0.038637 1.855473e-05 3.728800e-15 0 
    0.039628 1.997312e-05 3.815600e-15 0 
    0.040644 2.101041e-05 3.815600e-15 0 
    0.041591 2.154999e-05 3.737400e-15 0 
    0.042364 2.169863e-05 3.627100e-15 0 
    0.043152 2.195038e-05 3.536400e-15 0 
    0.044259 2.293236e-05 3.512100e-15 0 
    0.045290 2.341221e-05 3.424200e-15 0 
    0.046132 2.346653e-05 3.308000e-15 0 
    0.047206 2.401256e-05 3.232700e-15 0 
    0.048195 2.474279e-05 3.195700e-15 0 
    0.049204 2.468567e-05 3.058900e-15 0 
    0.050234 2.572999e-05 3.058900e-15 0 
    0.050816 2.555324e-05 2.968700e-15 0 
    0.051404 2.782505e-05 3.159100e-15 0 
    0.052240 2.795424e-05 3.073000e-15 0 
    0.053211 2.788939e-05 2.955000e-15 0 
    0.054200 2.719177e-05 2.776900e-15 0 
    0.055208 2.731752e-05 2.688800e-15 0 
    0.056234 2.906963e-05 2.757800e-15 0 
    0.057148 2.995369e-05 2.751500e-15 0 
    0.058210 3.009129e-05 2.664200e-15 0 
    0.059156 3.058037e-05 2.621600e-15 0 
    0.060256 2.995277e-05 2.474900e-15 0 
    0.061235 2.738049e-05 2.190600e-15 0 
    0.062230 3.172799e-05 2.457900e-15 0 
    0.063241 3.143680e-05 2.358100e-15 0 
    0.064269 3.254149e-05 2.363500e-15 0 
    0.065163 3.239297e-05 2.288600e-15 0 
    0.066069 3.202101e-05 2.200700e-15 0 
    0.066681 3.307051e-05 2.231300e-15 0 
    0.067764 3.368509e-05 2.200700e-15 0 
    0.068707 3.254260e-05 2.068100e-15 0 
    0.069823 3.415439e-05 2.101700e-15 0 
    0.070795 3.269283e-05 1.956900e-15 0 
