# NGC 4676 A     
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010423 1.223781e-13 3.379400e-22 0 
    0.010641 1.677591e-13 4.444700e-22 0 
    0.010839 2.321130e-13 5.927100e-22 0 
    0.011041 3.278965e-13 8.069400e-22 0 
    0.011246 5.149118e-13 1.221400e-21 0 
    0.011641 8.947465e-13 1.980800e-21 0 
    0.012050 1.461124e-12 3.018800e-21 0 
    0.012359 6.105213e-12 1.199100e-20 0 
    0.012764 9.071912e-12 1.670500e-20 0 
    0.012972 1.070888e-11 1.909200e-20 0 
    0.013092 1.185063e-11 2.074200e-20 0 
    0.013397 1.485014e-11 2.482200e-20 0 
    0.013490 1.827019e-11 3.011900e-20 0 
    0.013709 2.107334e-11 3.363900e-20 0 
    0.013996 2.983505e-11 4.569200e-20 0 
    0.014322 3.653660e-11 5.343700e-20 0 
    0.014622 1.166081e-10 1.636200e-19 0 
    0.015031 3.505093e-10 4.654200e-19 0 
    0.015417 4.253194e-10 5.368300e-19 0 
    0.015849 5.232640e-10 6.249400e-19 0 
    0.016255 6.407545e-10 7.275100e-19 0 
    0.016558 7.374554e-10 8.069400e-19 0 
    0.016982 9.050972e-10 9.415400e-19 0 
    0.017378 1.073290e-09 1.066200e-18 0 
    0.017701 1.229489e-09 1.177200e-18 0 
    0.018072 1.441273e-09 1.323900e-18 0 
    0.018408 1.628309e-09 1.441600e-18 0 
    0.018621 1.768960e-09 1.530500e-18 0 
    0.019011 2.054662e-09 1.705500e-18 0 
    0.019543 2.475663e-09 1.944600e-18 0 
    0.019815 2.771474e-09 2.117600e-18 0 
    0.020230 3.174711e-09 2.327200e-18 0 
    0.020654 3.653724e-09 2.569500e-18 0 
    0.020941 4.024495e-09 2.753200e-18 0 
    0.021478 4.515555e-09 2.936600e-18 0 
    0.022080 5.671720e-09 3.490100e-18 0 
    0.022491 6.408214e-09 3.800500e-18 0 
    0.022803 6.913612e-09 3.988800e-18 0 
    0.023174 7.775362e-09 4.343500e-18 0 
    0.023496 1.258076e-08 6.836600e-18 0 
    0.023933 2.310629e-08 1.210200e-17 0 
    0.024547 3.124048e-08 1.555400e-17 0 
    0.025119 3.248835e-08 1.544700e-17 0 
    0.025763 3.773318e-08 1.705500e-17 0 
    0.026242 3.441147e-08 1.499100e-17 0 
    0.026546 4.108813e-08 1.749200e-17 0 
    0.026977 4.557224e-08 1.878600e-17 0 
    0.027479 4.872128e-08 1.935700e-17 0 
    0.027990 5.184807e-08 1.985400e-17 0 
    0.028510 5.517152e-08 2.036300e-17 0 
    0.029040 5.870924e-08 2.088500e-17 0 
    0.029648 6.007699e-08 2.050400e-17 0 
    0.030269 6.557027e-08 2.147000e-17 0 
    0.030761 6.881996e-08 2.181900e-17 0 
    0.031477 7.493762e-08 2.269000e-17 0 
    0.032509 8.447635e-08 2.398000e-17 0 
    0.033497 9.283833e-08 2.482200e-17 0 
    0.034514 1.008563e-07 2.540000e-17 0 
    0.035563 1.090743e-07 2.587300e-17 0 
    0.036475 1.166029e-07 2.629300e-17 0 
    0.037411 1.249454e-07 2.678200e-17 0 
    0.038371 1.326572e-07 2.703000e-17 0 
    0.039355 1.369979e-07 2.653600e-17 0 
    0.040365 1.495293e-07 2.753200e-17 0 
    0.041400 1.594840e-07 2.791500e-17 0 
    0.042267 1.662338e-07 2.791500e-17 0 
    0.043152 1.728707e-07 2.785100e-17 0 
    0.043954 1.789440e-07 2.778700e-17 0 
    0.045082 1.891136e-07 2.791500e-17 0 
    0.046132 1.966634e-07 2.772300e-17 0 
    0.046989 2.031035e-07 2.759600e-17 0 
    0.048084 2.117009e-07 2.746900e-17 0 
    0.049091 2.206609e-07 2.746900e-17 0 
    0.050119 2.257960e-07 2.696700e-17 0 
    0.051050 2.353484e-07 2.709200e-17 0 
    0.051761 2.391812e-07 2.678200e-17 0 
    0.052360 2.521878e-07 2.759600e-17 0 
    0.053088 2.580562e-07 2.746900e-17 0 
    0.054200 2.652885e-07 2.709200e-17 0 
    0.055208 2.683595e-07 2.641400e-17 0 
    0.056234 2.777943e-07 2.635400e-17 0 
    0.057280 2.915604e-07 2.665900e-17 0 
    0.058210 3.045836e-07 2.696700e-17 0 
    0.059293 3.088390e-07 2.635400e-17 0 
    0.060256 3.226437e-07 2.665900e-17 0 
    0.061376 3.263740e-07 2.599200e-17 0 
    0.062373 3.074057e-07 2.370500e-17 0 
    0.063387 3.553977e-07 2.653600e-17 0 
    0.064417 3.636804e-07 2.629300e-17 0 
    0.065464 3.747415e-07 2.623300e-17 0 
    0.066374 3.861134e-07 2.629300e-17 0 
    0.067298 3.951118e-07 2.617200e-17 0 
    0.067920 4.071084e-07 2.647500e-17 0 
    0.069024 4.175602e-07 2.629300e-17 0 
    0.069984 4.156403e-07 2.545900e-17 0 
    0.070958 4.536569e-07 2.703000e-17 0 
    0.072111 4.494877e-07 2.593200e-17 0 
    0.073114 4.872210e-07 2.734300e-17 0 
    0.074131 5.008695e-07 2.734300e-17 0 
    0.075162 5.172711e-07 2.746900e-17 0 
    0.076208 5.453973e-07 2.817300e-17 0 
    0.077090 5.645725e-07 2.850000e-17 0 
    0.078163 5.581190e-07 2.740600e-17 0 
    0.079250 6.176095e-07 2.950100e-17 0 
    0.080168 6.393274e-07 2.984300e-17 0 
    0.081283 6.679163e-07 3.032800e-17 0 
    0.082224 6.945806e-07 3.082100e-17 0 
    0.083368 7.206455e-07 3.110600e-17 0 
    0.084333 7.668455e-07 3.234700e-17 0 
    0.085310 6.850346e-07 2.823800e-17 0 
    0.086298 8.104448e-07 3.264700e-17 0 
    0.087297 8.331275e-07 3.279700e-17 0 
    0.088308 8.845356e-07 3.402800e-17 0 
    0.089331 9.412974e-07 3.538700e-17 0 
    0.090365 1.010930e-06 3.714000e-17 0 
    0.091411 1.065888e-06 3.826800e-17 0 
    0.092470 1.073313e-06 3.765700e-17 0 
    0.093541 1.609635e-06 5.518800e-17 0 
    0.094624 9.676563e-06 3.242200e-16 0 
    0.095499 2.121873e-05 6.979800e-16 0 
    0.096605 4.156396e-05 1.336100e-15 0 
    0.097499 6.190343e-05 1.953600e-15 0 
    0.098628 6.679214e-05 2.059900e-15 0 
    0.099541 1.013267e-05 3.067900e-16 0 
    0.100693 5.148963e-05 1.523500e-15 0 
    0.101625 6.091587e-05 1.769500e-15 0 
    0.102802 1.008599e-04 2.863100e-15 0 
    0.103753 1.022645e-04 2.850000e-15 0 
    0.104713 4.620937e-05 1.264300e-15 0 
    0.105682 6.866135e-05 1.844300e-15 0 
    0.106905 1.488395e-04 3.907000e-15 0 
    0.107895 1.491836e-04 3.844500e-15 0 
    0.108893 1.121302e-04 2.836900e-15 0 
