# UGCA 410       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010023 6.773719e-18 2.022800e-26 0 
    0.010233 1.018207e-17 2.917100e-26 0 
    0.010423 1.438198e-17 3.971500e-26 0 
    0.010617 2.055123e-17 5.469600e-26 0 
    0.010814 2.936351e-17 7.532800e-26 0 
    0.011015 4.762211e-17 1.177500e-25 0 
    0.011429 8.971122e-17 2.060400e-25 0 
    0.011830 1.587814e-16 3.403700e-25 0 
    0.012134 3.853407e-16 7.851600e-25 0 
    0.012531 6.573630e-16 1.255900e-24 0 
    0.012735 8.488513e-16 1.570200e-24 0 
    0.012823 9.611989e-16 1.753700e-24 0 
    0.013122 1.373535e-15 2.393100e-24 0 
    0.013243 1.609961e-15 2.754000e-24 0 
    0.013428 2.017682e-15 3.357000e-24 0 
    0.013740 2.916139e-15 4.634000e-24 0 
    0.014028 4.007063e-15 6.108800e-24 0 
    0.014322 6.544002e-15 9.571000e-24 0 
    0.014723 1.098574e-14 1.520400e-23 0 
    0.015136 1.602697e-14 2.098700e-23 0 
    0.015524 2.311219e-14 2.877100e-23 0 
    0.015922 3.272139e-14 3.872200e-23 0 
    0.016218 4.215302e-14 4.807900e-23 0 
    0.016634 5.845628e-14 6.338100e-23 0 
    0.017022 7.940654e-14 8.221600e-23 0 
    0.017338 9.973214e-14 9.953100e-23 0 
    0.017742 1.332982e-13 1.270400e-22 0 
    0.018030 1.639925e-13 1.513400e-22 0 
    0.018239 1.882973e-13 1.698100e-22 0 
    0.018621 2.448227e-13 2.118200e-22 0 
    0.019143 3.364052e-13 2.754000e-22 0 
    0.019454 4.053665e-13 3.213300e-22 0 
    0.019861 5.138490e-13 3.908000e-22 0 
    0.020230 6.439185e-13 4.720200e-22 0 
    0.020559 7.617967e-13 5.407000e-22 0 
    0.021038 9.791436e-13 6.636800e-22 0 
    0.021627 1.348426e-12 8.648800e-22 0 
    0.022029 1.639912e-12 1.013800e-21 0 
    0.022336 1.891651e-12 1.137500e-21 0 
    0.022751 2.284722e-12 1.324200e-21 0 
    0.023067 7.547823e-12 4.255600e-21 0 
    0.023442 1.139793e-11 6.222400e-21 0 
    0.024044 1.588002e-11 8.240600e-21 0 
    0.024660 1.878550e-11 9.267400e-21 0 
    0.025235 2.295258e-11 1.081300e-20 0 
    0.025763 2.327266e-11 1.051900e-20 0 
    0.026062 2.824003e-11 1.247300e-20 0 
    0.026485 3.249608e-11 1.389800e-20 0 
    0.026977 3.688280e-11 1.520400e-20 0 
    0.027479 4.176685e-11 1.659400e-20 0 
    0.027990 4.675570e-11 1.790400e-20 0 
    0.028445 5.270325e-11 1.954100e-20 0 
    0.029040 5.886103e-11 2.093900e-20 0 
    0.029648 6.727018e-11 2.295900e-20 0 
    0.030200 7.142489e-11 2.349400e-20 0 
    0.030903 8.410644e-11 2.642100e-20 0 
    0.031842 1.053996e-10 3.118600e-20 0 
    0.032885 1.273015e-10 3.531500e-20 0 
    0.033884 1.519927e-10 3.971500e-20 0 
    0.034914 1.810643e-10 4.456100e-20 0 
    0.035810 2.152007e-10 5.034500e-20 0 
    0.036644 2.581321e-10 5.767100e-20 0 
    0.037584 3.011901e-10 6.396700e-20 0 
    0.038548 3.563205e-10 7.193800e-20 0 
    0.039628 4.485786e-10 8.569500e-20 0 
    0.040551 5.480731e-10 9.999000e-20 0 
    0.041495 6.650301e-10 1.158700e-19 0 
    0.042267 7.741497e-10 1.300000e-19 0 
    0.043053 9.159061e-10 1.482400e-19 0 
    0.044157 1.185308e-09 1.823700e-19 0 
    0.045186 1.485391e-09 2.182500e-19 0 
    0.046132 1.798225e-09 2.534900e-19 0 
    0.047098 2.284768e-09 3.090000e-19 0 
    0.048084 2.896254e-09 3.758000e-19 0 
    0.049091 3.621075e-09 4.507700e-19 0 
    0.050119 4.664876e-09 5.571300e-19 0 
    0.050699 1.962577e-08 2.290600e-18 0 
    0.051286 7.325432e-08 8.355200e-18 0 
    0.052119 7.831172e-08 8.648800e-18 0 
    0.053088 8.626362e-08 9.182400e-18 0 
    0.054075 8.766566e-08 8.994100e-18 0 
    0.055081 1.169069e-07 1.156000e-17 0 
    0.056105 1.471793e-07 1.402700e-17 0 
    0.057148 1.721235e-07 1.581100e-17 0 
