# UGC 08335 NW   
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010520 2.740346e-17 7.428400e-26 0 
    0.010715 4.071589e-17 1.063900e-25 0 
    0.010914 6.162236e-17 1.552000e-25 0 
    0.011143 9.501217e-17 2.295600e-25 0 
    0.011350 1.632181e-16 3.801000e-25 0 
    0.011749 3.301985e-16 7.176200e-25 0 
    0.012162 6.176899e-16 1.252800e-24 0 
    0.012474 3.004597e-15 5.792900e-24 0 
    0.012882 5.078554e-15 9.181100e-24 0 
    0.013092 6.350387e-15 1.111500e-23 0 
    0.013183 7.207713e-15 1.244200e-23 0 
    0.013490 9.835416e-15 1.621400e-23 0 
    0.013614 1.252411e-14 2.027200e-23 0 
    0.013804 1.512780e-14 2.381700e-23 0 
    0.014125 2.342912e-14 3.522900e-23 0 
    0.014421 3.074420e-14 4.435000e-23 0 
    0.014757 1.027507e-13 1.415500e-22 0 
    0.015171 3.294576e-13 4.294300e-22 0 
    0.015560 4.423739e-13 5.481400e-22 0 
    0.015996 5.981350e-13 7.012900e-22 0 
    0.016406 8.086817e-13 9.013500e-22 0 
    0.016711 9.972286e-13 1.071300e-21 0 
    0.017100 1.323643e-12 1.358000e-21 0 
    0.017539 1.709117e-12 1.666800e-21 0 
    0.017824 2.069147e-12 1.953900e-21 0 
    0.018239 2.628910e-12 2.370800e-21 0 
    0.018535 3.117110e-12 2.722000e-21 0 
    0.018750 3.497695e-12 2.984700e-21 0 
    0.019187 4.373146e-12 3.563700e-21 0 
    0.019679 5.685667e-12 4.404500e-21 0 
    0.019999 6.695598e-12 5.022200e-21 0 
    0.020417 8.142546e-12 5.860000e-21 0 
    0.020845 9.926038e-12 6.853200e-21 0 
    0.021135 1.139666e-11 7.654100e-21 0 
    0.021627 1.363846e-11 8.747700e-21 0 
    0.022284 1.856700e-11 1.121700e-20 0 
    0.022699 2.206964e-11 1.285000e-20 0 
    0.022961 2.458896e-11 1.399200e-20 0 
    0.023388 2.909121e-11 1.595500e-20 0 
    0.023714 4.850489e-11 2.587600e-20 0 
    0.024099 8.526552e-11 4.404500e-20 0 
    0.024717 1.252468e-10 6.150300e-20 0 
    0.025351 1.386010e-10 6.469900e-20 0 
    0.026002 1.732944e-10 7.689400e-20 0 
    0.026485 1.647298e-10 7.045200e-20 0 
    0.026792 2.050141e-10 8.568300e-20 0 
    0.027227 2.370139e-10 9.591700e-20 0 
    0.027733 2.659358e-10 1.037300e-19 0 
    0.028249 2.956612e-10 1.111500e-19 0 
    0.028774 3.286934e-10 1.191000e-19 0 
    0.029309 3.662564e-10 1.279100e-19 0 
    0.029923 3.942683e-10 1.321000e-19 0 
    0.030479 4.474846e-10 1.445100e-19 0 
    0.031046 4.861680e-10 1.513200e-19 0 
    0.031769 5.594716e-10 1.663000e-19 0 
    0.032810 6.788743e-10 1.891900e-19 0 
    0.033806 7.975539e-10 2.093600e-19 0 
    0.034834 9.221088e-10 2.279800e-19 0 
    0.035892 1.058672e-09 2.465400e-19 0 
    0.036813 1.198898e-09 2.654000e-19 0 
    0.037757 1.373319e-09 2.890000e-19 0 
    0.038637 1.523271e-09 3.061200e-19 0 
    0.039719 1.654901e-09 3.147000e-19 0 
    0.040738 1.926501e-09 3.482500e-19 0 
    0.041783 2.181575e-09 3.748800e-19 0 
    0.042658 2.370165e-09 3.907500e-19 0 
    0.043451 2.522165e-09 4.007700e-19 0 
    0.044361 2.708812e-09 4.129500e-19 0 
    0.045499 3.032369e-09 4.394400e-19 0 
    0.046452 3.271782e-09 4.548800e-19 0 
    0.047424 3.481507e-09 4.644000e-19 0 
    0.048417 3.765030e-09 4.818300e-19 0 
    0.049431 4.109350e-09 5.045400e-19 0 
    0.050466 4.312950e-09 5.080400e-19 0 
    0.051523 4.750884e-09 5.369000e-19 0 
    0.052119 4.929071e-09 5.443700e-19 0 
    0.052723 6.482943e-09 6.996700e-19 0 
    0.053580 6.930725e-09 7.242600e-19 0 
    0.054576 7.443470e-09 7.497100e-19 0 
    0.055719 7.669724e-09 7.411300e-19 0 
    0.056754 9.435538e-09 8.788100e-19 0 
    0.057677 1.108613e-08 9.997600e-19 0 
    0.058749 1.281637e-08 1.114000e-18 0 
    0.059841 1.317549e-08 1.103800e-18 0 
    0.060813 1.598741e-08 1.296900e-18 0 
    0.061802 1.720934e-08 1.351700e-18 0 
    0.062951 1.975998e-08 1.495900e-18 0 
    0.063973 2.403142e-08 1.761600e-18 0 
    0.065013 2.702546e-08 1.918200e-18 0 
    0.065917 2.856002e-08 1.971900e-18 0 
    0.066988 3.355522e-08 2.243300e-18 0 
    0.067764 3.713365e-08 2.426000e-18 0 
    0.068549 4.043616e-08 2.581600e-18 0 
    0.069502 4.243941e-08 2.635700e-18 0 
    0.070632 4.403352e-08 2.647900e-18 0 
    0.071614 5.898876e-08 3.450600e-18 0 
    0.072611 5.899065e-08 3.356600e-18 0 
    0.073790 7.358143e-08 4.054100e-18 0 
    0.074817 7.994282e-08 4.284500e-18 0 
    0.075683 8.625288e-08 4.517500e-18 0 
    0.076736 1.020403e-07 5.198700e-18 0 
    0.077804 1.142288e-07 5.661000e-18 0 
    0.078886 1.255366e-07 6.051900e-18 0 
    0.079799 1.431436e-07 6.743700e-18 0 
    0.080910 1.609832e-07 7.377300e-18 0 
    0.082035 1.752963e-07 7.814400e-18 0 
    0.082985 1.900080e-07 8.277400e-18 0 
    0.083946 2.045372e-07 8.707500e-18 0 
    0.085114 2.348415e-07 9.725100e-18 0 
    0.086099 1.962330e-07 7.941400e-18 0 
    0.087096 2.653230e-07 1.049300e-17 0 
    0.088105 2.829945e-07 1.093700e-17 0 
    0.089125 3.175188e-07 1.199200e-17 0 
    0.090157 3.546371e-07 1.308900e-17 0 
    0.091201 4.025175e-07 1.451800e-17 0 
    0.092257 4.413421e-07 1.555600e-17 0 
    0.093325 4.526647e-07 1.559200e-17 0 
    0.094406 7.651969e-07 2.575700e-17 0 
    0.095280 6.008609e-06 1.985600e-16 0 
    0.096383 1.379673e-05 4.455500e-16 0 
    0.097499 2.759132e-05 8.707500e-16 0 
    0.098401 4.128405e-05 1.279100e-15 0 
    0.099541 4.589575e-05 1.389600e-15 0 
    0.100462 6.710915e-06 1.994800e-16 0 
    0.101625 3.730688e-05 1.083700e-15 0 
    0.102565 4.342833e-05 1.238500e-15 0 
    0.103514 7.043067e-05 1.971900e-15 0 
    0.104713 7.174277e-05 1.962900e-15 0 
    0.105682 3.219410e-05 8.647600e-16 0 
    0.106660 4.997633e-05 1.317900e-15 0 
    0.107647 1.061140e-04 2.747200e-15 0 
    0.108643 1.068514e-04 2.715800e-15 0 
    0.109901 8.294120e-05 2.060100e-15 0 
    0.110918 1.046600e-04 2.552100e-15 0 
    0.111944 8.105347e-05 1.940400e-15 0 
    0.112980 1.177013e-04 2.766300e-15 0 
    0.114025 1.158191e-04 2.672400e-15 0 
    0.114815 1.118841e-04 2.546200e-15 0 
    0.115878 1.015717e-04 2.269300e-15 0 
    0.116950 1.398869e-04 3.068300e-15 0 
    0.118032 1.287600e-04 2.772700e-15 0 
    0.119124 1.431446e-04 3.026200e-15 0 
    0.120226 1.512738e-04 3.139700e-15 0 
    0.121060 1.011036e-04 2.069600e-15 0 
    0.122180 1.537330e-04 3.089500e-15 0 
    0.123311 1.008740e-04 1.990200e-15 0 
    0.124165 6.946363e-05 1.351700e-15 0 
    0.125314 5.306246e-05 1.013700e-15 0 
    0.126183 1.134400e-04 2.137400e-15 0 
    0.127350 1.852531e-04 3.426800e-15 0 
    0.128233 2.088186e-04 3.809700e-15 0 
    0.129420 2.012680e-04 3.604900e-15 0 
    0.130317 1.721009e-04 3.040200e-15 0 
    0.131522 2.386552e-04 4.139000e-15 0 
    0.132434 2.574983e-04 4.404500e-15 0 
    0.133352 1.957822e-04 3.302900e-15 0 
    0.134586 1.975929e-04 3.272600e-15 0 
    0.135519 2.653249e-04 4.334100e-15 0 
    0.136458 2.569048e-04 4.139000e-15 0 
    0.137721 2.258283e-04 3.571900e-15 0 
    0.138676 2.869334e-04 4.476100e-15 0 
    0.139637 2.823446e-04 4.344100e-15 0 
    0.140605 2.510563e-04 3.809700e-15 0 
    0.141579 2.727537e-04 4.082200e-15 0 
    0.142889 2.823368e-04 4.148500e-15 0 
    0.143880 2.476170e-04 3.588400e-15 0 
    0.144877 2.634932e-04 3.766100e-15 0 
    0.145881 2.721236e-04 3.836100e-15 0 
    0.146893 2.889163e-04 4.016900e-15 0 
    0.147911 2.909219e-04 3.989300e-15 0 
    0.148594 3.138918e-04 4.264800e-15 0 
    0.149279 3.249188e-04 4.374200e-15 0 
    0.149969 3.175237e-04 4.235400e-15 0 
    0.151008 2.936092e-04 3.862700e-15 0 
    0.152055 2.997602e-04 3.889500e-15 0 
    0.153109 3.131666e-04 4.007700e-15 0 
    0.154170 3.264192e-04 4.120000e-15 0 
    0.155239 3.110075e-04 3.871600e-15 0 
