# UGC 08335 SE   
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010520 6.785571e-22 1.839400e-30 0 
    0.010715 1.148801e-21 3.001800e-30 0 
    0.010914 1.972154e-21 4.967000e-30 0 
    0.011143 3.456504e-21 8.351300e-30 0 
    0.011350 6.812563e-21 1.586500e-29 0 
    0.011749 1.736807e-20 3.774600e-29 0 
    0.012162 4.037813e-20 8.189500e-29 0 
    0.012474 2.419279e-19 4.664400e-28 0 
    0.012882 4.977880e-19 8.999100e-28 0 
    0.013092 6.851448e-19 1.199200e-27 0 
    0.013183 8.159511e-19 1.408500e-27 0 
    0.013490 1.271192e-18 2.095600e-27 0 
    0.013614 1.694202e-18 2.742300e-27 0 
    0.013804 2.232171e-18 3.514300e-27 0 
    0.014125 3.946618e-18 5.934300e-27 0 
    0.014421 5.858658e-18 8.451400e-27 0 
    0.014757 2.194386e-17 3.023000e-26 0 
    0.015171 7.273263e-17 9.480300e-26 0 
    0.015560 1.138015e-16 1.410100e-25 0 
    0.015996 1.776264e-16 2.082600e-25 0 
    0.016406 2.734454e-16 3.047800e-25 0 
    0.016711 3.701838e-16 3.976800e-25 0 
    0.017100 5.556862e-16 5.701100e-25 0 
    0.017539 8.094621e-16 7.894200e-25 0 
    0.017824 1.068514e-15 1.009000e-24 0 
    0.018239 1.521038e-15 1.371700e-24 0 
    0.018535 1.957412e-15 1.709300e-24 0 
    0.018750 2.314102e-15 1.974700e-24 0 
    0.019187 3.211784e-15 2.617300e-24 0 
    0.019679 4.731579e-15 3.665400e-24 0 
    0.019999 5.991401e-15 4.494000e-24 0 
    0.020417 7.995952e-15 5.754500e-24 0 
    0.020845 1.064762e-14 7.351400e-24 0 
    0.021135 1.308633e-14 8.788900e-24 0 
    0.021627 1.742128e-14 1.117400e-23 0 
    0.022284 2.673403e-14 1.615100e-23 0 
    0.022699 3.439429e-14 2.002600e-23 0 
    0.022961 4.046142e-14 2.302400e-23 0 
    0.023388 5.157102e-14 2.828400e-23 0 
    0.023714 8.297530e-14 4.426500e-23 0 
    0.024099 1.483711e-13 7.664300e-23 0 
    0.024717 2.406657e-13 1.181800e-22 0 
    0.025351 2.947513e-13 1.375900e-22 0 
    0.026002 4.059554e-13 1.801300e-22 0 
    0.026485 4.195170e-13 1.794200e-22 0 
    0.026792 5.448667e-13 2.277200e-22 0 
    0.027227 6.677468e-13 2.702300e-22 0 
    0.027733 8.050627e-13 3.140200e-22 0 
    0.028249 9.617567e-13 3.615600e-22 0 
    0.028774 1.140906e-12 4.134000e-22 0 
    0.029309 1.362831e-12 4.759500e-22 0 
    0.029923 1.586743e-12 5.316400e-22 0 
    0.030479 1.939317e-12 6.262800e-22 0 
    0.031046 2.222230e-12 6.916700e-22 0 
    0.031769 2.777610e-12 8.256300e-22 0 
    0.032810 3.750512e-12 1.045200e-21 0 
    0.033806 4.892141e-12 1.284200e-21 0 
    0.034834 6.236510e-12 1.541900e-21 0 
    0.035892 7.839344e-12 1.825600e-21 0 
    0.036813 9.679721e-12 2.142800e-21 0 
    0.037757 1.208901e-11 2.544000e-21 0 
    0.038637 1.445545e-11 2.905000e-21 0 
    0.039719 1.691712e-11 3.217000e-21 0 
    0.040738 2.141528e-11 3.871200e-21 0 
    0.041783 2.630775e-11 4.520700e-21 0 
    0.042658 3.045822e-11 5.021400e-21 0 
    0.043451 3.415436e-11 5.427100e-21 0 
    0.044361 3.863771e-11 5.890200e-21 0 
    0.045499 4.679594e-11 6.781500e-21 0 
    0.046452 5.391305e-11 7.495600e-21 0 
    0.047424 6.041285e-11 8.058500e-21 0 
    0.048417 6.958932e-11 8.905700e-21 0 
    0.049431 8.145560e-11 1.000100e-20 0 
    0.050466 9.104872e-11 1.072500e-20 0 
    0.051523 1.080342e-10 1.220900e-20 0 
    0.052119 1.447383e-10 1.598500e-20 0 
    0.052723 4.749142e-10 5.125500e-20 0 
    0.053580 5.574838e-10 5.825700e-20 0 
    0.054576 6.708367e-10 6.756700e-20 0 
    0.055719 7.257019e-10 7.012500e-20 0 
    0.056754 1.253297e-09 1.167300e-19 0 
    0.057677 1.696474e-09 1.529900e-19 0 
    0.058749 2.191783e-09 1.905100e-19 0 
    0.059841 2.306725e-09 1.932500e-19 0 
    0.060813 3.321865e-09 2.694700e-19 0 
    0.061802 3.906190e-09 3.068100e-19 0 
    0.062951 5.282715e-09 3.999200e-19 0 
    0.063973 6.624329e-09 4.855900e-19 0 
    0.065013 8.042828e-09 5.708600e-19 0 
    0.065917 8.767878e-09 6.053700e-19 0 
    0.066988 1.122267e-08 7.502800e-19 0 
    0.067764 1.314617e-08 8.588600e-19 0 
    0.068549 1.473940e-08 9.410200e-19 0 
    0.069502 1.599050e-08 9.930900e-19 0 
    0.070632 1.729645e-08 1.040100e-18 0 
    0.071614 2.502056e-08 1.463600e-18 0 
    0.072611 2.585740e-08 1.471300e-18 0 
    0.073790 3.392939e-08 1.869400e-18 0 
    0.074817 3.817925e-08 2.046200e-18 0 
    0.075683 4.239613e-08 2.220500e-18 0 
    0.076736 5.242258e-08 2.670800e-18 0 
    0.077804 6.049023e-08 2.997800e-18 0 
    0.078886 6.931178e-08 3.341400e-18 0 
    0.079799 8.094850e-08 3.813600e-18 0 
    0.080910 9.381903e-08 4.299400e-18 0 
    0.082035 1.045488e-07 4.660600e-18 0 
    0.082985 1.160538e-07 5.055700e-18 0 
    0.083946 1.276364e-07 5.433700e-18 0 
    0.085114 1.506327e-07 6.237900e-18 0 
    0.086099 1.285791e-07 5.203500e-18 0 
    0.087096 1.775841e-07 7.023100e-18 0 
    0.088105 1.934723e-07 7.477200e-18 0 
    0.089125 2.212067e-07 8.354500e-18 0 
    0.090157 2.517411e-07 9.291300e-18 0 
    0.091201 2.918099e-07 1.052500e-17 0 
    0.092257 3.252188e-07 1.146300e-17 0 
    0.093325 3.398178e-07 1.170500e-17 0 
    0.094406 5.838574e-07 1.965300e-17 0 
    0.095280 4.706785e-06 1.555400e-16 0 
    0.096383 1.110984e-05 3.587800e-16 0 
    0.097499 2.278633e-05 7.191100e-16 0 
    0.098401 3.451580e-05 1.069400e-15 0 
    0.099541 3.989786e-05 1.208000e-15 0 
    0.100462 5.973818e-06 1.775700e-16 0 
    0.101625 3.484201e-05 1.012100e-15 0 
    0.102565 3.993583e-05 1.138900e-15 0 
    0.103514 6.376585e-05 1.785300e-15 0 
    0.104713 6.476550e-05 1.772000e-15 0 
    0.105682 2.847977e-05 7.649900e-16 0 
    0.106660 4.674165e-05 1.232600e-15 0 
    0.107647 9.882140e-05 2.558400e-15 0 
    0.108643 1.006861e-04 2.559100e-15 0 
    0.109901 8.009074e-05 1.989300e-15 0 
    0.110918 1.013095e-04 2.470400e-15 0 
    0.111944 8.029740e-05 1.922300e-15 0 
    0.112980 1.150037e-04 2.702900e-15 0 
    0.114025 1.144756e-04 2.641400e-15 0 
    0.114815 1.119896e-04 2.548600e-15 0 
    0.115878 1.033083e-04 2.308100e-15 0 
    0.116950 1.409492e-04 3.091600e-15 0 
    0.118032 1.309055e-04 2.818900e-15 0 
    0.119124 1.458218e-04 3.082800e-15 0 
    0.120226 1.558365e-04 3.234400e-15 0 
    0.121060 1.074103e-04 2.198700e-15 0 
    0.122180 1.606298e-04 3.228100e-15 0 
    0.123311 1.080459e-04 2.131700e-15 0 
    0.124165 7.636528e-05 1.486000e-15 0 
    0.125314 5.516151e-05 1.053800e-15 0 
    0.126183 1.204723e-04 2.269900e-15 0 
    0.127350 1.961300e-04 3.628000e-15 0 
    0.128233 2.227299e-04 4.063500e-15 0 
    0.129420 2.169623e-04 3.886000e-15 0 
    0.130317 1.873116e-04 3.308900e-15 0 
    0.131522 2.571122e-04 4.459100e-15 0 
    0.132434 2.774983e-04 4.746600e-15 0 
    0.133352 2.159656e-04 3.643400e-15 0 
    0.134586 2.202226e-04 3.647400e-15 0 
    0.135519 2.903631e-04 4.743100e-15 0 
    0.136458 2.831352e-04 4.561600e-15 0 
    0.137721 2.519902e-04 3.985700e-15 0 
    0.138676 3.165172e-04 4.937600e-15 0 
    0.139637 3.128923e-04 4.814100e-15 0 
    0.140605 2.814292e-04 4.270600e-15 0 
    0.141579 3.050055e-04 4.564900e-15 0 
    0.142889 3.173592e-04 4.663100e-15 0 
    0.143880 2.801873e-04 4.060400e-15 0 
    0.144877 2.987694e-04 4.270300e-15 0 
    0.145881 3.105930e-04 4.378400e-15 0 
