# UGC 08696      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010593 3.302501e-25 8.829300e-34 0 
    0.010789 6.373038e-25 1.642500e-33 0 
    0.010990 1.244438e-24 3.091000e-33 0 
    0.011220 2.463048e-24 5.869600e-33 0 
    0.011402 5.420800e-24 1.250900e-32 0 
    0.011830 1.738492e-23 3.726700e-32 0 
    0.012246 4.992519e-23 9.987400e-32 0 
    0.012560 3.472577e-22 6.603800e-31 0 
    0.012972 8.686242e-22 1.548600e-30 0 
    0.013183 1.307318e-21 2.256700e-30 0 
    0.013274 1.626200e-21 2.768800e-30 0 
    0.013583 2.894034e-21 4.705800e-30 0 
    0.013709 4.029550e-21 6.432300e-30 0 
    0.013900 5.752699e-21 8.932300e-30 0 
    0.014223 1.148556e-20 1.703300e-29 0 
    0.014521 1.912144e-20 2.720500e-29 0 
    0.014825 7.940674e-20 1.083900e-28 0 
    0.015241 3.083392e-19 3.982200e-28 0 
    0.015668 5.560590e-19 6.795400e-28 0 
    0.016069 9.844792e-19 1.143800e-27 0 
    0.016520 1.727068e-18 1.898500e-27 0 
    0.016827 2.568246e-18 2.721100e-27 0 
    0.017219 4.323178e-18 4.374300e-27 0 
    0.017660 7.060344e-18 6.791500e-27 0 
    0.017947 1.009756e-17 9.404900e-27 0 
    0.018365 1.593391e-17 1.417300e-26 0 
    0.018664 2.211642e-17 1.904700e-26 0 
    0.018880 2.743036e-17 2.308600e-26 0 
    0.019320 4.181285e-17 3.360600e-26 0 
    0.019815 6.905782e-17 5.276500e-26 0 
    0.020137 9.343772e-17 6.912800e-26 0 
    0.020559 1.357145e-16 9.632600e-26 0 
    0.020941 1.953485e-16 1.336400e-25 0 
    0.021281 2.558928e-16 1.695100e-25 0 
    0.021777 3.749640e-16 2.372000e-25 0 
    0.022439 6.420408e-16 3.825400e-25 0 
    0.022856 8.864550e-16 5.090700e-25 0 
    0.023121 1.099240e-15 6.168800e-25 0 
    0.023550 1.496669e-15 8.095900e-25 0 
    0.023878 2.537587e-15 1.335200e-24 0 
    0.024266 4.781764e-15 2.436200e-24 0 
    0.024889 8.555394e-15 4.143300e-24 0 
    0.025527 1.142434e-14 5.259600e-24 0 
    0.026182 1.711618e-14 7.490700e-24 0 
    0.026669 1.889492e-14 7.969900e-24 0 
    0.026977 2.556373e-14 1.053800e-23 0 
    0.027416 3.308957e-14 1.320700e-23 0 
    0.027925 4.251760e-14 1.635700e-23 0 
    0.028445 5.388187e-14 1.997800e-23 0 
    0.028973 6.780115e-14 2.423100e-23 0 
    0.029444 8.535114e-14 2.953500e-23 0 
    0.030130 1.065837e-13 3.522200e-23 0 
    0.030690 1.384997e-13 4.411400e-23 0 
    0.031261 1.667970e-13 5.120400e-23 0 
    0.031989 2.236482e-13 6.556700e-23 0 
    0.033037 3.320643e-13 9.127300e-23 0 
    0.034041 4.731338e-13 1.224900e-22 0 
    0.035075 6.556032e-13 1.598700e-22 0 
    0.036141 8.938134e-13 2.052900e-22 0 
    0.037068 1.183458e-12 2.583900e-22 0 
    0.038019 1.577606e-12 3.274300e-22 0 
    0.038905 2.009050e-12 3.982000e-22 0 
    0.039994 2.508900e-12 4.705600e-22 0 
    0.041020 3.389455e-12 6.043100e-22 0 
    0.042073 4.423161e-12 7.496300e-22 0 
    0.042954 5.391410e-12 8.766300e-22 0 
    0.043752 6.321897e-12 9.907700e-22 0 
    0.044668 7.459500e-12 1.121600e-21 0 
