# UGC 09618 N    
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010544 8.921870e-19 2.407500e-27 0 
    0.010740 1.442806e-18 3.752500e-27 0 
    0.010965 2.370960e-18 5.916000e-27 0 
    0.011169 3.923446e-18 9.435400e-27 0 
    0.011376 7.216953e-18 1.673000e-26 0 
    0.011776 1.685954e-17 3.647300e-26 0 
    0.012190 3.616829e-17 7.302000e-26 0 
    0.012503 1.874754e-16 3.597800e-25 0 
    0.012912 3.575749e-16 6.434300e-25 0 
    0.013122 4.754539e-16 8.283800e-25 0 
    0.013243 5.583713e-16 9.551500e-25 0 
    0.013552 8.309242e-16 1.357300e-24 0 
    0.013646 1.080037e-15 1.740000e-24 0 
    0.013836 1.381011e-15 2.164200e-24 0 
    0.014158 2.305497e-15 3.450500e-24 0 
    0.014488 3.291196e-15 4.703900e-24 0 
    0.014791 1.202088e-14 1.648400e-23 0 
    0.015205 4.348799e-14 5.643100e-23 0 
    0.015596 6.337494e-14 7.816500e-23 0 
    0.016032 9.295739e-14 1.085000e-22 0 
    0.016444 1.348330e-13 1.495900e-22 0 
    0.016749 1.755364e-13 1.877200e-22 0 
    0.017179 2.510766e-13 2.552300e-22 0 
    0.017579 3.461656e-13 3.360600e-22 0 
    0.017865 4.394702e-13 4.130900e-22 0 
    0.018281 5.948001e-13 5.339400e-22 0 
    0.018621 7.429056e-13 6.427600e-22 0 
    0.018793 8.564303e-13 7.274800e-22 0 
    0.019231 1.135345e-12 9.209700e-22 0 
    0.019724 1.586619e-12 1.223500e-21 0 
    0.020045 1.945659e-12 1.452700e-21 0 
    0.020464 2.497297e-12 1.789000e-21 0 
    0.020893 3.205784e-12 2.203200e-21 0 
    0.021184 3.824498e-12 2.556700e-21 0 
    0.021727 4.884588e-12 3.104200e-21 0 
    0.022336 7.096309e-12 4.267200e-21 0 
    0.022751 8.820213e-12 5.112100e-21 0 
    0.023067 1.018680e-11 5.743500e-21 0 
    0.023442 1.254718e-11 6.849800e-21 0 
    0.023768 2.178323e-11 1.156800e-20 0 
    0.024210 4.231816e-11 2.166000e-20 0 
    0.024831 6.481884e-11 3.153800e-20 0 
    0.025410 7.567445e-11 3.516100e-20 0 
    0.026062 9.887519e-11 4.367100e-20 0 
    0.026546 9.849688e-11 4.193200e-20 0 
    0.026853 1.244518e-10 5.177700e-20 0 
    0.027290 1.480601e-10 5.964200e-20 0 
    0.027797 1.720872e-10 6.681500e-20 0 
    0.028314 1.986356e-10 7.433200e-20 0 
    0.028840 2.292679e-10 8.269400e-20 0 
    0.029376 2.634009e-10 9.157000e-20 0 
    0.029992 2.943140e-10 9.815700e-20 0 
    0.030620 3.499065e-10 1.119600e-19 0 
    0.031117 3.919871e-10 1.214500e-19 0 
    0.031842 4.691376e-10 1.388100e-19 0 
    0.032885 6.010190e-10 1.667300e-19 0 
    0.033884 7.439087e-10 1.943800e-19 0 
    0.034914 9.060328e-10 2.229800e-19 0 
    0.035975 1.090666e-09 2.528200e-19 0 
    0.036898 1.283632e-09 2.828500e-19 0 
    0.037844 1.510508e-09 3.164100e-19 0 
    0.038726 1.741505e-09 3.483700e-19 0 
    0.039811 1.974435e-09 3.737300e-19 0 
    0.040832 2.360607e-09 4.247600e-19 0 
    0.041879 2.751499e-09 4.706500e-19 0 
    0.042756 3.085731e-09 5.063900e-19 0 
    0.043652 3.397247e-09 5.348600e-19 0 
    0.044463 3.732432e-09 5.663900e-19 0 
    0.045604 4.289502e-09 6.187600e-19 0 
    0.046666 4.774424e-09 6.577200e-19 0 
    0.047534 5.208480e-09 6.915500e-19 0 
    0.048529 5.771791e-09 7.352400e-19 0 
    0.049659 6.452332e-09 7.849500e-19 0 
    0.050699 6.970294e-09 8.135300e-19 0 
    0.051642 7.761112e-09 8.730499e-19 0 
    0.052360 8.070540e-09 8.831300e-19 0 
    0.052966 8.933786e-09 9.553500e-19 0 
    0.053703 9.527816e-09 9.911000e-19 0 
    0.054828 1.028991e-08 1.026900e-18 0 
    0.055847 1.083813e-08 1.042500e-18 0 
    0.056885 1.178839e-08 1.092900e-18 0 
    0.057943 1.312068e-08 1.172400e-18 0 
    0.058884 1.447377e-08 1.252300e-18 0 
    0.059979 1.531088e-08 1.276800e-18 0 
    0.060954 1.677251e-08 1.354300e-18 0 
    0.062087 1.757787e-08 1.368000e-18 0 
    0.063096 1.727800e-08 1.302000e-18 0 
    0.064121 2.103719e-08 1.535000e-18 0 
    0.065163 2.241153e-08 1.583400e-18 0 
    0.066222 2.409459e-08 1.648300e-18 0 
    0.067143 2.585743e-08 1.720700e-18 0 
    0.068077 2.717658e-08 1.759200e-18 0 
    0.068707 2.899267e-08 1.842500e-18 0 
    0.069823 3.073358e-08 1.891200e-18 0 
    0.070795 3.141980e-08 1.880700e-18 0 
    0.071779 3.628540e-08 2.112800e-18 0 
    0.072946 3.672814e-08 2.070700e-18 0 
    0.073961 4.192566e-08 2.299300e-18 0 
    0.074989 4.466065e-08 2.382600e-18 0 
    0.076033 4.746601e-08 2.463200e-18 0 
    0.077090 5.209321e-08 2.629700e-18 0 
    0.077983 5.590381e-08 2.757800e-18 0 
    0.079068 5.712223e-08 2.741100e-18 0 
    0.080168 6.548377e-08 3.056700e-18 0 
    0.081096 6.977732e-08 3.183000e-18 0 
    0.082224 7.550896e-08 3.350600e-18 0 
    0.083176 8.082357e-08 3.504800e-18 0 
    0.084333 8.645178e-08 3.646700e-18 0 
    0.085310 9.533913e-08 3.930000e-18 0 
    0.086298 8.467631e-08 3.411000e-18 0 
    0.087297 1.059769e-07 4.171900e-18 0 
    0.088308 1.115963e-07 4.293100e-18 0 
