# UGC 09618 S    
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010544 1.736012e-13 4.684500e-22 0 
    0.010740 2.304338e-13 5.993200e-22 0 
    0.010965 3.122886e-13 7.792200e-22 0 
    0.011169 4.300846e-13 1.034300e-21 0 
    0.011376 6.614749e-13 1.533400e-21 0 
    0.011776 1.095295e-12 2.369500e-21 0 
    0.012190 1.700385e-12 3.432900e-21 0 
    0.012503 7.055989e-12 1.354100e-20 0 
    0.012912 1.005820e-11 1.809900e-20 0 
    0.013122 1.160195e-11 2.021400e-20 0 
    0.013243 1.272068e-11 2.176000e-20 0 
    0.013552 1.547185e-11 2.527300e-20 0 
    0.013646 1.886031e-11 3.038500e-20 0 
    0.013836 2.116185e-11 3.316300e-20 0 
    0.014158 2.941321e-11 4.402100e-20 0 
    0.014488 3.495850e-11 4.996400e-20 0 
    0.014791 1.070387e-10 1.467800e-19 0 
    0.015205 3.058516e-10 3.968800e-19 0 
    0.015596 3.618773e-10 4.463300e-19 0 
    0.016032 4.340211e-10 5.065900e-19 0 
    0.016444 5.206561e-10 5.776400e-19 0 
    0.016749 5.895411e-10 6.304600e-19 0 
    0.017179 7.055583e-10 7.172300e-19 0 
    0.017579 8.194625e-10 7.955400e-19 0 
    0.017865 9.194842e-10 8.642900e-19 0 
    0.018281 1.060568e-09 9.520500e-19 0 
    0.018621 1.181811e-09 1.022500e-18 0 
    0.018793 1.260488e-09 1.070700e-18 0 
    0.019231 1.443945e-09 1.171300e-18 0 
    0.019724 1.692437e-09 1.305100e-18 0 
    0.020045 1.873067e-09 1.398500e-18 0 
    0.020464 2.106300e-09 1.508900e-18 0 
    0.020893 2.379747e-09 1.635500e-18 0 
    0.021184 2.591450e-09 1.732400e-18 0 
    0.021727 2.847953e-09 1.809900e-18 0 
    0.022336 3.487788e-09 2.097300e-18 0 
    0.022751 3.886373e-09 2.252500e-18 0 
    0.023067 4.144954e-09 2.337000e-18 0 
    0.023442 4.597529e-09 2.509900e-18 0 
    0.023768 7.303446e-09 3.878500e-18 0 
    0.024210 1.263371e-08 6.466400e-18 0 
    0.024831 1.688603e-08 8.216000e-18 0 
    0.025410 1.716121e-08 7.973700e-18 0 
    0.026062 1.974945e-08 8.722900e-18 0 
    0.026546 1.768232e-08 7.527700e-18 0 
    0.026853 2.111165e-08 8.783300e-18 0 
    0.027290 2.325662e-08 9.368300e-18 0 
    0.027797 2.452078e-08 9.520500e-18 0 
    0.028314 2.579548e-08 9.653000e-18 0 
    0.028840 2.713487e-08 9.787200e-18 0 
    0.029376 2.861051e-08 9.946300e-18 0 
    0.029992 2.894356e-08 9.653000e-18 0 
    0.030620 3.115656e-08 9.969200e-18 0 
    0.031117 3.210227e-08 9.946300e-18 0 
    0.031842 3.455754e-08 1.022500e-17 0 
    0.032885 3.841936e-08 1.065800e-17 0 
    0.033884 4.145116e-08 1.083100e-17 0 
    0.034914 4.421268e-08 1.088100e-17 0 
    0.035975 4.704851e-08 1.090600e-17 0 
    0.036898 4.983406e-08 1.098100e-17 0 
    0.037844 5.315254e-08 1.113400e-17 0 
    0.038726 5.553401e-08 1.110900e-17 0 
    0.039811 5.669243e-08 1.073100e-17 0 
    0.040832 6.145492e-08 1.105800e-17 0 
    0.041879 6.509124e-08 1.113400e-17 0 
    0.042756 6.722443e-08 1.103200e-17 0 
    0.043652 6.911237e-08 1.088100e-17 0 
    0.044463 7.088055e-08 1.075600e-17 0 
    0.045604 7.456507e-08 1.075600e-17 0 
    0.046666 7.682981e-08 1.058400e-17 0 
    0.047534 7.826090e-08 1.039100e-17 0 
    0.048529 8.063739e-08 1.027200e-17 0 
    0.049659 8.423912e-08 1.024800e-17 0 
    0.050699 8.521952e-08 9.946300e-18 0 
    0.051642 8.882720e-08 9.992200e-18 0 
    0.052360 9.006147e-08 9.855100e-18 0 
    0.052966 1.019855e-07 1.090600e-17 0 
    0.053703 1.043628e-07 1.085600e-17 0 
    0.054828 1.070376e-07 1.068200e-17 0 
    0.055847 1.067907e-07 1.027200e-17 0 
    0.056885 1.152197e-07 1.068200e-17 0 
    0.057943 1.257567e-07 1.123700e-17 0 
    0.058884 1.350639e-07 1.168600e-17 0 
    0.059979 1.363085e-07 1.136700e-17 0 
    0.060954 1.494701e-07 1.206900e-17 0 
    0.062087 1.525985e-07 1.187600e-17 0 
    0.063096 1.543607e-07 1.163200e-17 0 
    0.064121 1.843050e-07 1.344800e-17 0 
    0.065163 1.943352e-07 1.373000e-17 0 
    0.066222 2.053661e-07 1.404900e-17 0 
    0.067143 2.226141e-07 1.481400e-17 0 
    0.068077 2.336395e-07 1.512400e-17 0 
    0.068707 2.503519e-07 1.591000e-17 0 
    0.069823 2.639623e-07 1.624300e-17 0 
    0.070795 2.633603e-07 1.576400e-17 0 
    0.071779 3.224949e-07 1.877800e-17 0 
    0.072946 3.137154e-07 1.768700e-17 0 
    0.073961 3.806732e-07 2.087700e-17 0 
    0.074989 4.069431e-07 2.171000e-17 0 
    0.076033 4.350601e-07 2.257700e-17 0 
    0.077090 4.836505e-07 2.441500e-17 0 
    0.077983 5.218405e-07 2.574300e-17 0 
    0.079068 5.414223e-07 2.598100e-17 0 
    0.080168 6.245027e-07 2.915100e-17 0 
    0.081096 6.630270e-07 3.024500e-17 0 
    0.082224 7.286775e-07 3.233400e-17 0 
    0.083176 7.862126e-07 3.409300e-17 0 
    0.084333 8.443669e-07 3.561700e-17 0 
    0.085310 9.387143e-07 3.869500e-17 0 
    0.086298 8.045366e-07 3.240900e-17 0 
    0.087297 1.048414e-06 4.127200e-17 0 
    0.088308 1.108009e-06 4.262500e-17 0 
    0.089331 1.226158e-06 4.609600e-17 0 
