# UM 461         
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: f_nu (Jy)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
    0.010046 1.847817e-12 5.492800e-21 0 
    0.010233 2.315687e-12 6.634300e-21 0 
    0.010447 2.664758e-12 7.324800e-21 0 
    0.010641 3.152386e-12 8.352100e-21 0 
    0.010839 3.790109e-12 9.678200e-21 0 
    0.011041 5.428778e-12 1.336000e-20 0 
    0.011429 7.156346e-12 1.643600e-20 0 
    0.011830 8.946467e-12 1.917800e-20 0 
    0.012134 2.875282e-11 5.858600e-20 0 
    0.012531 3.504662e-11 6.695700e-20 0 
    0.012735 3.781556e-11 6.995100e-20 0 
    0.012853 3.987368e-11 7.241000e-20 0 
    0.013152 4.422397e-11 7.670000e-20 0 
    0.013243 5.089149e-11 8.705500e-20 0 
    0.013459 5.416286e-11 8.970100e-20 0 
    0.013740 6.647211e-11 1.056300e-19 0 
    0.014060 7.322202e-11 1.111200e-19 0 
    0.014355 1.587395e-10 2.311000e-19 0 
    0.014757 3.102193e-10 4.273600e-19 0 
    0.015136 3.417386e-10 4.475000e-19 0 
    0.015560 3.825557e-10 4.740200e-19 0 
    0.015959 4.272504e-10 5.032600e-19 0 
    0.016255 4.609406e-10 5.233500e-19 0 
    0.016672 5.148108e-10 5.556400e-19 0 
    0.017061 5.632257e-10 5.804900e-19 0 
    0.017378 6.076741e-10 6.036600e-19 0 
    0.017742 6.602061e-10 6.292100e-19 0 
    0.018072 7.058092e-10 6.483300e-19 0 
    0.018281 7.356522e-10 6.603800e-19 0 
    0.018664 7.974195e-10 6.867500e-19 0 
    0.019187 8.804213e-10 7.174600e-19 0 
    0.019454 9.347411e-10 7.409600e-19 0 
    0.019861 1.006187e-09 7.652400e-19 0 
    0.020277 1.085632e-09 7.921300e-19 0 
    0.020559 1.142033e-09 8.105800e-19 0 
    0.021086 1.201332e-09 8.105800e-19 0 
    0.021677 1.373010e-09 8.765900e-19 0 
    0.022080 1.471208e-09 9.053100e-19 0 
    0.022387 1.526387e-09 9.136800e-19 0 
    0.022803 1.635535e-09 9.436200e-19 0 
    0.023067 2.492648e-09 1.405400e-18 0 
    0.023496 4.184630e-09 2.274000e-18 0 
    0.024099 5.816717e-09 3.004700e-18 0 
    0.024660 5.671084e-09 2.797700e-18 0 
    0.025293 6.275808e-09 2.943000e-18 0 
    0.025763 5.077773e-09 2.295100e-18 0 
    0.026062 6.363459e-09 2.810600e-18 0 
    0.026485 6.928975e-09 2.963400e-18 0 
    0.026977 7.123058e-09 2.936300e-18 0 
    0.027479 7.272325e-09 2.889300e-18 0 
    0.027990 7.390712e-09 2.830100e-18 0 
    0.028510 7.632652e-09 2.817100e-18 0 
    0.029107 7.510583e-09 2.659500e-18 0 
    0.029717 7.738901e-09 2.629000e-18 0 
    0.030200 7.459271e-09 2.453600e-18 0 
    0.030903 7.955749e-09 2.499200e-18 0 
    0.031915 8.623189e-09 2.539800e-18 0 
    0.032885 8.905881e-09 2.470600e-18 0 
    0.033884 9.113054e-09 2.381200e-18 0 
    0.034914 9.282590e-09 2.284500e-18 0 
    0.035810 9.631350e-09 2.253200e-18 0 
    0.036728 1.017825e-08 2.263600e-18 0 
    0.037670 1.036743e-08 2.191800e-18 0 
    0.038637 1.010837e-08 2.031400e-18 0 
    0.039628 1.085603e-08 2.073900e-18 0 
    0.040644 1.136751e-08 2.064400e-18 0 
    0.041591 1.152573e-08 1.998900e-18 0 
    0.042364 1.149930e-08 1.922200e-18 0 
    0.043152 1.152575e-08 1.856900e-18 0 
