# Arp 118        
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0201e-02 6.782756e+11 1.625613e-07 0 
  1.0391e-02 9.235722e+11 2.133303e-07 0 
  1.0608e-02 1.280614e+12 2.838230e-07 0 
  1.0806e-02 1.804792e+12 3.854727e-07 0 
  1.1006e-02 2.827791e+12 5.822169e-07 0 
  1.1393e-02 4.891610e+12 9.398792e-07 0 
  1.1794e-02 7.915010e+12 1.419141e-06 0 
  1.2096e-02 3.329930e+13 5.676073e-06 0 
  1.2492e-02 4.925583e+13 7.872091e-06 0 
  1.2695e-02 5.787117e+13 8.955571e-06 0 
  1.2813e-02 6.404342e+13 9.729025e-06 0 
  1.3111e-02 7.988594e+13 1.159031e-05 0 
  1.3202e-02 9.804771e+13 1.402990e-05 0 
  1.3386e-02 1.120530e+14 1.559619e-05 0 
  1.3698e-02 1.590220e+14 2.113681e-05 0 
  1.3985e-02 1.929563e+14 2.460540e-05 0 
  1.4310e-02 6.115615e+14 7.448302e-05 0 
  1.4711e-02 1.830083e+15 2.109031e-04 0 
  1.5089e-02 2.215448e+15 2.426818e-04 0 
  1.5511e-02 2.719239e+15 2.818799e-04 0 
  1.5909e-02 3.329878e+15 3.281247e-04 0 
  1.6205e-02 3.831881e+15 3.639238e-04 0 
  1.6582e-02 4.660774e+15 4.227471e-04 0 
  1.7008e-02 5.551731e+15 4.786503e-04 0 
  1.7284e-02 6.316280e+15 5.273141e-04 0 
