# Arp 256 N      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0007e-02 7.754151e+10 1.931181e-08 0 
  1.0193e-02 1.045955e+11 2.510761e-08 0 
  1.0407e-02 1.292923e+11 2.977268e-08 0 
  1.0600e-02 1.642564e+11 3.645920e-08 0 
  1.0797e-02 2.121112e+11 4.537889e-08 0 
  1.0998e-02 3.361627e+11 6.931360e-08 0 
  1.1411e-02 5.123255e+11 9.812846e-08 0 
  1.1812e-02 7.320660e+11 1.308578e-07 0 
  1.2087e-02 2.402023e+12 4.100497e-07 0 
  1.2512e-02 3.392761e+12 5.405007e-07 0 
  1.2686e-02 3.940580e+12 6.106708e-07 0 
  1.2803e-02 4.300544e+12 6.543292e-07 0 
  1.3101e-02 5.303594e+12 7.706512e-07 0 
  1.3192e-02 6.202219e+12 8.888373e-07 0 
  1.3406e-02 7.104595e+12 9.859102e-07 0 
  1.3687e-02 9.451725e+12 1.258320e-06 0 
  1.4006e-02 1.149610e+13 1.461567e-06 0 
  1.4299e-02 2.363309e+13 2.882741e-06 0 
  1.4700e-02 4.803515e+13 5.543971e-06 0 
  1.5112e-02 5.991658e+13 6.543342e-06 0 
  1.5499e-02 7.473720e+13 7.759359e-06 0 
  1.5897e-02 9.301772e+13 9.179769e-06 0 
  1.6192e-02 1.087766e+14 1.034739e-05 0 
  1.6608e-02 1.344474e+14 1.215666e-05 0 
  1.6995e-02 1.623726e+14 1.402061e-05 0 
  1.7311e-02 1.877404e+14 1.562464e-05 0 
  1.7714e-02 2.251874e+14 1.789811e-05 0 
  1.8002e-02 2.561849e+14 1.971553e-05 0 
  1.8210e-02 2.802605e+14 2.107843e-05 0 
  1.8591e-02 3.308045e+14 2.387054e-05 0 
  1.9112e-02 4.060389e+14 2.772374e-05 0 
  1.9378e-02 4.566234e+14 3.032751e-05 0 
  1.9784e-02 5.315641e+14 3.387068e-05 0 
  2.0198e-02 6.187765e+14 3.782802e-05 0 
  2.0479e-02 6.879527e+14 4.091076e-05 0 
  2.1004e-02 7.934553e+14 4.485542e-05 0 
  2.1593e-02 1.003563e+15 5.368030e-05 0 
  2.1994e-02 1.144278e+15 5.899557e-05 0 
  2.2300e-02 1.248987e+15 6.263897e-05 0 
  2.2715e-02 1.424173e+15 6.883886e-05 0 
  2.2978e-02 2.262308e+15 1.068621e-04 0 
  2.3405e-02 4.050816e+15 1.844258e-04 0 
  2.4006e-02 5.553109e+15 2.403217e-04 0 
  2.4621e-02 5.950435e+15 2.448126e-04 0 
  2.5195e-02 6.895074e+15 2.708986e-04 0 
  2.5722e-02 6.346722e+15 2.392415e-04 0 
  2.6020e-02 7.683292e+15 2.830279e-04 0 
  2.6382e-02 8.502347e+15 3.046631e-04 0 
  2.6873e-02 9.173624e+15 3.168145e-04 0 
  2.7372e-02 9.852405e+15 3.279636e-04 0 
  2.7881e-02 1.058158e+16 3.394926e-04 0 
  2.8400e-02 1.136398e+16 3.513907e-04 0 
  2.8994e-02 1.179059e+16 3.497968e-04 0 
  2.9601e-02 1.298831e+16 3.696887e-04 0 
  3.0082e-02 1.350678e+16 3.722501e-04 0 
  3.0783e-02 1.491251e+16 3.924870e-04 0 
  3.1792e-02 1.708231e+16 4.215095e-04 0 
  3.2833e-02 1.903464e+16 4.403724e-04 0 
  3.3831e-02 2.091966e+16 4.558495e-04 0 
  3.4779e-02 2.277875e+16 4.696692e-04 0 
  3.5671e-02 2.463483e+16 4.828536e-04 0 
  3.6586e-02 2.670223e+16 4.975241e-04 0 
  3.7524e-02 2.867806e+16 5.079582e-04 0 
  3.8487e-02 2.989171e+16 5.032909e-04 0 
  3.9474e-02 3.292624e+16 5.270069e-04 0 
  4.0487e-02 3.536263e+16 5.380341e-04 0 
  4.1430e-02 3.745849e+16 5.442731e-04 0 
  4.2200e-02 3.904297e+16 5.467822e-04 0 
  4.2984e-02 4.069520e+16 5.493207e-04 0 
  4.4087e-02 4.350554e+16 5.582386e-04 0 
  4.5114e-02 4.576641e+16 5.608163e-04 0 
  4.5953e-02 4.759244e+16 5.620910e-04 0 
  4.7023e-02 5.018222e+16 5.660120e-04 0 
  4.8008e-02 5.278762e+16 5.712172e-04 0 
