# Arp 256 S      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0009e-02 2.074572e+07 5.164682e-12 0 
  1.0195e-02 3.325919e+07 7.980566e-12 0 
  1.0409e-02 4.852590e+07 1.116997e-11 0 
  1.0602e-02 7.176400e+07 1.592310e-11 0 
  1.0799e-02 1.076369e+08 2.301923e-11 0 
  1.1000e-02 1.853282e+08 3.819906e-11 0 
  1.1413e-02 3.638645e+08 6.966851e-11 0 
  1.1787e-02 6.590814e+08 1.183120e-10 0 
  1.2089e-02 2.937464e+09 5.012891e-10 0 
  1.2514e-02 4.931161e+09 7.853320e-10 0 
  1.2688e-02 6.137041e+09 9.507562e-10 0 
  1.2805e-02 6.981055e+09 1.061838e-09 0 
  1.3104e-02 9.549552e+09 1.386985e-09 0 
  1.3195e-02 1.193865e+10 1.710144e-09 0 
  1.3409e-02 1.448586e+10 2.009315e-09 0 
  1.3690e-02 2.197433e+10 2.924188e-09 0 
  1.4009e-02 2.910335e+10 3.698496e-09 0 
  1.4302e-02 8.648103e+10 1.054444e-08 0 
  1.4703e-02 2.505831e+11 2.890922e-08 0 
  1.5115e-02 3.411533e+11 3.724172e-08 0 
  1.5502e-02 4.633784e+11 4.809022e-08 0 
  1.5900e-02 6.294511e+11 6.209608e-08 0 
  1.6196e-02 7.797009e+11 7.413255e-08 0 
  1.6611e-02 1.044596e+12 9.441770e-08 0 
  1.6998e-02 1.354966e+12 1.169578e-07 0 
  1.7314e-02 1.651795e+12 1.374225e-07 0 
  1.7717e-02 2.113253e+12 1.679066e-07 0 
