# CGCG 453-062   
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0005e-02 6.147573e+09 1.531673e-09 0 
  1.0191e-02 8.925955e+09 2.143471e-09 0 
  1.0405e-02 1.187602e+10 2.735793e-09 0 
  1.0598e-02 1.616767e+10 3.590014e-09 0 
  1.0795e-02 2.226613e+10 4.765363e-09 0 
  1.0996e-02 3.644741e+10 7.517851e-09 0 
  1.1409e-02 6.232273e+10 1.194119e-08 0 
  1.1810e-02 9.969481e+10 1.782663e-08 0 
  1.2113e-02 3.595012e+11 6.110733e-08 0 
  1.2509e-02 5.490900e+11 8.751749e-08 0 
  1.2713e-02 6.647909e+11 1.025854e-07 0 
  1.2801e-02 7.373371e+11 1.122212e-07 0 
  1.3099e-02 9.587411e+11 1.393547e-07 0 
  1.3190e-02 1.152610e+12 1.652302e-07 0 
  1.3404e-02 1.363421e+12 1.892595e-07 0 
  1.3685e-02 1.921559e+12 2.558942e-07 0 
  1.4003e-02 2.447230e+12 3.112642e-07 0 
  1.4297e-02 5.843030e+12 7.129265e-07 0 
  1.4697e-02 1.376155e+13 1.588936e-06 0 
  1.5109e-02 1.797456e+13 1.963737e-06 0 
  1.5497e-02 2.347678e+13 2.438034e-06 0 
  1.5894e-02 3.045572e+13 3.006761e-06 0 
  1.6190e-02 3.670028e+13 3.491983e-06 0 
  1.6605e-02 4.728035e+13 4.276608e-06 0 
  1.6992e-02 5.938262e+13 5.129403e-06 0 
  1.7308e-02 7.057805e+13 5.875872e-06 0 
  1.7711e-02 8.743015e+13 6.951388e-06 0 
  1.7998e-02 1.022490e+14 7.872401e-06 0 
  1.8207e-02 1.136776e+14 8.552530e-06 0 
  1.8588e-02 1.382563e+14 9.979669e-06 0 
  1.9109e-02 1.760615e+14 1.202499e-05 0 
  1.9419e-02 2.040173e+14 1.349304e-05 0 
  1.9780e-02 2.430325e+14 1.549202e-05 0 
  2.0195e-02 2.908345e+14 1.778503e-05 0 
  2.0523e-02 3.316473e+14 1.963773e-05 0 
  2.1001e-02 3.914373e+14 2.213496e-05 0 
  2.1589e-02 5.148236e+14 2.754799e-05 0 
  2.1990e-02 6.020703e+14 3.105226e-05 0 
  2.2296e-02 6.678199e+14 3.350440e-05 0 
  2.2711e-02 7.774493e+14 3.759205e-05 0 
  2.2974e-02 1.263716e+15 5.971350e-05 0 
  2.3401e-02 2.294322e+15 1.044918e-04 0 
  2.4001e-02 3.240862e+15 1.403131e-04 0 
  2.4617e-02 3.569890e+15 1.469200e-04 0 
  2.5190e-02 4.282262e+15 1.683113e-04 0 
  2.5718e-02 4.042397e+15 1.524267e-04 0 
  2.6016e-02 4.950682e+15 1.824233e-04 0 
  2.6378e-02 5.593377e+15 2.004873e-04 0 
  2.6930e-02 6.203891e+15 2.133477e-04 0 
  2.7431e-02 6.802448e+15 2.254646e-04 0 
  2.7876e-02 7.407601e+15 2.377459e-04 0 
  2.8395e-02 8.140819e+15 2.518145e-04 0 
  2.8989e-02 8.623272e+15 2.559187e-04 0 
  2.9596e-02 9.719965e+15 2.767548e-04 0 
  3.0077e-02 1.031980e+16 2.845109e-04 0 
  3.0778e-02 1.165901e+16 3.069569e-04 0 
  3.1786e-02 1.379326e+16 3.404800e-04 0 
  3.2827e-02 1.587307e+16 3.673627e-04 0 
  3.3825e-02 1.797516e+16 3.918263e-04 0 
  3.4772e-02 2.012139e+16 4.150449e-04 0 
  3.5664e-02 2.236963e+16 4.386267e-04 0 
  3.6579e-02 2.492647e+16 4.646154e-04 0 
  3.7518e-02 2.733139e+16 4.842602e-04 0 
  3.8480e-02 2.915252e+16 4.910237e-04 0 
