# Haro 06        
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0002e-02 1.110263e+10 2.767889e-09 0 
  1.0211e-02 1.529099e+10 3.657594e-09 0 
  1.0401e-02 1.902978e+10 4.387124e-09 0 
  1.0595e-02 2.429231e+10 5.397137e-09 0 
  1.0792e-02 3.165491e+10 6.778501e-09 0 
  1.0992e-02 4.714530e+10 9.731536e-09 0 
  1.1405e-02 7.103893e+10 1.362079e-08 0 
  1.1806e-02 1.001054e+11 1.791218e-08 0 
  1.2108e-02 3.885619e+11 6.610157e-08 0 
  1.2505e-02 5.145684e+11 8.206768e-08 0 
  1.2708e-02 5.734218e+11 8.855564e-08 0 
  1.2796e-02 6.157818e+11 9.379395e-08 0 
  1.3094e-02 7.136531e+11 1.038099e-07 0 
  1.3185e-02 8.520484e+11 1.222364e-07 0 
  1.3399e-02 9.321432e+11 1.294894e-07 0 
  1.3711e-02 1.231593e+12 1.633900e-07 0 
  1.3999e-02 1.407557e+12 1.791300e-07 0 
  1.4292e-02 3.745068e+12 4.572673e-07 0 
  1.4692e-02 9.025161e+12 1.042772e-06 0 
  1.5104e-02 1.036167e+13 1.132771e-06 0 
  1.5491e-02 1.200837e+13 1.248020e-06 0 
  1.5889e-02 1.401141e+13 1.384157e-06 0 
  1.6184e-02 1.554026e+13 1.479732e-06 0 
  1.6599e-02 1.813282e+13 1.641338e-06 0 
  1.6986e-02 2.062765e+13 1.783052e-06 0 
  1.7302e-02 2.272240e+13 1.893032e-06 0 
  1.7705e-02 2.614984e+13 2.080528e-06 0 
  1.7992e-02 2.873802e+13 2.214086e-06 0 
  1.8201e-02 3.065139e+13 2.307577e-06 0 
  1.8582e-02 3.470973e+13 2.507048e-06 0 
  1.9102e-02 4.068667e+13 2.780935e-06 0 
  1.9413e-02 4.512762e+13 2.986439e-06 0 
  1.9819e-02 5.099004e+13 3.237564e-06 0 
  2.0188e-02 5.787156e+13 3.541400e-06 0 
  2.0516e-02 6.374710e+13 3.777213e-06 0 
  2.0993e-02 7.152452e+13 4.047645e-06 0 
  2.1582e-02 8.942531e+13 4.788214e-06 0 
  2.1983e-02 1.019675e+14 5.262405e-06 0 
  2.2289e-02 1.105247e+14 5.548486e-06 0 
  2.2703e-02 1.266069e+14 6.126144e-06 0 
  2.3019e-02 1.911879e+14 8.998785e-06 0 
  2.3393e-02 3.202134e+14 1.459366e-05 0 
  2.3993e-02 4.410433e+14 1.910771e-05 0 
  2.4608e-02 4.824599e+14 1.987033e-05 0 
  2.5182e-02 5.962704e+14 2.345088e-05 0 
  2.5709e-02 6.045715e+14 2.281255e-05 0 
  2.6007e-02 7.218998e+14 2.661907e-05 0 
  2.6429e-02 9.850136e+14 3.517039e-05 0 
  2.6921e-02 1.157329e+15 3.982638e-05 0 
  2.7421e-02 1.347314e+15 4.468881e-05 0 
  2.7931e-02 1.362864e+15 4.356884e-05 0 
  2.8385e-02 1.804959e+15 5.587093e-05 0 
  2.8979e-02 2.174984e+15 6.459304e-05 0 
  2.9586e-02 2.357509e+15 6.717031e-05 0 
  3.0067e-02 2.406892e+15 6.640073e-05 0 
  3.0767e-02 3.100684e+15 8.169277e-05 0 
  3.1775e-02 3.966996e+15 9.799120e-05 0 
  3.2816e-02 5.145907e+15 1.191755e-04 0 
  3.3813e-02 6.045903e+15 1.318834e-04 0 
  3.4760e-02 7.006026e+15 1.446134e-04 0 
  3.5734e-02 1.102673e+16 2.153674e-04 0 
  3.6567e-02 1.916313e+16 3.574245e-04 0 
  3.7505e-02 2.225604e+16 3.946081e-04 0 
  3.8467e-02 2.115799e+16 3.566105e-04 0 
  3.9544e-02 3.601293e+16 5.743726e-04 0 
  4.0465e-02 5.110378e+16 7.783777e-04 0 
  4.1408e-02 5.800365e+16 8.436907e-04 0 
  4.2178e-02 5.908262e+16 8.282934e-04 0 
  4.2962e-02 6.287124e+16 8.495316e-04 0 
  4.4064e-02 8.384243e+16 1.076942e-03 0 
  4.5090e-02 9.670668e+16 1.186294e-03 0 
  4.6035e-02 9.560096e+16 1.125077e-03 0 
  4.6999e-02 1.085069e+17 1.225114e-03 0 
  4.7983e-02 1.347286e+17 1.459424e-03 0 
  4.8987e-02 1.277770e+17 1.327968e-03 0 
    0.050013 1.719720e+17 1.714701e-03 0 
    0.050592 1.586562e+17 1.545930e-03 0 
    0.051178 2.579023e+17 2.455755e-03 0 
    0.052010 2.645134e+17 2.438768e-03 0 
    0.052977 2.669646e+17 2.372332e-03 0 
    0.053962 2.406960e+17 2.061528e-03 0 
    0.054965 2.531858e+17 2.090082e-03 0 
    0.055987 3.543814e+17 2.819635e-03 0 
    0.057028 4.250844e+17 3.259833e-03 0 
    0.057954 4.451102e+17 3.305196e-03 0 
    0.059032 4.858052e+17 3.476831e-03 0 
    0.059991 4.400164e+17 3.049251e-03 0 
    0.060966 4.512800e+17 3.028079e-03 0 
    0.061956 6.045785e+17 3.928099e-03 0 
    0.062963 6.045894e+17 3.803524e-03 0 
    0.063986 7.038133e+17 4.287302e-03 0 
    0.065026 7.169121e+17 4.228519e-03 0 
    0.065779 6.893850e+17 3.973597e-03 0 
    0.066540 8.025197e+17 4.520501e-03 0 
    0.067466 8.819783e+17 4.832640e-03 0 
    0.068562 8.043913e+17 4.267729e-03 0 
    0.069516 9.693133e+17 5.002546e-03 0 
    0.070483 8.307362e+17 4.170526e-03 0 
    0.071628 1.100158e+18 5.347933e-03 0 
    0.072625 1.162678e+18 5.497731e-03 0 
    0.073466 1.209121e+18 5.587192e-03 0 
    0.074488 1.223076e+18 5.497651e-03 0 
    0.075524 1.266070e+18 5.535848e-03 0 
    0.076575 1.187018e+18 5.048704e-03 0 
    0.077461 1.369190e+18 5.691073e-03 0 
    0.078539 1.313596e+18 5.311137e-03 0 
    0.079448 1.456979e+18 5.756837e-03 0 
    0.080553 1.550424e+18 5.959137e-03 0 
    0.081486 1.612315e+18 6.055924e-03 0 
    0.082430 1.692217e+18 6.211292e-03 0 
    0.083577 1.410805e+18 5.037209e-03 0 
    0.084544 1.776071e+18 6.197137e-03 0 
    0.085523 1.800735e+18 6.140170e-03 0 
    0.086514 1.925118e+18 6.414768e-03 0 
    0.087515 1.992764e+18 6.489144e-03 0 
    0.088529 2.058063e+18 6.549137e-03 0 
    0.089554 2.125454e+18 6.609645e-03 0 
    0.090591 2.145167e+18 6.519097e-03 0 
    0.091429 2.140230e+18 6.385412e-03 0 
    0.092488 5.193488e+18 1.514205e-02 0 
    0.093559 8.618931e+18 2.455719e-02 0 
    0.094424 1.237258e+19 3.460924e-02 0 
    0.095518 1.525662e+19 4.170464e-02 0 
    0.096402 1.700059e+19 4.562347e-02 0 
    0.097518 6.243951e+18 1.637519e-02 0 
    0.098420 1.443647e+19 3.716985e-02 0 
    0.099560 1.460358e+19 3.674396e-02 0 
    0.100481 1.916301e+19 4.733607e-02 0 
    0.101411 1.965420e+19 4.766303e-02 0 
    0.102585 1.271896e+19 3.014257e-02 0 
    0.103534 1.715737e+19 3.991915e-02 0 
    0.104492 2.561300e+19 5.850471e-02 0 
    0.105459 2.526152e+19 5.664854e-02 0 
    0.106435 2.145200e+19 4.722754e-02 0 
    0.107420 2.440395e+19 5.274562e-02 0 
    0.108414 2.120629e+19 4.499771e-02 0 
    0.109417 2.608892e+19 5.434792e-02 0 
    0.110429 2.543624e+19 5.202151e-02 0 
    0.111451 2.520343e+19 5.060438e-02 0 
    0.112482 2.277476e+19 4.489358e-02 0 
    0.113523 2.782631e+19 5.384983e-02 0 
    0.114574 2.651304e+19 5.037138e-02 0 
    0.115368 2.738158e+19 5.130789e-02 0 
    0.116435 2.789079e+19 5.130861e-02 0 
    0.117513 1.974549e+19 3.566092e-02 0 
    0.118600 2.757155e+19 4.888642e-02 0 
    0.119422 2.256575e+19 3.946186e-02 0 
    0.120527 1.903084e+19 3.267275e-02 0 
    0.121362 1.497808e+19 2.536220e-02 0 
    0.122485 2.298569e+19 3.821098e-02 0 
    0.123619 2.988535e+19 4.877355e-02 0 
    0.124476 3.180220e+19 5.118967e-02 0 
    0.125627 3.136563e+19 4.956606e-02 0 
    0.126498 2.940690e+19 4.583301e-02 0 
    0.127375 3.478979e+19 5.347857e-02 0 
    0.128554 3.634696e+19 5.485211e-02 0 
    0.129445 3.107812e+19 4.625734e-02 0 
    0.130642 3.143811e+19 4.593959e-02 0 
    0.131548 3.719240e+19 5.360214e-02 0 
    0.132460 3.609579e+19 5.130781e-02 0 
    0.133378 3.368763e+19 4.722788e-02 0 
    0.134612 3.814645e+19 5.250286e-02 0 
    0.135545 3.745069e+19 5.083810e-02 0 
    0.136485 3.479039e+19 4.657855e-02 0 
    0.137431 3.584804e+19 4.733609e-02 0 
    0.138384 3.617874e+19 4.711705e-02 0 
    0.139343 2.961132e+19 3.803504e-02 0 
    0.140632 3.002305e+19 3.786021e-02 0 
    0.141607 3.527433e+19 4.387184e-02 0 
    0.142588 3.535554e+19 4.336986e-02 0 
    0.143577 3.642915e+19 4.407332e-02 0 
    0.144240 3.779765e+19 4.530955e-02 0 
    0.144572 3.823530e+19 4.562392e-02 0 
    0.145574 3.753716e+19 4.417639e-02 0 
    0.146583 3.560101e+19 4.132297e-02 0 
    0.147599 3.617939e+19 4.141817e-02 0 
    0.148622 3.710728e+19 4.189762e-02 0 
    0.149653 3.753630e+19 4.180008e-02 0 
    0.150343 3.601278e+19 3.973623e-02 0 
    0.151037 3.314796e+19 3.623987e-02 0 
    0.151735 3.503176e+19 3.794783e-02 0 
    0.152435 3.455120e+19 3.708431e-02 0 
    0.153491 3.044008e+19 3.222377e-02 0 
    0.154555 3.037193e+19 3.171047e-02 0 
    0.155627 2.995367e+19 3.084441e-02 0 
    0.156345 3.224440e+19 3.289901e-02 0 
    0.157429 3.471003e+19 3.492866e-02 0 
    0.158520 3.626261e+19 3.599046e-02 0 
    0.159619 3.710707e+19 3.632319e-02 0 
    0.160356 3.643062e+19 3.533398e-02 0 
    0.161467 3.659736e+19 3.500891e-02 0 
    0.162586 3.584838e+19 3.382203e-02 0 
    0.163337 3.788517e+19 3.541576e-02 0 
    0.164469 3.858766e+19 3.557762e-02 0 
    0.165609 3.727946e+19 3.389988e-02 0 
    0.166374 3.957924e+19 3.566096e-02 0 
    0.167142 3.626326e+19 3.237368e-02 0 
    0.167527 4.096901e+19 3.640678e-02 0 
    0.168688 4.202076e+19 3.682917e-02 0 
    0.169467 4.012924e+19 3.484874e-02 0 
    0.170641 3.939725e+19 3.374392e-02 0 
    0.171429 3.771073e+19 3.200315e-02 0 
    0.172617 3.771019e+19 3.156371e-02 0 
    0.173414 4.003633e+19 3.320339e-02 0 
    0.174616 3.976062e+19 3.252232e-02 0 
    0.175422 4.153949e+19 3.366585e-02 0 
    0.176638 3.967074e+19 3.171016e-02 0 
    0.177453 3.994421e+19 3.163615e-02 0 
    0.178684 4.115728e+19 3.214932e-02 0 
    0.179508 4.299793e+19 3.327947e-02 0 
    0.180337 4.309852e+19 3.305134e-02 0 
    0.181587 4.068725e+19 3.077409e-02 0 
    0.182425 4.163495e+19 3.120224e-02 0 
    0.183690 4.087580e+19 3.021285e-02 0 
    0.184537 3.832376e+19 2.806711e-02 0 
    0.185389 3.876770e+19 2.813187e-02 0 
    0.186674 4.003809e+19 2.865511e-02 0 
    0.187536 4.240960e+19 3.007401e-02 0 
    0.188402 3.957767e+19 2.780838e-02 0 
    0.189707 3.850009e+19 2.668035e-02 0 
    0.190583 4.097042e+19 2.813187e-02 0 
    0.191463 3.966919e+19 2.698858e-02 0 
    0.192347 3.876604e+19 2.613227e-02 0 
    0.193680 4.078163e+19 2.711387e-02 0 
    0.194574 4.231119e+19 2.787290e-02 0 
    0.195472 3.957873e+19 2.583385e-02 0 
    0.196827 4.319661e+19 2.780845e-02 0 
    0.197735 4.461301e+19 2.845712e-02 0 
    0.198191 4.250597e+19 2.698849e-02 0 
    0.199565 4.192468e+19 2.625412e-02 0 
