# IC 4051
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0010e-02 4.253291e+13 1.058653e-05 0 
  1.0196e-02 5.830132e+13 1.398670e-05 0 
  1.0410e-02 7.356927e+13 1.693135e-05 0 
  1.0603e-02 9.412068e+13 2.087969e-05 0 
  1.0801e-02 1.229385e+14 2.628187e-05 0 
  1.1001e-02 1.793545e+14 3.696106e-05 0 
  1.1388e-02 2.708413e+14 5.208545e-05 0 
  1.1788e-02 3.861240e+14 6.930155e-05 0 
  1.2091e-02 1.471321e+15 2.510033e-04 0 
  1.2487e-02 1.930711e+15 3.088144e-04 0 
  1.2690e-02 2.151431e+15 3.331966e-04 0 
  1.2807e-02 2.316042e+15 3.521664e-04 0 
  1.3105e-02 2.671377e+15 3.879337e-04 0 
  1.3196e-02 3.196778e+15 4.578511e-04 0 
  1.3411e-02 3.497249e+15 4.849541e-04 0 
  1.3691e-02 4.589089e+15 6.105940e-04 0 
  1.4010e-02 5.220473e+15 6.633306e-04 0 
  1.4304e-02 1.547740e+16 1.886599e-03 0 
  1.4704e-02 4.204737e+16 4.850253e-03 0 
  1.5116e-02 4.706876e+16 5.137543e-03 0 
  1.5504e-02 5.305522e+16 5.504743e-03 0 
  1.5902e-02 5.993783e+16 5.911449e-03 0 
  1.6197e-02 6.511612e+16 6.190358e-03 0 
  1.6613e-02 7.408142e+16 6.694368e-03 0 
  1.7000e-02 8.216564e+16 7.090695e-03 0 
  1.7316e-02 8.927340e+16 7.425460e-03 0 
  1.7719e-02 9.856335e+16 7.829490e-03 0 
  1.8007e-02 1.056082e+17 8.122900e-03 0 
  1.8216e-02 1.113560e+17 8.369585e-03 0 
  1.8597e-02 1.218247e+17 8.785089e-03 0 
  1.9118e-02 1.366859e+17 9.326859e-03 0 
  1.9384e-02 1.464635e+17 9.721628e-03 0 
  1.9790e-02 1.587436e+17 1.010884e-02 0 
  2.0204e-02 1.736667e+17 1.061056e-02 0 
  2.0485e-02 1.839506e+17 1.093266e-02 0 
  2.1011e-02 1.944041e+17 1.098268e-02 0 
  2.1600e-02 2.273582e+17 1.215345e-02 0 
  2.2001e-02 2.458643e+17 1.266797e-02 0 
  2.2307e-02 2.562692e+17 1.284430e-02 0 
  2.2722e-02 2.777787e+17 1.341845e-02 0 
  2.2985e-02 4.332064e+17 2.045042e-02 0 
  2.3412e-02 7.686178e+17 3.497276e-02 0 
  2.4013e-02 9.810747e+17 4.243319e-02 0 
  2.4572e-02 9.631914e+17 3.978579e-02 0 
  2.5203e-02 1.063460e+18 4.175546e-02 0 
  2.5671e-02 9.262049e+17 3.505242e-02 0 
  2.6028e-02 1.085755e+18 3.997115e-02 0 
  2.6390e-02 1.160636e+18 4.156366e-02 0 
  2.6881e-02 1.193180e+18 4.118241e-02 0 
  2.7381e-02 1.220992e+18 4.061726e-02 0 
  2.7890e-02 1.252355e+18 4.015383e-02 0 
  2.8408e-02 1.287438e+18 3.978701e-02 0 
  2.9003e-02 1.263913e+18 3.747381e-02 0 
  2.9610e-02 1.323486e+18 3.764775e-02 0 
  3.0092e-02 1.341860e+18 3.695741e-02 0 
  3.0793e-02 1.395493e+18 3.670457e-02 0 
  3.1801e-02 1.484938e+18 3.662040e-02 0 
  3.2768e-02 1.537137e+18 3.570336e-02 0 
  3.3763e-02 1.583901e+18 3.465313e-02 0 
  3.4789e-02 1.624525e+18 3.347642e-02 0 
  3.5682e-02 1.662271e+18 3.256115e-02 0 
  3.6597e-02 1.708829e+18 3.182028e-02 0 
  3.7536e-02 1.744677e+18 3.088273e-02 0 
  3.8499e-02 1.724734e+18 2.902149e-02 0 
  3.9486e-02 1.805927e+18 2.888752e-02 0 
  4.0499e-02 1.848050e+18 2.810099e-02 0 
  4.1442e-02 1.873786e+18 2.721040e-02 0 
  4.2213e-02 1.878072e+18 2.628550e-02 0 
  4.2998e-02 1.895494e+18 2.556951e-02 0 
  4.4101e-02 1.926198e+18 2.470020e-02 0 
  4.5128e-02 1.939638e+18 2.375335e-02 0 
  4.5967e-02 1.944105e+18 2.294689e-02 0 
  4.7038e-02 1.966607e+18 2.216748e-02 0 
  4.8023e-02 1.989326e+18 2.151314e-02 0 
  4.9028e-02 1.980180e+18 2.054531e-02 0 
    0.050055 2.017103e+18 2.007842e-02 0 
    0.050634 2.007785e+18 1.953122e-02 0 
    0.051221 2.068858e+18 1.966667e-02 0 
    0.052053 2.078409e+18 1.913093e-02 0 
    0.053021 2.073563e+18 1.839577e-02 0 
    0.054006 2.045102e+18 1.748749e-02 0 
    0.055010 2.045157e+18 1.685543e-02 0 
    0.056033 2.087980e+18 1.658575e-02 0 
    0.056944 2.117005e+18 1.628255e-02 0 
    0.058002 2.102424e+18 1.558586e-02 0 
    0.058945 2.117006e+18 1.519584e-02 0 
    0.060041 2.087950e+18 1.444511e-02 0 
    0.061016 1.886769e+18 1.263944e-02 0 
    0.062008 2.136533e+18 1.385832e-02 0 
    0.063015 2.116935e+18 1.329585e-02 0 
    0.064039 2.141457e+18 1.302317e-02 0 
    0.064930 2.126705e+18 1.258094e-02 0 
    0.065833 2.112091e+18 1.215407e-02 0 
    0.066442 2.136562e+18 1.207054e-02 0 
    0.067522 2.151335e+18 1.176831e-02 0 
    0.068461 2.092715e+18 1.113576e-02 0 
    0.069574 2.151356e+18 1.108447e-02 0 
    0.070542 2.087953e+18 1.046458e-02 0 
    0.071523 2.146443e+18 1.046464e-02 0 
    0.072518 2.146413e+18 1.017931e-02 0 
    0.073527 2.156307e+18 9.947487e-03 0 
    0.074550 2.141488e+18 9.609854e-03 0 
    0.075587 2.141505e+18 9.348058e-03 0 
    0.076462 1.975679e+18 8.427944e-03 0 
    0.077526 2.131618e+18 8.845271e-03 0 
    0.078423 2.087949e+18 8.466997e-03 0 
    0.079514 2.116930e+18 8.350561e-03 0 
    0.080435 2.121825e+18 8.179297e-03 0 
    0.081554 2.131656e+18 7.993246e-03 0 
    0.082498 2.131643e+18 7.811315e-03 0 
    0.083454 2.012395e+18 7.206352e-03 0 
    0.084420 2.112100e+18 7.391288e-03 0 
    0.085594 2.112121e+18 7.189997e-03 0 
    0.086586 2.116985e+18 7.042371e-03 0 
    0.087588 2.126760e+18 6.913940e-03 0 
    0.088399 2.116976e+18 6.756437e-03 0 
    0.089422 2.121860e+18 6.617965e-03 0 
    0.090458 2.107238e+18 6.422675e-03 0 
    0.091505 2.481505e+18 7.391320e-03 0 
    0.092565 4.494870e+18 1.308338e-02 0 
    0.093421 6.993692e+18 1.998545e-02 0 
    0.094503 1.032079e+19 2.882159e-02 0 
    0.095597 1.320427e+19 3.603482e-02 0 
    0.096482 1.461241e+19 3.914945e-02 0 
    0.097599 5.555449e+18 1.454537e-02 0 
    0.098502 1.305323e+19 3.355245e-02 0 
    0.099413 1.348084e+19 3.401943e-02 0 
    0.100565 1.818491e+19 4.484498e-02 0 
    0.101495 1.797721e+19 4.352406e-02 0 
    0.102434 9.369749e+18 2.227082e-02 0 
    0.103382 1.434549e+19 3.347511e-02 0 
    0.104579 2.375318e+19 5.416631e-02 0 
    0.105547 2.358967e+19 5.281127e-02 0 
    0.106523 1.953074e+19 4.292679e-02 0 
    0.107509 2.278852e+19 4.917258e-02 0 
    0.108504 1.843816e+19 3.905912e-02 0 
    0.109508 2.425063e+19 5.043452e-02 0 
    0.110521 2.358927e+19 4.816387e-02 0 
    0.111544 2.305201e+19 4.620755e-02 0 
    0.112576 2.107273e+19 4.146920e-02 0 
    0.113618 2.622487e+19 5.066586e-02 0 
    0.114405 2.436188e+19 4.642130e-02 0 
    0.115464 2.586492e+19 4.838541e-02 0 
    0.116532 2.665075e+19 4.894581e-02 0 
    0.117610 1.930685e+19 3.481124e-02 0 
    0.118426 2.634617e+19 4.685110e-02 0 
    0.119521 1.980205e+19 3.457150e-02 0 
    0.120627 1.551354e+19 2.658999e-02 0 
    0.121463 1.088215e+19 1.839598e-02 0 
    0.122587 2.017063e+19 3.347550e-02 0 
    0.123437 2.842544e+19 4.652785e-02 0 
    0.124579 3.109638e+19 4.997083e-02 0 
    0.125443 3.004149e+19 4.761294e-02 0 
    0.126603 2.695957e+19 4.194898e-02 0 
    0.127481 3.378480e+19 5.184738e-02 0 
    0.128365 3.537716e+19 5.354589e-02 0 
    0.129552 2.895478e+19 4.302576e-02 0 
    0.130450 2.895435e+19 4.243479e-02 0 
    0.131355 3.570320e+19 5.160720e-02 0 
    0.132570 3.465111e+19 4.917260e-02 0 
    0.133489 3.131241e+19 4.382500e-02 0 
    0.134414 3.687322e+19 5.090009e-02 0 
    0.135346 3.603439e+19 4.905947e-02 0 
    0.136598 3.293935e+19 4.402737e-02 0 
    0.137545 3.457082e+19 4.557394e-02 0 
    0.138499 3.513332e+19 4.567960e-02 0 
    0.139459 3.045933e+19 3.905924e-02 0 
    0.140425 3.152894e+19 3.987650e-02 0 
    0.141399 3.347456e+19 4.175598e-02 0 
    0.142379 3.441201e+19 4.233646e-02 0 
    0.143366 3.473093e+19 4.214252e-02 0 
    0.144359 3.670449e+19 4.392664e-02 0 
    0.144692 3.729992e+19 4.443398e-02 0 
    0.145360 3.645220e+19 4.302594e-02 0 
    0.146368 3.409683e+19 3.969339e-02 0 
    0.147382 3.433341e+19 3.942071e-02 0 
    0.148404 3.529585e+19 3.996951e-02 0 
    0.149433 3.603356e+19 4.024488e-02 0 
    0.150468 3.449228e+19 3.799531e-02 0 
    0.151163 3.109669e+19 3.394061e-02 0 
    0.151861 3.332090e+19 3.603468e-02 0 
    0.152562 3.256198e+19 3.489109e-02 0 
    0.153619 2.868925e+19 3.031976e-02 0 
    0.154328 3.081168e+19 3.226431e-02 0 
    0.155398 2.962931e+19 3.060040e-02 0 
    0.156475 3.074137e+19 3.131337e-02 0 
    0.157560 3.301488e+19 3.316761e-02 0 
    0.158652 3.473143e+19 3.441344e-02 0 
    0.159384 3.562152e+19 3.497192e-02 0 
    0.160489 3.521308e+19 3.409650e-02 0 
    0.161601 3.553942e+19 3.394054e-02 0 
    0.162347 3.394011e+19 3.211598e-02 0 
    0.163473 3.636718e+19 3.394018e-02 0 
    0.164606 3.721432e+19 3.425431e-02 0 
    0.165366 3.481103e+19 3.174832e-02 0 
    0.166512 3.808117e+19 3.425435e-02 0 
    0.167281 3.433374e+19 3.060020e-02 0 
    0.167666 3.887932e+19 3.449253e-02 0 
    0.168440 4.052331e+19 3.562139e-02 0 
    0.169608 3.852237e+19 3.339772e-02 0 
    0.170390 3.738637e+19 3.211600e-02 0 
    0.171572 3.595215e+19 3.045991e-02 0 
    0.172364 3.595224e+19 3.018070e-02 0 
    0.173558 3.870003e+19 3.204191e-02 0 
    0.174359 3.816974e+19 3.131316e-02 0 
    0.175568 4.118188e+19 3.332053e-02 0 
    0.176378 3.799495e+19 3.046025e-02 0 
    0.177601 3.932909e+19 3.109707e-02 0 
    0.178421 4.043183e+19 3.167583e-02 0 
    0.179657 4.402711e+19 3.401954e-02 0 
    0.180487 4.362264e+19 3.339770e-02 0 
    0.181320 4.043005e+19 3.066968e-02 0 
    0.182577 4.194955e+19 3.138569e-02 0 
    0.183419 4.061864e+19 3.011156e-02 0 
    0.184691 3.738554e+19 2.733434e-02 0 
    0.185543 3.869996e+19 2.803612e-02 0 
    0.186400 4.071038e+19 2.922199e-02 0 
    0.187692 4.402555e+19 3.116805e-02 0 
    0.188558 4.127882e+19 2.895569e-02 0 
    0.189429 4.118165e+19 2.862248e-02 0 
    0.190303 4.322291e+19 2.976591e-02 0 
    0.191622 4.263088e+19 2.895543e-02 0 
    0.192506 4.118374e+19 2.771620e-02 0 
    0.193395 4.052395e+19 2.702202e-02 0 
    0.194288 4.631478e+19 3.060019e-02 0 
    0.195634 4.443484e+19 2.895552e-02 0 
    0.196537 5.008532e+19 3.233838e-02 0 
    0.197445 5.020128e+19 3.211582e-02 0 
    0.198356 5.066575e+19 3.211591e-02 0 
    0.199272 5.043379e+19 3.167565e-02 0 
    0.200653 5.125260e+19 3.174834e-02 0 
    0.201579 5.089934e+19 3.124050e-02 0 
    0.202509 5.043171e+19 3.066984e-02 0 
    0.203444 5.268841e+19 3.174840e-02 0 
    0.204383 5.658614e+19 3.378446e-02 0 
    0.205327 5.403868e+19 3.196753e-02 0 
    0.206274 5.404068e+19 3.167585e-02 0 
    0.207227 5.939032e+19 3.449209e-02 0 
    0.207704 8.198154e+19 4.739394e-02 0 
    0.208663 9.765954e+19 5.593972e-02 0 
