# IC 5298        
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0006e-02 3.142647e+02 7.828366e-17 0 
  1.0192e-02 6.039709e+02 1.450086e-16 0 
  1.0405e-02 1.051466e+03 2.422187e-16 0 
  1.0599e-02 1.842751e+03 4.091037e-16 0 
  1.0796e-02 3.260117e+03 6.975959e-16 0 
  1.0996e-02 6.621331e+03 1.365753e-15 0 
  1.1409e-02 1.771618e+04 3.394465e-15 0 
  1.1810e-02 4.303571e+04 7.695302e-15 0 
  1.2113e-02 2.308792e+05 3.924442e-14 0 
  1.2510e-02 5.045013e+05 8.039780e-14 0 
  1.2713e-02 7.187731e+05 1.109155e-13 0 
  1.2801e-02 8.658232e+05 1.317765e-13 0 
  1.3099e-02 1.425762e+06 2.072369e-13 0 
  1.3190e-02 1.883281e+06 2.699741e-13 0 
  1.3405e-02 2.579965e+06 3.580771e-13 0 
  1.3685e-02 4.625912e+06 6.160332e-13 0 
  1.4004e-02 7.224054e+06 9.186991e-13 0 
  1.4297e-02 2.468028e+07 3.011318e-12 0 
  1.4698e-02 8.646307e+07 9.981841e-12 0 
  1.5110e-02 1.429696e+08 1.561749e-11 0 
  1.5497e-02 2.337254e+08 2.427208e-11 0 
  1.5895e-02 3.785923e+08 3.737207e-11 0 
  1.6190e-02 5.342381e+08 5.083206e-11 0 
  1.6605e-02 8.436615e+08 7.631096e-11 0 
  1.6992e-02 1.281172e+09 1.106662e-10 0 
  1.7308e-02 1.754606e+09 1.460771e-10 0 
  1.7711e-02 2.597836e+09 2.065484e-10 0 
  1.7999e-02 3.453305e+09 2.658487e-10 0 
  1.8208e-02 4.167967e+09 3.135424e-10 0 
  1.8589e-02 5.989759e+09 4.323085e-10 0 
  1.9110e-02 9.282690e+09 6.339411e-10 0 
  1.9420e-02 1.202921e+10 7.954905e-10 0 
  1.9781e-02 1.658564e+10 1.057139e-09 0 
  2.0195e-02 2.286280e+10 1.398100e-09 0 
  2.0523e-02 2.888523e+10 1.710372e-09 0 
  2.1002e-02 4.008414e+10 2.266458e-09 0 
  2.1590e-02 6.399743e+10 3.424157e-09 0 
