# III Zw 035     
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0006e-02 1.519791e+09 3.785815e-10 0 
  1.0192e-02 2.310394e+09 5.547070e-10 0 
  1.0405e-02 3.211073e+09 7.397116e-10 0 
  1.0599e-02 4.534227e+09 1.006630e-09 0 
  1.0796e-02 6.493269e+09 1.389422e-09 0 
  1.0996e-02 1.067441e+10 2.201765e-09 0 
  1.1409e-02 1.937113e+10 3.711558e-09 0 
  1.1810e-02 3.265733e+10 5.839522e-09 0 
  1.2113e-02 1.336019e+11 2.270941e-08 0 
  1.2510e-02 2.087655e+11 3.326906e-08 0 
  1.2713e-02 2.538492e+11 3.917204e-08 0 
  1.2801e-02 2.828052e+11 4.304236e-08 0 
  1.3099e-02 3.701671e+11 5.380442e-08 0 
  1.3190e-02 4.553371e+11 6.527395e-08 0 
  1.3404e-02 5.397914e+11 7.492964e-08 0 
  1.3685e-02 7.835557e+11 1.043462e-07 0 
  1.4004e-02 9.975958e+11 1.268665e-07 0 
  1.4297e-02 2.889374e+12 3.525416e-07 0 
  1.4698e-02 7.991771e+12 9.226204e-07 0 
  1.5109e-02 1.031455e+13 1.126874e-06 0 
  1.5497e-02 1.334380e+13 1.385737e-06 0 
  1.5894e-02 1.718322e+13 1.696425e-06 0 
  1.6190e-02 2.055614e+13 1.955890e-06 0 
  1.6605e-02 2.634837e+13 2.383266e-06 0 
  1.6992e-02 3.277597e+13 2.831151e-06 0 
  1.7308e-02 3.876513e+13 3.227334e-06 0 
  1.7711e-02 4.766918e+13 3.790076e-06 0 
  1.7999e-02 5.547711e+13 4.270842e-06 0 
  1.8207e-02 6.137856e+13 4.617812e-06 0 
  1.8589e-02 7.427649e+13 5.360876e-06 0 
  1.9109e-02 9.388748e+13 6.412513e-06 0 
  1.9420e-02 1.082594e+14 7.159183e-06 0 
  1.9781e-02 1.280250e+14 8.160086e-06 0 
  2.0195e-02 1.524327e+14 9.321525e-06 0 
  2.0523e-02 1.729501e+14 1.024084e-05 0 
  2.1001e-02 2.016956e+14 1.140547e-05 0 
  2.1590e-02 2.645043e+14 1.415220e-05 0 
  2.1991e-02 3.077795e+14 1.587253e-05 0 
  2.2297e-02 3.389290e+14 1.700248e-05 0 
  2.2711e-02 3.943839e+14 1.906967e-05 0 
  2.2974e-02 6.409278e+14 3.028533e-05 0 
  2.3402e-02 1.192907e+15 5.432469e-05 0 
  2.4002e-02 1.687747e+15 7.306492e-05 0 
  2.4618e-02 1.836677e+15 7.558295e-05 0 
  2.5191e-02 2.201705e+15 8.652963e-05 0 
  2.5718e-02 2.058347e+15 7.761411e-05 0 
  2.6016e-02 2.519871e+15 9.285251e-05 0 
  2.6378e-02 2.845872e+15 1.020065e-04 0 
  2.6931e-02 3.140092e+15 1.079777e-04 0 
  2.7431e-02 3.433412e+15 1.137992e-04 0 
  2.7877e-02 3.728361e+15 1.196527e-04 0 
  2.8395e-02 4.066889e+15 1.257984e-04 0 
  2.8990e-02 4.285390e+15 1.271717e-04 0 
  2.9597e-02 4.805242e+15 1.368095e-04 0 
  3.0078e-02 5.110834e+15 1.408933e-04 0 
  3.0778e-02 5.743111e+15 1.512038e-04 0 
  3.1787e-02 6.755862e+15 1.667547e-04 0 
  3.2828e-02 7.730446e+15 1.789008e-04 0 
  3.3826e-02 8.704660e+15 1.897348e-04 0 
  3.4773e-02 9.689095e+15 1.998459e-04 0 
  3.5665e-02 1.071205e+16 2.100316e-04 0 
  3.6580e-02 1.184282e+16 2.207314e-04 0 
  3.7518e-02 1.294208e+16 2.293091e-04 0 
  3.8481e-02 1.372629e+16 2.311835e-04 0 
  3.9468e-02 1.542053e+16 2.468911e-04 0 
  4.0480e-02 1.688958e+16 2.570599e-04 0 
  4.1423e-02 1.816241e+16 2.639896e-04 0 
  4.2193e-02 1.913367e+16 2.680489e-04 0 
  4.2978e-02 2.015761e+16 2.721717e-04 0 
  4.4080e-02 2.192465e+16 2.814142e-04 0 
  4.5107e-02 2.330495e+16 2.856648e-04 0 
  4.6052e-02 2.460335e+16 2.893302e-04 0 
  4.7016e-02 2.603388e+16 2.937270e-04 0 
  4.8000e-02 2.773703e+16 3.002437e-04 0 
  4.9006e-02 2.894683e+16 3.006069e-04 0 
