# II Zw 096      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0200e-02 2.007343e+10 4.811912e-09 0 
  1.0390e-02 2.713655e+10 6.269313e-09 0 
  1.0607e-02 3.770534e+10 8.358228e-09 0 
  1.0804e-02 5.324490e+10 1.137641e-08 0 
  1.1005e-02 8.534041e+10 1.757402e-08 0 
  1.1392e-02 1.472166e+11 2.829132e-08 0 
  1.1792e-02 2.364622e+11 4.241147e-08 0 
  1.2095e-02 1.087826e+12 1.854574e-07 0 
  1.2491e-02 1.608251e+12 2.570726e-07 0 
  1.2694e-02 1.880395e+12 2.910372e-07 0 
  1.2811e-02 2.080543e+12 3.161601e-07 0 
  1.3110e-02 2.582386e+12 3.747245e-07 0 
  1.3201e-02 3.183833e+12 4.556518e-07 0 
  1.3415e-02 3.629872e+12 5.030445e-07 0 
  1.3696e-02 5.160824e+12 6.861640e-07 0 
  1.4015e-02 6.273667e+12 7.965843e-07 0 
  1.4309e-02 1.911391e+13 2.328238e-06 0 
  1.4710e-02 4.967877e+13 5.725875e-06 0 
  1.5087e-02 6.107923e+13 6.692437e-06 0 
  1.5510e-02 7.580000e+13 7.858543e-06 0 
  1.5907e-02 9.364637e+13 9.230193e-06 0 
  1.6203e-02 1.082183e+14 1.028031e-05 0 
  1.6619e-02 1.330722e+14 1.201639e-05 0 
  1.7006e-02 1.588087e+14 1.369514e-05 0 
  1.7282e-02 1.814272e+14 1.514994e-05 0 
  1.7685e-02 2.150174e+14 1.714589e-05 0 
  1.8014e-02 2.433928e+14 1.870612e-05 0 
  1.8180e-02 2.625320e+14 1.981029e-05 0 
  1.8604e-02 3.075802e+14 2.216370e-05 0 
  1.9081e-02 3.704395e+14 2.537532e-05 0 
