# IRAS 08572+3915
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0009e-02 1.020603e+10 2.540808e-09 0 
  1.0195e-02 1.551474e+10 3.722772e-09 0 
  1.0408e-02 2.146446e+10 4.941762e-09 0 
  1.0602e-02 3.004020e+10 6.665362e-09 0 
  1.0799e-02 4.292246e+10 9.179394e-09 0 
  1.0999e-02 6.864854e+10 1.415212e-08 0 
  1.1412e-02 1.217805e+11 2.332118e-08 0 
  1.1813e-02 2.006979e+11 3.586896e-08 0 
  1.2088e-02 8.799914e+11 1.501986e-07 0 
  1.2513e-02 1.331576e+12 2.120994e-07 0 
  1.2687e-02 1.568156e+12 2.429785e-07 0 
  1.2805e-02 1.739198e+12 2.645369e-07 0 
  1.3103e-02 2.194437e+12 3.187704e-07 0 
  1.3194e-02 2.712052e+12 3.885452e-07 0 
  1.3408e-02 3.128033e+12 4.339501e-07 0 
  1.3689e-02 4.479360e+12 5.961685e-07 0 
  1.4008e-02 5.509670e+12 7.002768e-07 0 
  1.4301e-02 1.726286e+13 2.105118e-06 0 
  1.4702e-02 5.117387e+13 5.904619e-06 0 
  1.5114e-02 6.338436e+13 6.920218e-06 0 
  1.5501e-02 7.886803e+13 8.186119e-06 0 
  1.5899e-02 9.836551e+13 9.705092e-06 0 
  1.6195e-02 1.147651e+14 1.091301e-05 0 
  1.6610e-02 1.424639e+14 1.287841e-05 0 
  1.6997e-02 1.708700e+14 1.475087e-05 0 
  1.7313e-02 1.975042e+14 1.643342e-05 0 
  1.7716e-02 2.352490e+14 1.869360e-05 0 
  1.8004e-02 2.669864e+14 2.054223e-05 0 
  1.8213e-02 2.906895e+14 2.185561e-05 0 
  1.8594e-02 3.407058e+14 2.457708e-05 0 
  1.9115e-02 4.152220e+14 2.834185e-05 0 
  1.9381e-02 4.669403e+14 3.100312e-05 0 
  1.9787e-02 5.384766e+14 3.430073e-05 0 
  2.0201e-02 6.239011e+14 3.812997e-05 0 
  2.0482e-02 6.919117e+14 4.113414e-05 0 
  2.1007e-02 7.815610e+14 4.417039e-05 0 
  2.1596e-02 9.905332e+14 5.296864e-05 0 
  2.1997e-02 1.126691e+15 5.807299e-05 0 
  2.2303e-02 1.221118e+15 6.122483e-05 0 
  2.2718e-02 1.388971e+15 6.711962e-05 0 
  2.2981e-02 2.241995e+15 1.058750e-04 0 
  2.3408e-02 3.868683e+15 1.760885e-04 0 
  2.4009e-02 5.339138e+15 2.310040e-04 0 
  2.4625e-02 5.589421e+15 2.298851e-04 0 
  2.5198e-02 6.580675e+15 2.584847e-04 0 
  2.5726e-02 6.041782e+15 2.276758e-04 0 
  2.6024e-02 7.313211e+15 2.693125e-04 0 
  2.6386e-02 8.129263e+15 2.912062e-04 0 
  2.6876e-02 8.749732e+15 3.021078e-04 0 
  2.7376e-02 9.373123e+15 3.119182e-04 0 
  2.7885e-02 1.004173e+16 3.220801e-04 0 
  2.8403e-02 1.078265e+16 3.333448e-04 0 
  2.8998e-02 1.110751e+16 3.294406e-04 0 
  2.9605e-02 1.220460e+16 3.472882e-04 0 
  3.0086e-02 1.277729e+16 3.520515e-04 0 
  3.0787e-02 1.407102e+16 3.702434e-04 0 
  3.1796e-02 1.607459e+16 3.965441e-04 0 
  3.2838e-02 1.790533e+16 4.141191e-04 0 
  3.3835e-02 1.962494e+16 4.275357e-04 0 
  3.4783e-02 2.131299e+16 4.393461e-04 0 
  3.5676e-02 2.304020e+16 4.514715e-04 0 
  3.6591e-02 2.519655e+16 4.693416e-04 0 
  3.7529e-02 2.698806e+16 4.778967e-04 0 
