# IRAS 17208-0014
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0205e-02 1.269526e-01 3.040270e-20 0 
  1.0394e-02 2.435873e-01 5.623227e-20 0 
  1.0612e-02 4.749604e-01 1.051863e-19 0 
  1.0809e-02 9.282739e-01 1.981534e-19 0 
  1.1010e-02 2.073511e+00 4.266072e-19 0 
  1.1397e-02 6.617265e+00 1.270556e-18 0 
  1.1798e-02 1.908517e+01 3.419603e-18 0 
  1.2100e-02 1.155201e+02 1.967810e-17 0 
  1.2497e-02 2.949051e+02 4.709418e-17 0 
  1.2700e-02 4.525276e+02 6.997358e-17 0 
  1.2788e-02 5.671082e+02 8.648825e-17 0 
  1.3086e-02 1.039165e+03 1.513447e-16 0 
  1.3207e-02 1.427798e+03 2.041526e-16 0 
  1.3390e-02 2.083021e+03 2.897537e-16 0 
  1.3702e-02 4.146596e+03 5.508333e-16 0 
  1.3989e-02 7.090272e+03 9.036204e-16 0 
  1.4315e-02 2.616238e+04 3.184132e-15 0 
  1.4716e-02 1.006159e+05 1.158734e-14 0 
  1.5094e-02 1.860736e+05 2.036913e-14 0 
  1.5517e-02 3.425207e+05 3.547871e-14 0 
  1.5915e-02 6.175780e+05 6.081000e-14 0 
  1.6210e-02 9.411478e+05 8.932812e-14 0 
  1.6588e-02 1.635578e+06 1.482448e-13 0 
  1.7014e-02 2.745851e+06 2.365705e-13 0 
  1.7290e-02 4.005600e+06 3.341750e-13 0 
  1.7693e-02 6.496389e+06 5.175658e-13 0 
  1.7980e-02 9.197826e+06 7.095814e-13 0 
  1.8188e-02 1.157893e+07 8.729614e-13 0 
  1.8612e-02 1.809986e+07 1.303124e-12 0 
  1.9090e-02 3.080942e+07 2.108474e-12 0 
  1.9400e-02 4.233156e+07 2.805158e-12 0 
  1.9806e-02 6.304723e+07 4.008380e-12 0 
  2.0221e-02 9.325595e+07 5.688107e-12 0 
  2.0502e-02 1.235058e+08 7.328102e-12 0 
  2.0979e-02 1.865022e+08 1.056844e-11 0 
  2.1617e-02 3.285932e+08 1.753736e-11 0 
  2.2019e-02 4.620165e+08 2.376614e-11 0 
  2.2325e-02 5.843539e+08 2.924082e-11 0 
  2.2688e-02 8.065941e+08 3.908040e-11 0 
  2.3004e-02 1.501962e+09 7.078624e-11 0 
  2.3377e-02 3.066724e+09 1.399567e-10 0 
  2.3977e-02 5.670967e+09 2.460163e-10 0 
  2.4592e-02 7.774640e+09 3.206188e-10 0 
  2.5223e-02 1.182157e+10 4.634234e-10 0 
  2.5692e-02 1.308221e+10 4.942897e-10 0 
  2.5989e-02 1.810022e+10 6.683455e-10 0 
  2.6412e-02 2.369582e+10 8.471604e-10 0 
  2.6903e-02 3.087889e+10 1.064037e-09 0 
  2.7403e-02 3.978163e+10 1.321243e-09 0 
  2.7912e-02 5.077760e+10 1.625499e-09 0 
  2.8431e-02 6.481403e+10 1.999775e-09 0 
  2.9027e-02 8.197292e+10 2.426401e-09 0 
  2.9566e-02 1.083131e+11 3.090240e-09 0 
  3.0116e-02 1.311207e+11 3.605563e-09 0 
  3.0817e-02 1.797614e+11 4.720761e-09 0 
  3.1827e-02 2.752109e+11 6.775958e-09 0 
  3.2794e-02 4.014860e+11 9.310608e-09 0 
  3.3791e-02 5.684184e+11 1.241545e-08 0 
  3.4817e-02 7.919099e+11 1.629257e-08 0 
  3.5710e-02 1.065794e+12 2.084442e-08 0 
  3.6626e-02 1.434378e+12 2.666741e-08 0 
  3.7480e-02 1.856416e+12 3.295889e-08 0 
  3.8530e-02 2.369694e+12 3.980987e-08 0 
  3.9518e-02 3.226135e+12 5.152157e-08 0 
  4.0532e-02 4.233403e+12 6.426728e-08 0 
  4.1380e-02 5.244223e+12 7.638299e-08 0 
  4.2247e-02 6.275707e+12 8.769349e-08 0 
  4.3032e-02 7.476212e+12 1.006920e-07 0 
  4.4136e-02 9.653497e+12 1.235934e-07 0 
  4.5060e-02 1.184865e+13 1.455402e-07 0 
  4.6004e-02 1.408205e+13 1.659477e-07 0 
  4.6967e-02 1.708732e+13 1.931901e-07 0 
  4.7951e-02 2.092517e+13 2.269709e-07 0 
  4.8955e-02 2.464147e+13 2.564301e-07 0 
  4.9980e-02 3.017655e+13 3.012822e-07 0 
    0.050559 3.594805e+13 3.507316e-07 0 
    0.051144 6.802304e+13 6.485793e-07 0 
    0.051975 7.992157e+13 7.378557e-07 0 
    0.052941 9.653514e+13 8.590089e-07 0 
    0.054050 1.088144e+14 9.289482e-07 0 
    0.055055 1.635593e+14 1.345793e-06 0 
