# Mrk 1450       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0201e-02 8.009324e+11 1.919582e-07 0 
  1.0390e-02 8.924430e+11 2.061797e-07 0 
  1.0608e-02 1.038860e+12 2.302430e-07 0 
  1.0805e-02 1.212196e+12 2.589522e-07 0 
  1.1006e-02 1.744260e+12 3.591275e-07 0 
  1.1393e-02 2.226424e+12 4.277876e-07 0 
  1.1793e-02 2.713792e+12 4.866587e-07 0 
  1.2096e-02 7.171417e+12 1.222413e-06 0 
  1.2492e-02 8.781462e+12 1.403458e-06 0 
  1.2695e-02 9.607121e+12 1.486703e-06 0 
  1.2812e-02 1.015323e+13 1.542647e-06 0 
  1.3111e-02 1.147036e+13 1.664185e-06 0 
  1.3202e-02 1.286956e+13 1.841537e-06 0 
  1.3385e-02 1.385545e+13 1.928769e-06 0 
  1.3697e-02 1.677142e+13 2.229541e-06 0 
  1.3984e-02 1.873207e+13 2.389018e-06 0 
  1.4310e-02 3.308425e+13 4.029382e-06 0 
  1.4711e-02 5.631135e+13 6.489452e-06 0 
  1.5088e-02 6.391864e+13 7.002620e-06 0 
  1.5511e-02 7.321559e+13 7.589626e-06 0 
  1.5909e-02 8.367716e+13 8.245512e-06 0 
  1.6204e-02 9.195481e+13 8.734267e-06 0 
  1.6582e-02 1.041345e+14 9.445335e-06 0 
  1.7007e-02 1.171127e+14 1.009822e-05 0 
  1.7283e-02 1.275229e+14 1.064747e-05 0 
  1.7686e-02 1.421028e+14 1.133026e-05 0 
  1.8015e-02 1.543842e+14 1.186399e-05 0 
  1.8182e-02 1.624048e+14 1.225214e-05 0 
  1.8605e-02 1.801353e+14 1.297884e-05 0 
  1.9082e-02 2.025895e+14 1.387604e-05 0 
  1.9392e-02 2.185796e+14 1.449643e-05 0 
  1.9798e-02 2.396586e+14 1.524919e-05 0 
  2.0213e-02 2.627881e+14 1.604134e-05 0 
  2.0494e-02 2.802833e+14 1.664333e-05 0 
  2.1020e-02 3.024031e+14 1.706936e-05 0 
  2.1609e-02 3.520376e+14 1.880252e-05 0 
  2.2011e-02 3.815838e+14 1.964295e-05 0 
  2.2317e-02 4.014083e+14 2.010070e-05 0 
  2.2679e-02 4.341023e+14 2.104945e-05 0 
  2.2995e-02 6.692267e+14 3.156479e-05 0 
  2.3422e-02 1.147024e+15 5.214601e-05 0 
  2.4023e-02 1.587075e+15 6.858664e-05 0 
  2.4583e-02 1.590625e+15 6.564390e-05 0 
  2.5213e-02 1.776658e+15 6.970298e-05 0 
  2.5682e-02 1.477728e+15 5.587702e-05 0 
  2.5980e-02 1.834914e+15 6.780066e-05 0 
  2.6402e-02 2.007243e+15 7.181627e-05 0 
  2.6893e-02 2.082511e+15 7.181336e-05 0 
  2.7392e-02 2.155771e+15 7.165585e-05 0 
  2.7902e-02 2.211060e+15 7.083149e-05 0 
  2.8420e-02 2.309883e+15 7.132442e-05 0 
  2.9016e-02 2.299196e+15 6.810789e-05 0 
  2.9623e-02 2.407765e+15 6.843094e-05 0 
  3.0105e-02 2.352967e+15 6.474929e-05 0 
  3.0806e-02 2.515406e+15 6.610495e-05 0 
  3.1815e-02 2.738887e+15 6.748491e-05 0 
  3.2782e-02 2.874601e+15 6.671188e-05 0 
  3.3778e-02 2.975669e+15 6.504489e-05 0 
  3.4804e-02 3.080338e+15 6.342151e-05 0 
  3.5697e-02 3.225454e+15 6.312827e-05 0 
  3.6613e-02 3.432323e+15 6.385779e-05 0 
  3.7466e-02 3.520545e+15 6.255062e-05 0 
  3.8515e-02 3.512272e+15 5.905066e-05 0 
  3.9503e-02 3.815907e+15 6.098655e-05 0 
  4.0516e-02 4.051177e+15 6.154950e-05 0 
  4.1365e-02 4.174270e+15 6.084305e-05 0 
  4.2231e-02 4.261703e+15 5.959597e-05 0 
  4.3016e-02 4.361089e+15 5.878024e-05 0 
