# Mrk 33    
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0208e-02 7.381795e+10 1.766758e-08 0 
  1.0398e-02 9.334962e+10 2.153324e-08 0 
  1.0591e-02 1.208062e+11 2.686036e-08 0 
  1.0788e-02 1.588920e+11 3.404996e-08 0 
  1.0988e-02 2.438592e+11 5.037305e-08 0 
  1.1401e-02 3.794160e+11 7.279913e-08 0 
  1.1801e-02 5.535324e+11 9.912926e-08 0 
  1.2104e-02 2.009715e+12 3.421158e-07 0 
  1.2501e-02 2.780369e+12 4.437204e-07 0 
  1.2704e-02 3.184917e+12 4.921683e-07 0 
  1.2792e-02 3.452503e+12 5.262033e-07 0 
  1.3090e-02 4.150481e+12 6.041094e-07 0 
  1.3211e-02 4.967368e+12 7.098252e-07 0 
  1.3395e-02 5.560832e+12 7.729489e-07 0 
  1.3707e-02 7.466450e+12 9.911188e-07 0 
  1.3994e-02 8.812470e+12 1.122304e-06 0 
  1.4287e-02 2.244540e+13 2.742469e-06 0 
  1.4687e-02 5.384194e+13 6.225167e-06 0 
  1.5098e-02 6.429074e+13 7.034059e-06 0 
  1.5486e-02 7.693647e+13 8.001109e-06 0 
  1.5883e-02 9.207226e+13 9.102489e-06 0 
  1.6216e-02 1.049871e+14 9.957372e-06 0 
  1.6593e-02 1.247680e+14 1.130186e-05 0 
  1.7019e-02 1.459210e+14 1.256452e-05 0 
  1.7296e-02 1.637284e+14 1.364989e-05 0 
  1.7698e-02 1.892900e+14 1.507217e-05 0 
  1.7986e-02 2.104432e+14 1.622416e-05 0 
  1.8194e-02 2.260063e+14 1.702788e-05 0 
  1.8618e-02 2.594962e+14 1.867074e-05 0 
  1.9096e-02 3.048850e+14 2.085200e-05 0 
  1.9406e-02 3.381437e+14 2.239369e-05 0 
  1.9812e-02 3.811860e+14 2.422014e-05 0 
  2.0181e-02 4.296637e+14 2.631115e-05 0 
  2.0508e-02 4.710944e+14 2.793558e-05 0 
  2.0986e-02 5.189334e+14 2.938656e-05 0 
  2.1624e-02 6.384445e+14 3.405239e-05 0 
  2.1975e-02 7.081458e+14 3.657307e-05 0 
  2.2281e-02 7.570403e+14 3.803173e-05 0 
  2.2695e-02 8.454857e+14 4.093948e-05 0 
  2.3011e-02 1.340150e+15 6.312174e-05 0 
  2.3385e-02 2.355612e+15 1.074300e-04 0 
  2.3985e-02 3.192478e+15 1.384028e-04 0 
  2.4600e-02 3.297037e+15 1.358783e-04 0 
  2.5173e-02 3.768082e+15 1.483019e-04 0 
  2.5700e-02 3.358507e+15 1.268167e-04 0 
  2.5998e-02 4.056297e+15 1.496740e-04 0 
  2.6420e-02 4.478441e+15 1.600139e-04 0 
  2.6911e-02 4.743994e+15 1.633732e-04 0 
  2.7412e-02 5.001688e+15 1.660090e-04 0 
  2.7921e-02 5.261532e+15 1.683243e-04 0 
  2.8375e-02 5.547799e+15 1.718484e-04 0 
  2.8969e-02 5.624910e+15 1.671649e-04 0 
  2.9576e-02 6.069267e+15 1.730429e-04 0 
  3.0125e-02 6.239039e+15 1.714589e-04 0 
  3.0827e-02 6.747095e+15 1.770724e-04 0 
  3.1764e-02 7.500830e+15 1.854109e-04 0 
  3.2805e-02 8.149281e+15 1.888581e-04 0 
  3.3801e-02 8.732566e+15 1.906247e-04 0 
  3.4828e-02 9.314073e+15 1.915045e-04 0 
  3.5722e-02 9.911174e+15 1.937091e-04 0 
  3.6638e-02 1.069365e+16 1.986821e-04 0 
  3.7492e-02 1.122329e+16 1.991313e-04 0 
  3.8542e-02 1.151132e+16 1.932649e-04 0 
  3.9531e-02 1.276804e+16 2.037723e-04 0 
  4.0545e-02 1.383953e+16 2.099632e-04 0 
  4.1394e-02 1.459212e+16 2.123929e-04 0 
  4.2163e-02 1.513957e+16 2.123963e-04 0 
  4.3046e-02 1.588992e+16 2.138714e-04 0 
  4.4150e-02 1.766567e+16 2.260295e-04 0 
  4.5075e-02 1.901630e+16 2.334269e-04 0 
  4.6019e-02 1.995829e+16 2.350419e-04 0 
  4.6982e-02 2.178297e+16 2.461220e-04 0 
  4.7966e-02 2.478155e+16 2.686321e-04 0 
  4.8970e-02 2.588961e+16 2.692538e-04 0 
  4.9996e-02 3.112585e+16 3.105612e-04 0 
    0.050575 3.244313e+16 3.163351e-04 0 
    0.051160 5.071281e+16 4.832291e-04 0 
    0.051992 5.497069e+16 5.071713e-04 0 
    0.052958 5.999640e+16 5.335295e-04 0 
    0.053943 6.055111e+16 5.189773e-04 0 
    0.054946 7.330696e+16 6.055771e-04 0 
    0.055967 9.819984e+16 7.818856e-04 0 
    0.057008 1.205424e+17 9.250485e-04 0 
    0.057934 1.309508e+17 9.730553e-04 0 
    0.059011 1.574478e+17 1.127632e-03 0 
    0.059970 1.603744e+17 1.112150e-03 0 
    0.060944 1.803568e+17 1.211064e-03 0 
    0.061935 2.421682e+17 1.574495e-03 0 
    0.062941 2.649272e+17 1.667846e-03 0 
    0.063964 3.112618e+17 1.897366e-03 0 
    0.065003 3.476397e+17 2.051913e-03 0 
    0.065756 3.623429e+17 2.089996e-03 0 
    0.066517 4.237567e+17 2.388624e-03 0 
    0.067443 4.809757e+17 2.637217e-03 0 
    0.068538 4.765684e+17 2.530223e-03 0 
    0.069492 6.111133e+17 3.156084e-03 0 
    0.070459 5.729697e+17 2.878426e-03 0 
    0.071603 7.729014e+17 3.759742e-03 0 
    0.072600 8.533458e+17 4.037832e-03 0 
    0.073440 9.270881e+17 4.286986e-03 0 
    0.074462 1.011867e+18 4.551457e-03 0 
    0.075498 1.104401e+18 4.832282e-03 0 
    0.076548 1.119760e+18 4.765995e-03 0 
    0.077434 1.324709e+18 5.510025e-03 0 
    0.078512 1.374372e+18 5.560690e-03 0 
    0.079421 1.556339e+18 6.153610e-03 0 
    0.080526 1.710515e+18 6.578866e-03 0 
    0.081458 1.849766e+18 6.952577e-03 0 
    0.082591 2.042361e+18 7.467300e-03 0 
    0.083548 1.782908e+18 6.370204e-03 0 
    0.084515 2.307383e+18 8.056539e-03 0 
    0.085494 2.438538e+18 8.320601e-03 0 
    0.086484 2.692242e+18 8.977160e-03 0 
    0.087485 2.911566e+18 9.487591e-03 0 
    0.088498 3.141332e+18 1.000330e-02 0 
    0.089523 3.366119e+18 1.047506e-02 0 
    0.090559 3.508550e+18 1.066991e-02 0 
    0.091397 4.065528e+18 1.213807e-02 0 
    0.092456 1.585357e+19 4.625442e-02 0 
