# NGC 0584  
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0009e-02 9.537373e+13 2.374345e-05 0 
  1.0195e-02 1.234511e+14 2.962217e-05 0 
  1.0409e-02 1.470379e+14 3.384603e-05 0 
  1.0602e-02 1.792477e+14 3.977173e-05 0 
  1.0799e-02 2.225585e+14 4.759634e-05 0 
  1.1000e-02 3.224235e+14 6.645654e-05 0 
  1.1413e-02 4.502765e+14 8.621366e-05 0 
  1.1787e-02 5.922084e+14 1.063076e-04 0 
  1.2089e-02 1.956419e+15 3.338702e-04 0 
  1.2514e-02 2.485632e+15 3.958594e-04 0 
  1.2688e-02 2.725320e+15 4.222091e-04 0 
  1.2806e-02 2.900143e+15 4.410510e-04 0 
  1.3104e-02 3.292048e+15 4.781398e-04 0 
  1.3195e-02 3.832323e+15 5.489588e-04 0 
  1.3409e-02 4.154104e+15 5.762104e-04 0 
  1.3690e-02 5.229255e+15 6.958720e-04 0 
  1.4009e-02 5.881269e+15 7.474002e-04 0 
  1.4302e-02 1.391413e+16 1.696520e-03 0 
  1.4703e-02 3.037016e+16 3.503738e-03 0 
  1.5115e-02 3.407421e+16 3.719683e-03 0 
  1.5502e-02 3.841320e+16 3.986588e-03 0 
  1.5900e-02 4.349863e+16 4.291191e-03 0 
  1.6196e-02 4.736514e+16 4.503392e-03 0 
  1.6611e-02 5.363580e+16 4.847967e-03 0 
  1.6998e-02 5.949206e+16 5.135229e-03 0 
  1.7314e-02 6.462998e+16 5.376946e-03 0 
  1.7717e-02 7.136303e+16 5.670083e-03 0 
  1.8005e-02 7.663508e+16 5.895733e-03 0 
  1.8214e-02 8.061966e+16 6.060756e-03 0 
  1.8595e-02 8.820107e+16 6.361770e-03 0 
  1.9116e-02 9.895703e+16 6.753813e-03 0 
  1.9382e-02 1.057887e+17 7.023254e-03 0 
  1.9788e-02 1.149406e+17 7.320928e-03 0 
  2.0202e-02 1.254475e+17 7.666014e-03 0 
  2.0483e-02 1.331832e+17 7.916963e-03 0 
  2.1009e-02 1.414044e+17 7.990036e-03 0 
  2.1597e-02 1.642270e+17 8.781203e-03 0 
  2.1999e-02 1.776035e+17 9.152549e-03 0 
  2.2305e-02 1.855504e+17 9.301520e-03 0 
  2.2719e-02 2.006606e+17 9.695720e-03 0 
  2.2983e-02 3.086474e+17 1.457289e-02 0 
  2.3410e-02 5.338675e+17 2.429557e-02 0 
  2.4010e-02 7.038277e+17 3.044938e-02 0 
  2.4626e-02 6.989514e+17 2.874456e-02 0 
  2.5200e-02 7.716905e+17 3.030669e-02 0 
  2.5727e-02 6.598522e+17 2.486365e-02 0 
  2.6025e-02 7.915178e+17 2.914578e-02 0 
  2.6387e-02 8.539888e+17 3.058923e-02 0 
  2.6878e-02 8.779431e+17 3.030881e-02 0 
  2.7378e-02 9.024877e+17 3.002855e-02 0 
  2.7887e-02 9.235146e+17 2.961670e-02 0 
  2.8405e-02 9.559928e+17 2.955027e-02 0 
  2.9000e-02 9.428562e+17 2.796056e-02 0 
  2.9607e-02 9.850193e+17 2.802544e-02 0 
  3.0088e-02 9.804974e+17 2.701197e-02 0 
  3.0789e-02 1.031443e+18 2.713630e-02 0 
  3.1798e-02 1.105240e+18 2.726173e-02 0 
  3.2764e-02 1.149350e+18 2.670268e-02 0 
  3.3837e-02 1.189748e+18 2.591598e-02 0 
  3.4785e-02 1.214694e+18 2.503682e-02 0 
  3.5678e-02 1.254430e+18 2.457774e-02 0 
  3.6593e-02 1.310546e+18 2.440914e-02 0 
  3.7532e-02 1.337974e+18 2.368867e-02 0 
  3.8494e-02 1.316619e+18 2.216004e-02 0 
  3.9482e-02 1.397810e+18 2.236383e-02 0 
  4.0495e-02 1.450288e+18 2.205707e-02 0 
  4.1438e-02 1.473854e+18 2.140688e-02 0 
  4.2208e-02 1.473843e+18 2.063280e-02 0 
  4.2993e-02 1.484031e+18 2.002368e-02 0 
  4.4096e-02 1.529174e+18 1.961350e-02 0 
  4.5123e-02 1.543303e+18 1.890392e-02 0 
  4.5962e-02 1.543317e+18 1.822022e-02 0 
  4.7032e-02 1.564768e+18 1.764247e-02 0 
  4.8017e-02 1.597547e+18 1.728065e-02 0 
  4.9023e-02 1.586513e+18 1.646418e-02 0 
    0.050049 1.631001e+18 1.623903e-02 0 
    0.050629 1.619779e+18 1.575990e-02 0 
    0.051215 1.719707e+18 1.635146e-02 0 
    0.052047 1.723672e+18 1.586937e-02 0 
    0.053015 1.711746e+18 1.518931e-02 0 
    0.054000 1.672843e+18 1.430751e-02 0 
    0.055004 1.669006e+18 1.375833e-02 0 
    0.056027 1.743648e+18 1.385353e-02 0 
    0.056937 1.784252e+18 1.372662e-02 0 
    0.057996 1.776053e+18 1.316910e-02 0 
    0.058938 1.796647e+18 1.289937e-02 0 
    0.060034 1.755740e+18 1.214960e-02 0 
    0.061009 1.590194e+18 1.065513e-02 0 
    0.062001 1.825738e+18 1.184507e-02 0 
    0.063008 1.804872e+18 1.133839e-02 0 
    0.064032 1.851232e+18 1.126064e-02 0 
    0.065072 1.842682e+18 1.085322e-02 0 
    0.065826 1.813281e+18 1.043678e-02 0 
    0.066435 1.855417e+18 1.048442e-02 0 
    0.067515 1.881231e+18 1.029291e-02 0 
    0.068454 1.813250e+18 9.650648e-03 0 
    0.069566 1.885589e+18 9.717387e-03 0 
    0.070534 1.804915e+18 9.048072e-03 0 
    0.071680 1.903050e+18 9.237420e-03 0 
    0.072677 1.911846e+18 9.027247e-03 0 
    0.073519 1.916255e+18 8.842000e-03 0 
    0.074541 1.898656e+18 8.522211e-03 0 
    0.075578 1.898696e+18 8.290125e-03 0 
    0.076453 1.747595e+18 7.456726e-03 0 
    0.077517 1.898720e+18 7.880677e-03 0 
    0.078415 1.842740e+18 7.474157e-03 0 
    0.079506 1.885642e+18 7.439707e-03 0 
    0.080426 1.903091e+18 7.337753e-03 0 
    0.081545 1.911792e+18 7.170383e-03 0 
    0.082489 1.916277e+18 7.023645e-03 0 
    0.083444 1.784198e+18 6.390711e-03 0 
    0.084411 1.903088e+18 6.661275e-03 0 
    0.085585 1.898628e+18 6.464590e-03 0 
    0.086576 1.916187e+18 6.375867e-03 0 
    0.087578 1.925128e+18 6.259880e-03 0 
    0.088593 1.920677e+18 6.103120e-03 0 
    0.089412 1.916291e+18 5.978143e-03 0 
    0.090448 1.907387e+18 5.814833e-03 0 
    0.091495 2.096356e+18 6.245492e-03 0 
    0.092554 3.407675e+18 9.921202e-03 0 
    0.093411 4.791260e+18 1.369463e-02 0 
    0.094492 6.101624e+18 1.704323e-02 0 
    0.095587 6.989633e+18 1.907889e-02 0 
    0.096471 7.558754e+18 2.025597e-02 0 
    0.097588 4.240913e+18 1.110613e-02 0 
    0.098491 6.846253e+18 1.760177e-02 0 
    0.099402 6.736719e+18 1.700414e-02 0 
    0.100554 7.988240e+18 1.970375e-02 0 
    0.101484 8.099435e+18 1.961354e-02 0 
    0.102423 5.363654e+18 1.275153e-02 0 
    0.103609 7.420884e+18 1.724079e-02 0 
    0.104568 9.737644e+18 2.221021e-02 0 
    0.105535 9.604169e+18 2.150618e-02 0 
    0.106512 8.539991e+18 1.877400e-02 0 
    0.107497 9.342270e+18 2.016305e-02 0 
    0.108492 7.969865e+18 1.688698e-02 0 
    0.109496 9.759983e+18 2.030248e-02 0 
    0.110509 9.515920e+18 1.943354e-02 0 
    0.111531 9.428783e+18 1.890431e-02 0 
    0.112563 8.678581e+18 1.708259e-02 0 
    0.113605 1.003359e+19 1.938910e-02 0 
    0.114392 9.648364e+18 1.838903e-02 0 
    0.115451 9.873005e+18 1.847355e-02 0 
    0.116519 9.941532e+18 1.826234e-02 0 
    0.117597 7.681641e+18 1.385345e-02 0 
    0.118412 9.782518e+18 1.740026e-02 0 
    0.119508 8.579306e+18 1.498148e-02 0 
    0.120614 7.506729e+18 1.286921e-02 0 
    0.121450 5.603466e+18 9.474541e-03 0 
    0.122574 8.698613e+18 1.443942e-02 0 
    0.123423 1.029081e+19 1.684821e-02 0 
    0.124565 1.075104e+19 1.728045e-02 0 
    0.125429 1.057928e+19 1.677091e-02 0 
    0.126589 1.021993e+19 1.590569e-02 0 
