# NGC 4550
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0010e-02 5.169781e+13 1.286769e-05 0 
  1.0196e-02 6.721091e+13 1.612414e-05 0 
  1.0410e-02 8.025209e+13 1.846934e-05 0 
  1.0603e-02 9.783154e+13 2.170290e-05 0 
  1.0801e-02 1.217469e+14 2.602714e-05 0 
  1.1001e-02 1.735552e+14 3.576595e-05 0 
  1.1388e-02 2.406799e+14 4.628512e-05 0 
  1.1788e-02 3.165667e+14 5.681741e-05 0 
  1.2091e-02 1.102739e+15 1.881243e-04 0 
  1.2487e-02 1.369311e+15 2.190192e-04 0 
  1.2690e-02 1.487617e+15 2.303904e-04 0 
  1.2807e-02 1.579262e+15 2.401352e-04 0 
  1.3105e-02 1.763903e+15 2.561517e-04 0 
  1.3196e-02 2.062897e+15 2.954537e-04 0 
  1.3411e-02 2.210537e+15 3.065292e-04 0 
  1.3691e-02 2.776479e+15 3.694200e-04 0 
  1.4010e-02 3.072230e+15 3.903677e-04 0 
  1.4304e-02 7.915456e+15 9.648447e-04 0 
  1.4704e-02 1.877003e+16 2.165163e-03 0 
  1.5116e-02 2.048787e+16 2.236245e-03 0 
  1.5504e-02 2.256722e+16 2.341461e-03 0 
  1.5902e-02 2.491543e+16 2.457318e-03 0 
  1.6198e-02 2.669740e+16 2.537714e-03 0 
  1.6613e-02 2.968051e+16 2.682079e-03 0 
  1.7000e-02 3.217286e+16 2.776440e-03 0 
  1.7316e-02 3.447083e+16 2.867167e-03 0 
  1.7719e-02 3.736585e+16 2.968198e-03 0 
  1.8007e-02 3.948644e+16 3.037118e-03 0 
  1.8216e-02 4.115844e+16 3.093494e-03 0 
  1.8597e-02 4.430648e+16 3.195052e-03 0 
  1.9118e-02 4.858583e+16 3.315287e-03 0 
  1.9384e-02 5.146130e+16 3.415784e-03 0 
  1.9790e-02 5.501113e+16 3.503124e-03 0 
  2.0205e-02 5.908296e+16 3.609449e-03 0 
  2.0486e-02 6.201572e+16 3.685394e-03 0 
  2.1011e-02 6.448747e+16 3.643161e-03 0 
  2.1600e-02 7.353113e+16 3.930612e-03 0 
  2.2001e-02 7.842712e+16 4.040898e-03 0 
  2.2307e-02 8.118651e+16 4.069096e-03 0 
  2.2722e-02 8.679241e+16 4.192616e-03 0 
  2.2985e-02 1.331861e+17 6.287329e-03 0 
  2.3413e-02 2.277527e+17 1.036205e-02 0 
  2.4013e-02 2.880606e+17 1.245912e-02 0 
  2.4572e-02 2.789228e+17 1.152124e-02 0 
  2.5203e-02 3.030286e+17 1.189804e-02 0 
  2.5671e-02 2.596995e+17 9.828382e-03 0 
  2.6028e-02 3.037281e+17 1.118149e-02 0 
  2.6391e-02 3.224591e+17 1.154674e-02 0 
  2.6881e-02 3.276905e+17 1.131018e-02 0 
  2.7381e-02 3.315008e+17 1.102764e-02 0 
  2.7890e-02 3.360956e+17 1.077612e-02 0 
  2.8409e-02 3.423588e+17 1.057952e-02 0 
  2.9003e-02 3.322547e+17 9.851032e-03 0 
  2.9611e-02 3.439218e+17 9.782506e-03 0 
  3.0092e-02 3.431367e+17 9.450646e-03 0 
  3.0793e-02 3.535748e+17 9.299803e-03 0 
  3.1802e-02 3.693757e+17 9.108690e-03 0 
  3.2768e-02 3.762627e+17 8.739525e-03 0 
  3.3764e-02 3.814693e+17 8.345421e-03 0 
  3.4790e-02 3.850183e+17 7.933576e-03 0 
  3.5682e-02 3.903633e+17 7.646576e-03 0 
  3.6597e-02 3.976336e+17 7.404378e-03 0 
  3.7536e-02 4.013161e+17 7.103741e-03 0 
  3.8499e-02 3.912638e+17 6.583657e-03 0 
  3.9486e-02 4.059499e+17 6.493556e-03 0 
  4.0499e-02 4.125568e+17 6.273236e-03 0 
  4.1443e-02 4.134830e+17 6.004153e-03 0 
  4.2213e-02 4.116083e+17 5.760871e-03 0 
  4.2998e-02 4.106580e+17 5.539623e-03 0 
  4.4101e-02 4.144555e+17 5.314684e-03 0 
  4.5128e-02 4.134990e+17 5.063826e-03 0 
  4.5967e-02 4.106625e+17 4.847181e-03 0 
  4.7038e-02 4.115939e+17 4.639463e-03 0 
  4.8023e-02 4.135097e+17 4.471813e-03 0 
  4.9028e-02 4.078314e+17 4.231446e-03 0 
    0.050055 4.135133e+17 4.116149e-03 0 
    0.050635 4.087595e+17 3.976149e-03 0 
    0.051221 4.231396e+17 4.022388e-03 0 
    0.052053 4.231106e+17 3.894563e-03 0 
    0.053021 4.173209e+17 3.702293e-03 0 
    0.054007 4.078292e+17 3.487182e-03 0 
    0.055011 4.050192e+17 3.337898e-03 0 
    0.056034 4.134975e+17 3.284476e-03 0 
    0.056944 4.173241e+17 3.209770e-03 0 
