# NGC 4676 A     
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0198e-02 1.528573e+11 3.665663e-08 0 
  1.0412e-02 2.095407e+11 4.820548e-08 0 
  1.0605e-02 2.899223e+11 6.429197e-08 0 
  1.0803e-02 4.095615e+11 8.752393e-08 0 
  1.1003e-02 6.431542e+11 1.324919e-07 0 
  1.1390e-02 1.117589e+12 2.148480e-07 0 
  1.1790e-02 1.825028e+12 3.274449e-07 0 
  1.2093e-02 7.625758e+12 1.300503e-06 0 
  1.2489e-02 1.133133e+13 1.811850e-06 0 
  1.2692e-02 1.337600e+13 2.070917e-06 0 
  1.2809e-02 1.480211e+13 2.250037e-06 0 
  1.3108e-02 1.854868e+13 2.692381e-06 0 
  1.3199e-02 2.282051e+13 3.266930e-06 0 
  1.3413e-02 2.632180e+13 3.648885e-06 0 
  1.3694e-02 3.726568e+13 4.956155e-06 0 
  1.4013e-02 4.563630e+13 5.796216e-06 0 
  1.4306e-02 1.456502e+14 1.774888e-05 0 
  1.4707e-02 4.378061e+14 5.048124e-05 0 
  1.5084e-02 5.312482e+14 5.823189e-05 0 
  1.5507e-02 6.535865e+14 6.778661e-05 0 
  1.5905e-02 8.003389e+14 7.890473e-05 0 
  1.6200e-02 9.211239e+14 8.753555e-05 0 
  1.6616e-02 1.130518e+15 1.021224e-04 0 
  1.7003e-02 1.340600e+15 1.156497e-04 0 
  1.7319e-02 1.535702e+15 1.276902e-04 0 
  1.7682e-02 1.800232e+15 1.436026e-04 0 
  1.8011e-02 2.033850e+15 1.563651e-04 0 
  1.8219e-02 2.209532e+15 1.660152e-04 0 
  1.8601e-02 2.566390e+15 1.849893e-04 0 
  1.9122e-02 3.092244e+15 2.109131e-04 0 
  1.9388e-02 3.461729e+15 2.296801e-04 0 
  1.9794e-02 3.965395e+15 2.524154e-04 0 
  2.0208e-02 4.563709e+15 2.787198e-04 0 
  2.0489e-02 5.026823e+15 2.986404e-04 0 
  2.1015e-02 5.640186e+15 3.185159e-04 0 
  2.1604e-02 7.084302e+15 3.785517e-04 0 
  2.2005e-02 8.004225e+15 4.122617e-04 0 
  2.2311e-02 8.635495e+15 4.326589e-04 0 
  2.2674e-02 9.711870e+15 4.711324e-04 0 
  2.2989e-02 1.571408e+16 7.415584e-04 0 
  2.3417e-02 2.886107e+16 1.312642e-03 0 
  2.4018e-02 3.902114e+16 1.687030e-03 0 
  2.4577e-02 4.057980e+16 1.675516e-03 0 
  2.5207e-02 4.713089e+16 1.849949e-03 0 
  2.5676e-02 4.298189e+16 1.626025e-03 0 
  2.5973e-02 5.132141e+16 1.897365e-03 0 
  2.6395e-02 5.692232e+16 2.037678e-03 0 
  2.6886e-02 6.085565e+16 2.099641e-03 0 
  2.7386e-02 6.476119e+16 2.153546e-03 0 
  2.7895e-02 6.891237e+16 2.208721e-03 0 
  2.8414e-02 7.333118e+16 2.265272e-03 0 
  2.9009e-02 7.503959e+16 2.223931e-03 0 
  2.9616e-02 8.190101e+16 2.328804e-03 0 
  3.0097e-02 8.596006e+16 2.366719e-03 0 
  3.0798e-02 9.360136e+16 2.461124e-03 0 
  3.1807e-02 1.055158e+17 2.601168e-03 0 
  3.2774e-02 1.159604e+17 2.692447e-03 0 
  3.3770e-02 1.259753e+17 2.754988e-03 0 
  3.4796e-02 1.362400e+17 2.806354e-03 0 
  3.5689e-02 1.456437e+17 2.851802e-03 0 
  3.6604e-02 1.560640e+17 2.904972e-03 0 
  3.7543e-02 1.656965e+17 2.931918e-03 0 
  3.8506e-02 1.711182e+17 2.878299e-03 0 
  3.9494e-02 1.867707e+17 2.986365e-03 0 
  4.0507e-02 1.992046e+17 3.027858e-03 0 
  4.1355e-02 2.076355e+17 3.027903e-03 0 
  4.2221e-02 2.159253e+17 3.020947e-03 0 
  4.3006e-02 2.235113e+17 3.013962e-03 0 
  4.4109e-02 2.362136e+17 3.027938e-03 0 
  4.5137e-02 2.456438e+17 3.007024e-03 0 
  4.5976e-02 2.536878e+17 2.993185e-03 0 
  4.7047e-02 2.644265e+17 2.979460e-03 0 
  4.8032e-02 2.756180e+17 2.979495e-03 0 
  4.9038e-02 2.820320e+17 2.925023e-03 0 
  4.9949e-02 2.939636e+17 2.938573e-03 0 
    0.050644 2.987510e+17 2.905024e-03 0 
    0.051230 3.149970e+17 2.993327e-03 0 
    0.051943 3.223269e+17 2.979470e-03 0 
    0.053031 3.313604e+17 2.938579e-03 0 
    0.054017 3.351963e+17 2.865067e-03 0 
    0.055021 3.469809e+17 2.858545e-03 0 
    0.056044 3.641756e+17 2.891672e-03 0 
    0.056955 3.804423e+17 2.924971e-03 0 
    0.058013 3.857575e+17 2.858645e-03 0 
    0.058956 4.030004e+17 2.891651e-03 0 
    0.060052 4.076598e+17 2.819287e-03 0 
    0.061028 3.839673e+17 2.571179e-03 0 
    0.062020 4.439120e+17 2.878258e-03 0 
    0.063027 4.542575e+17 2.851972e-03 0 
    0.064051 4.680735e+17 2.845501e-03 0 
    0.064942 4.822776e+17 2.851952e-03 0 
    0.065846 4.935171e+17 2.838833e-03 0 
    0.066455 5.085017e+17 2.871663e-03 0 
    0.067535 5.215565e+17 2.851938e-03 0 
