# NGC 7673       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0002e-02 2.101511e+07 5.239072e-12 0 
  1.0212e-02 3.108532e+07 7.434130e-12 0 
  1.0401e-02 4.261371e+07 9.824164e-12 0 
  1.0595e-02 5.977275e+07 1.327999e-11 0 
  1.0792e-02 8.384703e+07 1.795479e-11 0 
  1.0992e-02 1.388320e+08 2.865712e-11 0 
  1.1405e-02 2.526650e+08 4.844522e-11 0 
  1.1806e-02 4.300609e+08 7.695217e-11 0 
  1.2109e-02 1.170868e+09 1.991535e-10 0 
  1.2505e-02 1.938615e+09 3.091865e-10 0 
  1.2708e-02 2.463374e+09 3.804278e-10 0 
  1.2796e-02 2.776724e+09 4.229419e-10 0 
  1.3095e-02 3.876963e+09 5.638676e-10 0 
  1.3185e-02 4.544644e+09 6.519825e-10 0 
  1.3400e-02 5.643249e+09 7.838195e-10 0 
  1.3712e-02 8.101093e+09 1.074579e-09 0 
  1.3999e-02 1.095273e+10 1.393878e-09 0 
  1.4292e-02 1.859935e+10 2.270953e-09 0 
  1.4692e-02 3.180532e+10 3.674805e-09 0 
  1.5104e-02 4.565974e+10 4.991671e-09 0 
  1.5491e-02 6.464600e+10 6.718607e-09 0 
  1.5889e-02 9.046761e+10 8.937097e-09 0 
  1.6184e-02 1.152147e+11 1.097066e-08 0 
  1.6599e-02 1.579492e+11 1.429717e-08 0 
  1.6986e-02 2.125765e+11 1.837509e-08 0 
  1.7302e-02 2.645419e+11 2.203932e-08 0 
  1.7705e-02 3.495673e+11 2.781220e-08 0 
  1.7992e-02 4.280762e+11 3.298061e-08 0 
  1.8201e-02 4.892652e+11 3.683412e-08 0 
  1.8582e-02 6.302608e+11 4.552309e-08 0 
  1.9103e-02 8.580764e+11 5.864342e-08 0 
  1.9413e-02 1.029274e+12 6.811490e-08 0 
  1.9819e-02 1.295763e+12 8.227324e-08 0 
  2.0188e-02 1.612533e+12 9.867757e-08 0 
  2.0516e-02 1.903334e+12 1.127784e-07 0 
  2.0994e-02 2.418251e+12 1.368382e-07 0 
  2.1582e-02 3.322832e+12 1.779186e-07 0 
  2.1983e-02 4.022685e+12 2.076054e-07 0 
  2.2289e-02 4.618547e+12 2.318572e-07 0 
  2.2703e-02 5.552860e+12 2.686870e-07 0 
  2.3019e-02 1.394828e+13 6.565144e-07 0 
  2.3393e-02 2.215693e+13 1.009797e-06 0 
  2.3993e-02 3.072655e+13 1.331194e-06 0 
  2.4609e-02 3.601950e+13 1.483359e-06 0 
  2.5182e-02 4.380332e+13 1.722753e-06 0 
  2.5709e-02 4.451788e+13 1.679812e-06 0 
  2.6007e-02 5.352142e+13 1.973529e-06 0 
  2.6430e-02 6.116687e+13 2.183828e-06 0 
  2.6921e-02 6.926612e+13 2.383609e-06 0 
  2.7421e-02 7.825749e+13 2.595708e-06 0 
  2.7931e-02 8.780751e+13 2.807082e-06 0 
  2.8385e-02 9.806468e+13 3.035507e-06 0 
  2.8979e-02 1.085227e+14 3.222925e-06 0 
  2.9586e-02 1.251793e+14 3.566618e-06 0 
  3.0067e-02 1.347491e+14 3.717423e-06 0 
  3.0767e-02 1.568608e+14 4.132763e-06 0 
  3.1775e-02 1.934358e+14 4.778176e-06 0 
  3.2816e-02 2.314752e+14 5.360801e-06 0 
  3.3814e-02 2.744811e+14 5.987089e-06 0 
  3.4761e-02 3.224975e+14 6.656382e-06 0 
  3.5735e-02 3.771535e+14 7.365921e-06 0 
  3.6567e-02 4.410804e+14 8.226887e-06 0 
  3.7505e-02 5.087480e+14 9.020297e-06 0 
  3.8467e-02 5.909248e+14 9.959832e-06 0 
  3.9545e-02 7.219478e+14 1.151381e-05 0 
  4.0466e-02 8.580623e+14 1.306877e-05 0 
  4.1409e-02 1.017447e+15 1.479853e-05 0 
  4.2178e-02 1.168205e+15 1.637734e-05 0 
  4.2963e-02 1.356806e+15 1.833264e-05 0 
  4.4065e-02 1.708146e+15 2.193987e-05 0 
  4.5091e-02 2.096568e+15 2.571731e-05 0 
  4.6035e-02 2.503301e+15 2.946003e-05 0 
  4.6999e-02 3.122685e+15 3.525717e-05 0 
  4.7983e-02 3.904206e+15 4.229163e-05 0 
  4.8988e-02 4.836435e+15 5.026231e-05 0 
    0.050014 6.158920e+15 6.140699e-05 0 
    0.050593 2.407236e+16 2.345494e-04 0 
    0.051179 9.408703e+16 8.958651e-04 0 
    0.052010 1.008145e+17 9.294926e-04 0 
    0.052977 1.107970e+17 9.845768e-04 0 
    0.053962 1.123356e+17 9.621393e-04 0 
    0.054966 1.529371e+17 1.262470e-03 0 
    0.055987 1.938731e+17 1.542551e-03 0 
    0.057028 2.283106e+17 1.750839e-03 0 
    0.057955 2.336280e+17 1.734760e-03 0 
    0.059032 2.887530e+17 2.066560e-03 0 
    0.059992 3.086916e+17 2.139118e-03 0 
    0.060966 3.736752e+17 2.507352e-03 0 
    0.061957 4.502950e+17 2.925585e-03 0 
    0.062964 5.040964e+17 3.171213e-03 0 
    0.063987 5.501935e+17 3.351417e-03 0 
    0.065027 6.331695e+17 3.734470e-03 0 
    0.065780 6.847417e+17 3.946713e-03 0 
    0.066541 7.577653e+17 4.268277e-03 0 
    0.067467 8.308636e+17 4.552431e-03 0 
    0.068563 8.680033e+17 4.605091e-03 0 
    0.069517 1.075249e+18 5.549114e-03 0 
    0.070484 1.090219e+18 5.473046e-03 0 
    0.071629 1.350586e+18 6.565096e-03 0 
    0.072626 1.467281e+18 6.937858e-03 0 
    0.073467 1.594112e+18 7.365984e-03 0 
    0.074489 1.796926e+18 8.076858e-03 0 
    0.075525 1.970286e+18 8.614779e-03 0 
    0.076576 2.160312e+18 9.188138e-03 0 
    0.077462 2.390662e+18 9.936585e-03 0 
    0.078540 2.670054e+18 1.079530e-02 0 
    0.079449 2.887525e+18 1.140894e-02 0 
    0.080555 3.129817e+18 1.202903e-02 0 
    0.081487 3.369158e+18 1.265439e-02 0 
    0.082431 3.736961e+18 1.371620e-02 0 
    0.083578 3.585256e+18 1.280067e-02 0 
    0.084546 4.300556e+18 1.500496e-02 0 
    0.085525 4.640027e+18 1.582089e-02 0 
    0.086515 5.075948e+18 1.691339e-02 0 
    0.087517 5.540193e+18 1.804000e-02 0 
    0.088530 6.060599e+18 1.928551e-02 0 
    0.089555 6.554178e+18 2.038145e-02 0 
    0.090592 6.942547e+18 2.109772e-02 0 
    0.091430 1.019817e+19 3.042575e-02 0 
    0.092489 6.046773e+19 1.762950e-01 0 
    0.093560 1.301735e+20 3.708846e-01 0 
    0.094426 2.633392e+20 7.365950e-01 0 
    0.095519 3.610139e+20 9.868266e-01 0 
    0.096403 4.565844e+20 1.225283e+00 0 
    0.097519 1.401267e+20 3.674845e-01 0 
    0.098422 5.158493e+20 1.328113e+00 0 
    0.099561 5.194201e+20 1.306883e+00 0 
    0.100483 6.230430e+20 1.538967e+00 0 
    0.101412 5.854916e+20 1.419837e+00 0 
    0.102587 2.585394e+20 6.126868e-01 0 
    0.103536 5.194272e+20 1.208477e+00 0 
    0.104494 7.952821e+20 1.816498e+00 0 
    0.105461 8.044957e+20 1.804000e+00 0 
    0.106437 7.337129e+20 1.615241e+00 0 
    0.107421 8.308514e+20 1.795732e+00 0 
    0.108415 7.577394e+20 1.607821e+00 0 
    0.109418 8.923127e+20 1.858814e+00 0 
    0.110431 8.720062e+20 1.783339e+00 0 
    0.111453 8.902738e+20 1.787461e+00 0 
    0.112484 8.404745e+20 1.656683e+00 0 
    0.113525 9.605441e+20 1.858792e+00 0 
    0.114575 9.258066e+20 1.758883e+00 0 
    0.115369 9.739143e+20 1.824900e+00 0 
    0.116437 1.012796e+21 1.863101e+00 0 
    0.117514 8.251153e+20 1.490156e+00 0 
    0.118602 1.036382e+21 1.837521e+00 0 
    0.119424 9.194239e+20 1.607789e+00 0 
    0.120529 7.647571e+20 1.312916e+00 0 
    0.121364 4.004175e+20 6.780001e-01 0 
    0.122487 8.580749e+20 1.426401e+00 0 
    0.123621 1.105405e+21 1.803986e+00 0 
    0.124477 1.170906e+21 1.884692e+00 0 
    0.125629 1.181730e+21 1.867390e+00 0 
    0.126500 1.152176e+21 1.795702e+00 0 
    0.127377 1.260436e+21 1.937471e+00 0 
    0.128556 1.295750e+21 1.955388e+00 0 
    0.129447 1.189927e+21 1.771058e+00 0 
    0.130644 1.228917e+21 1.795727e+00 0 
    0.131550 1.356807e+21 1.955387e+00 0 
    0.132462 1.332058e+21 1.893376e+00 0 
    0.133380 1.292755e+21 1.812305e+00 0 
