# UGCA 166       
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0207e-02 6.258982e+14 1.498318e-04 0 
  1.0397e-02 7.087446e+14 1.635197e-04 0 
  1.0590e-02 8.081792e+14 1.797265e-04 0 
  1.0812e-02 9.172383e+14 1.956891e-04 0 
  1.0988e-02 1.055530e+15 2.180367e-04 0 
  1.1400e-02 1.328937e+15 2.550300e-04 0 
  1.1801e-02 1.630998e+15 2.920869e-04 0 
  1.2104e-02 2.053533e+15 3.495749e-04 0 
  1.2500e-02 2.485838e+15 3.967796e-04 0 
  1.2703e-02 2.732182e+15 4.222732e-04 0 
  1.2791e-02 2.854149e+15 4.350750e-04 0 
  1.3089e-02 3.232271e+15 4.705343e-04 0 
  1.3210e-02 3.407844e+15 4.870466e-04 0 
  1.3394e-02 3.651874e+15 5.076818e-04 0 
  1.3706e-02 4.192546e+15 5.566124e-04 0 
  1.3993e-02 4.671820e+15 5.950602e-04 0 
  1.4286e-02 5.540034e+15 6.769983e-04 0 
  1.4686e-02 6.721861e+15 7.772825e-04 0 
  1.5098e-02 7.320223e+15 8.009067e-04 0 
  1.5485e-02 8.719782e+15 9.069422e-04 0 
  1.5882e-02 9.851436e+15 9.740597e-04 0 
  1.6215e-02 1.082630e+16 1.026934e-03 0 
  1.6593e-02 1.211976e+16 1.097844e-03 0 
  1.7018e-02 1.353649e+16 1.165696e-03 0 
  1.7295e-02 1.397961e+16 1.165602e-03 0 
  1.7698e-02 1.619971e+16 1.289898e-03 0 
  1.7985e-02 1.739766e+16 1.341425e-03 0 
  1.8193e-02 1.830228e+16 1.379091e-03 0 
  1.8617e-02 2.011457e+16 1.447397e-03 0 
  1.9095e-02 2.241400e+16 1.533121e-03 0 
  1.9405e-02 2.401717e+16 1.590710e-03 0 
  1.9811e-02 2.609193e+16 1.658020e-03 0 
  2.0180e-02 2.821582e+16 1.728012e-03 0 
  2.0508e-02 3.002657e+16 1.780555e-03 0 
  2.0985e-02 3.239739e+16 1.834799e-03 0 
  2.1623e-02 3.694018e+16 1.970441e-03 0 
  2.2025e-02 3.967328e+16 2.039683e-03 0 
  2.2280e-02 4.144858e+16 2.082456e-03 0 
  2.2694e-02 4.461738e+16 2.160620e-03 0 
  2.3010e-02 6.102409e+16 2.874514e-03 0 
  2.3384e-02 1.277861e+17 5.828309e-03 0 
  2.3984e-02 3.187989e+17 1.382197e-02 0 
  2.4599e-02 3.415740e+17 1.407818e-02 0 
  2.5172e-02 4.144855e+17 1.631437e-02 0 
  2.5699e-02 2.412623e+17 9.110738e-03 0 
  2.5996e-02 4.682917e+17 1.728223e-02 0 
  2.6419e-02 6.508795e+17 2.325757e-02 0 
  2.6910e-02 7.120088e+17 2.452191e-02 0 
  2.7410e-02 7.576908e+17 2.515188e-02 0 
  2.7920e-02 7.473193e+17 2.390957e-02 0 
  2.8374e-02 8.600620e+17 2.664312e-02 0 
  2.8968e-02 8.923043e+17 2.651993e-02 0 
  2.9574e-02 8.719895e+17 2.486495e-02 0 
  3.0124e-02 6.060553e+17 1.665649e-02 0 
  3.0826e-02 8.308119e+17 2.180544e-02 0 
  3.1836e-02 1.234473e+18 3.037674e-02 0 
  3.2803e-02 1.369326e+18 3.173775e-02 0 
  3.3800e-02 1.457147e+18 3.181021e-02 0 
  3.4827e-02 1.539945e+18 3.166427e-02 0 
  3.5720e-02 1.792685e+18 3.504108e-02 0 
  3.6636e-02 2.180238e+18 4.051206e-02 0 
  3.7490e-02 2.272574e+18 4.032585e-02 0 
  3.8540e-02 2.215676e+18 3.720312e-02 0 
  3.9529e-02 2.657656e+18 4.241931e-02 0 
  4.0543e-02 3.002499e+18 4.555621e-02 0 
  4.1392e-02 3.122490e+18 4.545322e-02 0 
  4.2161e-02 3.129754e+18 4.391217e-02 0 
  4.3044e-02 3.165885e+18 4.261537e-02 0 
  4.4148e-02 3.535886e+18 4.524522e-02 0 
  4.5073e-02 3.702690e+18 4.545491e-02 0 
  4.6016e-02 3.660194e+18 4.311047e-02 0 
  4.6980e-02 3.806428e+18 4.301185e-02 0 
  4.7964e-02 4.116154e+18 4.462284e-02 0 
  4.8968e-02 3.994996e+18 4.155163e-02 0 
  4.9993e-02 4.471932e+18 4.462449e-02 0 
    0.050572 4.523862e+18 4.411492e-02 0 
    0.051158 6.287799e+18 5.991947e-02 0 
    0.051989 6.244547e+18 5.762016e-02 0 
    0.052956 6.158781e+18 5.477228e-02 0 
    0.053940 5.787561e+18 4.961010e-02 0 
    0.054943 5.908983e+18 4.881851e-02 0 
    0.055965 7.022741e+18 5.592037e-02 0 
    0.057005 7.507768e+18 5.762108e-02 0 
    0.058065 7.524880e+18 5.566307e-02 0 
    0.059008 7.843161e+18 5.617793e-02 0 
    0.059967 7.404598e+18 5.135389e-02 0 
    0.060942 7.071391e+18 4.748625e-02 0 
    0.061932 8.679498e+18 5.643660e-02 0 
    0.062938 8.620090e+18 5.427282e-02 0 
    0.063961 9.172847e+18 5.592038e-02 0 
    0.065000 9.194122e+18 5.427252e-02 0 
    0.065753 8.963770e+18 5.170779e-02 0 
    0.066514 9.627472e+18 5.427284e-02 0 
    0.067439 1.005759e+19 5.515286e-02 0 
    0.068535 9.495407e+18 5.041795e-02 0 
    0.069489 1.041121e+19 5.377315e-02 0 
    0.070455 9.538859e+18 4.792579e-02 0 
    0.071600 1.102815e+19 5.365042e-02 0 
    0.072596 1.123337e+19 5.315955e-02 0 
    0.073437 1.146867e+19 5.303710e-02 0 
    0.074458 1.144195e+19 5.147233e-02 0 
    0.075494 1.157458e+19 5.064969e-02 0 
    0.076544 1.087668e+19 4.629887e-02 0 
    0.077431 1.192630e+19 4.961037e-02 0 
    0.078508 1.176239e+19 4.759530e-02 0 
    0.079417 1.223234e+19 4.837032e-02 0 
    0.080522 1.254593e+19 4.825809e-02 0 
    0.081454 1.274943e+19 4.792505e-02 0 
    0.082587 1.307653e+19 4.781517e-02 0 
    0.083544 1.160084e+19 4.145296e-02 0 
    0.084511 1.328951e+19 4.640651e-02 0 
    0.085490 1.332023e+19 4.545456e-02 0 
    0.086480 1.372425e+19 4.576714e-02 0 
    0.087481 1.391562e+19 4.534941e-02 0 
    0.088494 1.410935e+19 4.493407e-02 0 
    0.089519 1.430509e+19 4.452015e-02 0 
    0.090555 1.430530e+19 4.350794e-02 0 
    0.091604 1.437099e+19 4.271244e-02 0 
    0.092451 2.981970e+19 8.701146e-02 0 
    0.093522 4.420751e+19 1.260564e-01 0 
    0.094605 5.774378e+19 1.609065e-01 0 
    0.095480 6.360611e+19 1.740085e-01 0 
    0.096586 7.087709e+19 1.894846e-01 0 
    0.097480 3.994901e+19 1.048507e-01 0 
    0.098608 6.463998e+19 1.657957e-01 0 
    0.099521 6.060371e+19 1.526041e-01 0 
    0.100442 6.737470e+19 1.665569e-01 0 
    0.101605 6.910307e+19 1.669412e-01 0 
    0.102545 5.075821e+19 1.203854e-01 0 
    0.103494 6.706647e+19 1.561606e-01 0 
    0.104451 7.735775e+19 1.768378e-01 0 
    0.105418 7.594609e+19 1.704403e-01 0 
    0.106393 7.022676e+19 1.547294e-01 0 
    0.107378 7.353735e+19 1.590647e-01 0 
    0.108621 6.706542e+19 1.417645e-01 0 
    0.109626 7.542340e+19 1.565220e-01 0 
    0.110386 7.319844e+19 1.498202e-01 0 
    0.111407 7.319731e+19 1.470844e-01 0 
    0.112438 6.815628e+19 1.344547e-01 0 
    0.113478 7.404694e+19 1.434103e-01 0 
    0.114528 7.219394e+19 1.372694e-01 0 
    0.115588 7.202876e+19 1.344550e-01 0 
    0.116389 7.120378e+19 1.310918e-01 0 
    0.117466 5.695091e+19 1.029373e-01 0 
    0.118553 6.910366e+19 1.226231e-01 0 
    0.119375 6.660344e+19 1.165645e-01 0 
    0.120480 6.302267e+19 1.082837e-01 0 
    0.121594 4.813884e+19 8.120220e-02 0 
    0.122437 6.478941e+19 1.077892e-01 0 
    0.123570 6.974401e+19 1.139141e-01 0 
    0.124427 7.022608e+19 1.131268e-01 0 
    0.125578 7.022729e+19 1.110645e-01 0 
    0.126448 7.038811e+19 1.097923e-01 0 
    0.127618 7.286118e+19 1.115755e-01 0 
    0.128503 7.302962e+19 1.102983e-01 0 
    0.129394 6.926248e+19 1.031730e-01 0 
    0.130591 6.990429e+19 1.022289e-01 0 
    0.131496 7.319885e+19 1.055785e-01 0 
    0.132408 7.153235e+19 1.017585e-01 0 
    0.133633 7.055132e+19 9.853129e-02 0 
    0.134559 7.202753e+19 9.921321e-02 0 
    0.135492 7.136772e+19 9.695516e-02 0 
    0.136431 6.942205e+19 9.301815e-02 0 
    0.137377 6.894407e+19 9.110984e-02 0 
    0.138648 6.910379e+19 8.965430e-02 0 
    0.139609 5.747850e+19 7.354871e-02 0 
