# UGC 06665      
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0000e-02 8.588674e+07 2.142015e-11 0 
  1.0210e-02 1.392858e+08 3.332359e-11 0 
  1.0400e-02 2.036882e+08 4.696731e-11 0 
  1.0593e-02 3.054131e+08 6.788067e-11 0 
  1.0790e-02 4.633510e+08 9.925758e-11 0 
  1.0990e-02 7.941254e+08 1.639797e-10 0 
  1.1403e-02 1.643938e+09 3.153143e-10 0 
  1.1804e-02 3.154668e+09 5.646661e-10 0 
  1.2106e-02 1.076254e+10 1.831512e-09 0 
  1.2503e-02 1.887637e+10 3.011526e-09 0 
  1.2706e-02 2.459962e+10 3.800206e-09 0 
  1.2794e-02 2.831064e+10 4.313536e-09 0 
  1.3092e-02 4.054263e+10 5.899244e-09 0 
  1.3213e-02 4.988285e+10 7.125983e-09 0 
  1.3397e-02 6.207780e+10 8.626163e-09 0 
  1.3709e-02 9.839108e+10 1.305692e-08 0 
  1.3996e-02 1.383297e+11 1.761181e-08 0 
  1.4289e-02 3.318545e+11 4.053596e-08 0 
  1.4690e-02 8.296629e+11 9.588586e-08 0 
  1.5101e-02 1.145400e+12 1.252686e-07 0 
  1.5489e-02 1.694002e+12 1.761017e-07 0 
  1.5886e-02 2.409541e+12 2.381232e-07 0 
  1.6219e-02 3.125701e+12 2.963437e-07 0 
  1.6596e-02 4.384314e+12 3.970007e-07 0 
  1.6983e-02 6.052240e+12 5.233398e-07 0 
  1.7299e-02 7.029755e+12 5.858610e-07 0 
  1.7702e-02 1.051758e+13 8.370811e-07 0 
  1.7989e-02 1.318003e+13 1.015778e-06 0 
  1.8198e-02 1.530825e+13 1.152855e-06 0 
  1.8579e-02 2.046031e+13 1.478305e-06 0 
