# UGC 08335 NW   
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0205e-02 6.105930e+07 1.462252e-11 0 
  1.0395e-02 9.072151e+07 2.093909e-11 0 
  1.0588e-02 1.373045e+08 3.054593e-11 0 
  1.0810e-02 2.117023e+08 4.518255e-11 0 
  1.1011e-02 3.636761e+08 7.480966e-11 0 
  1.1398e-02 7.357351e+08 1.412409e-10 0 
  1.1798e-02 1.376312e+09 2.466020e-10 0 
  1.2101e-02 6.694723e+09 1.140214e-09 0 
  1.2497e-02 1.131583e+10 1.807055e-09 0 
  1.2700e-02 1.414968e+10 2.187941e-09 0 
  1.2788e-02 1.605994e+10 2.449261e-09 0 
  1.3086e-02 2.191488e+10 3.191698e-09 0 
  1.3207e-02 2.790572e+10 3.990077e-09 0 
  1.3391e-02 3.370715e+10 4.688053e-09 0 
  1.3703e-02 5.220383e+10 6.933739e-09 0 
  1.3990e-02 6.850300e+10 8.729124e-09 0 
  1.4316e-02 2.289450e+11 2.786020e-08 0 
  1.4717e-02 7.340843e+11 8.452863e-08 0 
  1.5094e-02 9.856798e+11 1.079005e-07 0 
  1.5517e-02 1.332741e+12 1.380469e-07 0 
  1.5915e-02 1.801872e+12 1.774219e-07 0 
  1.6211e-02 2.221985e+12 2.108715e-07 0 
  1.6589e-02 2.949288e+12 2.672841e-07 0 
  1.7014e-02 3.808187e+12 3.280967e-07 0 
  1.7291e-02 4.610392e+12 3.845865e-07 0 
  1.7693e-02 5.857632e+12 4.666762e-07 0 
  1.7981e-02 6.945419e+12 5.357563e-07 0 
  1.8189e-02 7.793425e+12 5.874991e-07 0 
  1.8613e-02 9.744070e+12 7.014618e-07 0 
  1.9090e-02 1.266858e+13 8.669866e-07 0 
  1.9400e-02 1.491886e+13 9.886185e-07 0 
  1.9807e-02 1.814290e+13 1.153362e-06 0 
  2.0221e-02 2.211680e+13 1.349005e-06 0 
  2.0503e-02 2.539357e+13 1.506557e-06 0 
  2.0980e-02 3.038866e+13 1.721857e-06 0 
  2.1618e-02 4.137025e+13 2.207769e-06 0 
  2.2020e-02 4.917470e+13 2.529319e-06 0 
  2.2275e-02 5.478814e+13 2.753896e-06 0 
  2.2689e-02 6.481987e+13 3.140320e-06 0 
  2.3004e-02 1.080767e+14 5.093563e-06 0 
  2.3378e-02 1.899852e+14 8.669650e-06 0 
  2.3978e-02 2.790699e+14 1.210552e-05 0 
  2.4593e-02 3.088253e+14 1.273463e-05 0 
  2.5224e-02 3.861278e+14 1.513560e-05 0 
  2.5693e-02 3.670443e+14 1.386709e-05 0 
  2.5990e-02 4.568042e+14 1.686607e-05 0 
  2.6413e-02 5.281050e+14 1.887910e-05 0 
  2.6904e-02 5.925474e+14 2.041671e-05 0 
  2.7404e-02 6.587805e+14 2.187808e-05 0 
  2.7913e-02 7.323814e+14 2.344341e-05 0 
  2.8432e-02 8.160779e+14 2.517754e-05 0 
  2.9028e-02 8.784929e+14 2.600162e-05 0 
  2.9567e-02 9.970673e+14 2.844503e-05 0 
  3.0117e-02 1.083260e+15 2.978556e-05 0 
  3.0819e-02 1.246592e+15 3.273285e-05 0 
  3.1828e-02 1.512641e+15 3.724033e-05 0 
  3.2795e-02 1.777078e+15 4.120857e-05 0 
