# UGC 08335 SE   
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0205e-02 1.538712e+03 3.684918e-16 0 
  1.0395e-02 2.605049e+03 6.012615e-16 0 
  1.0588e-02 4.472104e+03 9.949023e-16 0 
  1.0810e-02 7.838052e+03 1.672835e-15 0 
  1.1011e-02 1.544833e+04 3.177785e-15 0 
  1.1398e-02 3.938425e+04 7.560694e-15 0 
  1.1798e-02 9.156241e+04 1.640578e-14 0 
  1.2101e-02 5.486016e+05 9.343529e-14 0 
  1.2497e-02 1.128796e+06 1.802604e-13 0 
  1.2700e-02 1.553651e+06 2.402384e-13 0 
  1.2788e-02 1.850270e+06 2.821801e-13 0 
  1.3086e-02 2.882584e+06 4.198215e-13 0 
  1.3207e-02 3.841814e+06 5.493186e-13 0 
  1.3391e-02 5.061724e+06 7.039939e-13 0 
  1.3703e-02 8.949447e+06 1.188670e-12 0 
  1.3990e-02 1.328524e+07 1.692896e-12 0 
  1.4316e-02 4.976044e+07 6.055322e-12 0 
  1.4717e-02 1.649303e+08 1.899145e-11 0 
  1.5094e-02 2.580590e+08 2.824923e-11 0 
  1.5517e-02 4.027898e+08 4.172145e-11 0 
  1.5915e-02 6.200714e+08 6.105551e-11 0 
  1.6211e-02 8.394376e+08 7.966458e-11 0 
  1.6589e-02 1.260087e+09 1.141975e-10 0 
  1.7014e-02 1.835556e+09 1.581434e-10 0 
  1.7291e-02 2.422989e+09 2.021192e-10 0 
  1.7693e-02 3.449142e+09 2.747923e-10 0 
  1.7981e-02 4.438675e+09 3.423908e-10 0 
  1.8189e-02 5.247513e+09 3.955781e-10 0 
  1.8613e-02 7.283120e+09 5.243015e-10 0 
  1.9090e-02 1.072944e+10 7.342802e-10 0 
  1.9400e-02 1.358625e+10 9.003108e-10 0 
  1.9807e-02 1.813181e+10 1.152657e-09 0 
  2.0221e-02 2.414480e+10 1.472702e-09 0 
  2.0503e-02 2.967487e+10 1.760559e-09 0 
  2.0980e-02 3.950491e+10 2.238394e-09 0 
  2.1618e-02 6.062273e+10 3.235199e-09 0 
  2.2020e-02 7.799333e+10 4.011615e-09 0 
  2.2275e-02 9.175129e+10 4.611829e-09 0 
  2.2689e-02 1.169437e+11 5.665556e-09 0 
  2.3004e-02 1.881568e+11 8.867673e-09 0 
  2.3378e-02 3.364499e+11 1.535331e-08 0 
  2.3978e-02 5.457394e+11 2.367314e-08 0 
  2.4593e-02 6.683852e+11 2.756134e-08 0 
  2.5224e-02 9.205541e+11 3.608426e-08 0 
  2.5693e-02 9.513069e+11 3.594078e-08 0 
  2.5990e-02 1.235553e+12 4.561894e-08 0 
  2.6413e-02 1.514199e+12 5.413073e-08 0 
  2.6904e-02 1.825580e+12 6.290186e-08 0 
  2.7404e-02 2.180903e+12 7.242772e-08 0 
  2.7913e-02 2.587145e+12 8.281407e-08 0 
  2.8432e-02 3.090389e+12 9.534430e-08 0 
  2.9028e-02 3.598137e+12 1.064976e-07 0 
  2.9567e-02 4.397641e+12 1.254590e-07 0 
  3.0117e-02 5.039182e+12 1.385584e-07 0 
  3.0819e-02 6.298576e+12 1.653871e-07 0 
  3.1828e-02 8.504752e+12 2.093820e-07 0 
  3.2795e-02 1.109354e+13 2.572475e-07 0 
  3.3792e-02 1.414206e+13 3.088740e-07 0 
  3.4819e-02 1.777669e+13 3.656913e-07 0 
  3.5712e-02 2.194997e+13 4.292418e-07 0 
  3.6628e-02 2.741334e+13 5.096030e-07 0 
  3.7481e-02 3.277953e+13 5.819382e-07 0 
  3.8531e-02 3.836167e+13 6.444265e-07 0 
  3.9520e-02 4.856181e+13 7.754564e-07 0 
  4.0533e-02 5.965608e+13 9.055943e-07 0 
  4.1382e-02 6.906779e+13 1.005887e-06 0 
  4.2151e-02 7.744925e+13 1.087171e-06 0 
  4.3034e-02 8.761581e+13 1.179928e-06 0 
  4.4138e-02 1.061156e+14 1.358471e-06 0 
  4.5062e-02 1.222545e+14 1.501553e-06 0 
  4.6006e-02 1.369936e+14 1.614239e-06 0 
  4.6969e-02 1.578024e+14 1.783970e-06 0 
  4.7953e-02 1.847107e+14 2.003350e-06 0 
  4.8957e-02 2.064643e+14 2.148383e-06 0 
  4.9982e-02 2.449809e+14 2.445690e-06 0 
    0.050561 3.282121e+14 3.201989e-06 0 
    0.051146 1.076927e+15 1.026737e-05 0 
    0.051977 1.264164e+15 1.167017e-05 0 
    0.052943 1.521205e+15 1.353528e-05 0 
    0.054052 1.645619e+15 1.404760e-05 0 
    0.055057 2.842007e+15 2.338280e-05 0 
    0.055952 3.846965e+15 3.064668e-05 0 
    0.056992 4.970139e+15 3.816253e-05 0 
    0.058051 5.230786e+15 3.871186e-05 0 
    0.058995 7.532742e+15 5.397829e-05 0 
    0.059953 8.857770e+15 6.146091e-05 0 
    0.061068 1.197921e+16 8.011195e-05 0 
    0.062060 1.502149e+16 9.727156e-05 0 
    0.063068 1.823811e+16 1.143558e-04 0 
