# UGC 09618 N    
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0200e-02 2.447026e+06 5.865901e-13 0 
  1.0390e-02 3.957225e+06 9.142313e-13 0 
  1.0607e-02 6.502898e+06 1.441512e-12 0 
  1.0805e-02 1.076094e+07 2.298779e-12 0 
  1.1005e-02 1.979414e+07 4.076176e-12 0 
  1.1392e-02 4.624114e+07 8.886384e-12 0 
  1.1792e-02 9.919978e+07 1.779231e-11 0 
  1.2095e-02 5.141940e+08 8.766206e-11 0 
  1.2491e-02 9.807308e+08 1.567660e-10 0 
  1.2694e-02 1.304041e+09 2.018323e-10 0 
  1.2812e-02 1.531460e+09 2.326850e-10 0 
  1.3110e-02 2.278999e+09 3.307007e-10 0 
  1.3201e-02 2.962248e+09 4.239399e-10 0 
  1.3385e-02 3.787739e+09 5.272780e-10 0 
  1.3696e-02 6.323352e+09 8.407294e-10 0 
  1.4015e-02 9.026855e+09 1.146164e-09 0 
  1.4309e-02 3.297002e+10 4.016031e-09 0 
  1.4710e-02 1.192757e+11 1.374748e-08 0 
  1.5087e-02 1.738202e+11 1.904544e-08 0 
  1.5510e-02 2.549568e+11 2.643258e-08 0 
  1.5908e-02 3.698103e+11 3.644553e-08 0 
  1.6203e-02 4.814485e+11 4.573571e-08 0 
  1.6619e-02 6.886348e+11 6.218357e-08 0 
  1.7006e-02 9.494380e+11 8.187640e-08 0 
  1.7282e-02 1.205347e+12 1.006516e-07 0 
  1.7685e-02 1.631375e+12 1.300889e-07 0 
  1.8014e-02 2.037588e+12 1.566003e-07 0 
  1.8180e-02 2.348955e+12 1.772488e-07 0 
  1.8604e-02 3.113943e+12 2.243854e-07 0 
  1.9081e-02 4.351665e+12 2.980915e-07 0 
  1.9391e-02 5.336414e+12 3.539530e-07 0 
  1.9797e-02 6.849405e+12 4.358635e-07 0 
  2.0212e-02 8.792593e+12 5.367782e-07 0 
  2.0493e-02 1.048956e+13 6.229348e-07 0 
  2.1019e-02 1.339710e+13 7.562807e-07 0 
  2.1608e-02 1.946325e+13 1.039639e-06 0 
  2.2009e-02 2.419145e+13 1.245540e-06 0 
  2.2315e-02 2.793961e+13 1.399339e-06 0 
  2.2678e-02 3.441349e+13 1.668844e-06 0 
  2.2994e-02 5.974547e+13 2.818204e-06 0 
  2.3421e-02 1.160672e+14 5.277097e-06 0 
  2.4022e-02 1.777805e+14 7.683554e-06 0 
  2.4581e-02 2.075544e+14 8.567013e-06 0 
  2.5212e-02 2.711878e+14 1.064025e-05 0 
  2.5681e-02 2.701501e+14 1.021593e-05 0 
  2.5978e-02 3.413375e+14 1.261447e-05 0 
  2.6400e-02 4.060885e+14 1.453146e-05 0 
  2.6891e-02 4.719884e+14 1.627848e-05 0 
  2.7391e-02 5.448034e+14 1.811008e-05 0 
  2.7900e-02 6.288195e+14 2.014717e-05 0 
  2.8419e-02 7.224371e+14 2.230894e-05 0 
  2.9014e-02 8.072232e+14 2.391524e-05 0 
  2.9621e-02 9.596984e+14 2.727921e-05 0 
  3.0103e-02 1.075114e+15 2.958907e-05 0 
  3.0804e-02 1.286717e+15 3.381934e-05 0 
  3.1813e-02 1.648432e+15 4.062170e-05 0 
  3.2780e-02 2.040339e+15 4.735665e-05 0 
  3.3776e-02 2.485002e+15 5.432586e-05 0 
  3.4802e-02 2.991400e+15 6.159743e-05 0 
  3.5695e-02 3.520654e+15 6.891361e-05 0 
  3.6610e-02 4.142912e+15 7.709083e-05 0 
  3.7463e-02 4.776476e+15 8.487873e-05 0 
  3.8513e-02 5.415339e+15 9.105574e-05 0 
  3.9501e-02 6.474503e+15 1.034872e-04 0 
  4.0514e-02 7.546615e+15 1.146670e-04 0 
  4.1362e-02 8.463319e+15 1.233770e-04 0 
  4.2228e-02 9.317724e+15 1.303183e-04 0 
  4.3014e-02 1.023704e+16 1.379912e-04 0 
  4.4117e-02 1.176494e+16 1.507558e-04 0 
  4.5145e-02 1.309495e+16 1.602436e-04 0 
  4.5984e-02 1.428544e+16 1.684910e-04 0 
  4.6947e-02 1.583045e+16 1.791324e-04 0 
  4.8040e-02 1.769699e+16 1.912449e-04 0 
  4.9046e-02 1.911762e+16 1.982089e-04 0 
  4.9958e-02 2.128662e+16 2.127125e-04 0 
    0.050653 2.213530e+16 2.151649e-04 0 
    0.051240 2.450295e+16 2.327536e-04 0 
    0.051952 2.613221e+16 2.414727e-04 0 
    0.053040 2.822243e+16 2.501980e-04 0 
    0.054026 2.972605e+16 2.539966e-04 0 
    0.055031 3.233236e+16 2.662680e-04 0 
    0.056054 3.598647e+16 2.856423e-04 0 
    0.056965 3.969762e+16 3.051018e-04 0 
    0.058024 4.199357e+16 3.110741e-04 0 
    0.058967 4.600243e+16 3.299584e-04 0 
    0.060063 4.821131e+16 3.332969e-04 0 
    0.061039 4.738885e+16 3.172180e-04 0 
    0.062031 5.769929e+16 3.739808e-04 0 
    0.063038 6.146873e+16 3.857854e-04 0 
    0.064063 6.608491e+16 4.015912e-04 0 
    0.064954 7.091990e+16 4.192304e-04 0 
    0.065858 7.453796e+16 4.286046e-04 0 
    0.066467 7.951901e+16 4.489059e-04 0 
    0.067547 8.429385e+16 4.607658e-04 0 
    0.068487 8.617597e+16 4.582119e-04 0 
    0.069439 9.952098e+16 5.147593e-04 0 
    0.070568 1.007353e+17 5.045016e-04 0 
    0.071549 1.149907e+17 5.602115e-04 0 
    0.072545 1.224920e+17 5.804826e-04 0 
    0.073554 1.301863e+17 6.001355e-04 0 
    0.074577 1.428775e+17 6.406937e-04 0 
    0.075441 1.533289e+17 6.719017e-04 0 
    0.076490 1.566707e+17 6.678439e-04 0 
    0.077554 1.796042e+17 7.447396e-04 0 
    0.078452 1.913802e+17 7.755064e-04 0 
    0.079544 2.071005e+17 8.163245e-04 0 
    0.080465 2.216771e+17 8.538924e-04 0 
    0.081584 2.371137e+17 8.884706e-04 0 
    0.082529 2.614893e+17 9.574965e-04 0 
    0.083484 2.322441e+17 8.310642e-04 0 
    0.084451 2.906658e+17 1.016438e-03 0 
    0.085429 3.060783e+17 1.045968e-03 0 
    0.086418 3.359296e+17 1.121854e-03 0 
    0.087419 3.678203e+17 1.200385e-03 0 
    0.088431 4.083175e+17 1.302223e-03 0 
    0.089455 4.419185e+17 1.377303e-03 0 
    0.090491 4.515105e+17 1.375161e-03 0 
    0.091539 7.277144e+17 2.165933e-03 0 
    0.092599 5.084228e+18 1.478798e-02 0 
    0.093456 1.150310e+19 3.284710e-02 0 
    0.094538 2.344535e+19 6.542449e-02 0 
    0.095413 3.644288e+19 9.983759e-02 0 
    0.096517 3.852936e+19 1.031527e-01 0 
    0.097410 5.499364e+18 1.445446e-02 0 
    0.098538 2.860448e+19 7.347220e-02 0 
    0.099450 3.621781e+19 9.132907e-02 0 
    0.100602 6.426899e+19 1.583743e-01 0 
    0.101533 6.705674e+19 1.622275e-01 0 
    0.102472 3.068035e+19 7.286960e-02 0 
    0.103420 4.408259e+19 1.027909e-01 0 
    0.104618 1.026238e+20 2.338470e-01 0 
    0.105586 1.046184e+20 2.340411e-01 0 
    0.106563 7.672815e+19 1.685149e-01 0 
    0.107549 1.007556e+20 2.172465e-01 0 
    0.108544 7.422928e+19 1.571304e-01 0 
    0.109548 1.155713e+20 2.401804e-01 0 
    0.110562 1.143170e+20 2.332360e-01 0 
    0.111585 1.089790e+20 2.182869e-01 0 
    0.112617 9.807645e+19 1.928649e-01 0 
    0.113398 1.426310e+20 2.766301e-01 0 
    0.114447 1.301312e+20 2.477815e-01 0 
    0.115506 1.481003e+20 2.768491e-01 0 
    0.116575 1.569213e+20 2.879834e-01 0 
    0.117383 1.007521e+20 1.823644e-01 0 
    0.118469 1.604443e+20 2.851093e-01 0 
    0.119565 9.736619e+19 1.698621e-01 0 
    0.120394 6.279605e+19 1.080486e-01 0 
    0.121508 5.482257e+19 9.260749e-02 0 
    0.122632 1.204907e+20 1.998216e-01 0 
    0.123482 2.062763e+20 3.373949e-01 0 
    0.124625 2.346300e+20 3.767643e-01 0 
    0.125489 2.222489e+20 3.519855e-01 0 
    0.126359 1.863147e+20 2.910256e-01 0 
    0.127528 2.704897e+20 4.147975e-01 0 
    0.128412 2.954967e+20 4.469283e-01 0 
    0.129600 2.129962e+20 3.162702e-01 0 
    0.130499 2.141605e+20 3.136328e-01 0 
    0.131403 3.027439e+20 4.372816e-01 0 
    0.132619 2.936657e+20 4.164264e-01 0 
    0.133538 2.483979e+20 3.474038e-01 0 
    0.134464 3.337565e+20 4.603775e-01 0 
    0.135396 3.278718e+20 4.460554e-01 0 
    0.136649 2.860101e+20 3.820014e-01 0 
    0.137596 3.159373e+20 4.161844e-01 0 
    0.138550 3.256961e+20 4.231515e-01 0 
    0.139510 2.857744e+20 3.661922e-01 0 
    0.140477 3.035118e+20 3.835850e-01 0 
    0.141451 3.114107e+20 3.881664e-01 0 
    0.142431 3.360936e+20 4.131879e-01 0 
    0.143419 3.369734e+20 4.085816e-01 0 
    0.144081 3.675487e+20 4.415683e-01 0 
    0.144746 3.819842e+20 4.547040e-01 0 
    0.145414 3.713450e+20 4.379873e-01 0 
    0.146422 3.394822e+20 3.949125e-01 0 
    0.147437 3.474320e+20 3.986146e-01 0 
    0.148459 3.671888e+20 4.155018e-01 0 
    0.149488 3.844964e+20 4.291174e-01 0 
    0.150524 3.629567e+20 3.995211e-01 0 
    0.151219 3.144208e+20 3.429217e-01 0 
    0.151567 3.498029e+20 3.797611e-01 0 
    0.152618 3.378765e+20 3.617786e-01 0 
    0.153676 2.861937e+20 3.022348e-01 0 
    0.154385 3.382733e+20 3.539599e-01 0 
    0.155455 3.222032e+20 3.325193e-01 0 
    0.156533 3.303482e+20 3.362456e-01 0 
    0.157618 3.620790e+20 3.634864e-01 0 
    0.158345 3.947731e+20 3.926768e-01 0 
    0.159443 4.103450e+20 4.025637e-01 0 
    0.160548 4.110705e+20 3.977434e-01 0 
    0.161661 4.232975e+20 4.039537e-01 0 
    0.162407 3.972973e+20 3.756666e-01 0 
    0.163533 4.393488e+20 4.097275e-01 0 
    0.164667 4.544683e+20 4.180102e-01 0 
    0.165427 4.168097e+20 3.798582e-01 0 
    0.166573 4.726709e+20 4.248603e-01 0 
    0.167342 4.073409e+20 3.627810e-01 0 
    0.167728 4.821291e+20 4.274139e-01 0 
    0.168502 5.230409e+20 4.594328e-01 0 
    0.169670 4.910271e+20 4.253945e-01 0 
    0.170453 4.714756e+20 4.047122e-01 0 
    0.171635 4.435852e+20 3.755448e-01 0 
    0.172427 4.480095e+20 3.758142e-01 0 
    0.173622 4.951726e+20 4.096788e-01 0 
    0.174424 4.887015e+20 4.006154e-01 0 
    0.175633 5.413356e+20 4.376741e-01 0 
    0.176443 4.883463e+20 3.912150e-01 0 
    0.177666 5.105875e+20 4.034205e-01 0 
    0.178487 5.300341e+20 4.149417e-01 0 
    0.179310 5.868233e+20 4.551922e-01 0 
    0.180553 5.912939e+20 4.523664e-01 0 
    0.181387 5.370118e+20 4.070690e-01 0 
    0.182644 5.613324e+20 4.196679e-01 0 
    0.183487 5.399545e+20 3.999843e-01 0 
    0.184334 4.914389e+20 3.607075e-01 0 
    0.185612 4.950120e+20 3.583439e-01 0 
    0.186469 5.232696e+20 3.753260e-01 0 
    0.187329 5.926254e+20 4.211790e-01 0 
    0.188628 5.405622e+20 3.789045e-01 0 
    0.189498 5.234636e+20 3.635579e-01 0 
    0.190373 5.673986e+20 3.904577e-01 0 
    0.191693 5.456043e+20 3.703068e-01 0 
    0.192577 5.443091e+20 3.660439e-01 0 
    0.193466 5.699322e+20 3.797610e-01 0 
    0.194359 6.035835e+20 3.984965e-01 0 
    0.195707 5.670453e+20 3.692339e-01 0 
    0.196610 6.449487e+20 4.161122e-01 0 
    0.197517 6.720298e+20 4.296116e-01 0 
    0.198429 6.342417e+20 4.017362e-01 0 
    0.199345 6.195757e+20 3.888482e-01 0 
    0.200727 6.513366e+20 4.031720e-01 0 
    0.201653 6.245921e+20 3.830748e-01 0 
    0.202584 6.720264e+20 4.083875e-01 0 
    0.203519 6.326045e+20 3.809069e-01 0 
    0.204459 6.758649e+20 4.032217e-01 0 
    0.205402 6.465050e+20 3.821721e-01 0 
    0.206350 6.505317e+20 3.810272e-01 0 
    0.207303 7.144045e+20 4.146001e-01 0 
    0.207781 6.819795e+20 3.939636e-01 0 
    0.208740 7.234465e+20 4.140870e-01 0 
    0.209703 6.823697e+20 3.869963e-01 0 
    0.210671 6.896402e+20 3.875337e-01 0 
    0.211644 7.050344e+20 3.925499e-01 0 
    0.212621 7.223792e+20 3.985193e-01 0 
    0.213602 6.626542e+20 3.622203e-01 0 
    0.214588 6.978895e+20 3.779830e-01 0 
    0.215579 7.366731e+20 3.953287e-01 0 
    0.216574 7.140687e+20 3.796853e-01 0 
    0.217573 7.115172e+20 3.748624e-01 0 
    0.218578 7.056447e+20 3.683576e-01 0 
    0.219586 7.498518e+20 3.878489e-01 0 
    0.220600 7.300268e+20 3.741315e-01 0 
    0.221618 6.881326e+20 3.494287e-01 0 
    0.222641 6.683967e+20 3.362950e-01 0 
    0.223669 7.356270e+20 3.667267e-01 0 
    0.224701 7.066227e+20 3.490391e-01 0 
    0.225738 6.720414e+20 3.289146e-01 0 
    0.226259 6.990989e+20 3.405833e-01 0 
    0.227303 7.357975e+20 3.551767e-01 0 
