# UGC 09618 S    
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0200e-02 4.711092e+11 1.129322e-07 0 
  1.0390e-02 6.253381e+11 1.444708e-07 0 
  1.0607e-02 8.474711e+11 1.878608e-07 0 
  1.0805e-02 1.167139e+12 2.493271e-07 0 
  1.1005e-02 1.795073e+12 3.696566e-07 0 
  1.1392e-02 2.972349e+12 5.712107e-07 0 
  1.1792e-02 4.614409e+12 8.276327e-07 0 
  1.2095e-02 1.914814e+13 3.264461e-06 0 
  1.2491e-02 2.729537e+13 4.363059e-06 0 
  1.2694e-02 3.148472e+13 4.873033e-06 0 
  1.2812e-02 3.452066e+13 5.244955e-06 0 
  1.3110e-02 4.198664e+13 6.092593e-06 0 
  1.3201e-02 5.118203e+13 7.324878e-06 0 
  1.3385e-02 5.742784e+13 7.994331e-06 0 
  1.3696e-02 7.981992e+13 1.061256e-05 0 
  1.4015e-02 9.486841e+13 1.204570e-05 0 
  1.4309e-02 2.904755e+14 3.538241e-05 0 
  1.4710e-02 8.300029e+14 9.566447e-05 0 
  1.5087e-02 9.820421e+14 1.076021e-04 0 
  1.5510e-02 1.177822e+15 1.221103e-04 0 
  1.5908e-02 1.412927e+15 1.392467e-04 0 
  1.6203e-02 1.599863e+15 1.519807e-04 0 
  1.6619e-02 1.914704e+15 1.728974e-04 0 
  1.7006e-02 2.223811e+15 1.917741e-04 0 
  1.7282e-02 2.495244e+15 2.083634e-04 0 
  1.7685e-02 2.878109e+15 2.295057e-04 0 
  1.8014e-02 3.207132e+15 2.464864e-04 0 
  1.8180e-02 3.420641e+15 2.581167e-04 0 
  1.8604e-02 3.918496e+15 2.823600e-04 0 
  1.9081e-02 4.592840e+15 3.146122e-04 0 
  1.9391e-02 5.083023e+15 3.371461e-04 0 
  1.9797e-02 5.715958e+15 3.637363e-04 0 
  2.0212e-02 6.458023e+15 3.942553e-04 0 
  2.0493e-02 7.032531e+15 4.176351e-04 0 
  2.1019e-02 7.728614e+15 4.362887e-04 0 
  2.1608e-02 9.464961e+15 5.055756e-04 0 
  2.2009e-02 1.054662e+16 5.430116e-04 0 
  2.2315e-02 1.124834e+16 5.633667e-04 0 
  2.2678e-02 1.247651e+16 6.050346e-04 0 
  2.2994e-02 1.981968e+16 9.348975e-04 0 
  2.3421e-02 3.428465e+16 1.558781e-03 0 
  2.4022e-02 4.582436e+16 1.980499e-03 0 
  2.4581e-02 4.657113e+16 1.922269e-03 0 
  2.5212e-02 5.359495e+16 2.102838e-03 0 
  2.5681e-02 4.798527e+16 1.814599e-03 0 
  2.5978e-02 5.729159e+16 2.117268e-03 0 
  2.6400e-02 6.311250e+16 2.258416e-03 0 
  2.6891e-02 6.654311e+16 2.295016e-03 0 
  2.7391e-02 7.000230e+16 2.326982e-03 0 
  2.7900e-02 7.363707e+16 2.359307e-03 0 
  2.8419e-02 7.764159e+16 2.397581e-03 0 
  2.9014e-02 7.854539e+16 2.327030e-03 0 
  2.9621e-02 8.455090e+16 2.403340e-03 0 
  3.0103e-02 8.711732e+16 2.397626e-03 0 
  3.0804e-02 9.378028e+16 2.464868e-03 0 
  3.1813e-02 1.042603e+17 2.569248e-03 0 
  3.2780e-02 1.124878e+17 2.610862e-03 0 
  3.3776e-02 1.199819e+17 2.622983e-03 0 
  3.4802e-02 1.276776e+17 2.629073e-03 0 
  3.5695e-02 1.352369e+17 2.647139e-03 0 
  3.6610e-02 1.442424e+17 2.684045e-03 0 
