# UM 461         
# 
# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# http://dx.doi.org/10.17909/t9-5bxk-dh29
# 
# The Spectral Energy Distributions of Active Galactic Nuclei
# Brown et al. (2019)
# http://dx.doi.org/10.17909/t9-3dbt-8734
# 
# Column 1: Observed wavelength (um)
# Column 2: L_nu (W/Hz)
# Column 3: f_lam (erg/s/cm2/A)
# Column 4: Source (0 = model, 1 = Optical Spectrun, 2 = Akari, 3 = Spitzer IRS)
# 
  1.0011e-02 3.991263e+10 9.932347e-09 0 
  1.0198e-02 5.001857e+10 1.199493e-08 0 
  1.0411e-02 5.755847e+10 1.324405e-08 0 
  1.0605e-02 6.809118e+10 1.509962e-08 0 
  1.0802e-02 8.186594e+10 1.749812e-08 0 
  1.1003e-02 1.172610e+11 2.415615e-08 0 
  1.1389e-02 1.545763e+11 2.972132e-08 0 
  1.1790e-02 1.932427e+11 3.467144e-08 0 
  1.2092e-02 6.210578e+11 1.059332e-07 0 
  1.2488e-02 7.570031e+11 1.210621e-07 0 
  1.2691e-02 8.168119e+11 1.264814e-07 0 
  1.2808e-02 8.612670e+11 1.309398e-07 0 
  1.3107e-02 9.552329e+11 1.386753e-07 0 
  1.3198e-02 1.099251e+12 1.573899e-07 0 
  1.3412e-02 1.169912e+12 1.622043e-07 0 
  1.3693e-02 1.435790e+12 1.909810e-07 0 
  1.4012e-02 1.581587e+12 2.009044e-07 0 
  1.4305e-02 3.428756e+12 4.178855e-07 0 
  1.4706e-02 6.700702e+12 7.727298e-07 0 
  1.5083e-02 7.381516e+12 8.092199e-07 0 
  1.5506e-02 8.263160e+12 8.571228e-07 0 
  1.5904e-02 9.228561e+12 9.099505e-07 0 
  1.6199e-02 9.956265e+12 9.462730e-07 0 
  1.6615e-02 1.111986e+13 1.004604e-06 0 
  1.7002e-02 1.216561e+13 1.049616e-06 0 
  1.7318e-02 1.312569e+13 1.091499e-06 0 
  1.7681e-02 1.426038e+13 1.137664e-06 0 
  1.8009e-02 1.524540e+13 1.172347e-06 0 
  1.8218e-02 1.589001e+13 1.194041e-06 0 
  1.8599e-02 1.722417e+13 1.241811e-06 0 
  1.9120e-02 1.901700e+13 1.297367e-06 0 
  1.9386e-02 2.019030e+13 1.339871e-06 0 
  1.9792e-02 2.173352e+13 1.383717e-06 0 
  2.0207e-02 2.344953e+13 1.432277e-06 0 
  2.0488e-02 2.466778e+13 1.465640e-06 0 
  2.1013e-02 2.594864e+13 1.465665e-06 0 
  2.1602e-02 2.965686e+13 1.585016e-06 0 
  2.2004e-02 3.177794e+13 1.636888e-06 0 
  2.2310e-02 3.296979e+13 1.652013e-06 0 
  2.2725e-02 3.532738e+13 1.706083e-06 0 
  2.2988e-02 5.384092e+13 2.541011e-06 0 
  2.3415e-02 9.038755e+13 4.111656e-06 0 
  2.4016e-02 1.256404e+14 5.432810e-06 0 
  2.4575e-02 1.224948e+14 5.058561e-06 0 
  2.5206e-02 1.355568e+14 5.321202e-06 0 
  2.5674e-02 1.096793e+14 4.149867e-06 0 
  2.5972e-02 1.374500e+14 5.081951e-06 0 
  2.6394e-02 1.496651e+14 5.358047e-06 0 
  2.6884e-02 1.538573e+14 5.309170e-06 0 
  2.7384e-02 1.570814e+14 5.224292e-06 0 
  2.7893e-02 1.596386e+14 5.117335e-06 0 
  2.8412e-02 1.648644e+14 5.093541e-06 0 
  2.9007e-02 1.622278e+14 4.808570e-06 0 
  2.9614e-02 1.671594e+14 4.753714e-06 0 
  3.0095e-02 1.611194e+14 4.436655e-06 0 
  3.0796e-02 1.718433e+14 4.518980e-06 0 
  3.1805e-02 1.862599e+14 4.592246e-06 0 
  3.2772e-02 1.923660e+14 4.467031e-06 0 
  3.3767e-02 1.968410e+14 4.305533e-06 0 
  3.4793e-02 2.005029e+14 4.130793e-06 0 
