ID,fracAGN
CDFS_5746,0.3
CDFS_5928,0.2
CDFS_5972,0.1
CDFS_6179,0.0
CDFS_6237,0.0
CDFS_6264,0.4
CDFS_6272,0.1
CDFS_6276,0.1
CDFS_6302,0.0
CDFS_6328,0.1
CDFS_6329,0.01
CDFS_6344,0.2
CDFS_6365,0.1
CDFS_6377,0.0
CDFS_6378,0.1
CDFS_6426,0.0
CDFS_6459,0.3
CDFS_6479,0.0
CDFS_6485,0.1
CDFS_6533,0.01
CDFS_6550,0.1
CDFS_6579,0.0
CDFS_6642,0.01
CDFS_6681,0.0
CDFS_6700,0.2
CDFS_6707,0.01
CDFS_6776,0.0
CDFS_6798,0.4
CDFS_6815,0.2
CDFS_6828,0.0
CDFS_6848,0.0
CDFS_6858,0.2
CDFS_6865,0.0
CDFS_6868,0.1
CDFS_6888,0.0
CDFS_6964,0.6
CDFS_6975,0.0
CDFS_6982,0.1
CDFS_6988,0.1
CDFS_6997,0.0
CDFS_7003,0.0
CDFS_7035,0.4
CDFS_7089,0.4
CDFS_7107,0.2
CDFS_7120,0.2
CDFS_7259,0.3
CDFS_7264,0.3
CDFS_7267,0.2
CDFS_7269,0.7
CDFS_7285,0.0
CDFS_7300,0.0
CDFS_7313,0.0
CDFS_7351,0.01
CDFS_7372,0.0
CDFS_7390,0.2
CDFS_7440,0.0
CDFS_7451,0.0
CDFS_7452,0.0
CDFS_7457,0.2
CDFS_7484,0.3
CDFS_7520,0.6
CDFS_7521,0.0
CDFS_7532,0.0
CDFS_7544,0.0
CDFS_7571,0.0
CDFS_7627,0.3
CDFS_7643,0.3
CDFS_7649,0.01
CDFS_7659,0.2
CDFS_7663,0.01
CDFS_7676,0.0
CDFS_7690,0.01
CDFS_7719,0.1
CDFS_7729,0.0
CDFS_7733,0.01
CDFS_7763,0.0
CDFS_7765,0.0
CDFS_7770,0.0
CDFS_7794,0.0
CDFS_7823,0.4
CDFS_7829,0.1
CDFS_7830,0.0
CDFS_7842,0.3
CDFS_7880,0.6
CDFS_7890,0.2
CDFS_7895,0.0
CDFS_7926,0.1
CDFS_7938,0.1
CDFS_7952,0.3
CDFS_7999,0.0
CDFS_8000,0.3
CDFS_8004,0.01
CDFS_8007,0.01
CDFS_8011,0.0
CDFS_8014,0.0
CDFS_8015,0.01
CDFS_8032,0.0
