ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
CDFS_10005,-103.73897574142921,-104.64967442171023,-105.3827808310814,-103.73897574142921,-104.64967442171023,-105.3827808310814,1.7572
CDFS_10011,-100.53383551337186,-101.9141896706732,-102.77802800064504,-100.53383551337186,-101.9141896706732,-102.77802800064504,0.78
CDFS_10028,-102.46186504700685,-102.90525251111775,-103.10859019920036,-102.46185148881808,-102.90523352395125,-103.10844613837183,1.3215
CDFS_10029,-100.98053117422685,-101.89122985450788,-102.62433626387906,-100.98053117422685,-101.89122985450788,-102.62433626387906,1.1036
CDFS_10032,-104.24069909858717,-105.53751456347364,-106.387677393066,-104.10070038398423,-105.47391940004829,-106.33385625052699,1.0506
CDFS_10039,-102.77454608534828,-103.42349395938209,-103.76965296564964,-102.77447276120833,-103.4234089860712,-103.76908762421428,1.1017
CDFS_10042,-101.37146033800163,-102.02930611149398,-102.68729265194477,-101.37146033800163,-102.02930611149398,-102.68729265194477,1.0382
CDFS_10044,-102.73168902435486,-103.41548429966483,-103.79243584119818,-102.7316454834359,-103.41543538218,-103.79211743186757,0.7652
CDFS_10051,-102.3165455879476,-102.73948085749075,-103.0588453636395,-101.7687008882273,-102.27858485265968,-102.50433843803415,1.866
CDFS_10065,-102.32394481851642,-102.60729841860298,-102.68277267795348,-102.27935058441335,-102.56303558195015,-102.61810644959601,1.5744
CDFS_10066,-105.27707409628539,-105.8006083648958,-106.40530497409128,-104.7369352818936,-105.39478105538595,-106.05276759583676,3.1113
CDFS_10088,-98.22961639445052,-99.60997055175184,-100.47380888172368,-98.22961639445052,-99.60997055175184,-100.47380888172368,0.1077
CDFS_10094,-98.53684524385734,-99.632836092656,-100.39288058662031,-98.53684524385734,-99.632836092656,-100.39288058662031,0.4084
CDFS_10105,-100.57286112286675,-101.58169402362192,-102.20132914147365,-100.57284298635199,-101.58167893559516,-102.20125112491402,0.2512
CDFS_10113,-104.34865410801979,-105.02615970249036,-105.41759800349917,-104.34865410801979,-105.02615970249036,-105.41759800349917,1.5355
CDFS_10114,-99.30557049939307,-100.31471003975022,-100.93586306221664,-99.30451899608036,-100.31335494532351,-100.93292713464238,0.4672
CDFS_10115,-102.84051888939808,-103.75369310137691,-104.26179129463536,-102.84051888939808,-103.75369310137691,-104.26179129463536,0.7108
CDFS_10116,-101.39585878296441,-101.85287968608574,-102.01408716899331,-101.39579274706207,-101.85278836118778,-102.01336667919139,0.7021
CDFS_10119,-99.7400204346392,-101.12037459194055,-101.98421292191239,-99.7400204346392,-101.12037459194055,-101.98421292191239,0.745
CDFS_10126,-101.89785900427326,-102.60013337937671,-103.00958249860416,-101.89785900427326,-102.60013337937671,-103.00958249860416,0.7613
