recno,id,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,FB,e_FB,w_FB,FI,e_FI,w_FI,FR,e_FR,w_FR,FU,e_FU,w_FU,FV,e_FV,w_FV,FZ,e_FZ,w_FZ,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FKs,e_FKs,w_FKs,FKsHI,e_FKsHI,w_FKsHI,NB118,e_NB118,w_NB118,NB209,e_NB209,w_NB209,F098M,e_F098M,w_F098M,F105W,e_F105W,w_F105W,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F814W,e_F814W,w_F814W,IA484,e_IA484,w_IA484,IA527,e_IA527,w_IA527,IA574,e_IA574,w_IA574,IA598,e_IA598,w_IA598,IA624,e_IA624,w_IA624,IA651,e_IA651,w_IA651,IA679,e_IA679,w_IA679,IA738,e_IA738,w_IA738,IA767,e_IA767,w_IA767,IA797,e_IA797,w_IA797,IA856,e_IA856,w_IA856,FVWFI,e_FVWFI,w_FVWFI,FRcWFI,e_FRcWFI,w_FRcWFI,FU38,e_FU38,w_FU38,FKT,e_FKT,w_FKT,F3.6,e_F3.6,w_F3.6,F4.5,e_F4.5,w_F4.5,F5.8,e_F5.8,w_F5.8,F8.0,e_F8.0,w_F8.0,wminOpt,wmin1,wminFS,wminNIR,wmin2,wminIR,wmin,Star,Nghb,Use,SNR,Use2,zspec,Simbad,U,eU,V,eV,J,eJ,zpk,lssfr,lmass,field,mag_U,mag_V,mag_J,e_mag_U,e_mag_V,e_mag_J,GalaxyType
7544,7544,4338.467,2547.291,53.0878754,-27.869051,0,55.0,0.93743,0.06926,1.166367,2.208165,0.91458,0.03558,1.774505,1.62292,0.06314,1.77475,2.287,2.246,2.018,4.96,2.07229,0.11398,1.45,0.0898112,0.06284,0.6,0.0960985,0.10044,0.62,0.132551,0.01726,2.24,0.00645518,0.01443,1.26,0.0667193,0.05121,0.66,0.372546,0.14188,0.53,0.8777,0.33043,0.8,1.85622,0.31746,0.91,0.637979,0.17603,0.81,1.11247,0.17501,0.75,1.0894,0.20191,0.81,1.91618,0.44017,0.79,2.12361,0.1174,16.71,-0.235259,0.36584,0.57,2.71709,0.69134,0.65,,,0.0,0.869171,0.06222,1.08,1.29157,0.04947,1.36,1.32383,0.1895,0.98,1.54806,0.06085,1.35,0.406305,0.04206,2.95,0.0539763,0.05326,1.0,0.0645054,0.05594,1.0,-0.10517,0.14123,1.0,0.0750475,0.05519,1.0,0.120573,0.06276,1.0,0.165398,0.04903,1.0,0.106792,0.06256,1.0,0.162506,0.06795,1.0,0.433183,0.17318,1.0,0.425565,0.19547,1.0,0.487262,0.26146,1.0,-0.00434996,0.04986,0.97,0.0759855,0.0461,0.92,-0.00341439,0.16016,0.92,1.99243,0.28994,1.05,2.45937,0.05918,1.52,2.01399,0.09546,0.78,2.22557,0.72513,1.13,-0.397852,0.86945,1.1,0.53,2.95,0.75,1.05,0.0,46040.0,1.45,0,0,1,25.70347,b'1',,b'Simbad',0.089193,0.0130708,0.366248,0.0283201,0.821791,0.0123447,1.1017,-12.28,9.17,CDFS_,27.624173070916882,26.09056184554568,25.21309654826623,29.709244576390475,28.869763043648156,29.771298649491662,0.0
8122,8122,3746.897,2689.073,53.115757,-27.8631477,0,172.0,5.23154,0.05406,1.08647,2.320886,4.73635,0.02777,1.774505,8.40468,0.04928,11.17546,2.674,3.33,2.846,7.173,12.15516,0.13581,2.38,0.608681,0.05226,0.96,4.82831,0.08839,0.9,3.10343,0.15517,1.59,0.270045,0.01621,1.1,2.17291,0.04445,0.97,6.40565,0.12538,0.75,11.84664,0.41416,0.55,11.60551,0.3864,0.67,7.73939,0.22428,0.54,8.34623,0.23287,0.47,8.79934,0.27453,0.49,12.7459,0.54496,0.54,12.03228,0.08938,32.19,8.7458,0.51319,0.32,11.9151,0.95034,0.38,,,0.0,7.43199,0.06563,1.09,8.78311,0.05496,1.23,9.81896,0.20446,0.93,10.3708,0.06707,1.24,5.28115,0.05221,2.15,0.819376,0.05602,1.0,1.18319,0.05845,1.0,1.65032,0.14846,1.0,2.17969,0.05743,1.0,2.77783,0.06613,1.0,3.16498,0.05181,1.0,3.73036,0.06581,1.0,4.36459,0.0716,1.0,5.2104,0.18046,1.0,5.00341,0.20474,1.0,5.20607,0.27292,1.0,1.34431,0.05175,1.0,3.17779,0.04733,0.98,0.144056,0.18068,0.8,13.11538,0.32243,0.94,8.54106,0.06736,1.42,6.21335,0.08219,1.15,3.40686,0.73324,1.17,2.00808,0.84058,1.09,0.75,2.15,0.47,0.94,0.0,68082.0,2.38,0,0,1,170.5373,b'1',0.5231,b'Simbad',0.502885,0.0197878,1.97521,0.0181539,4.40163,0.00508309,0.5295,-10.54,9.28,CDFS_,25.746328295688105,24.260966810862364,23.390966167355277,29.259006219508187,29.352575152942606,30.73468050178232,0.0
9194,9194,3362.261,2967.678,53.1338844,-27.8515396,3,383.0,18.32045,0.05868,1.062387,2.871462,14.04341,0.03015,1.774505,24.9201,0.0535,49.51723,3.556,4.832,2.889,8.705,52.66434,0.18683,2.02,1.79467,0.06365,0.99,11.319,0.0902,1.33,6.23563,0.31178,1.45,1.10484,0.0175,1.46,4.7981,0.04898,1.24,15.073,0.11992,1.26,37.58226,0.39912,0.9,42.90041,0.39113,1.0,20.4648,0.20908,0.94,24.8815,0.21884,0.82,27.5292,0.25044,0.9,55.2497,0.53913,0.85,53.10163,0.11033,31.89,23.307,0.4676,0.59,46.8565,0.9205,0.62,,,0.0,20.3281,0.08155,1.09,26.3356,0.06811,1.23,30.28414,0.25132,0.94,35.3702,0.08346,1.23,12.0639,0.07021,1.85,2.53373,0.06897,1.0,3.20696,0.07175,1.0,4.09574,0.18287,1.0,4.21417,0.0703,1.0,5.4073,0.08167,1.0,6.76084,0.06413,1.0,8.45263,0.08115,1.0,10.1295,0.0883,1.0,11.4091,0.22189,1.0,12.7653,0.25243,1.0,13.2444,0.33448,1.0,3.05165,0.06111,1.11,6.75505,0.05638,1.08,1.04752,0.1984,1.02,56.33905,0.4055,0.91,54.27736,0.06874,1.64,39.1366,0.09338,1.12,37.8748,0.81791,1.24,26.2147,0.86261,1.16,0.99,1.85,0.82,0.91,0.0,66201.0,2.02,0,0,1,465.8381,b'1',0.683,b'Simbad',1.76338,0.041754,5.63573,0.0586371,19.0736,0.0811479,0.6468,-11.17,9.86,CDFS_,24.384135223051963,23.122624553774934,21.798918323418043,28.448254782803353,28.07956879156625,27.726806786643444,2.0
11185,11185,1998.134,3320.896,53.1981583,-27.8368015,2,47.0,0.4868,0.06378,1.087519,2.678353,0.32353,0.03277,1.774505,0.57411,0.05814,1.1989,3.354,2.991,2.21,7.122,1.30526,0.15884,1.71,0.352406,0.06013,0.96,0.763712,0.09573,1.03,0.407972,0.02628,1.46,0.35649,0.01745,1.32,0.437681,0.051,1.01,0.839193,0.12511,1.01,0.70996,0.48157,0.56,1.09681,0.45793,0.65,0.91479,0.26296,0.52,0.793485,0.27894,0.44,0.83875,0.32855,0.45,1.23311,0.65132,0.52,1.30454,0.13556,18.51,1.27156,0.64474,0.27,0.655963,1.06894,0.4,,,0.0,0.835391,0.07739,1.05,1.04371,0.06366,1.22,1.01433,0.24301,0.88,1.13029,0.07819,1.21,0.714385,0.06245,2.04,0.377833,0.06357,1.0,0.320912,0.06642,1.0,0.60983,0.16958,1.0,0.480613,0.0651,1.0,0.351058,0.07571,1.0,0.324895,0.05974,1.0,0.437405,0.07508,1.0,0.282882,0.0821,1.0,0.587666,0.20637,1.0,0.653234,0.23587,1.0,0.671992,0.30884,1.0,0.281616,0.05657,1.15,0.339275,0.05249,1.12,0.306356,0.18527,1.02,1.02805,0.34324,1.09,1.17957,0.06407,0.92,0.910057,0.0799,0.94,1.52436,0.81089,1.13,-1.98048,0.92781,1.06,0.96,2.04,0.44,1.09,0.0,55587.0,1.71,0,0,1,9.874151,b'1',,b'Simbad',0.198577,0.00708002,0.320354,0.00108923,0.466486,0.0132523,1.0616,-9.03,8.58,CDFS_,26.75517763672561,26.23592462239021,25.82790346400583,30.374913788728485,32.40720101414584,29.694271853256915,1.0
11212,11212,3432.254,3305.122,53.1305847,-27.8374786,0,15.0,0.23434,0.05548,1.276068,2.171055,0.19604,0.0285,1.774505,0.34787,0.05058,0.3987,2.357,1.97,1.373,3.832,0.50933,0.07069,2.26,0.0981774,0.04592,1.09,0.251399,0.07576,1.08,0.0778018,0.0207,1.49,0.0816946,0.01615,0.98,0.0801744,0.04115,1.01,0.0717562,0.1014,1.01,0.19854,0.3031,0.89,0.29217,0.32197,0.85,0.142764,0.16433,0.87,0.40034,0.17014,0.77,-0.0156504,0.19625,0.83,0.230311,0.45824,0.67,0.44569,0.082,32.68,0.251588,0.35658,0.58,1.12208,0.7323,0.56,,,0.0,0.285182,0.06005,1.15,0.332846,0.05167,1.22,0.25845,0.15475,1.42,0.26017,0.06364,1.21,0.155189,0.05426,1.78,0.184797,0.05212,1.0,0.0330639,0.0542,1.0,0.05993,0.13815,1.0,0.195561,0.05305,1.0,0.0626018,0.06174,1.0,0.122706,0.04848,1.0,0.112277,0.06132,1.0,0.155233,0.06665,1.0,0.21282,0.16765,1.0,0.0576826,0.19038,1.0,0.0561351,0.25246,1.0,0.0848711,0.04688,1.08,0.0744033,0.04333,1.05,0.274158,0.15314,0.98,0.33773,0.30463,0.92,0.55589,0.06294,1.91,0.534649,0.09452,0.86,-0.409152,0.60578,1.58,-0.874798,0.73314,1.35,0.98,1.78,0.77,0.92,0.0,50798.0,2.26,0,0,1,6.878204,b'1',,b'Simbad',0.0592598,0.00871387,0.0995763,0.0065354,0.174322,0.00871387,1.2935,-9.2,8.51,CDFS_,28.06809954645999,27.504610037575496,26.896619500158558,30.149472308700854,30.461819565550428,30.149472308700854,1.0
11713,11713,5012.429,3430.96,53.0561295,-27.8322201,3,255.0,4.272,0.07988,1.056967,3.030134,3.44638,0.04104,1.774505,6.11561,0.07282,12.24706,4.054,4.307,3.609,9.186,12.95898,0.27193,1.09,0.174149,0.06459,1.07,4.14879,0.10877,1.02,1.82827,0.09141,1.18,0.108166,0.02141,1.11,1.18405,0.05673,1.04,5.12278,0.14008,1.03,9.99369,0.39546,1.04,12.02779,0.41947,1.0,6.9864,0.21471,1.02,7.45847,0.20537,1.04,8.95186,0.24787,1.02,12.8114,0.5258,1.01,12.9532,0.17339,14.4,7.3301,0.38093,0.99,10.9965,0.76485,1.0,,,0.0,6.80977,0.09016,0.99,8.31906,0.06588,1.45,9.05728,0.25009,1.07,10.1987,0.0808,1.45,4.33349,0.06236,2.58,0.334003,0.07285,1.0,0.68598,0.07622,1.0,0.98903,0.19334,1.0,1.1559,0.07482,1.0,1.28375,0.08627,1.0,1.82778,0.06683,1.0,2.14333,0.08565,1.0,3.43688,0.09219,1.0,3.98716,0.23605,1.0,4.83282,0.26615,1.0,4.43221,0.35394,1.0,0.724858,0.06852,0.99,1.85083,0.06255,0.97,0.235503,0.21578,0.97,12.89253,0.4132,0.99,13.97208,0.074,1.64,8.25533,0.13518,0.82,6.57555,0.75115,1.85,5.50878,0.81665,1.78,0.97,2.58,1.0,0.99,0.0,48491.0,1.09,0,0,1,83.97745,b'1',,b'Simbad',0.501676,0.0177908,2.10207,0.0214216,4.6336,0.0194247,0.7188,-13.19,9.46,CDFS_,25.74894168741906,24.193382064599664,23.335203649547413,29.374511306325623,29.172870236045643,29.27911419957382,0.0
11892,11892,3949.698,3436.262,53.106205,-27.8320141,0,45.0,0.5096,0.05307,1.152781,2.288883,0.42106,0.02726,1.774505,0.74718,0.04838,1.01183,2.64,2.433,2.043,5.195,1.1677,0.09181,2.47,0.405139,0.03858,1.72,0.56562,0.07069,1.38,0.389942,0.02402,1.2,0.414685,0.01493,1.27,0.365023,0.03683,1.39,0.919574,0.08914,1.45,1.4025,0.28963,1.08,0.91848,0.30587,1.05,0.988492,0.15661,1.07,0.986493,0.15127,1.06,0.912781,0.18317,1.06,1.3465,0.38683,1.04,1.05983,0.09045,29.99,1.05785,0.28074,1.04,1.25341,0.56927,1.03,,,0.0,1.12774,0.07903,0.74,1.0328,0.04655,1.67,1.39231,0.18615,1.1,1.16963,0.05709,1.67,0.775726,0.04578,2.75,0.483111,0.05514,1.0,0.394502,0.05753,1.0,0.50177,0.14615,1.0,0.331849,0.05635,1.0,0.37306,0.06526,1.0,0.35588,0.05099,1.0,0.410989,0.06474,1.0,0.397625,0.07024,1.0,0.564318,0.17751,1.0,0.16698,0.20059,1.0,0.42326,0.26763,1.0,0.370383,0.05696,0.81,0.327114,0.04962,0.88,0.282944,0.16915,0.89,1.01089,0.31112,0.98,1.22859,0.0503,1.97,0.941288,0.09713,0.56,-1.44114,0.53822,1.79,0.642448,0.63103,1.62,0.81,2.75,1.05,0.98,0.0,33344.0,2.47,0,0,1,15.44486,b'1',,b'Simbad',0.226227,0.00980311,0.376033,0.000544617,0.410928,0.000363078,1.2217,-9.36,8.59,CDFS_,26.61363890910065,26.061935101184694,25.965585663934675,30.021590310368047,33.15977201614345,33.60000016378265,1.0
12403,12403,4359.063,3528.571,53.0869179,-27.8281651,3,31.0,0.519,0.05755,1.121996,1.68371,0.40534,0.02957,1.774505,0.71929,0.05247,0.77884,2.258,2.082,1.932,5.876,0.87481,0.11432,2.1,0.224289,0.03704,1.01,0.461853,0.05878,1.08,0.269438,0.01847,1.09,0.252771,0.01094,1.29,0.262614,0.03166,1.02,0.564096,0.07821,1.02,1.03539,0.21189,1.1,0.88731,0.22229,1.08,0.902849,0.11373,1.11,0.733777,0.10944,1.1,0.584057,0.13307,1.09,0.931847,0.28214,1.07,0.82574,0.07685,22.59,0.625658,0.1999,1.11,0.625848,0.40895,1.08,,,0.0,0.731921,0.04946,1.02,1.04861,0.03148,1.97,0.73062,0.14344,1.01,1.04763,0.03871,1.96,0.54527,0.03395,2.69,0.284267,0.04055,1.0,0.163985,0.04243,1.0,0.02228,0.1076,1.0,0.223405,0.04161,1.0,0.227057,0.04804,1.0,0.13642,0.03734,1.0,0.243643,0.04759,1.0,0.319674,0.05149,1.0,0.26339,0.13089,1.0,0.357836,0.1476,1.0,0.214361,0.19698,1.0,0.256954,0.03876,0.95,0.233138,0.03688,0.86,0.502972,0.12383,0.9,0.87895,0.22575,1.01,1.12212,0.05328,2.1,0.873178,0.09209,0.74,2.53269,0.56351,1.89,0.308705,0.70435,1.86,0.86,2.69,1.08,1.01,0.0,43662.0,2.1,0,0,1,13.70946,b'1',,b'Simbad',0.1528,0.00145231,0.322462,0.00145231,0.35166,0.000726156,1.2419,-9.54,8.64,CDFS_,27.039691614400823,26.228803641817287,26.134692570586843,32.09485168064691,32.09485168064691,32.8474251746227,1.0
12408,12408,4987.714,3530.054,53.0572968,-27.8280926,2,57.0,0.7874,0.08648,1.15768,2.225771,0.65475,0.04443,1.774505,1.16186,0.07884,1.51388,2.574,2.51,1.916,5.11,1.75451,0.14698,0.93,0.550996,0.04813,1.04,0.875333,0.07956,1.03,0.609878,0.03049,1.18,0.582606,0.01658,1.0,0.637767,0.04188,1.03,1.2551,0.10246,1.04,1.35008,0.29041,1.04,1.77217,0.30448,1.02,1.31937,0.15868,1.01,1.03563,0.15155,1.03,1.33523,0.18297,1.01,1.1565,0.38619,1.01,1.69954,0.1403,11.85,0.849492,0.27702,1.01,0.52289,0.55628,1.02,,,0.0,1.24962,0.06526,1.02,1.38798,0.04997,1.36,0.84291,0.18533,1.05,1.65164,0.06067,1.39,0.877438,0.04136,3.17,0.498484,0.05351,1.0,0.566281,0.05597,1.0,0.54719,0.14211,1.0,0.56603,0.05494,1.0,0.452373,0.06342,1.0,0.577286,0.0491,1.0,0.585448,0.06294,1.0,0.654731,0.0677,1.0,0.473522,0.17324,1.0,0.96407,0.19535,1.0,1.24272,0.25976,1.0,0.561914,0.05036,0.99,0.634071,0.04575,0.98,0.7074,0.15378,1.03,2.5317,0.3083,0.96,2.61927,0.05788,1.78,1.96906,0.10187,0.89,2.00079,0.55421,1.88,0.994893,0.63176,1.86,0.98,3.17,0.93,0.96,0.0,52944.0,0.93,0,0,1,14.73685,b'1',,b'Simbad',0.27639,0.0130708,0.444949,0.00816926,0.755551,0.0032677,1.08,-8.85,8.8,CDFS_,26.396194185294014,25.879224412367265,25.304340538203103,29.709244576390475,30.21954320397861,31.21439455471038,1.0
13592,13592,2683.995,3747.007,53.1658363,-27.8190613,3,35.0,2.06825,0.05002,1.25342,1.553109,1.14371,0.0257,1.774505,2.02952,0.0456,2.56277,2.482,1.783,1.641,3.986,3.21576,0.06599,2.78,0.0109355,0.02187,2.48,0.356634,0.04204,1.81,0.157563,0.01684,1.22,-0.00131051,0.01096,1.11,0.107804,0.02114,1.99,0.857475,0.05151,2.02,2.00548,0.19094,1.17,2.23503,0.20036,1.14,1.10502,0.1021,1.17,1.49606,0.10027,1.17,1.56162,0.11905,1.14,3.00265,0.253,1.16,3.21559,0.06182,29.98,1.53342,0.1796,1.17,2.6616,0.36557,1.15,,,0.0,1.18066,0.03048,2.26,1.52755,0.03163,1.65,1.51242,0.13013,1.04,1.9564,0.03887,1.64,0.495024,0.04556,1.3,-0.0345012,0.03693,1.0,0.0566618,0.03845,1.0,0.03647,0.09818,1.0,0.0907523,0.03766,1.0,0.100167,0.04386,1.0,0.112026,0.03462,1.0,0.184893,0.04355,1.0,0.245402,0.04745,1.0,0.429474,0.11939,1.0,0.318547,0.13643,1.0,0.713291,0.17851,1.0,0.00685343,0.03384,1.08,0.102223,0.0308,1.09,-0.0183413,0.10674,1.04,3.15267,0.20817,1.0,8.4869,0.11197,1.57,5.15171,0.11907,2.19,0.554235,0.99974,1.76,2.4024,1.22718,1.61,1.0,1.3,1.14,1.0,0.0,128940.0,2.78,0,0,1,44.50661,b'1',,b'Simbad',0.103908,0.00544617,0.480577,0.00853233,1.53025,0.0450217,1.0709,,9.27,CDFS_,27.458377535772495,25.795592544983577,24.538094029571937,30.65977201614345,30.17233088985226,28.366445275633275,0.0
