recno,id,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,FB,e_FB,w_FB,FI,e_FI,w_FI,FR,e_FR,w_FR,FU,e_FU,w_FU,FV,e_FV,w_FV,FZ,e_FZ,w_FZ,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FKs,e_FKs,w_FKs,FKsHI,e_FKsHI,w_FKsHI,NB118,e_NB118,w_NB118,NB209,e_NB209,w_NB209,F098M,e_F098M,w_F098M,F105W,e_F105W,w_F105W,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F814W,e_F814W,w_F814W,IA484,e_IA484,w_IA484,IA527,e_IA527,w_IA527,IA574,e_IA574,w_IA574,IA598,e_IA598,w_IA598,IA624,e_IA624,w_IA624,IA651,e_IA651,w_IA651,IA679,e_IA679,w_IA679,IA738,e_IA738,w_IA738,IA767,e_IA767,w_IA767,IA797,e_IA797,w_IA797,IA856,e_IA856,w_IA856,FVWFI,e_FVWFI,w_FVWFI,FRcWFI,e_FRcWFI,w_FRcWFI,FU38,e_FU38,w_FU38,FKT,e_FKT,w_FKT,F3.6,e_F3.6,w_F3.6,F4.5,e_F4.5,w_F4.5,F5.8,e_F5.8,w_F5.8,F8.0,e_F8.0,w_F8.0,wminOpt,wmin1,wminFS,wminNIR,wmin2,wminIR,wmin,Star,Nghb,Use,SNR,Use2,zspec,Simbad,U,eU,V,eV,J,eJ,zpk,lssfr,lmass,field,mag_U,mag_V,mag_J,e_mag_U,e_mag_V,e_mag_J,GalaxyType
7544,7544,4338.467,2547.291,53.0878754,-27.869051,0,55.0,0.93743,0.06926,1.166367,2.208165,0.91458,0.03558,1.774505,1.62292,0.06314,1.77475,2.287,2.246,2.018,4.96,2.07229,0.11398,1.45,0.0898112,0.06284,0.6,0.0960985,0.10044,0.62,0.132551,0.01726,2.24,0.00645518,0.01443,1.26,0.0667193,0.05121,0.66,0.372546,0.14188,0.53,0.8777,0.33043,0.8,1.85622,0.31746,0.91,0.637979,0.17603,0.81,1.11247,0.17501,0.75,1.0894,0.20191,0.81,1.91618,0.44017,0.79,2.12361,0.1174,16.71,-0.235259,0.36584,0.57,2.71709,0.69134,0.65,,,0.0,0.869171,0.06222,1.08,1.29157,0.04947,1.36,1.32383,0.1895,0.98,1.54806,0.06085,1.35,0.406305,0.04206,2.95,0.0539763,0.05326,1.0,0.0645054,0.05594,1.0,-0.10517,0.14123,1.0,0.0750475,0.05519,1.0,0.120573,0.06276,1.0,0.165398,0.04903,1.0,0.106792,0.06256,1.0,0.162506,0.06795,1.0,0.433183,0.17318,1.0,0.425565,0.19547,1.0,0.487262,0.26146,1.0,-0.00434996,0.04986,0.97,0.0759855,0.0461,0.92,-0.00341439,0.16016,0.92,1.99243,0.28994,1.05,2.45937,0.05918,1.52,2.01399,0.09546,0.78,2.22557,0.72513,1.13,-0.397852,0.86945,1.1,0.53,2.95,0.75,1.05,0.0,46040.0,1.45,0,0,1,25.70347,b'1',,b'Simbad',0.089193,0.0130708,0.366248,0.0283201,0.821791,0.0123447,1.1017,-12.28,9.17,CDFS_,27.624173070916882,26.09056184554568,25.21309654826623,29.709244576390475,28.869763043648156,29.771298649491662,0.0
8122,8122,3746.897,2689.073,53.115757,-27.8631477,0,172.0,5.23154,0.05406,1.08647,2.320886,4.73635,0.02777,1.774505,8.40468,0.04928,11.17546,2.674,3.33,2.846,7.173,12.15516,0.13581,2.38,0.608681,0.05226,0.96,4.82831,0.08839,0.9,3.10343,0.15517,1.59,0.270045,0.01621,1.1,2.17291,0.04445,0.97,6.40565,0.12538,0.75,11.84664,0.41416,0.55,11.60551,0.3864,0.67,7.73939,0.22428,0.54,8.34623,0.23287,0.47,8.79934,0.27453,0.49,12.7459,0.54496,0.54,12.03228,0.08938,32.19,8.7458,0.51319,0.32,11.9151,0.95034,0.38,,,0.0,7.43199,0.06563,1.09,8.78311,0.05496,1.23,9.81896,0.20446,0.93,10.3708,0.06707,1.24,5.28115,0.05221,2.15,0.819376,0.05602,1.0,1.18319,0.05845,1.0,1.65032,0.14846,1.0,2.17969,0.05743,1.0,2.77783,0.06613,1.0,3.16498,0.05181,1.0,3.73036,0.06581,1.0,4.36459,0.0716,1.0,5.2104,0.18046,1.0,5.00341,0.20474,1.0,5.20607,0.27292,1.0,1.34431,0.05175,1.0,3.17779,0.04733,0.98,0.144056,0.18068,0.8,13.11538,0.32243,0.94,8.54106,0.06736,1.42,6.21335,0.08219,1.15,3.40686,0.73324,1.17,2.00808,0.84058,1.09,0.75,2.15,0.47,0.94,0.0,68082.0,2.38,0,0,1,170.5373,b'1',0.5231,b'Simbad',0.502885,0.0197878,1.97521,0.0181539,4.40163,0.00508309,0.5295,-10.54,9.28,CDFS_,25.746328295688105,24.260966810862364,23.390966167355277,29.259006219508187,29.352575152942606,30.73468050178232,0.0
8147,8147,3499.023,2661.071,53.1274414,-27.864315,0,15.0,0.29668,0.06699,1.33752,1.619232,0.237,0.03441,1.774505,0.42055,0.06107,0.35916,1.75,1.681,1.323,3.475,0.48091,0.07848,1.55,0.0180672,0.03372,1.12,0.0780811,0.04632,1.6,0.0925751,0.01601,1.38,0.0482379,0.0098,1.47,0.0580385,0.02404,1.62,0.171849,0.06359,1.42,-0.14225,0.49365,0.19,0.42447,0.46189,0.23,-0.00489351,0.33188,0.12,0.785333,0.323,0.12,0.240563,0.40777,0.11,-0.0184468,0.65036,0.18,0.45493,0.07375,22.94,,,0.0,-0.23708,1.66858,0.06,,,0.0,,,0.0,0.385437,0.04675,0.83,0.31557,0.14246,0.93,0.47697,0.05655,0.85,0.0785152,0.03416,2.46,0.00765767,0.03904,1.0,0.0468833,0.04065,1.0,-0.01237,0.10347,1.0,0.0464105,0.0399,1.0,0.0511598,0.04613,1.0,0.142865,0.03618,1.0,0.176198,0.04588,1.0,0.0887261,0.04992,1.0,0.0354065,0.12546,1.0,0.266078,0.14273,1.0,0.163965,0.18966,1.0,0.000249885,0.03482,1.08,0.0583009,0.03219,1.04,0.0472484,0.11451,0.97,0.72218,0.22885,0.91,0.49738,0.0452,1.32,0.626345,0.05786,1.34,0.407023,0.54941,1.19,0.43916,0.61525,1.12,0.97,2.46,0.11,0.91,0.0,79433.0,1.55,0,0,1,6.886448,b'1',,b'Simbad',0.0653304,0.00871387,0.156783,0.00944003,0.167769,0.0074431,1.6371,-11.54,8.59,CDFS_,27.962211706842133,27.01175257425727,26.93822071026869,30.149472308700854,30.062566563827456,30.32061536527175,1.0
8691,8691,3308.05,2794.776,53.1364403,-27.8587437,0,38.0,0.62653,0.05783,1.181916,2.105562,0.66463,0.02971,1.774505,1.17939,0.05272,1.11616,2.04,2.301,1.795,4.735,1.32065,0.09062,2.08,0.185745,0.04572,1.03,0.518939,0.07303,1.09,0.381969,0.0203,1.46,0.326283,0.01271,1.49,0.331969,0.03898,1.05,0.770606,0.09627,1.05,0.06959,0.46511,0.36,1.94577,0.4383,0.43,1.10884,0.26336,0.32,0.916651,0.29103,0.25,1.27932,0.32593,0.29,1.49263,0.63988,0.32,1.32271,0.08382,29.82,0.243722,0.70389,0.14,-0.66168,1.2527,0.18,,,0.0,0.940679,0.06157,1.03,1.0153,0.04509,1.51,1.19943,0.18521,0.93,1.09756,0.05414,1.57,0.554637,0.05272,1.76,0.408441,0.0506,1.0,0.333188,0.05265,1.0,0.22753,0.13419,1.0,0.407959,0.05161,1.0,0.392629,0.05991,1.0,0.475237,0.04703,1.0,0.415098,0.05953,1.0,0.406852,0.06479,1.0,0.125734,0.1627,1.0,0.33483,0.18532,1.0,0.564963,0.24543,1.0,0.352188,0.0446,1.12,0.427343,0.04074,1.11,0.419606,0.14756,0.99,1.59584,0.29593,0.92,1.42079,0.05631,1.44,1.20448,0.06604,1.31,0.704073,0.66243,1.25,-0.735888,0.77569,1.21,0.99,1.76,0.25,0.92,0.0,77687.0,2.08,0,0,1,22.37162,b'1',,b'Simbad',0.209706,0.0119816,0.356581,0.00181539,0.531379,0.0188801,1.2058,-9.17,8.62,CDFS_,26.695972858867474,26.119604503539563,25.686489032060926,29.803712958044336,31.852575152942606,29.30998927438868,1.0
8740,8740,5113.286,2826.873,53.0513611,-27.8573875,2,238.0,2.20753,0.08941,1.046465,3.577702,1.34147,0.04594,1.774505,2.38045,0.08151,7.54719,4.782,4.69,3.708,10.342,7.90656,0.35319,0.87,1.92644,0.07757,1.03,5.10996,0.12602,1.06,4.01298,0.20065,0.72,1.90612,0.02739,0.94,3.27689,0.06829,0.99,5.04068,0.16332,1.05,7.5484,0.47823,0.99,7.34817,0.51545,0.93,6.53323,0.26105,0.95,6.86125,0.24671,1.0,6.68245,0.29643,0.99,8.5938,0.62032,1.02,7.67144,0.26224,8.88,6.70985,0.43882,1.04,8.61826,0.89858,1.01,,,0.0,5.96067,0.10457,1.0,6.05687,0.09242,1.03,6.449,0.3041,1.05,6.94898,0.10998,1.08,5.45571,0.05667,4.31,2.17051,0.08603,1.0,2.49785,0.09022,1.0,2.84945,0.22788,1.0,2.68815,0.08874,1.0,3.90015,0.10123,1.0,4.30159,0.07891,1.0,4.72692,0.10094,1.0,5.06707,0.109,1.0,5.33212,0.28045,1.0,5.63665,0.31591,1.0,5.33938,0.42051,1.0,2.36927,0.07735,1.07,4.17492,0.07139,1.02,1.82387,0.25306,0.98,7.4425,0.49239,0.97,6.0622,0.09466,0.77,4.44977,0.16413,0.33,4.09205,0.95025,1.0,1.91678,1.16944,0.82,0.72,4.31,0.87,0.97,0.0,19743.0,0.87,0,0,1,29.2031,b'1',,b'Simbad',1.13604,0.0168831,1.9483,0.00181539,2.76335,0.00199693,0.6572,-9.17,8.84,CDFS_,24.861515942087497,24.275860423683124,23.89641026197395,29.431369517900862,31.852575152942606,31.74909289634422,1.0
9194,9194,3362.261,2967.678,53.1338844,-27.8515396,3,383.0,18.32045,0.05868,1.062387,2.871462,14.04341,0.03015,1.774505,24.9201,0.0535,49.51723,3.556,4.832,2.889,8.705,52.66434,0.18683,2.02,1.79467,0.06365,0.99,11.319,0.0902,1.33,6.23563,0.31178,1.45,1.10484,0.0175,1.46,4.7981,0.04898,1.24,15.073,0.11992,1.26,37.58226,0.39912,0.9,42.90041,0.39113,1.0,20.4648,0.20908,0.94,24.8815,0.21884,0.82,27.5292,0.25044,0.9,55.2497,0.53913,0.85,53.10163,0.11033,31.89,23.307,0.4676,0.59,46.8565,0.9205,0.62,,,0.0,20.3281,0.08155,1.09,26.3356,0.06811,1.23,30.28414,0.25132,0.94,35.3702,0.08346,1.23,12.0639,0.07021,1.85,2.53373,0.06897,1.0,3.20696,0.07175,1.0,4.09574,0.18287,1.0,4.21417,0.0703,1.0,5.4073,0.08167,1.0,6.76084,0.06413,1.0,8.45263,0.08115,1.0,10.1295,0.0883,1.0,11.4091,0.22189,1.0,12.7653,0.25243,1.0,13.2444,0.33448,1.0,3.05165,0.06111,1.11,6.75505,0.05638,1.08,1.04752,0.1984,1.02,56.33905,0.4055,0.91,54.27736,0.06874,1.64,39.1366,0.09338,1.12,37.8748,0.81791,1.24,26.2147,0.86261,1.16,0.99,1.85,0.82,0.91,0.0,66201.0,2.02,0,0,1,465.8381,b'1',0.683,b'Simbad',1.76338,0.041754,5.63573,0.0586371,19.0736,0.0811479,0.6468,-11.17,9.86,CDFS_,24.384135223051963,23.122624553774934,21.798918323418043,28.448254782803353,28.07956879156625,27.726806786643444,2.0
9705,9705,4612.138,3053.6,53.0749855,-27.8479519,3,140.0,2.49768,0.06573,1.068488,2.509188,2.07938,0.03377,1.774505,3.68987,0.05992,5.86545,3.071,4.25,2.94,8.236,6.27405,0.19541,1.61,0.107484,0.05586,0.98,0.503743,0.08507,1.13,0.215509,0.02405,1.47,0.0443106,0.01537,1.45,0.242814,0.04368,1.19,0.584339,0.11813,0.99,3.90521,0.3276,1.04,4.93945,0.34,1.04,1.55654,0.17519,1.04,1.959,0.16882,1.04,2.16471,0.20576,1.01,6.07437,0.43398,1.03,6.23629,0.13355,16.62,1.75617,0.31704,0.98,4.87103,0.62106,1.04,,,0.0,1.5017,0.07237,1.04,2.24927,0.05341,1.51,2.95877,0.20513,1.09,3.72284,0.06588,1.49,0.473528,0.0404,4.17,0.0944103,0.06039,1.0,0.145858,0.06339,1.0,0.11108,0.16006,1.0,0.241363,0.06228,1.0,0.248068,0.07137,1.0,0.28357,0.05549,1.0,0.396234,0.07085,1.0,0.362012,0.07675,1.0,0.661085,0.19618,1.0,0.261072,0.22112,1.0,0.473166,0.29496,1.0,0.14002,0.05646,0.99,0.339238,0.05196,0.95,0.0511031,0.17988,0.95,5.87853,0.33812,1.0,11.7699,0.07091,1.63,16.1675,0.14999,0.45,14.8254,0.68047,1.5,14.6244,0.8577,1.3,0.95,4.17,1.01,1.0,0.0,26399.0,1.61,0,0,1,61.57912,b'1',,b'Simbad',0.32301,0.0584556,1.15785,0.142327,3.97157,0.188438,1.6468,-11.17,9.99,CDFS_,26.22696008056859,24.840869250035773,23.502594446222318,28.082934693607758,27.116781761758524,26.812078784561123,2.0
9840,9840,4852.781,3141.738,53.0636444,-27.8442745,3,695.0,26.74788,0.07287,1.03124,3.316401,19.66549,0.03743,1.774505,34.89652,0.06643,86.01949,4.284,6.529,4.637,12.82,88.80429,0.37819,1.31,7.14975,0.07273,1.01,39.0144,0.11917,1.01,28.5606,1.42803,1.17,3.97936,0.02281,1.16,23.5467,0.06164,1.05,47.4876,0.15458,1.01,75.37215,0.42947,1.06,80.02998,0.45141,1.04,54.6423,0.23082,1.05,59.842,0.22302,1.05,66.2635,0.26848,1.04,89.1392,0.57474,1.02,87.58464,0.1786,16.25,59.4967,0.39917,1.08,80.3042,0.83295,1.01,,,0.0,56.3376,0.07146,1.87,64.3988,0.07669,1.28,71.30464,0.26996,1.1,74.3102,0.09317,1.3,40.8186,0.05647,3.74,11.2586,0.07976,1.0,17.9915,0.08365,1.0,25.11619,0.21141,1.0,25.3259,0.08216,1.0,26.8286,0.09428,1.0,28.3881,0.07319,1.0,32.2125,0.09361,1.0,36.2501,0.10114,1.0,39.2684,0.25915,1.0,39.9625,0.29205,1.0,43.6665,0.38892,1.0,18.9916,0.07366,1.02,29.6507,0.06847,0.96,4.20824,0.23578,0.97,90.44201,0.45044,0.99,46.77598,0.0865,1.43,36.3178,0.17143,0.48,22.651,0.7614,1.68,32.3525,0.88207,1.49,0.96,3.74,1.04,0.99,0.0,28349.0,1.31,0,0,1,525.3241,b'1',0.246,b'Simbad',2.95375,0.125262,11.5295,0.186441,27.297,0.176274,0.2511,-10.1,9.34,CDFS_,23.824065663398937,22.34547381588064,21.40971270062503,27.255451646004197,26.823646440848883,26.884529350976525,0.0
10942,10942,3144.259,3264.469,53.1441536,-27.8391724,3,33.0,0.65958,0.05296,1.143996,1.853877,0.63546,0.02721,1.774505,1.12762,0.04828,1.06887,1.995,2.353,2.037,5.364,1.22413,0.09492,2.48,0.41286,0.04206,0.95,0.554749,0.06528,1.06,0.35894,0.019,1.31,0.319049,0.01514,0.82,0.346135,0.03473,1.04,0.674727,0.08584,1.03,0.60424,0.40264,0.37,0.70188,0.36961,0.47,1.04216,0.18349,0.51,1.0537,0.18,0.51,1.42301,0.22033,0.48,1.28347,0.49776,0.42,1.19472,0.06917,33.64,0.542525,0.35363,0.43,1.64936,0.62532,0.56,,,0.0,0.820817,0.0524,1.1,0.98267,0.04408,1.22,0.91643,0.16241,0.94,1.02257,0.05384,1.23,0.545042,0.04681,1.75,0.271787,0.04433,1.0,0.276239,0.04609,1.0,0.19786,0.11764,1.0,0.298992,0.04513,1.0,0.317888,0.05261,1.0,0.399808,0.04138,1.0,0.309584,0.05225,1.0,0.414303,0.05684,1.0,0.494403,0.14286,1.0,0.482334,0.16268,1.0,0.720272,0.21465,1.0,0.311356,0.03945,1.12,0.324471,0.03633,1.1,0.468637,0.12832,1.02,1.18147,0.25594,0.95,1.62786,0.04695,1.78,1.24861,0.07323,1.15,0.668172,0.62271,1.47,1.01908,0.76613,1.18,0.82,1.75,0.37,0.95,0.0,68079.0,2.48,0,0,1,23.35597,b'1',,b'Simbad',0.16644,0.00671694,0.320333,0.00580925,0.501498,0.00399386,1.0655,-9.2,8.7,CDFS_,26.946855732197726,26.23599579742672,25.749326986572495,30.432071327699486,30.58969983334712,30.996517907184266,1.0
11125,11125,1970.399,3297.38,53.1994667,-27.8377819,0,43.0,0.68102,0.06454,1.164335,2.197807,0.62271,0.03316,1.774505,1.105,0.05883,1.28549,2.38,2.209,2.076,4.99,1.49839,0.10686,1.67,0.946138,0.04985,0.94,0.822662,0.07854,1.03,0.749904,0.0375,1.44,0.823572,0.01432,1.32,0.81374,0.04185,1.01,1.31549,0.10265,1.01,1.25554,0.44679,0.44,0.7823,0.43283,0.49,1.69869,0.25214,0.38,1.5843,0.25621,0.35,1.74773,0.31063,0.34,1.70856,0.6012,0.41,1.41567,0.11308,17.9,1.10494,0.66675,0.17,1.3827,1.01285,0.3,,,0.0,1.30095,0.08012,0.66,1.49563,0.05336,1.17,1.10299,0.19936,0.88,1.57322,0.06471,1.19,0.955104,0.05281,1.92,0.840313,0.05217,1.0,0.862752,0.05452,1.0,0.66985,0.13919,1.0,0.788188,0.05343,1.0,0.856718,0.06214,1.0,0.784324,0.04903,1.0,0.708924,0.06162,1.0,0.713485,0.06739,1.0,0.779276,0.16937,1.0,0.665271,0.19354,1.0,1.62985,0.25353,1.0,0.751638,0.0462,1.16,0.76706,0.04287,1.13,0.888415,0.15196,1.02,1.74,0.28167,1.09,1.20584,0.05655,0.93,1.0275,0.07192,0.91,-0.324943,0.69251,1.13,-1.11837,0.80289,1.06,0.94,1.92,0.34,1.09,0.0,53722.0,1.67,0,0,1,18.78153,b'1',,b'Simbad',0.365888,0.00290462,0.504341,0.000726156,0.472339,0.00798772,1.289,-8.9,8.71,CDFS_,26.091629584504602,25.743189311954076,25.81436548548907,31.34227669148696,32.8474251746227,30.243942918024313,1.0
