recno,id,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,Fu,e_Fu,w_Fu,FB,e_FB,w_FB,FV,e_FV,w_FV,FR,e_FR,w_FR,Fi,e_Fi,w_Fi,Fz,e_Fz,w_Fz,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FKs,e_FKs,w_FKs,FJ,e_FJ,w_FJ,FH,e_FH,w_FH,FK,e_FK,w_FK,FKsHI,e_FKsHI,w_FKsHI,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F606W,e_F606W,w_F606W,F814W,e_F814W,w_F814W,FY,e_FY,w_FY,F3.6,e_F3.6,w_F3.6,F4.5,e_F4.5,w_F4.5,F5.8,e_F5.8,w_F5.8,F8.0,e_F8.0,w_F8.0,wminOpt,wminHST1,wminfs,wminjhk,wminHST2,wminIRAC,wminAll,Star,Nghb,Use,SNR,zspec,Simbad,U,eU,V,eV,J,eJ,zpk,lssfr,lmass,field,mag_U,mag_V,mag_J,e_mag_U,e_mag_V,e_mag_J,GalaxyType
2056,2056,2535.803,667.224,34.3231697,-5.288888,3,107.0,1.27289,0.07178,1.076732,2.840386,1.19785,0.07258,1.771907,2.12247,0.12861,3.35785,4.049,4.173,2.314,9.322,3.61551,0.30181,0.81,-0.039771,0.09503,1.0,-0.0180734,0.01657,1.0,0.0165279,0.02036,1.0,0.146704,0.02596,1.0,0.355456,0.02626,1.0,0.82935,0.07309,1.0,1.00858,0.23507,0.74,1.72679,0.20986,0.75,2.30537,0.25395,0.71,1.79569,0.39181,0.81,3.01689,0.41478,0.77,3.20089,0.70293,0.8,1.78548,0.20658,1.0,3.11227,0.42088,1.0,3.71502,0.24922,1.09,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,6.16441,0.15643,1.13,4.95909,0.18002,1.11,7.80955,4.0538,1.0,-2.07117,4.72068,1.0,1.0,0.0,0.0,0.81,0.0,1.0,0.81,0,0,1,16.50296,,b'Simbad',0.0991123,0.0183354,0.548197,0.0491971,1.62698,0.0357632,1.0603,,9.39,UDS_,27.509681113770434,25.652658363650417,24.47154446422058,29.341774027880227,28.27015124161397,28.616409071434923,0.0
2602,2602,940.64,811.196,34.3899231,-5.2828941,0,59.0,0.96805,0.07315,1.16557,2.122861,0.93683,0.07397,1.771907,1.65997,0.13106,1.76311,2.837,2.428,1.826,6.317,2.05503,0.20938,0.78,0.588858,0.07179,1.0,0.559834,0.01228,1.0,0.604924,0.01521,1.0,0.654237,0.01945,1.0,1.08173,0.0197,1.0,1.36975,0.05501,1.0,1.69995,0.14862,1.03,1.63219,0.13381,1.01,1.7304,0.15418,1.06,1.72203,0.25469,1.08,2.06516,0.255,1.09,1.64758,0.50553,0.88,1.57183,0.15525,1.0,1.53717,0.31326,1.0,2.41052,0.19399,1.01,,,0.0,,,0.0,,,0.0,,,0.0,5.56912,0.22627,0.11,,,0.0,,,0.0,2.10454,0.12938,1.03,1.50848,0.15847,0.91,3.31171,3.40514,1.0,-6.59134,4.49713,1.0,1.0,0.0,0.0,0.78,0.0,1.0,0.78,0,0,1,12.6656,,b'Simbad',0.351909,0.00526463,0.585924,0.00925849,0.859802,0.0107108,1.0835,-9.79,8.68,UDS_,26.13392406507773,25.58039678129076,25.16400387249521,30.69658036442739,30.083649595428504,29.925445225205596,1.0
2744,2744,916.149,876.369,34.3909492,-5.2801781,0,253.0,9.42401,0.07459,1.06721,2.410937,8.47957,0.07543,1.771907,15.02501,0.13366,21.28982,3.575,3.961,2.775,9.946,22.7207,0.33582,0.75,0.777808,0.08146,1.0,0.73126,0.01395,1.0,1.15537,0.01727,1.0,1.64083,0.02208,1.0,2.74213,0.02236,1.0,4.94786,0.06242,1.0,6.83636,0.16773,1.04,7.52294,0.15177,1.01,9.61289,0.17599,1.05,13.0395,0.29053,1.07,15.56972,0.28847,1.1,22.3691,0.60663,0.79,8.88205,0.17623,1.0,14.60612,0.35548,1.0,24.14291,0.22083,1.0,,,0.0,,,0.0,,,0.0,,,0.0,5.85485,0.17789,0.23,,,0.0,,,0.0,40.3222,0.1316,1.1,36.05049,0.16707,0.91,25.7006,3.58912,1.0,10.46001,4.84616,1.0,1.0,0.0,0.0,0.75,0.0,1.0,0.75,0,0,1,112.4146,,b'Simbad',0.930594,0.0544617,2.76612,0.0833264,10.9181,0.0270493,1.0861,-8.47,9.89,UDS_,25.078099379762875,23.895322458065525,22.404632330660117,28.15977201614345,27.69804345212937,28.9196099234426,2.0
2805,2805,3024.144,873.691,34.3027344,-5.2802815,3,96.0,2.47931,0.07091,1.123696,2.068958,2.50148,0.0717,1.771907,4.43238,0.12705,4.56492,2.775,2.585,2.309,7.329,5.12959,0.23361,0.83,2.14997,0.06952,1.0,1.98492,0.01208,1.0,2.11721,0.01477,1.0,3.2167,0.01898,1.0,3.91591,0.01919,1.0,4.5979,0.05329,1.0,3.96564,0.14279,1.07,4.40656,0.12787,1.09,4.17199,0.14765,1.1,4.90359,0.24492,1.11,4.21079,0.25397,1.12,4.81503,0.44392,1.06,4.2898,0.14991,1.0,4.18066,0.30571,1.0,5.44698,0.18223,1.07,,,0.0,,,0.0,,,0.0,,,0.0,2.37351,0.10487,0.5,4.52118,0.10887,0.48,,,0.0,4.83358,0.15346,1.01,3.18432,0.1699,0.89,-4.3428,3.41252,1.0,4.54311,4.51754,1.0,1.0,0.0,0.48,0.83,0.0,1.0,0.83,0,0,1,34.88619,,b'Simbad',1.02995,0.0105293,1.53723,0.0283201,1.84631,0.0168831,0.7147,-8.9,8.7,UDS_,24.967959645157382,24.53315287149482,24.3342384451844,29.944001250631356,28.869763043648156,29.431369517900862,1.0
2965,2965,973.539,930.501,34.388546,-5.2779226,0,111.0,1.91505,0.07362,1.091562,2.425794,1.79463,0.07445,1.771907,3.17992,0.13191,4.25584,3.494,3.301,2.454,8.538,4.64551,0.28081,0.78,1.02803,0.08191,1.0,1.19112,0.01403,1.0,1.38295,0.01737,1.0,2.2286,0.0222,1.0,2.98785,0.02251,1.0,3.33351,0.06276,1.0,3.38785,0.16753,1.05,3.95114,0.15193,1.02,3.92491,0.177,1.05,4.15638,0.29237,1.07,4.33225,0.2921,1.09,4.86951,0.55242,0.96,3.79764,0.17738,1.0,4.61227,0.35771,1.0,4.53617,0.22081,1.01,,,0.0,,,0.0,,,0.0,,,0.0,1.64721,0.09981,0.74,3.27165,0.13055,0.48,,,0.0,4.13577,0.14252,1.03,3.26332,0.16934,0.9,-1.23553,3.68866,1.0,25.77765,5.26159,1.0,1.0,0.0,0.48,0.78,0.0,1.0,0.77,0,0,1,24.10677,,b'Simbad',0.687837,0.0127077,1.20705,0.00562771,1.65836,0.00254155,0.7165,-9.79,8.68,UDS_,25.406286165994103,24.79568684904341,24.45080296516052,29.739832616081078,30.624170725430083,31.487253354967628,1.0
3001,3001,1485.779,927.957,34.3671112,-5.2780275,0,76.0,1.02885,0.07007,1.129472,2.24719,0.92649,0.07086,1.771907,1.64166,0.12555,2.04699,3.212,2.499,2.28,7.161,2.31202,0.22569,0.85,0.966506,0.07566,1.0,0.809295,0.013,1.0,0.754887,0.01613,1.0,0.815789,0.02051,1.0,0.990536,0.02088,1.0,1.71159,0.05803,1.0,1.79436,0.1536,1.07,1.8047,0.14089,1.03,1.98751,0.16298,1.07,2.05365,0.26821,1.09,2.32209,0.26865,1.11,2.52212,0.4932,1.01,1.94956,0.16483,1.0,1.86214,0.33255,1.0,1.99897,0.20038,1.06,,,0.0,,,0.0,,,0.0,,,0.0,0.957207,0.11161,0.51,1.38081,0.11905,0.49,,,0.0,2.00467,0.11607,1.07,2.17119,0.14313,1.01,-0.25959,3.00913,1.0,-17.05802,4.22819,1.0,1.0,0.0,0.49,0.85,0.0,1.0,0.85,0,0,1,13.07582,,b'Simbad',0.422841,0.0127077,0.6812,0.00145231,0.726733,0.0107108,1.2292,-9.09,8.91,UDS_,25.934557271892704,25.41681340177359,25.34656279652901,29.739832616081078,32.09485168064691,29.925445225205596,1.0
3331,3331,1417.65,1038.628,34.3699608,-5.273416,0,190.0,5.70138,0.06886,1.082083,2.260346,5.9312,0.06964,1.771907,10.50953,0.12339,11.90952,3.008,3.291,2.745,9.017,12.88708,0.27966,0.88,0.0664839,0.07606,1.0,0.542602,0.01307,1.0,1.36172,0.0162,1.0,2.92835,0.02062,1.0,4.56825,0.021,1.0,6.23258,0.05832,1.0,7.70862,0.15552,1.05,8.43355,0.14207,1.02,9.47263,0.164,1.07,12.0299,0.27074,1.08,12.7184,0.27007,1.11,13.96,0.4963,1.01,9.5849,0.16571,1.0,12.74912,0.33417,1.0,14.42413,0.2019,1.05,,,0.0,8.99158,0.10997,0.96,,,0.0,10.9714,0.09976,1.0,2.05559,0.11115,0.52,4.89102,0.11994,0.49,,,0.0,9.84991,0.12362,1.08,6.97141,0.15635,0.99,12.4439,3.01257,1.0,-7.55868,4.41313,1.0,1.0,0.0,0.49,0.88,0.0,1.0,0.88,0,0,1,85.17301,,b'Simbad',0.415536,0.0452032,1.75439,0.0633571,4.88612,0.0600894,0.4715,-10.54,9.22,UDS_,25.953478362767807,24.38968464199083,23.27758967808827,28.362077049412363,27.995511774049135,28.053005331121426,0.0
3391,3391,1767.398,1055.468,34.3553276,-5.2727132,0,260.0,15.29823,0.07091,1.0554,2.95064,11.32156,0.0717,1.771907,20.06075,0.12705,42.77009,4.142,3.754,3.521,10.907,45.13956,0.35236,0.83,0.0291099,0.09887,1.0,0.239723,0.0171,1.0,0.300247,0.02119,1.0,0.271561,0.02692,1.0,0.40068,0.02739,1.0,0.6021,0.076,1.0,0.899417,0.20431,1.04,0.751618,0.18637,1.01,1.50946,0.21619,1.06,1.99311,0.35194,1.08,1.92525,0.35257,1.1,1.62112,0.65507,0.99,,,0.0,,,0.0,58.78021,0.26226,1.06,,,0.0,1.42125,0.14519,0.94,1.26589,0.26529,0.93,1.78158,0.13604,0.91,0.428109,0.10444,1.01,0.70796,0.11084,0.97,,,0.0,5.61849,0.13752,1.14,6.54607,0.15522,1.2,15.8255,3.05937,1.0,2.35505,3.86062,1.0,1.0,0.0,0.97,0.83,0.0,1.0,0.83,0,0,1,157.8932,,b'Simbad',0.255534,0.0295909,0.597213,0.0889541,1.83352,0.213671,1.6718,-9.29,9.89,UDS_,26.481378266905388,25.559676868045628,24.341785871004745,28.822104564194596,27.627085074927095,26.67563604361438,2.0
4153,4153,698.527,1263.107,34.4000549,-5.2640629,3,181.0,4.56203,0.06663,1.072455,2.388347,4.4798,0.06738,1.771907,7.9378,0.11939,10.15959,3.37,3.333,3.065,9.589,10.8957,0.28857,0.94,0.126698,0.08052,1.0,0.326958,0.01384,1.0,0.785225,0.01707,1.0,2.12066,0.02178,1.0,3.30654,0.02207,1.0,4.72145,0.06141,1.0,5.76527,0.16024,1.12,6.45073,0.14658,1.06,7.18585,0.17527,1.06,9.21381,0.31013,0.92,9.73744,0.30811,0.95,11.2683,0.70861,0.58,7.09855,0.17292,1.0,8.67869,0.34886,1.0,11.12739,0.22022,0.96,10.89581,0.4136,0.47,7.16902,0.11155,1.03,7.89207,0.21087,0.95,8.75992,0.1043,1.01,1.47091,0.08684,0.95,3.68904,0.09755,0.84,5.67129,0.12126,0.42,9.91445,0.1492,1.13,6.38385,0.17625,0.96,7.89173,3.04462,1.0,-3.31687,4.66884,1.0,1.0,0.42,0.84,0.94,0.42,1.0,0.94,0,0,1,66.48767,,b'Simbad',0.380433,0.0323139,1.54605,0.0504678,3.82299,0.0254155,0.5886,-10.35,9.26,UDS_,26.049304544949763,24.526941162245787,23.543992094967145,28.72652655835537,28.242464066711698,28.987253354967628,0.0
4227,4227,1277.925,1284.791,34.3758087,-5.2631588,0,185.0,5.78271,0.05801,1.086125,2.187005,6.06855,0.05866,1.771907,10.75291,0.10395,11.64397,2.887,3.076,2.8,8.804,12.64682,0.23078,1.23,0.21936,0.07359,1.0,0.518949,0.01263,1.0,1.01962,0.01562,1.0,2.35141,0.01992,1.0,3.74812,0.0203,1.0,5.19952,0.05626,1.0,6.48017,0.1392,1.22,7.04608,0.12386,1.25,8.15587,0.14997,1.2,10.1859,0.25028,1.18,10.64916,0.25335,1.18,12.4006,0.41118,1.38,8.14856,0.15978,1.0,10.45934,0.32202,1.0,12.48956,0.19514,1.04,12.10491,0.3121,0.71,7.60431,0.1038,1.0,8.86039,0.19459,0.92,9.62741,0.0942,1.04,1.51913,0.08452,0.84,4.22048,0.09798,0.69,6.21138,0.09279,0.6,10.4123,0.12501,1.01,7.15524,0.14988,0.96,1.52511,3.22269,1.0,2.85848,4.16138,1.0,1.0,0.6,0.69,1.23,0.6,1.0,1.24,0,0,1,103.4461,,b'Simbad',0.470099,0.037397,1.74776,0.0599079,4.25291,0.0217847,0.5963,-10.1,9.33,UDS_,25.819526681617454,24.393795510821167,23.42828451930061,28.567908089131365,28.056289759545063,29.15462104103524,0.0
