,AGN Contribution (%),Star-forming,Quiescent,Dusty
0,10,0.0172898676193314,0.02407049426353048,0.0277277880593474
1,20,0.03373352805175344,0.0467939969221564,0.05354726124893085
2,30,0.049392525639224645,0.06828508362374505,0.07765547671767756
3,40,0.0643224982908555,0.08864525716207473,0.10022250220594277
4,50,0.07857387796294586,0.10796481064770089,0.12139598940565566
5,60,0.09219249268795579,0.1263243740464292,0.14130483076720302
6,70,0.10522008607998949,0.1437962061883366,0.1600621102714153
7,80,0.11769476734112798,0.1604452806251243,0.1777675045340105
8,90,0.12965140247652154,0.17633020334490157,0.19450925178701187
9,100,0.14112195556623341,0.19150399244555724,0.2103657780779838
