,Star-forming,Quiescent,Dusty
0,0.8688095030133636,0.06830290855096514,0.05196960433225609
10,0.877369202550441,0.06227618132587999,0.051358197222464846
20,0.8848807756135907,0.05581273473665822,0.05144554109529217
30,0.8915189099484672,0.049960695257227704,0.05153288496811949
40,0.8991178268844441,0.044458031269106475,0.051096165603982883
50,0.9074154948030395,0.03799458467988471,0.05031007074853699
60,0.9151017556118438,0.03336535942003668,0.048388505546335926
70,0.921390514455411,0.028736134160188664,0.046991003581098784
80,0.9283780242815967,0.02323347017206743,0.04594287710717093
90,0.9349288147436458,0.018516901039392086,0.044545375141933796
100,0.9425277316796227,0.013101580924098175,0.04262380993973273
