,id,U_0,U_10,U_20,U_30,U_40,U_50,U_60,U_70,U_80,U_90,U_100,V_0,V_10,V_20,V_30,V_40,V_50,V_60,V_70,V_80,V_90,V_100,J_0,J_10,J_20,J_30,J_40,J_50,J_60,J_70,J_80,J_90,J_100,IRAC3.6_0,IRAC3.6_10,IRAC3.6_20,IRAC3.6_30,IRAC3.6_40,IRAC3.6_50,IRAC3.6_60,IRAC3.6_70,IRAC3.6_80,IRAC3.6_90,IRAC3.6_100,IRAC4.5_0,IRAC4.5_10,IRAC4.5_20,IRAC4.5_30,IRAC4.5_40,IRAC4.5_50,IRAC4.5_60,IRAC4.5_70,IRAC4.5_80,IRAC4.5_90,IRAC4.5_100,IRAC5.8_0,IRAC5.8_10,IRAC5.8_20,IRAC5.8_30,IRAC5.8_40,IRAC5.8_50,IRAC5.8_60,IRAC5.8_70,IRAC5.8_80,IRAC5.8_90,IRAC5.8_100,IRAC8.0_0,IRAC8.0_10,IRAC8.0_20,IRAC8.0_30,IRAC8.0_40,IRAC8.0_50,IRAC8.0_60,IRAC8.0_70,IRAC8.0_80,IRAC8.0_90,IRAC8.0_100,u_0,u_10,u_20,u_30,u_40,u_50,u_60,u_70,u_80,u_90,u_100,g_0,g_10,g_20,g_30,g_40,g_50,g_60,g_70,g_80,g_90,g_100,r_0,r_10,r_20,r_30,r_40,r_50,r_60,r_70,r_80,r_90,r_100
0,Arp_118,-21.198907558064835,-21.31577636679973,-21.42127895870769,-21.517431558183766,-21.60575734488019,-21.68743516528446,-21.763396086740983,-21.834388314094802,-21.90102214727051,-21.963801918983734,-22.023149190634822,-23.13216221374479,-23.157829883606485,-23.182904736963756,-23.20741353998734,-23.231381286023463,-23.254831348779092,-23.277785619310936,-23.30026462883076,-23.32228765905348,-23.34387284157437,-23.365037247558785,-24.433390187676224,-24.446883309959112,-24.460210801076098,-24.473376678087646,-24.4863848136645,-24.49923894292575,-24.511942669876888,-24.524499473475526,-24.536912713350336,-24.549185635196782,-24.561321375871238,-23.876020661915142,-24.006854259865342,-24.123604053333878,-24.229009661862577,-24.325081710374544,-24.4133395283508,-24.494959227783237,-24.570869880378336,-24.641818200443012,-24.708413352171178,-24.771158787712103,-23.524626381992995,-23.74442322101233,-23.927128099625477,-24.083470856071862,-24.22010847483284,-24.341456758812214,-24.450595615818834,-24.54975889209841,-24.640618429817614,-24.724458089498565,-24.802285228693354,-24.143095307801055,-24.290745715901565,-24.42069957742364,-24.536748504324564,-24.641582597815574,-24.737179698513316,-24.82503656749654,-24.90631327262376,-24.981927167024732,-25.052616206300975,-25.11898287681256,-25.108934755289813,-25.198358673000108,-25.280974585496065,-25.35774616972661,-25.429445944141527,-25.496702706695938,-25.56003511324819,-25.61987598836012,-25.676590278004866,-25.730488540809855,-25.781837245547145,-21.245236466627038,-21.3581845355429,-21.46048200435257,-21.553965548839592,-21.640034232267116,-21.719778356810863,-21.7940641253622,-21.86359113797606,-21.92893255496616,-21.990563842196472,-22.048883785005046,-22.701861421493724,-22.736934110321783,-22.77090920446802,-22.8038533225152,-22.835827196132147,-22.866886343888634,-22.89708165134027,-22.926459872606635,-22.95506406585713,-22.98293397288748,-23.01010635118508,-23.434015660971554,-23.454779125619073,-23.47515295245019,-23.495151496042027,-23.514788332046564,-23.534076312546862,-23.553027616581367,-23.57165379633392,-23.589965819428063,-23.607974107713385,-23.625688572887395
1,Arp_256_N,-20.237171851845783,-20.28756673949911,-20.335725915852958,-20.381839352386013,-20.4260737909472,-20.46857638323946,-20.509477644321752,-20.548893869664575,-20.586929128594207,-20.623676920207078,-20.659221558094334,-21.245014190677264,-21.270184483983687,-21.294784458573265,-21.318839387873307,-21.342372901692002,-21.365407125720047,-21.387962806539043,-21.410059423906937,-21.431715291843318,-21.452947649829074,-21.47377274525832,-21.952865736576513,-21.975637487207976,-21.997941428059256,-22.01979639368453,-22.041220103596608,-22.06222924858306,-22.08283956882847,-22.103065924758766,-22.12292236140644,-22.142422166994965,-22.161577926354454,-21.38127749735895,-21.596921922839613,-21.77675135276848,-21.93098507549895,-22.06600968890685,-22.186084414748194,-22.294192209587607,-22.39250368009829,-22.482647659675873,-22.565877739962342,-22.643179357546007,-20.997118140401575,-21.359983736092865,-21.631478900700817,-21.848484165893915,-22.029257996737268,-22.18418547029474,-22.319741280188126,-22.44023578943157,-22.548683679296676,-22.647276280543096,-22.737656537784314,-22.235265547713624,-22.382808992888652,-22.512680016425996,-22.62866289555268,-22.733443096464725,-22.828995387029813,-22.91681441078097,-22.998058728828514,-23.07364459293676,-23.14430913498381,-23.210654212947116,-23.31837882768462,-23.398918866448692,-23.473894806612286,-23.54402600863663,-23.609900758353707,-23.6720062959086,-23.730750709108133,-23.786479200736604,-23.839486380255206,-23.89002569168641,-23.938316742840854,-20.262817568799484,-20.31239195351209,-20.359801282987313,-20.405226778665494,-20.44882781990818,-20.49074531892446,-20.531104468023234,-20.57001699426493,-20.607583023845436,-20.64389263457086,-20.679027157019497,-21.01673694242671,-21.045369175882556,-21.073265701231442,-21.10046338143981,-21.126996376501197,-21.15289640140388,-21.178192954039243,-21.202913517158542,-21.227083737845206,-21.250727587441453,-21.27386750442906,-21.47065479427576,-21.492480815904376,-21.513876712141133,-21.534859108829703,-21.55544368609251,-21.575645248724825,-21.595477790158697,-21.614954550688886,-21.634088070567635,-21.65289023850152,-21.671372336020006
2,Arp_256_S,-20.20140111652175,-20.30256728827274,-20.395105293369443,-20.480371914209528,-20.559427098851405,-20.633114694403034,-20.70211747181936,-20.766995680550508,-20.828214716223258,-20.886165394056437,-20.94117907953601,-21.15562463745654,-21.209269234211177,-21.260387656759153,-21.309207163197165,-21.355925660452705,-21.400716550760535,-21.443732617354673,-21.48510916924944,-21.52496660842958,-21.563412542252767,-21.600543534446096,-22.053565281710107,-22.09451036350144,-22.1339672833242,-22.172040433526476,-22.208823593205956,-22.244401319865737,-22.278850120191592,-22.312239440728142,-22.34463251070997,-22.376087062758838,-22.406655952088073,-22.071527810658576,-22.297517738388564,-22.48447681273758,-22.643922179147573,-22.782922679704672,-22.90613049366847,-23.016770888006832,-23.117172012558875,-23.2090695640698,-23.29379218014386,-23.372379547410436,-21.72561534762696,-22.093772252877226,-22.36820623850121,-22.587081373228806,-22.769149599119018,-22.92502622873085,-23.061307825859842,-23.18237530189361,-23.29128700712871,-23.39026275018766,-23.48096483956802,-23.660928200490794,-23.742340903385415,-23.81807248378649,-23.888864362460296,-23.95532166851573,-24.01794472447974,-24.077151933854097,-24.133296743087726,-24.1866804286431,-24.237561884617435,-24.286165217509925,-24.757568256798812,-24.800865969579643,-24.8425030398703,-24.88260216107983,-24.92127291219388,-24.958613562679798,-24.994712577186597,-25.029649878034547,-25.063497910824832,-25.096322548900865,-25.128183865048545,-20.23674875527494,-20.33545251371798,-20.425926162498204,-20.50943717829219,-20.586981060116244,-20.659353977094618,-20.727202671111456,-20.791059658541286,-20.85136864008249,-20.908503215667913,-20.962780915664496,-20.94970567831637,-21.00941223184597,-21.06600585832082,-21.119795133889617,-21.1710449108077,-21.219984206848768,-21.266812391829287,-21.311704094123932,-21.3548131323886,-21.396275696034653,-21.436212940385452,-21.41548293576395,-21.460664560517728,-21.504040881034957,-21.5457506390576,-21.585917172485914,-21.624650614521236,-21.662049713842716,-21.698203351580226,-21.73319181374334,-21.767087864938667,-21.799957659489134
3,CGCG_049-057,-17.4011942105494,-17.657027436889823,-17.8639261917785,-18.037638081744312,-18.187352420933458,-18.318901873561465,-18.436221220407937,-18.54209077294818,-18.638548037781387,-18.727130816350336,-18.809028332986703,-19.540184243276173,-19.589301479448352,-19.636292556050766,-19.681333933005128,-19.72458097487995,-19.76617118495714,-19.80622684235094,-19.844857169707538,-19.882160128318475,-19.918223914949202,-19.9531282179521,-21.000821871442277,-21.0232930303027,-21.04530852508921,-21.066886468785274,-21.088043915381345,-21.10879694085263,-21.12916071654171,-21.14914957578504,-21.168777074516466,-21.188056046489343,-21.206998653680813,-20.443179133213082,-20.653677954639434,-20.829918214922532,-20.9815057789886,-21.114498745861752,-21.23296454390752,-21.33976662947747,-21.43699727320875,-21.52623181713707,-21.608686080222505,-21.68531806639523,-20.081070250674195,-20.42968650481129,-20.693155511132385,-20.90501153542574,-21.08220128006296,-21.234490342218816,-21.36802275275427,-21.48691628025288,-21.594065827543073,-21.691584321657523,-21.781061233259088,-21.0504195631611,-21.22820494920063,-21.38093353913024,-21.5148036272983,-21.633964708442925,-21.74133147417273,-21.839029834692944,-21.928658132270012,-22.011448444743177,-22.08837059480704,-22.160201674297703,-22.256344599538625,-22.343968783865936,-22.425046329650286,-22.500487831397393,-22.57102618838877,-22.637260028764864,-22.699684629259856,-22.75871441717736,-22.814699663213478,-22.867939076753082,-22.918689454332917,-17.452196290904926,-17.699008505210582,-17.89997590873757,-18.069490833906233,-18.216078880610418,-18.345209348069474,-18.46060136980096,-18.564899187602716,-18.66005020896569,-18.74753020487677,-18.828484297217706,-19.040483752543853,-19.111608976517225,-19.17835995911462,-19.24124370619968,-19.300683883107705,-19.357038135467988,-19.410611131637367,-19.46166453542448,-19.510424737262422,-19.557088922504494,-19.601829888396065,-19.862379366280393,-19.901467838808955,-19.93919782189383,-19.97566057910226,-20.010938475441492,-20.045106097895165,-20.07823120495239,-20.11037553552149,-20.1415955014996,-20.171942783518226,-20.201464845667488
4,CGCG_436-030,-20.094718050354878,-20.244207291991017,-20.3755829865312,-20.49276414869755,-20.598521180005672,-20.69488504525608,-20.783389053370218,-20.86521924127159,-20.941311921643653,-21.012419215625656,-21.079154406251888,-21.264186800946582,-21.33030521045233,-21.392627268851754,-21.45156535889221,-21.507468117435295,-21.560632932549943,-21.61131552066278,-21.659737366038136,-21.706091570770013,-21.750547506164164,-21.793254548646797,-22.25584214692558,-22.302231002106836,-22.34671880672665,-22.38945525914427,-22.430573043488042,-22.47019031418981,-22.508412742936294,-22.54533521738137,-22.581043260379275,-22.615614223162805,-22.64911829434304,-22.37048505621992,-22.604666426713507,-22.797190052433262,-22.960662128849563,-23.10271162623053,-23.22830827509216,-23.340870807975534,-23.442851971005393,-23.53607132887067,-23.621916043478315,-23.70146788289683,-22.660726889852615,-22.888659188081824,-23.07694412605802,-23.23735216678501,-23.37708340646919,-23.50086483235502,-23.611967471154994,-23.712749036057346,-23.804965174016207,-23.88995847333713,-23.96877866939405,-23.963164872977785,-24.047488906939694,-24.12573323628218,-24.19871589629141,-24.26710017620971,-24.331431345472538,-24.392163092120086,-24.449676948894094,-24.504296826904902,-24.556300064812856,-24.605925950316827,-24.89122848121283,-24.943460457051575,-24.993294599331108,-25.040941435180358,-25.08658492771891,-25.130386765335373,-25.17248981871845,-25.213020952200132,-25.252093328933128,-25.289808315470633,-25.326257066489887,-20.124008480509517,-20.270692084449983,-20.39989667307447,-20.51534786548935,-20.619694012440274,-20.714885251010067,-20.802399236411784,-20.88338243313608,-20.958742245584688,-21.029209185207453,-21.095380057301792,-21.040754041057745,-21.115452664335557,-21.185341184420103,-21.251001780012043,-21.312916940235056,-21.371491001369915,-21.427066164467014,-21.479934608640047,-21.530347789170506,-21.57852367079024,-21.624652423061804,-21.488860453591293,-21.546385684655473,-21.601015820755762,-21.65302835717293,-21.70266271023379,-21.75012688074361,-21.79560272076418,-21.839250140935572,-21.88121050422346,-21.92160938786951,-21.960558849635223
5,CGCG_453-062,-19.862672040628468,-19.977329767023242,-20.08102743217695,-20.175678761810225,-20.26273625044217,-20.34332841872965,-20.41834952970579,-20.488520250016876,-20.554429864026,-20.616566388297898,-20.675338523451764,-21.592508672674654,-21.622782990158118,-21.652235997727697,-21.68091108342475,-21.708848285437952,-21.736084628310874,-21.762654418000547,-21.788589501686623,-21.813919497266625,-21.838671996685065,-21.862872746596828,-22.763739473758385,-22.78169382739087,-22.799356101036913,-22.81673564584335,-22.833841370948015,-22.850681770905265,-22.867264951016892,-22.883598650757463,-22.89969026546355,-22.91554686643903,-22.931175219613248,-22.27935398705612,-22.4400495479917,-22.579998815315765,-22.703951254025945,-22.81519161799249,-22.91608647754976,-23.008397450522896,-23.093471296935256,-23.172360754908397,-23.245904352203542,-23.31478084945498,-21.927245381365587,-22.195161164842677,-22.4098777688879,-22.589062154668728,-22.74282142998966,-22.87748241954737,-22.997269575860635,-23.105144253673906,-23.203262931091807,-23.293244811694315,-23.37633669749834,-23.00092392942654,-23.123385975583002,-23.233424733897206,-23.333330252312543,-23.42481246799718,-23.509181978136912,-23.58746545819327,-23.660482177387195,-23.728896357545874,-23.79325398604033,-23.854009312593043,-24.246266545185865,-24.30377264756339,-24.35838553202784,-24.410382430496046,-24.46000254299878,-24.50745369104794,-24.552917576826445,-24.59655398471558,-24.63850417056561,-24.678893620150603,-24.71783431265554,-19.917232441247542,-20.02724923216381,-20.127136645145917,-20.218603681225073,-20.302960281389485,-20.381232647480942,-20.454239698308534,-20.522645390877663,-20.586995508699275,-20.647744142010353,-20.70527314273559,-21.180725439904133,-21.221374688291466,-21.26055681836046,-21.29837405420747,-21.334918294665552,-21.370272458683655,-21.40451161847291,-21.437703959369895,-21.469911597273953,-21.501191278289422,-21.531594980373047,-21.92075480793424,-21.944672580515352,-21.968074803199983,-21.99098323328753,-22.013418279185156,-22.03539910965732,-22.056943752234,-22.0780691820436,-22.098791402167176,-22.11912551646701,-22.139085795719694
6,Haro_06,-15.364056838105217,-15.400659986468952,-15.436069280921277,-15.470360145731252,-15.50360107586278,-15.535854460617207,-15.567177288422817,-15.597621752776067,-15.62723577551804,-15.656063460620404,-15.684145489268879,-15.92145702743032,-15.948931609362733,-15.975728070871947,-16.001879081613144,-16.027415005789358,-16.052364114098822,-16.076752771872286,-16.100605606539695,-16.123945657093014,-16.146794507819045,-16.16917240824794,-16.204705593790436,-16.241236404821496,-16.276577999764488,-16.310805370719443,-16.34398663255841,-16.376183838953214,-16.40745368084831,-16.43784808713244,-16.467414743495624,-16.496197542489888,-16.524236975457757,-15.375720848508719,-15.779059485592672,-16.072480654409695,-16.30323988109073,-16.49344737105388,-16.65524772823002,-16.796033823046464,-16.920642069793058,-17.032410225871907,-17.133739012219245,-17.22641304212563,-14.99591611361042,-15.639766572508499,-16.041191281782496,-16.333603647942894,-16.5637399142515,-16.75352446016552,-16.91501888488332,-17.055573401070724,-17.180000253642277,-17.291622481852194,-17.392831331350106,-15.762772560666868,-16.172367456591058,-16.469067344626506,-16.701844811165792,-16.893419743364287,-17.056207822777896,-17.197740801903734,-17.322933608945476,-17.435171732549083,-17.536886581617036,-17.629883397732414,-16.741187713668086,-16.998102599214548,-17.20570708672121,-17.37991574677269,-17.529998733944932,-17.661832616788654,-17.779378076932158,-17.88543169332491,-17.982041704359595,-18.070753277658678,-18.15276086156714,-15.419516193485414,-15.454557423765864,-15.48850299686547,-15.521419357721161,-15.553367084504348,-15.584401559595891,-15.614573547298217,-15.6439296934206,-15.672512959082958,-15.70036299886597,-15.7275164916615,-15.90039828949212,-15.926281999935501,-15.95156298931601,-15.976268689668347,-16.000424701824347,-16.024054954858762,-16.047181848550142,-16.0698263809827,-16.0920082631111,-16.11374602185455,-16.13505709307141,-16.064709123269598,-16.090392583015664,-16.115482505072315,-16.14000570391608,-16.163987216979113,-16.187450458285337,-16.21041735583386,-16.23290847475005,-16.254943127937835,-16.276539475725123,-16.297714615790692
7,IC_0691,-16.992937839005908,-17.067271321284956,-17.136840126589632,-17.202218452999826,-17.263882575016233,-17.322231917413347,-17.377604748308745,-17.430290060305065,-17.4805366995386,-17.528560473861873,-17.57454975430012,-18.061955503260997,-18.097274024301836,-18.13147975300709,-18.16464067501474,-18.19681872986267,-18.22807050731865,-18.258447846264016,-18.287998352050774,-18.316765845297823,-18.344790752748327,-18.37211044893855,-19.14383167303129,-19.166578830371666,-19.188859177525227,-19.210691489317334,-19.232093430197686,-19.25308164010962,-19.27367181221588,-19.293878763390374,-19.313716498269148,-19.33319826755409,-19.352336621177294,-18.896781002971675,-19.060514323173862,-19.202760947351955,-19.328511630348977,-19.441197842743474,-19.54328049857639,-19.63658464119936,-19.722501244538382,-19.802114811000195,-19.876287276768856,-19.945715033107017,-18.786177100190073,-19.009636905496112,-19.194862915751962,-19.353046885254475,-19.491088167306483,-19.613541971673047,-19.723574076885033,-19.82347411191318,-19.914951730372024,-19.999317330691014,-20.077597444879174,-19.8590073211792,-19.960123807337027,-20.052620243674745,-20.137851573789813,-20.21687642336294,-20.290537664145837,-20.359517331934242,-20.42437511156388,-20.485575957848404,-20.543510336826266,-20.59850933380214,-20.78320231591971,-20.846232000675776,-20.905802549059015,-20.962273971114428,-21.01595284383623,-21.067102388666004,-21.11595027980723,-21.162694770174927,-21.207509552045,-21.250547653615083,-21.29194459221533,-17.052705705237912,-17.123648985017773,-17.19023969616709,-17.25298118981324,-17.312294254567426,-17.36853424078118,-17.422003963142735,-17.472963572068867,-17.52163821022313,-17.56822402498542,-17.612892943109387,-17.797314403344345,-17.838806741807844,-17.87877160959504,-17.91731748750889,-17.954541695113186,-17.990531871223506,-18.02536721678074,-18.05911954445239,-18.09185416994195,-18.123630672816354,-18.154503549122968,-18.378819138089064,-18.40702606286622,-18.434518702418657,-18.4613323408381,-18.487499710677138,-18.51305123318624,-18.53801523092575,-18.562418116479307,-18.586284560421394,-18.60963764121719,-18.63249897933776
8,IC_0860,-18.182501728457126,-18.333303308225858,-18.465691129488953,-18.583676648678033,-18.690088288712982,-18.786995271578835,-18.87595715428259,-18.958178581996382,-19.034609426868727,-19.10601192424826,-19.17300705500299,-20.114868017173926,-20.148424695459987,-20.18097526085148,-20.212578292796994,-20.243287399084174,-20.273151762991883,-20.30221661718311,-20.330523655802708,-20.35811139420444,-20.385015484096257,-20.41126899057389,-21.2216568780128,-21.24276670663098,-21.263473915229074,-21.283793574858695,-21.30373992587571,-21.323326437889488,-21.342565864399962,-21.361470292677375,-21.380051189373397,-21.39831944229457,-21.41628539871916,-20.46431965625714,-20.699297028587537,-20.892357643417423,-21.056216427213887,-21.19855769291626,-21.32438231074493,-21.437127876822366,-21.539259231483868,-21.632604050826295,-21.718555140146684,-21.798198315196874,-20.026628807499097,-20.436315209932616,-20.73306284058554,-20.965869622798046,-21.15746438620059,-21.32026677421115,-21.461810564280626,-21.58701182740922,-21.699256746084046,-21.80097717484557,-21.89397865458608,-20.350616443625903,-20.708380444466425,-20.977020956990657,-21.19220195321132,-21.3717093125936,-21.525706204879533,-21.660549342847766,-21.780480571591774,-21.888472055088343,-21.98668734292156,-22.07675045945406,-21.30102095300678,-21.52871228089154,-21.716832949058627,-21.877121827932747,-22.01676267698014,-22.140473185819275,-22.25151870009137,-22.352253265869322,-22.4444300571607,-22.529389933996864,-22.608181387472456,-18.238117778053528,-18.382779222388013,-18.510412801508032,-18.624608305606635,-18.727927809695835,-18.82226401939952,-18.909054878227206,-18.989418514070863,-19.064241569107963,-19.1342389946683,-19.199995704794645,-19.718927183150086,-19.763321535724863,-19.805971742920114,-19.847009686153395,-19.88655283208837,-19.924706259723543,-19.96156434322306,-19.99721215834888,-20.031726665242985,-20.065177708925145,-20.09762887021185,-20.370941909824218,-20.399260355208163,-20.42685892789128,-20.453773321624183,-20.48003663952685,-20.50567963887991,-20.530730947668594,-20.555217256702974,-20.579163490547167,-20.60259296000207,-20.625527498480004
9,IC_0883,-19.61370938032512,-19.783975986198968,-19.931125506820884,-20.060691328558853,-20.176430788248638,-20.28101231634805,-20.376399380976103,-20.464078835184075,-20.54520369471269,-20.620686156657513,-20.69126031956152,-21.132411018118333,-21.187819067254917,-21.240536260181585,-21.290811895945204,-21.338862156902355,-21.384875726438835,-21.429018263797822,-21.471436004158925,-21.512258681468182,-21.551601921376804,-21.5895692155457,-22.283132356309782,-22.316738091820312,-22.34933481457944,-22.380981353777738,-22.41173153906734,-22.44163475149833,-22.470736400595662,-22.49907833914904,-22.52669922522658,-22.553634839270693,-22.579918362802577,-22.24864850963638,-22.445596957513345,-22.612245742530167,-22.75668665624609,-22.884148591091545,-22.998206703807046,-23.10141374650214,-23.195656203800212,-23.282367709104633,-23.362663309712556,-23.43742738748584,-22.133491218600337,-22.401892039484352,-22.616919502283146,-22.796320108774562,-22.950238474784914,-23.085021425194103,-23.204905052667915,-23.312857946882772,-23.41104131947801,-23.501077601203548,-23.584215869939953,-23.642756308614064,-23.726437791317224,-23.804128618084533,-23.876629512362378,-23.944590665895173,-24.00854725611986,-24.068945069254106,-24.126159362825458,-24.18050900127204,-24.232267218501704,-24.281669929424915,-24.773016376258727,-24.816210572082063,-24.857751905896905,-24.897762225695242,-24.936350383247046,-24.973614019045275,-25.009641050958244,-25.044510923717706,-25.078295663919317,-25.111060775768628,-25.142866005577,-19.64253050158452,-19.80970642904537,-19.954542989463665,-20.08231282148332,-20.196617360364687,-20.30002609620302,-20.39443668046498,-20.481290482099915,-20.56170807657555,-20.63657790147679,-20.70661625502334,-20.825071063680607,-20.892588723192386,-20.956152408058173,-21.016199715663003,-21.073099391603858,-21.127165056951057,-21.178665676247835,-21.227833652917237,-21.274871169492542,-21.3199552104061,-21.363241582773803,-21.36464934419446,-21.41249728249077,-21.458325286810393,-21.50229701727153,-21.544557015755753,-21.5852335724103,-21.624441074266272,-21.662281944346073,-21.698848254064487,-21.734223072829177,-21.768481604621815
