,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,102.00000000000001,10.049655121706085
1,103.9,10.021013987258582
2,104.712855,10.00876078234215
3,106.07000000000001,9.901297976222612
4,108.05,9.744515645582794
5,110.05,9.586149655038435
6,113.91999999999999,9.279711463336472
7,117.92,8.962979482253102
8,120.22644299999999,8.780348417139688
9,120.95,8.732313907268832
10,124.91,8.46942285776664
11,126.94,8.334658001592077
12,128.12,8.25632177978098
13,131.1,8.058489626413728
14,132.01,7.998077794408513
15,133.85,7.87592639774135
16,136.96,7.669463982861182
17,138.038426,7.597870916543991
18,140.15,7.49767234507917
19,143.09,7.3581632420872625
20,147.10000000000002,7.167880423755539
21,150.87,6.9889860994280255
22,155.1,6.788263821850773
23,158.489319,6.627433604809539
24,159.07999999999998,6.60624313795076
25,162.02999999999997,6.50041295866669
26,166.19,6.351174471904755
27,170.06,6.212339634044242
28,172.82,6.113325645882176
29,176.85,5.968750875334987
30,180.14,5.8507233356059505
31,181.8,5.791171453531311
32,181.970086,5.785069681370028
33,186.04,5.673680553592076
34,190.81,5.543130852702698
35,193.91,5.458287239539884
36,197.97,5.347169483954024
37,202.12,5.233588544078108
38,204.93,5.156681949602991
39,208.929613,5.047216940804214
40,210.19,5.021282808246863
41,216.07999999999998,4.9000883879466866
42,220.09,4.817577428878165
43,223.15,4.754613950555784
44,226.78,4.6799220682305185
45,229.94,4.6149019504324915
46,234.21,4.527043393260688
47,239.88329199999998,4.4103100209735775
48,240.22000000000003,4.404971206854544
49,245.80999999999997,4.316335275702786
50,252.11999999999998,4.2162839857566246
51,256.81,4.141917432541372
52,259.78000000000003,4.0948265682202
53,264.0,4.027914825521936
54,268.91,3.950062053805117
55,273.90999999999997,3.8707822980967475
56,275.42287,3.846794356570479
57,279.0,3.8032656344261824
58,284.19,3.7401106008953535
59,290.14000000000004,3.667706559403458
60,296.21000000000004,3.5938439936092905
61,301.03000000000003,3.5351916442496387
62,308.04,3.449891069305995
63,316.227766,3.3502595302148355
64,318.13,3.3329712891896213
65,327.79999999999995,3.245086791107681
66,337.76,3.154566699201017
67,348.02,3.061320190946021
68,356.95,2.980162180241302
69,363.078055,2.924469382746325
70,366.09999999999997,2.903902476667563
71,374.63000000000005,2.8458487361324036
72,385.13,2.77438409853875
73,395.01,2.707145896828836
74,405.14,2.63820475739693
75,413.62,2.5804922761741698
76,416.86938299999997,2.55837716162627
77,422.28000000000003,2.530256821953193
78,430.14,2.4894077945723203
79,441.17,2.432086029388856
80,451.45,2.3786595275085283
81,459.84,2.3350561062881057
82,469.47,2.2850094927638294
83,478.630092,2.237404995858292
84,480.4,2.2303312537675026
85,490.46,2.1901205471127243
86,499.58000000000004,2.153675293618134
87,506.53,2.125893172355042
88,512.4,2.1024437902057826
89,519.52,2.0739883129775496
90,530.4,2.030501187708564
91,540.26,1.9910868717304215
92,549.5408739999999,1.9539953079848364
93,550.31,1.9516506411526644
94,560.54,1.920471552535983
95,569.65,1.8927082166136013
96,580.24,1.8604178328737526
97,589.67,1.831678016753
98,600.63,1.7982566090587844
99,610.39,1.7684754277084611
100,620.3100000000001,1.738279135558952
101,630.38,1.707580429741457
102,630.957344,1.7058205922247411
103,640.63,1.6824506495805331
104,649.54,1.6609272470820475
105,658.58,1.6390812882905426
106,664.67,1.6243782513252483
107,675.4699999999999,1.5982797576513266
108,684.8700000000001,1.5755515256406911
109,694.39,1.5525922798903455
110,705.6800000000001,1.5252870322042738
111,715.49,1.5016258376079619
112,724.43596,1.4800160653766485
113,725.4499999999999,1.478198348024257
114,735.54,1.4601106362352492
115,745.7700000000001,1.4417925878179492
116,754.41,1.4263185796719602
117,764.9,1.4074893231021193
118,775.54,1.3884718322519658
119,784.52,1.3723872239372683
120,795.44,1.352831171630532
121,804.65,1.3363406098193562
122,815.84,1.3162937796080576
123,825.2900000000001,1.299403975348382
124,831.763771,1.2877005355575273
125,834.84,1.283533334942615
126,844.51,1.270747305085503
127,854.2900000000001,1.2576578766815154
128,864.18,1.2444672495306532
129,874.1899999999999,1.231118298565018
130,884.31,1.2176450998525077
131,894.5500000000001,1.2039841743252244
132,904.91,1.1900850579831683
133,915.39,1.1768178868263393
134,925.99,1.1752210218547374
135,934.56,1.1817842856663765
136,945.38,1.1998476542010248
137,954.13,1.2225234447905042
138,954.992586,1.221625384866317
139,965.1700000000001,1.2113243193063017
140,974.0999999999999,1.1109060677267732
141,985.38,1.1551195825736844
142,994.5,1.1610070790456553
143,1006.02,1.2129331003786707
144,1015.3299999999999,1.204567564902141
145,1024.72,1.1028859349209794
146,1034.2,1.1203653861221066
147,1046.18,1.2356985590534892
148,1055.86,1.2231883239930375
149,1065.63,1.1448396701148742
150,1075.49,1.1806306974190006
151,1085.44,1.1074559059054163
152,1095.48,1.177329095574121
153,1096.4782,1.1753354073052988
154,1105.62,1.159251258741884
155,1115.8500000000001,1.1333094599709532
156,1126.1699999999998,1.0967980512401616
157,1133.98,1.1721709758343972
158,1144.47,1.1320502927349776
159,1155.06,1.1497383541246011
160,1165.75,1.1493856600032673
161,1173.83,1.0350842547179184
162,1184.69,1.126159486227957
163,1195.65,0.9991351622270382
164,1203.94,0.9284136003686791
165,1215.0800000000002,0.9010019464480373
166,1226.32,0.9961380570164384
167,1234.82,1.124577638585069
168,1246.25,1.151664873682651
169,1254.8899999999999,1.1176019175359415
170,1258.92541,1.0849899930714486
171,1263.59,1.0487325197934951
172,1275.28,1.1635495004485352
173,1284.12,1.188908573587163
174,1296.0,1.049150008076631
175,1304.99,1.0396259763477014
176,1314.03,1.1563498429962527
177,1326.1899999999998,1.1261796883996138
178,1335.3799999999999,1.050117250180608
179,1344.64,1.1559974896900753
180,1353.9599999999998,1.13453596725252
181,1366.49,1.0608835806492398
182,1375.96,1.087812253344127
183,1385.5,1.0874714037674877
184,1395.1,1.0231581922438253
185,1404.77,1.0331434584486363
186,1414.51,1.0302637023819208
187,1424.31,1.047778084368182
188,1434.1899999999998,1.035603383758413
189,1440.81,1.0635189489368875
190,1445.43977,1.0691175482308142
191,1447.46,1.0720278785144273
192,1454.1399999999999,1.051739384552397
193,1464.22,1.0032748116276566
194,1474.3700000000001,1.0015497097242723
195,1484.5900000000001,1.012972278842244
196,1494.88,1.0210858189815715
197,1505.24,0.9859500301422552
198,1512.1899999999998,0.9256344672625979
199,1515.67,0.9606131123242945
200,1526.18,0.9370109185307409
201,1536.76,0.8718099957585433
202,1543.85,0.919744074921598
203,1554.5500000000002,0.8925821881860105
204,1565.3300000000002,0.8905444254748298
205,1576.18,0.9119837337850052
206,1583.45,0.9372868670029753
207,1594.43,0.9413027643528118
208,1605.48,0.9305740327240042
209,1616.61,0.9308331251196034
210,1624.07,0.8985571653955398
211,1635.3300000000002,0.9265973468307999
212,1646.67,0.928816552290467
213,1654.27,0.8866008346091152
214,1659.58691,0.9046367776052734
215,1665.73,0.9264594259435655
216,1673.4199999999998,0.8615002568635128
217,1677.28,0.9246876048935513
218,1685.0200000000002,0.9538079110470481
219,1696.6999999999998,0.9153955056042632
220,1704.53,0.8917809071781496
221,1716.3500000000001,0.8581869723893039
222,1724.27,0.8554903693835798
223,1736.22,0.8848797502019632
224,1744.24,0.8728128976633387
225,1756.3300000000002,0.9053439491356614
226,1764.4299999999998,0.8558514369707164
227,1776.6599999999999,0.8634768590969784
228,1784.8700000000001,0.8719234524458426
229,1793.1,0.9090918558881269
230,1805.53,0.9016110789485876
231,1813.87,0.8531903879046814
232,1826.44,0.8610818816190813
233,1834.8700000000001,0.8382412859955644
234,1843.34,0.7957925105588873
235,1856.12,0.7886428602541962
236,1864.69,0.8024155352846185
237,1873.29,0.8450478754551707
238,1886.28,0.7979086811313885
239,1894.98,0.77930397176904
240,1903.7299999999998,0.8029269376402415
241,1905.46072,0.7996367027777578
242,1916.93,0.7789803020349542
243,1925.77,0.7722913833836247
244,1934.66,0.7835687429073444
245,1943.5900000000001,0.7998535249711032
246,1957.07,0.7668915209643248
247,1966.1000000000001,0.8112916593781816
248,1975.17,0.8223019203320777
249,1984.29,0.7919236594610228
250,1993.45,0.7765218211300073
251,2007.27,0.7870529087135625
252,2016.53,0.7644144267326449
253,2025.84,0.7871721229267764
254,2035.19,0.7571255416609473
255,2044.59,0.7768606385701671
256,2054.02,0.7532231023844163
257,2063.5,0.7494765443737145
258,2073.0299999999997,0.7804340645380619
259,2077.81,0.7584857580727502
260,2087.4,0.7759773120471563
261,2097.03,0.7462437885616018
262,2106.71,0.7441246432510962
263,2116.44,0.7464705761156396
264,2126.21,0.7497587315202223
265,2136.02,0.7107675094648442
266,2145.88,0.7238242655845153
267,2155.79,0.7384502998792353
268,2165.74,0.7200762567139947
269,2175.73,0.712511736088793
270,2185.7799999999997,0.7032488492736504
271,2187.7616199999998,0.7065368011631068
272,2195.86,0.7206926972328384
273,2206.0,0.705092607225424
274,2216.1800000000003,0.6784996904329705
275,2226.41,0.6634665901592183
276,2236.69,0.691989606404167
277,2247.01,0.6723858958640765
278,2257.38,0.6503360018426874
279,2262.5899999999997,0.6610373630913433
280,2273.03,0.6736923721961356
281,2283.52,0.6878268978196291
282,2294.06,0.6628688399618237
283,2304.65,0.6627064986227191
284,2315.29,0.639047373802316
285,2325.98,0.5494523655006139
286,2336.71,0.6058086304138726
287,2347.5,0.5937908551495727
288,2352.91,0.6274068824730332
289,2363.77,0.5910140103349149
290,2374.6800000000003,0.6020967547154976
291,2385.64,0.5742361156147815
292,2396.66,0.5983298363365068
293,2407.7200000000003,0.5821470302731928
294,2413.27,0.5934210638490163
295,2424.41,0.6198084042156242
296,2435.6,0.6052570611009331
297,2446.84,0.6283872345049434
298,2452.48,0.6242944578144289
299,2463.7999999999997,0.6184889776483609
300,2475.17,0.6021999140009937
301,2486.6,0.6077509101760681
302,2492.33,0.5898021232192157
303,2503.8300000000004,0.6340808225204715
304,2511.88643,0.5960106079754841
305,2515.3900000000003,0.5796205056198683
306,2527.0,0.5732874825874499
307,2532.83,0.5831751625806456
308,2544.52,0.5760288723783225
309,2556.26,0.6135586651948088
310,2562.16,0.5957829614143378
311,2573.98,0.6227269870609196
312,2585.8599999999997,0.6139718123300729
313,2597.8,0.6061284372217975
