,lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
0,100.11000000000001,4.2187160096050696e-05
1,101.98,5.0713538162015236e-05
2,104.11,6.0424301709135305e-05
3,104.712855,6.317296721012384e-05
4,106.05,5.808843288177122e-05
5,108.02000000000001,5.0597962499524984e-05
6,110.03,4.295961217758857e-05
7,113.89,2.828371852247677e-05
8,117.9,1.3036686806026407e-05
9,120.22644299999999,4.242987865373463e-06
10,120.92,4.137292046332495e-06
11,124.88000000000001,3.455487321833157e-06
12,126.91,3.1036401426074894e-06
13,128.08,2.9021863353690468e-06
14,131.07,2.383701750204147e-06
15,131.98,2.2422624112409167e-06
16,134.12,1.8704510646680406e-06
17,136.93,1.4046864806167437e-06
18,138.038426,1.213058960798327e-06
19,140.12,1.2065959067195498e-06
20,143.05,1.4053650887186316e-06
21,147.06,1.7352845453112311e-06
22,150.82999999999998,1.7483415631052713e-06
23,155.06,1.769952171929884e-06
24,158.489319,1.79415500155205e-06
25,159.04000000000002,1.7962052235007234e-06
26,161.99,1.804354559691306e-06
27,166.15,1.822956623607517e-06
28,170.02,1.8310092527795693e-06
29,173.18,1.842713541715922e-06
30,176.80999999999997,1.8542112248928083e-06
31,180.09,1.8575694868267438e-06
32,181.970086,1.85912935523699e-06
33,182.18,1.8619533629358096e-06
34,185.99,1.9214324865604404e-06
35,191.20000000000002,1.9930001752964837e-06
36,193.86,2.043679049008168e-06
37,197.92000000000002,2.100002487831265e-06
38,202.07,2.1613165201258104e-06
39,204.88,2.2033153829565745e-06
40,208.929613,2.215780183691234e-06
41,210.13,2.2381890727510812e-06
42,216.02,2.4674668618326135e-06
43,220.04,2.594365295127648e-06
44,223.1,2.666599968232824e-06
45,227.25,2.7981226294702365e-06
46,229.88000000000002,3.6821350870737048e-06
47,234.14999999999998,5.332472343334848e-06
48,239.88329199999998,6.6998008444376135e-06
49,240.16,6.756374315529601e-06
50,245.75,6.296184232235478e-06
51,252.06,6.461814814420466e-06
52,256.74,5.218529140034687e-06
53,259.71999999999997,6.1047983943787875e-06
54,263.94,6.316015794825799e-06
55,268.84000000000003,6.191805823780861e-06
56,273.84,6.030057445163577e-06
57,275.42287,5.972461176502757e-06
58,278.93,5.956331199516381e-06
59,284.12,6.017725690478695e-06
60,290.07,5.8304177966879e-06
61,296.14,5.875194578988718e-06
62,300.95,5.637086762327588e-06
63,307.96,5.834473674012719e-06
64,316.227766,6.030214821481535e-06
65,318.05,6.021538196935758e-06
66,327.72,5.780062912052401e-06
67,337.66999999999996,5.498938248702927e-06
68,347.92999999999995,5.200844523480254e-06
69,356.86,5.03686109597163e-06
70,363.078055,4.974853537589161e-06
71,366.01,5.0083770717801425e-06
72,375.4,4.966607146851192e-06
73,385.03000000000003,4.76707121106144e-06
74,394.90999999999997,4.936543097291682e-06
75,405.03999999999996,5.014323805541921e-06
76,414.46999999999997,4.984506212136171e-06
77,416.86938299999997,4.963825818367014e-06
78,422.18,4.898120368227526e-06
79,430.03,4.824288804651181e-06
80,441.06,4.855675210224801e-06
81,451.33,4.830381918768871e-06
82,459.71999999999997,4.745991482029312e-06
83,470.43,4.7423643309589104e-06
84,478.630092,4.7943114271419865e-06
85,480.28000000000003,4.783295785247553e-06
86,490.34000000000003,4.584936939433614e-06
87,499.46,4.599867792930323e-06
88,506.4,5.471240523551722e-06
89,512.27,1.2712767560835239e-05
90,520.59,1.2939702690341008e-05
91,530.27,1.3190478850631375e-05
92,540.13,1.2353226323819701e-05
93,549.5408739999999,1.642923968686854e-05
94,550.1700000000001,1.6704857561709908e-05
95,560.4,1.9557779558661583e-05
96,569.51,2.172903240247681e-05
97,580.09,2.0420083509783626e-05
98,589.52,2.4727697540209264e-05
99,600.48,2.5195155681615947e-05
100,610.24,2.9386106873233577e-05
101,620.15,3.325936768357484e-05
102,630.2299999999999,3.5539990061802886e-05
103,630.957344,3.554958034612777e-05
104,640.47,3.572866916479728e-05
105,649.38,4.0257874050806956e-05
106,658.41,4.251276755481003e-05
107,664.5,4.4987299917974904e-05
108,675.3000000000001,4.542632553738058e-05
109,684.7,4.464819728019663e-05
110,694.22,5.656494764100608e-05
111,705.5,5.338668773238534e-05
112,715.3199999999999,6.395761963817828e-05
113,724.43596,6.614322639315874e-05
114,725.27,6.634202832106452e-05
115,735.36,6.864518011582616e-05
116,745.59,7.653016987404338e-05
117,754.22,8.081691147848273e-05
118,764.7099999999999,8.457982031168883e-05
119,775.35,9.199726553431163e-05
120,784.33,9.782310204738988e-05
121,795.24,0.00010215182477096267
122,804.45,0.0001064326950811465
123,815.64,0.00010989001373163042
124,825.0799999999999,0.00011927730783891982
125,831.763771,0.00010591198575894964
126,834.64,0.0001001436296747374
127,844.3000000000001,0.00012507516598289878
128,854.0799999999999,0.00012879028025762114
129,865.96,0.00013785155894716118
130,875.99,0.00014656286898555234
131,884.09,0.00015763823172842053
132,894.33,0.00016533939820829343
133,904.6899999999999,0.00016605328265472733
134,915.16,0.0002421928252371755
135,925.7600000000001,0.0015607962456167313
136,934.32,0.00342121786056475
137,945.14,0.006578051397216334
138,954.992586,0.00896183195581367
139,956.09,0.009227349123154129
140,964.93,0.010594310510519012
141,976.11,0.0018418684121863664
142,985.1400000000001,0.00942042667891769
143,994.26,0.009639716888506802
144,1005.77,0.013398424580652709
145,1015.07,0.012504498675957397
146,1024.47,0.005141697707770734
147,1033.95,0.008771479688790995
148,1045.92,0.016332469088876703
149,1055.6,0.01596061294291427
150,1065.3600000000001,0.012795476746158758
151,1075.22,0.014964300485911899
152,1085.17,0.011941514168522826
153,1095.21,0.01534817779399154
154,1096.4782,0.015261773046979676
155,1105.35,0.014657309359070626
156,1115.57,0.01409470905025216
157,1125.8899999999999,0.01267845854271727
158,1133.7,0.015597353022964605
159,1144.19,0.014094432177611797
160,1154.78,0.014826961133542566
161,1165.46,0.01520726991062855
162,1176.24,0.010790908488998115
163,1184.4,0.014455992273737969
164,1195.3600000000001,0.010047440494417971
165,1203.64,0.0073462710406981165
166,1214.78,0.004498807903688556
167,1226.02,0.009355281567962571
168,1234.52,0.013997502677066587
169,1245.94,0.015347809983651041
170,1254.58,0.014690892814552063
171,1258.92541,0.013926481272428614
172,1266.19,0.012648565206327244
173,1274.96,0.01599725644592898
174,1283.8,0.01659753769542491
175,1295.6799999999998,0.01339819937461175
176,1304.66,0.013123340643896081
177,1313.6999999999998,0.015960691921661153
178,1325.8600000000001,0.01524203364042479
179,1335.0500000000002,0.013584694939391715
180,1344.31,0.01577750624825284
181,1353.6200000000001,0.015207047564181246
182,1366.1499999999999,0.013678739335242789
183,1375.62,0.014224740673786509
184,1385.15,0.01429052202081097
185,1394.7499999999998,0.012475453377729628
186,1404.42,0.012824724744542488
187,1414.1599999999999,0.013123366121249546
188,1423.96,0.013305917506437342
189,1433.8300000000002,0.013153778901519341
190,1440.45,0.013773549837227832
191,1445.43977,0.013869159037758453
192,1447.1000000000001,0.013900970739463404
193,1453.78,0.013491011531911736
194,1463.85,0.012504222726515735
195,1474.0,0.012389493930610132
196,1484.22,0.01250404514300863
197,1494.51,0.012619656363711226
198,1504.8700000000001,0.011941147592717923
199,1511.8100000000002,0.010741178416010053
200,1515.3,0.011377618830028718
201,1525.8,0.011016760075643613
202,1536.3799999999999,0.009639419330748907
203,1543.47,0.010376672171835535
204,1554.17,0.009796165441176428
205,1564.94,0.00995531771882142
206,1575.79,0.010496706005956811
207,1586.71,0.010865597301396301
208,1594.03,0.011042318169767827
209,1605.0800000000002,0.010741279480629216
210,1616.2099999999998,0.010691810800981005
211,1623.67,0.01016388168596073
212,1634.92,0.010667283020548117
213,1646.26,0.010741114365812203
214,1653.8600000000001,0.009978315267400126
215,1659.58691,0.01035954025416559
216,1665.3200000000002,0.010741180913546203
217,1673.01,0.009684072575643942
218,1676.8600000000001,0.010667230911024478
219,1684.6,0.010991477616438847
220,1696.28,0.010376717735203687
221,1704.1100000000001,0.009932496518587991
222,1715.9199999999998,0.00942024674997607
223,1723.8400000000001,0.009312517611330309
224,1735.7900000000002,0.00979637196400495
225,1743.8000000000002,0.009529338903329125
226,1755.8899999999999,0.010024579377290331
227,1764.0,0.009248265403247767
228,1776.22,0.009398611989832214
229,1784.4199999999998,0.009507486093759584
230,1796.79,0.00995552381029392
231,1805.09,0.00986412600085455
232,1813.42,0.009142519217405158
233,1825.99,0.009269609107206015
234,1834.4199999999998,0.008934396410389886
235,1842.88,0.008261696739563732
236,1855.66,0.008223698811294438
237,1864.22,0.008376678227101544
238,1877.1499999999999,0.008955066428782141
239,1885.81,0.00824266993122251
240,1894.51,0.007871913468316182
241,1903.26,0.008299819048726485
242,1905.46072,0.008246670647448771
243,1916.45,0.007981252683417086
244,1925.3,0.007799699800512629
245,1934.18,0.0080552568841068
246,1943.1100000000001,0.008261644911865354
247,1956.58,0.007710356869749757
248,1965.6100000000001,0.008280802785837075
249,1974.68,0.008493140657255895
250,1983.8,0.008018036472839099
251,1992.96,0.007781510243753809
252,2006.77,0.007962865821956006
253,2016.03,0.007710321481199478
254,2025.34,0.008018038084607331
255,2034.69,0.007569591643346691
256,2044.0800000000002,0.007745855157417555
257,2053.51,0.0073294836268199244
258,2062.9900000000002,0.007414254040386675
259,2072.52,0.007853599398117807
260,2077.29,0.007431419071399813
261,2086.88,0.007657043362128203
262,2096.51,0.007262179608188099
263,2106.19,0.007346222798412377
264,2115.91,0.007363183943968159
265,2125.6800000000003,0.007431313033688324
266,2135.49,0.006999559078739994
267,2145.35,0.007047979067956045
268,2155.25,0.007245454012503602
269,2165.2,0.00704796490121554
270,2175.19,0.006967345745258983
271,2185.23,0.0068087935334668085
272,2187.7616199999998,0.006868803147376427
273,2195.32,0.0070479824359519945
274,2205.45,0.0068559364551611995
275,2215.63,0.006607898518887724
276,2225.86,0.006398310627131571
277,2236.13,0.006669024770989272
278,2246.4500000000003,0.006427851959364296
279,2256.82,0.006224049192256641
280,2267.2400000000002,0.006310691469666306
281,2272.4700000000003,0.006413172126178067
282,2282.96,0.006472509465911981
283,2293.49,0.006153037841259753
284,2304.08,0.006126124270028309
285,2314.7200000000003,0.005905685743314186
286,2325.4,0.0049134042522139204
287,2336.1299999999997,0.005616611805630975
288,2346.92,0.005489836412468815
289,2352.33,0.00570971522924293
290,2363.19,0.005403935898405019
291,2374.09,0.005467647603180965
292,2385.0499999999997,0.005198794361377696
293,2396.06,0.005419904164091747
294,2407.12,0.005225185011323119
295,2412.67,0.005274013952745733
296,2423.81,0.005422974871204819
297,2434.99,0.005216183825277761
298,2446.23,0.005400628832771489
299,2457.52,0.005303364884782537
300,2463.19,0.0052673469330467215
301,2474.56,0.005113306056285482
302,2485.98,0.005233602224041564
303,2497.46,0.004862904445218432
304,2503.21,0.00528388356471033
305,2511.88643,0.005011488915550111
306,2514.77,0.004920956296096503
307,2520.56,0.005071069300934852
308,2526.3799999999997,0.0048882242954355745
309,2532.2,0.004877554289936298
310,2543.89,0.00477864326170837
311,2555.6299999999997,0.0049476972162510666
312,2567.43,0.004880970150118512
313,2573.34,0.005041566113606361
314,2585.22,0.004996535019906806
315,2597.1499999999996,0.004940473908977877
316,2603.14,0.004806485844898725
317,2615.1600000000003,0.00476344270295692
318,2627.23,0.0048308755437857405
319,2633.28,0.004842658459031338
320,2645.44,0.005048775268847282
321,2657.6499999999996,0.0050268840614338525
322,2663.78,0.004768131949112449
323,2676.0699999999997,0.004869193714132018
324,2682.2400000000002,0.004825103588027115
325,2694.62,0.004684053322033809
326,2707.06,0.004717670035365252
327,2713.3,0.004579158885139224
328,2725.8199999999997,0.004569775570903666
329,2732.1099999999997,0.004687442403448263
330,2744.72,0.00433577805819983
331,2757.3900000000003,0.004336845692276148
332,2763.7400000000002,0.004397622504145493
333,2776.5,0.004511698107208935
334,2782.8999999999996,0.004419654901848907
335,2795.75,0.003877197473899473
336,2802.19,0.004060381254755944
337,2815.13,0.004432656795793635
338,2828.12,0.004444058319601951
339,2834.64,0.004293793072891421
340,2847.7200000000003,0.004226178565686862
341,2854.29,0.004188015301746956
342,2867.46,0.004306456763529521
343,2874.07,0.004248043485806117
344,2884.0315,0.004248841026860086
345,2887.3399999999997,0.004249107029865946
346,2894.0,0.004191418982899221
347,2907.3500000000004,0.004309891888754207
348,2927.5099999999998,0.004203905746584658
349,2947.7999999999997,0.004128687603498341
350,2968.23,0.004111535459424737
351,2988.81,0.004066119314293323
352,3009.52,0.004049146168245141
353,3030.3799999999997,0.00401372602113915
354,3051.39,0.00396017187297535
355,3072.5400000000004,0.003916612723824261
356,3086.72,0.003881717623826037
357,3108.12,0.003830174472911933
358,3129.6600000000003,0.0037705193210105406
359,3151.36,0.003746277167980818
360,3173.2,0.0036963830139638072
361,3187.85,0.003580297910651115
362,3209.95,0.0035983657548005685
363,3232.2000000000003,0.0035179085978922124
364,3247.12,0.0035352634926754632
365,3269.62,0.003528758334004092
366,3292.29,0.0034898861741338707
367,3307.48,0.003458962067013065
368,3311.31121,0.0034652209374843334
369,3322.75,0.0034839064979519997
370,3330.41,0.0034844554653208873
371,3338.09,0.0033823004299936097
372,3345.7799999999997,0.0033828493933182493
373,3353.5,0.003360052352598642
374,3361.23,0.0033374363105309526
375,3368.9799999999996,0.0032920572657670986
376,3376.74,0.003202921219655162
377,3384.5199999999995,0.0032779631708470605
378,3392.33,0.0033547941179947116
379,3400.15,0.003433453063794281
380,3407.9900000000002,0.003249370006897685
381,3415.84,0.0032875449486530067
382,3423.7200000000003,0.0033569628863640813
383,3431.61,0.0033651028227270736
384,3439.52,0.003334910756393901
385,3447.4500000000003,0.003207422687364564
386,3455.4,0.0031710826156390614
387,3463.3599999999997,0.003099483542565477
388,3471.3500000000004,0.003172155465447645
389,3479.35,0.003100375386981731
390,3487.3700000000003,0.003136903305819652
391,3495.41,0.0031591462219614087
392,3503.46,0.0031233481367550823
393,3511.5400000000004,0.0030810390475045093
394,3519.64,0.0030886189555577714
395,3527.75,0.003074878862262951
396,3535.88,0.003132559766271965
397,3544.03,0.0031694486675848156
398,3552.2,0.0031625795662015006
399,3560.39,0.003148658462122021
400,3568.6,0.0030703503553463772
401,3576.83,0.002939443245874568
402,3585.07,0.0029061741350546763
403,3593.33,0.00291342402153862
404,3601.62,0.0030094219039783167
405,3609.9199999999996,0.0029685587850699306
406,3618.24,0.00298953366346538
407,3626.59,0.003073776537816582
408,3634.94,0.003018284412167784
409,3643.3199999999997,0.003053724282474739
410,3651.72,0.0029846371500855296
411,3660.14,0.0030616640150001547
412,3668.5800000000004,0.003020257877218615
413,3677.03,0.0030137647380889935
414,3685.51,0.0029388915949151244
415,3694.0099999999998,0.002952995449045091
416,3702.5200000000004,0.003022246301826975
417,3711.06,0.0028933251505646115
418,3719.6099999999997,0.003217161997954166
419,3728.19,0.002854629841299473
420,3736.78,0.0026221026832966977
421,3745.3999999999996,0.003721249521249675
422,3754.0299999999997,0.0023593783578545707
423,3762.68,0.0037655661917633007
424,3771.36,0.0028179190216277837
425,3780.0499999999997,0.0034992238501441847
426,3786.88,0.00466329392940391
427,3789.6200000000003,0.004090296560029336
428,3792.36,0.0026732621906547594
429,3795.1000000000004,0.0033589068212801837
430,3797.84,0.004369656451905608
431,3800.58,0.004882806082531033
432,3801.8939600000003,0.004465650939602685
433,3803.32,0.004012912753212355
434,3806.06,0.0036299494608013705
435,3808.8,0.0033699401683903864
436,3811.54,0.0037794838759794024
437,3814.2799999999997,0.0028345505835684183
438,3817.02,0.004045101291157434
439,3819.7599999999998,0.00315441199874645
440,3822.51,0.0027542567052682722
441,3825.25,0.003630658412857288
442,3827.99,0.0030621821204463036
443,3830.73,0.0038857868280353196
444,3833.47,0.0036066125356243356
445,3836.21,0.004483919243213352
446,3838.95,0.002855514950802367
447,3841.6899999999996,0.003864996658391383
448,3844.43,0.003395967365980399
449,3847.1699999999996,0.004694209073569415
450,3849.9100000000003,0.0038429397811584306
451,3852.65,0.004259354488747446
452,3855.3900000000003,0.003892665196336462
453,3858.13,0.004143092903925478
454,3860.8700000000003,0.004567643611514494
455,3863.61,0.00708674331910351
456,3866.35,0.012537018026692525
457,3869.09,0.012228737734281542
458,3871.83,0.010838817441870556
459,3874.57,0.006263504149459573
460,3877.32,0.0038103798559813956
461,3880.0600000000004,0.003974016563570411
462,3882.8,0.003893013271159427
463,3885.54,0.005161600978748443
464,3888.28,0.006301268686337459
465,3891.02,0.005583259393926474
466,3893.76,0.00496234710151549
467,3896.5,0.004725843809104506
468,3899.24,0.003830456516693522
469,3901.98,0.003452014224282538
470,3904.72,0.004144349931871553
471,3907.46,0.0036615786394605695
472,3910.2,0.0035787663470495854
473,3912.9399999999996,0.004531113054638601
474,3915.6800000000003,0.003924302762227617
475,3918.42,0.004047980469816633
476,3921.1600000000003,0.0038226871774056487
477,3923.9,0.0031153438849946644
478,3926.6400000000003,0.00410855459258368
479,3929.38,0.003847461300172696
480,3932.1299999999997,0.0034078850066945185
481,3934.87,0.0040157787142835345
482,3937.61,0.00378054142187255
483,3940.3500000000004,0.004140180129461566
484,3943.09,0.004398744837050582
485,3945.8300000000004,0.003910367544639598
486,3948.57,0.0034603242522286137
487,3951.31,0.0034319369598176295
488,3954.05,0.003463037667406645
489,3956.79,0.003861370374995661
490,3959.53,0.004573235082584677
491,3962.27,0.004507418790173692
492,3965.0099999999998,0.0056443774977627086
493,3967.75,0.0076837772053517245
494,3970.49,0.00688024191294074
495,3973.23,0.005117488620529756
496,3975.97,0.004084500328118772
497,3978.7099999999996,0.004430398035707788
498,3981.4500000000003,0.004261879743296803
499,3984.19,0.0041239194508858185
500,3986.94,0.0036373311574076418
501,3989.68,0.0030797038649966572
502,3992.42,0.0035565085725856736
503,3995.16,0.004038196280174689
