,id,U_0,U_10,U_20,U_30,U_40,U_50,U_60,U_70,U_80,U_90,U_100,V_0,V_10,V_20,V_30,V_40,V_50,V_60,V_70,V_80,V_90,V_100,J_0,J_10,J_20,J_30,J_40,J_50,J_60,J_70,J_80,J_90,J_100,IRAC3.6_0,IRAC3.6_10,IRAC3.6_20,IRAC3.6_30,IRAC3.6_40,IRAC3.6_50,IRAC3.6_60,IRAC3.6_70,IRAC3.6_80,IRAC3.6_90,IRAC3.6_100,IRAC4.5_0,IRAC4.5_10,IRAC4.5_20,IRAC4.5_30,IRAC4.5_40,IRAC4.5_50,IRAC4.5_60,IRAC4.5_70,IRAC4.5_80,IRAC4.5_90,IRAC4.5_100,IRAC5.8_0,IRAC5.8_10,IRAC5.8_20,IRAC5.8_30,IRAC5.8_40,IRAC5.8_50,IRAC5.8_60,IRAC5.8_70,IRAC5.8_80,IRAC5.8_90,IRAC5.8_100,IRAC8.0_0,IRAC8.0_10,IRAC8.0_20,IRAC8.0_30,IRAC8.0_40,IRAC8.0_50,IRAC8.0_60,IRAC8.0_70,IRAC8.0_80,IRAC8.0_90,IRAC8.0_100,u_0,u_10,u_20,u_30,u_40,u_50,u_60,u_70,u_80,u_90,u_100,g_0,g_10,g_20,g_30,g_40,g_50,g_60,g_70,g_80,g_90,g_100,r_0,r_10,r_20,r_30,r_40,r_50,r_60,r_70,r_80,r_90,r_100
0,Arp_118,-21.198907558064835,-21.198974585975975,-21.1990416097494,-21.199108629385627,-21.19917564488517,-21.199242656248526,-21.19930966347621,-21.199376666568742,-21.199443665526623,-21.19951066035037,-21.199577651040485,-23.13216221374479,-23.132189801410313,-23.132217388374876,-23.132244974638514,-23.132272560201258,-23.132300145063148,-23.132327729224215,-23.132355312684503,-23.13238289544404,-23.13241047750286,-23.13243805886101,-24.433390187676224,-24.43350900453027,-24.433627808383093,-24.433746599237534,-24.433865377096442,-24.43398414196266,-24.43410289383902,-24.43422163272838,-24.434340358633563,-24.43445907155742,-24.434577771502788,-23.876020661915142,-23.988865547778268,-24.091078382031768,-24.184491251427566,-24.270500028678427,-24.350192728879897,-24.42443387266045,-24.493921795098025,-24.55922868698535,-24.620829258619676,-24.67912169779309,-23.524626381992995,-23.879506178959787,-24.14652351510618,-24.36066370498304,-24.539446882584368,-24.692910811543044,-24.827345301265783,-24.94695324446989,-25.054682587371637,-25.152681031225125,-25.242561793525336,-24.143095307801055,-24.5341173864201,-24.820998846958986,-25.04770293608202,-25.23514996158537,-25.39494985235403,-25.534219595018286,-25.657638837478494,-25.76844966253201,-25.868991090780156,-25.961006158582567,-25.108934755289813,-25.324808294469086,-25.50479686605046,-25.659147566561895,-25.794261790433907,-25.914407357636968,-26.02257256256827,-26.120931500928855,-26.211115382988062,-26.294379475535244,-26.371710429743977,-21.245236466627038,-21.245302005538058,-21.245367540493145,-21.245433071492794,-21.24549859853747,-21.245564121627652,-21.245629640763827,-21.245695155946464,-21.245760667176036,-21.245826174453025,-21.245891677777912,-22.701861421493724,-22.701888685557737,-22.70191594893714,-22.701943211631956,-22.701970473642227,-22.701997734967993,-22.70202499560928,-22.702052255566123,-22.70207951483856,-22.702106773426614,-22.702134031330342,-23.434015660971554,-23.434046700187913,-23.43407773851694,-23.434108775958688,-23.43413981251321,-23.434170848180553,-23.43420188296077,-23.434232916853915,-23.434263949860032,-23.43429498197917,-23.43432601321139
1,Arp_256_N,-20.237171851845783,-20.2371999418841,-20.23722803119569,-20.237256119780604,-20.237284207638865,-20.23731229477052,-20.237340381175596,-20.237368466854136,-20.23739655180618,-20.23742463603177,-20.23745271953093,-21.245014190677264,-21.245041303345356,-21.24506841533642,-21.245095526650488,-21.24512263728758,-21.24514974724775,-21.245176856531025,-21.24520396513743,-21.24523107306701,-21.245258180319794,-21.245285286895815,-21.952865736576513,-21.953067046390167,-21.953268318885254,-21.95346955407559,-21.953670751975018,-21.95387191259734,-21.954073035956384,-21.954274122065932,-21.9544751709398,-21.95467618259176,-21.954877157035604,-21.38127749735895,-21.56866686578968,-21.72842487973511,-21.867662827269005,-21.99105710675275,-22.101847812483545,-22.202372679989686,-22.294373878213072,-22.379184572626816,-22.457847712522415,-22.531194597919256,-20.997118140401575,-21.56371093917208,-21.93412129437913,-22.209800115485173,-22.429464803501816,-22.612078456993352,-22.768354451800082,-22.904941095425233,-23.026249183457608,-23.135355531588573,-23.234491973401695,-22.235265547713624,-22.62684045414133,-22.91401789218711,-23.140906367510922,-23.328479287269865,-23.48837060276802,-23.62770975249479,-23.751183483259126,-23.86203822115857,-23.962615793278374,-24.054661130130754,-23.31837882768462,-23.514348824648707,-23.680297064797475,-23.8242116638721,-23.951263704722834,-24.06499356257646,-24.167931808210454,-24.26195011315341,-24.348471841051285,-24.428604694967145,-24.50322766557445,-20.262817568799484,-20.262845564139667,-20.26287355875802,-20.262901552654576,-20.26292954582938,-20.262957538282457,-20.262985530013854,-20.263013521023602,-20.263041511311748,-20.26306950087832,-20.263097489723357,-21.01673694242671,-21.01675918780699,-21.016781432731495,-21.016803677200247,-21.016825921213265,-21.016848164770572,-21.016870407872176,-21.01689265051811,-21.01691489270838,-21.016937134443015,-21.016959375722024,-21.47065479427576,-21.47068751724758,-21.4707202392332,-21.470752960232666,-21.470785680246046,-21.470818399273398,-21.47085111731478,-21.470883834370255,-21.470916550439874,-21.470949265523707,-21.470981979621804
2,Arp_256_S,-20.20140111652175,-20.201458847676083,-20.201516575760877,-20.201574300776453,-20.20163202272315,-20.201689741601285,-20.201747457411187,-20.201805170153186,-20.201862879827598,-20.201920586434756,-20.20197828997499,-21.15562463745654,-21.1556831806943,-21.155741720775563,-21.155800257700662,-21.155858791469946,-21.155917322083752,-21.15597584954241,-21.156034373846282,-21.156092894995687,-21.156151412990983,-21.156209927832492,-22.053565281710107,-22.05392961806483,-22.054293832201605,-22.054657924202402,-22.055021894149107,-22.05538574212352,-22.055749468207367,-22.056113072482294,-22.056476555029853,-22.056839915931516,-22.057203155268688,-22.071527810658576,-22.26804063617176,-22.43437766093067,-22.57858442470421,-22.705864047149507,-22.81977618642358,-22.922863714540625,-23.0170065200919,-23.103633664704372,-23.183856926956913,-23.258558289680586,-21.72561534762696,-22.29931254136231,-22.67270627893876,-22.950027006029835,-23.170730835565845,-23.354061312461827,-23.51086164135242,-23.647848485940195,-23.769472057799433,-23.878833498149064,-23.978180466559763,-23.660928200490794,-23.887724029733537,-24.075233697578014,-24.235079081661944,-24.374383362846444,-24.497829720693332,-24.608662398893557,-24.709221814405833,-24.801251946055494,-24.88608722514046,-24.964771512861876,-24.757568256798812,-24.865488758677103,-24.96364533961337,-25.053659093392284,-25.1367781551022,-25.213984003822496,-25.286062397929992,-25.35365218657182,-25.41727979352466,-25.477384141502487,-25.53433503064329,-20.23674875527494,-20.23680577874199,-20.236862799214286,-20.236919816692158,-20.23697683117591,-20.237033842665856,-20.23709085116231,-20.237147856665594,-20.237204859176018,-20.237261858693895,-20.237318855219538,-20.94970567831637,-20.949752732916153,-20.94979978547673,-20.949846835998287,-20.949893884480982,-20.949940930925006,-20.94998797533053,-20.950035017697736,-20.950082058026787,-20.950129096317877,-20.950176132571173,-21.41548293576395,-21.415551400632165,-21.41561986118336,-21.415688317418077,-21.41575676933687,-21.41582521694027,-21.41589366022884,-21.415962099203103,-21.41603053386362,-21.416098964210924,-21.416167390245565
3,CGCG_049-057,-17.4011942105494,-17.401350212997706,-17.401506193034248,-17.40166215066546,-17.401818085897776,-17.401973998737635,-17.402129889191464,-17.402285757265684,-17.402441602966732,-17.40259742630102,-17.402753227274978,-19.540184243276173,-19.54023736985792,-19.540290493840235,-19.540343615223378,-19.5403967340076,-19.540449850193152,-19.54050296378029,-19.54055607476927,-19.540609183160345,-19.540662288953772,-19.5407153921498,-21.000821871442277,-21.001018800969966,-21.001215694785294,-21.001412552901204,-21.00160937533065,-21.001806162086556,-21.00200291318186,-21.00219962862948,-21.002396308442336,-21.00259295263333,-21.002789561215366,-20.443179133213082,-20.624910752332912,-20.780540743056154,-20.916633851497824,-21.03755259255633,-21.146343939711226,-21.24522028784224,-21.33583890736681,-21.41947341345088,-21.49712374998044,-21.569589383732115,-20.081070250674195,-20.624342772040137,-20.984762299124267,-21.25489135008631,-21.471024579499776,-21.651193462310335,-21.805676665453014,-21.940892371960196,-22.061118153404568,-22.169348356056815,-22.26776103034188,-21.0504195631611,-21.51009992350428,-21.832043722595582,-22.080036474034692,-22.28178474180577,-22.45185444018661,-22.598856944817022,-22.72830881227683,-22.84395735404558,-22.94846465647438,-23.04378997722673,-22.256344599538625,-22.467270090910603,-22.643809062282628,-22.795617435115343,-22.928780267794814,-23.047380794981372,-23.15429235317997,-23.25161370633717,-23.340924639634665,-23.42344411495443,-23.50013242211638,-17.452196290904926,-17.452348175391062,-17.452500038632934,-17.452651880636477,-17.452803701407632,-17.452955500952342,-17.453107279276537,-17.45325903638615,-17.45341077228711,-17.453562486985344,-17.45371418048678,-19.040483752543853,-19.040539721470083,-19.040595687511306,-19.040651650667815,-19.040707610939908,-19.040763568327886,-19.04081952283204,-19.040875474452676,-19.040931423190088,-19.040987369044565,-19.041043312016413,-19.862379366280393,-19.862438029954266,-19.862496690458638,-19.862555347793855,-19.862614001960253,-19.86267265295818,-19.862731300787978,-19.862789945449983,-19.862848586944548,-19.862907225272007,-19.862965860432706
4,CGCG_436-030,-20.094718050354878,-20.094805115897472,-20.09489217445882,-20.09497922604003,-20.095066270642228,-20.09515330826652,-20.095240338914042,-20.095327362585902,-20.09541437928322,-20.09550138900711,-20.095588391758703,-21.264186800946582,-21.264259213687325,-21.26433162159885,-21.264404024681806,-21.264476422936834,-21.264548816364574,-21.264621204965675,-21.264693588740784,-21.26476596769053,-21.264838341815565,-21.264910711116535,-22.25584214692558,-22.25625687572564,-22.256671446168358,-22.257085858374612,-22.257500112465152,-22.2579142085606,-22.258328146781405,-22.258741927247918,-22.259155550080326,-22.259569015398696,-22.259982323322944,-22.37048505621992,-22.573797011145956,-22.74497559880811,-22.89280542067273,-23.022898197591786,-23.139057863171644,-23.243982302035256,-23.33965451317965,-23.427574811627935,-23.50890579353551,-23.584566659778154,-22.660726889852615,-23.02795149752489,-23.30186929514666,-23.52041659657488,-23.702258156339624,-23.857968717465532,-23.994123408484974,-24.115090748963638,-24.22392142661844,-24.322830257143156,-24.413476156273276,-23.963164872977785,-24.197067273783,-24.389402548262776,-24.5527389074398,-24.694685963771292,-24.8202025459084,-24.932700777860486,-25.03462916650307,-25.127804432107833,-25.213611756924944,-25.293131488708998,-24.89122848121283,-25.020376811922716,-25.135783094493167,-25.240092560632768,-25.335253275485464,-25.42274146404218,-25.503702571703236,-25.579043257086653,-25.649493473300566,-25.715649599335585,-25.778005165178165,-20.124008480509517,-20.12409495841057,-20.12418142942429,-20.12426789355176,-20.124354350794093,-20.124440801152375,-20.124527244627707,-20.124613681221184,-20.1247001109339,-20.124786533766958,-20.124872949721436,-21.040754041057745,-21.0408131898741,-21.04087233546832,-21.04093147784075,-21.04099061699175,-21.04104975292166,-21.04110888563083,-21.041168015119624,-21.041227141388383,-21.04128626443746,-21.041345384267206,-21.488860453591293,-21.488947927867343,-21.489035395096444,-21.489122855279724,-21.489210308418322,-21.489297754513373,-21.489385193566008,-21.489472625577367,-21.489560050548576,-21.489647468480776,-21.489734879375092
5,CGCG_453-062,-19.862672040628468,-19.862737751519887,-19.86280345843459,-19.86286916137307,-19.8629348603358,-19.863000555323257,-19.86306624633593,-19.863131933374298,-19.86319761643884,-19.863263295530036,-19.863328970648368,-21.592508672674654,-21.59254129086645,-21.592573908078347,-21.5926065243104,-21.592639139562667,-21.592671753835212,-21.59270436712809,-21.592736979441362,-21.592769590775085,-21.592802201129317,-21.59283481050412,-22.763739473758385,-22.763897595928864,-22.76405569507443,-22.764213771201792,-22.764371824317642,-22.76452985442869,-22.764687861541624,-22.764845845663146,-22.76500380679994,-22.765161744958682,-22.765319660146076,-22.27935398705612,-22.418285139742625,-22.541438481550003,-22.652034956633496,-22.752399919024818,-22.84426717712366,-22.92896404710472,-23.00752926318857,-23.080791011081637,-23.14942024774245,-23.213968142938675,-21.927245381365587,-22.354184759997082,-22.659825722611373,-22.898057256765874,-23.09330631600325,-23.258737690083212,-23.402263589640118,-23.529012684174653,-23.642499790453204,-23.74523915973708,-23.839091554330505,-23.00092392942654,-23.331134986204233,-23.58398914269803,-23.788938170925572,-23.96127477019444,-24.109966985563346,-24.24072692329791,-24.35741807242816,-24.46277588565405,-24.558808232232842,-24.647032546387408,-24.246266545185865,-24.387998724151924,-24.51334731692391,-24.625710610198652,-24.7275282306811,-24.820610938246656,-24.906339765655012,-24.985792082882764,-25.059824575902432,-25.129129685523715,-25.194275082970982,-19.917232441247542,-19.917296208566434,-19.917359972140368,-19.91742373196979,-19.917487488055137,-19.91755124039685,-19.917614988995368,-19.91767873385113,-19.917742474964577,-19.917806212336146,-19.917869945966274,-21.180725439904133,-21.180757130412324,-21.180788819995563,-21.180820508653895,-21.18085219638738,-21.180883883196067,-21.18091556908002,-21.180947254039282,-21.180978938073913,-21.181010621183965,-21.181042303369487,-21.92075480793424,-21.920790625860697,-21.92082644260558,-21.92086225816896,-21.92089807255092,-21.92093388575153,-21.920969697770882,-21.921005508609042,-21.9210413182661,-21.921077126742116,-21.921112934037183
6,Haro_06,-15.364056838105217,-15.364076911451694,-15.364096984427055,-15.364117057031317,-15.364137129264492,-15.364157201126595,-15.36417727261764,-15.364197343737638,-15.364217414486605,-15.364237484864553,-15.364257554871498,-15.92145702743032,-15.921486363991487,-15.921515699760004,-15.921545034735914,-15.921574368919256,-15.921603702310074,-15.921633034908414,-15.921662366714315,-15.921691697727823,-15.921721027948976,-15.921750357377821,-16.204705593790436,-16.20502859424617,-16.205351498639647,-16.205674307027994,-16.20599701946828,-16.20631963601753,-16.2066421567327,-16.20696458167072,-16.207286910888456,-16.207609144442724,-16.207931282390295,-15.375720848508719,-15.72712227749685,-15.9921730600711,-16.20504883681057,-16.382950663581617,-16.535765126953482,-16.669701161209414,-16.78891447631176,-16.896323637844862,-16.994057096280194,-17.083714928908556,-14.99591611361042,-15.939100069535705,-16.43609000104407,-16.775742371219117,-17.034077061587766,-17.242606145147718,-17.41746480296541,-17.5680297033419,-17.70023514826474,-17.818075828758708,-17.924369659847947,-15.762772560666868,-16.69221444398508,-17.18552758276362,-17.523474307024724,-17.780824460215825,-17.988712612133128,-18.163120790585992,-18.313351755637356,-18.445299762650613,-18.562935918124932,-18.66906334404052,-16.741187713668086,-17.30383931662909,-17.672582621951996,-17.947340928910553,-18.16642191125219,-18.348632402405386,-18.504613232956967,-18.64097444081165,-18.762104723183143,-18.871067243084013,-18.970084944216485,-15.419516193485414,-15.419535656898425,-15.41955511996253,-15.419574582677743,-15.419594045044079,-15.419613507061547,-15.419632968730161,-15.419652430049934,-15.41967189102088,-15.419691351643007,-15.41971081191633,-15.90039828949212,-15.900418177413036,-15.900438064969665,-15.900457952162018,-15.900477838990106,-15.900497725453945,-15.90051761155355,-15.900537497288932,-15.900557382660104,-15.90057726766708,-15.900597152309874,-16.064709123269598,-16.064747321967246,-16.064785519321024,-16.064823715331027,-16.064861909997347,-16.064900103320078,-16.06493829529932,-16.064976485935162,-16.0650146752277,-16.06505286317703,-16.06509104978324
7,IC_0691,-16.992937839005908,-16.99297926843258,-16.99302069627845,-16.99306212254364,-16.993103547228273,-16.99314497033247,-16.993186391856344,-16.993227811800026,-16.993269230163627,-16.99331064694728,-16.99335206215109,-18.061955503260997,-18.06199330017637,-18.06203109577599,-18.062068890059955,-18.06210668302835,-18.062144474681272,-18.06218226501881,-18.062220054041056,-18.062257841748103,-18.06229562814004,-18.06233341321696,-19.14383167303129,-19.144030558663093,-19.144229407869613,-19.14442822066419,-19.14462699706015,-19.14482573707083,-19.145024440709534,-19.145223107989587,-19.14542173892428,-19.145620333526917,-19.145818891810784,-18.896781002971675,-19.037156349986216,-19.161442813049398,-19.27295207059229,-19.37406805030735,-19.46656406291879,-19.55179503328913,-19.63081957362479,-19.704480545738548,-19.77345997793442,-19.8383175492941,-18.786177100190073,-19.143812407428943,-19.41238063709024,-19.627515338697954,-19.80699051179828,-19.960963729613244,-20.095788722762716,-20.215705601589793,-20.323685452253223,-20.42189111937828,-20.511946146829093,-19.8590073211792,-20.133757791630135,-20.35283380130444,-20.535040856288767,-20.691019170327447,-20.827378455695925,-20.948507221480426,-21.057468514420318,-21.156485202483584,-21.247221672564606,-21.33095654467823,-20.78320231591971,-20.936694589913078,-21.071150822042156,-21.190775971362214,-21.298519269644977,-21.396529259868814,-21.486419733741357,-21.569433675572913,-21.64654882705787,-21.718548168903283,-21.78606844283083,-17.052705705237912,-17.05274571711826,-17.052785727524135,-17.05282573645564,-17.05286574391289,-17.05290574989599,-17.052945754405048,-17.052985757440172,-17.05302575900148,-17.053065759089062,-17.053105757703044,-17.797314403344345,-17.797346471200783,-17.797378538110106,-17.797410604072365,-17.797442669087623,-17.797474733155937,-17.797506796277357,-17.79753885845194,-17.797570919679746,-17.79760297996083,-17.797635039295244,-18.378819138089064,-18.378861080084583,-18.378903020459948,-18.37894495921528,-18.378986896350703,-18.379028831866343,-18.379070765762332,-18.379112698038785,-18.379154628695836,-18.379196557733607,-18.379238485152214
8,IC_0860,-18.182501728457126,-18.182589047202537,-18.182676358926027,-18.182763663628734,-18.18285096131178,-18.182938251976292,-18.183025535623404,-18.18311281225424,-18.183200081869934,-18.18328734447161,-18.18337460006039,-20.114868017173926,-20.11490398571469,-20.11493995306392,-20.114975919221692,-20.11501188418809,-20.115047847963186,-20.115083810547066,-20.1151197719398,-20.115155732141474,-20.11519169115217,-20.115227648971956,-21.2216568780128,-21.221842273498346,-21.222027637331994,-21.22221296952454,-21.222398270086792,-21.222583539029536,-21.222768776363566,-21.22295398209967,-21.22313915624862,-21.22332429882119,-21.223509409828146,-20.46431965625714,-20.667129687059564,-20.837952632456695,-20.98551727835005,-21.115404722042843,-21.23140069388713,-21.33619157845315,-21.431752752493622,-21.51957927917833,-21.600830018230447,-21.676421439698426,-20.026628807499097,-20.655611772045287,-21.05130521809206,-21.340680410940035,-21.568935481957013,-21.757440358543874,-21.918007894758,-22.057860092999007,-22.181736401874872,-22.29291545952099,-22.39375989087342,-20.350616443625903,-21.183889961806507,-21.649737609155302,-21.97467101154772,-22.22442853317558,-22.427341478990943,-22.59823736852175,-22.745856415788666,-22.87578599125321,-22.991815555511316,-23.096633850407613,-21.30102095300678,-21.807318405621075,-22.151250941868838,-22.41204553517157,-22.622171825319157,-22.798151113663323,-22.949545679432322,-23.082390124722686,-23.200738091830836,-23.307444415027913,-23.404595695986536,-18.238117778053528,-18.238202431962407,-18.23828707927141,-18.23837171998156,-18.23845635409389,-18.238540981609436,-18.238625602529215,-18.23871021685426,-18.238794824585597,-18.238879425724257,-18.238964020271265,-19.718927183150086,-19.718961622432246,-19.718996060622032,-19.719030497719515,-19.719064933724766,-19.719099368637856,-19.719133802458856,-19.719168235187826,-19.71920266682484,-19.71923709736997,-19.719271526823285,-20.370941909824218,-20.370984121433096,-20.371026331400923,-20.371068539727823,-20.37111074641393,-20.37115295145936,-20.371195154864253,-20.371237356628733,-20.371279556752917,-20.371321755236945,-20.37136395208094
9,IC_0883,-19.61370938032512,-19.61380912637765,-19.6139088632674,-19.614008590996054,-19.6141083095653,-19.61420801897681,-19.614307719232272,-19.61440741033337,-19.61450709228178,-19.614606765079184,-19.61470642872726,-21.132411018118333,-21.13247116036376,-21.13253129927791,-21.13259143486115,-21.132651567113854,-21.132711696036385,-21.13277182162911,-21.132831943892405,-21.132892062826635,-21.132952178432166,-21.133012290709374,-22.283132356309782,-22.283430453430874,-22.283728468729596,-22.284026402250863,-22.28432425403954,-22.284622024140454,-22.284919712598406,-22.28521731945815,-22.28551484476441,-22.285812288561864,-22.286109650895163,-22.24864850963638,-22.418639420459687,-22.56558308730968,-22.6949893410568,-22.81060148531662,-22.9150790695423,-23.010379667339244,-23.097986065723816,-23.17904838491303,-23.254476704066555,-23.32500353677635,-22.133491218600337,-22.559886344855894,-22.865250018554967,-23.10331348952775,-23.298449793583778,-23.463800276131124,-23.607265313367737,-23.73396695528506,-23.847416026619026,-23.950124228110816,-24.04395061627254,-23.642756308614064,-23.874157555341338,-24.064800503440942,-24.226915630539207,-24.367939873972087,-24.49273458918681,-24.604652709452026,-24.70610471946987,-24.798881799320228,-24.884351339512882,-24.963580913233855,-24.773016376258727,-24.88004658105426,-24.977466226338635,-25.066859921375325,-25.14945003930961,-25.226199350332447,-25.297879697889456,-25.365119367091204,-25.428436617174466,-25.488263961144135,-25.544966096836475,-19.64253050158452,-19.64262961891319,-19.64272872719423,-19.642827826429276,-19.642926916619988,-19.643025997768017,-19.643125069875012,-19.643224132942624,-19.6433231869725,-19.643422231966287,-19.64352126792564,-20.825071063680607,-20.825124136344524,-20.825177206414285,-20.825230273890142,-20.82528333877235,-20.825336401061165,-20.825389460756835,-20.825442517859614,-20.82549557236976,-20.82554862428752,-20.825601673613154,-21.36464934419446,-21.364721492206698,-21.36479363542497,-21.3648657738499,-21.364937907482133,-21.365010036322303,-21.365082160371045,-21.365154279629003,-21.36522639409681,-21.365298503775097,-21.365370608664506
